Genome,Scheme,ST,Cco_glnA,Cco_atpA,Cco_ilvD,Cco_glyA,Cco_gltA,Cco_aspA,Cco_pgm
GCF_002913835.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913015.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002912805.fna.gz,cconcisuscurvus,-,,,58,82,,,
GCF_002913365.fna.gz,cconcisuscurvus,-,,,,,55,,
GCF_002913385.fna.gz,cconcisuscurvus,-,,,,,49,,52
GCF_002913685.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002914105.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002092855.fna.gz,cconcisuscurvus,-,,8,8,8,65,,
GCF_002912885.fna.gz,cconcisuscurvus,-,,93,,,,,
GCF_002913865.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002912615.fna.gz,cconcisuscurvus,-,,,58,82,,,
GCF_002912515.fna.gz,cconcisuscurvus,-,,88,95,,,,99
GCF_002913565.fna.gz,cconcisuscurvus,-,,31,44,,28,,
GCF_002913885.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002165855.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002912385.fna.gz,cconcisuscurvus,-,,,,,,99,
GCF_002912465.fna.gz,cconcisuscurvus,-,,95,109,99,,106,107
GCF_002913195.fna.gz,cconcisuscurvus,-,,,,53,48,,
GCF_002914115.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913045.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913265.fna.gz,cconcisuscurvus,26,26,24,27,28,26,25,27
GCF_002913895.fna.gz,cconcisuscurvus,-,20,,,5,,,
GCF_002114545.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002912785.fna.gz,cconcisuscurvus,65,8,8,8,8,65,8,8
GCF_002913905.fna.gz,cconcisuscurvus,-,,,,76,,99,
GCF_002912665.fna.gz,cconcisuscurvus,-,,,,,,5,
GCF_002913575.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913945.fna.gz,cconcisuscurvus,60,61,58,64,60,59,62,61
GCF_002912925.fna.gz,cconcisuscurvus,114,22,81,96,93,4,95,92
GCF_002912525.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913605.fna.gz,cconcisuscurvus,-,34,32,,,,,34
GCF_002913965.fna.gz,cconcisuscurvus,-,103,94,108,100,,104,
GCF_002165875.fna.gz,cconcisuscurvus,-,,,,86,,,
GCF_002912395.fna.gz,cconcisuscurvus,11,12,8,12,12,11,8,12
GCF_002913155.fna.gz,cconcisuscurvus,-,,,,106,97,,110
GCF_002913245.fna.gz,cconcisuscurvus,26,26,24,27,28,26,25,27
GCF_002914145.fna.gz,cconcisuscurvus,78,4,49,4,4,4,4,4
GCF_002913065.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913275.fna.gz,cconcisuscurvus,-,,,,53,48,,
GCF_002913985.fna.gz,cconcisuscurvus,-,,90,,,,24,
GCF_002912935.fna.gz,cconcisuscurvus,-,,,,,,4,
GCF_002912565.fna.gz,cconcisuscurvus,-,,,58,82,,,
GCF_002913625.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002914005.fna.gz,cconcisuscurvus,-,,97,,,,4,
GCF_002912865.fna.gz,cconcisuscurvus,-,,90,,,,24,
GCF_002165775.fna.gz,cconcisuscurvus,-,,,,8,,,
GCF_002165895.fna.gz,cconcisuscurvus,-,22,,,106,,,4
GCF_002912675.fna.gz,cconcisuscurvus,-,,,,,42,,
GCF_002912705.fna.gz,cconcisuscurvus,-,,,58,82,,,
GCF_002913395.fna.gz,cconcisuscurvus,26,26,24,27,28,26,25,27
GCF_002913705.fna.gz,cconcisuscurvus,-,20,,,,64,,
GCF_002914165.fna.gz,cconcisuscurvus,78,4,49,4,4,4,4,4
GCF_002912425.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913185.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002914025.fna.gz,cconcisuscurvus,78,4,49,4,4,4,4,4
GCF_002912965.fna.gz,cconcisuscurvus,-,4,49,4,4,4,4,
GCF_002913305.fna.gz,cconcisuscurvus,-,,,,,55,,
GCF_002914045.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002913075.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002912715.fna.gz,cconcisuscurvus,-,103,94,108,100,,104,
GCF_002912585.fna.gz,cconcisuscurvus,-,,,58,82,,,
GCF_002913635.fna.gz,cconcisuscurvus,-,,,,,49,,52
GCF_002914065.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002912325.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002165785.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002912815.fna.gz,cconcisuscurvus,-,,,58,82,,,
GCF_002913425.fna.gz,cconcisuscurvus,-,,37,,31,,38,
GCF_002913505.fna.gz,cconcisuscurvus,-,,,68,,,77,
GCF_002913715.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002914185.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002914195.fna.gz,cconcisuscurvus,-,,85,,106,97,,110
GCF_002914245.fna.gz,cconcisuscurvus,-,51,,50,49,50,90,
GCF_002914295.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_002914355.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_003048375.fna.gz,cconcisuscurvus,-,,,86,,,14,
GCF_902387015.fna.gz,cconcisuscurvus,-,22,,,106,,,4
GCF_902387135.fna.gz,cconcisuscurvus,65,8,8,8,8,65,8,8
GCF_902460455.fna.gz,cconcisuscurvus,79,85,24,50,84,77,5,2
GCF_902460525.fna.gz,cconcisuscurvus,101,83,71,86,82,87,81,98
GCF_902460595.fna.gz,cconcisuscurvus,-,90,76,106,,80,89,102
GCF_902460675.fna.gz,cconcisuscurvus,-,,32,33,,,,80
GCF_902460745.fna.gz,cconcisuscurvus,88,82,70,28,105,94,66,105
GCF_003048645.fna.gz,cconcisuscurvus,-,,68,,,76,,
GCF_015230015.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_015680005.fna.gz,cconcisuscurvus,-,,,,,,63,
GCF_902387005.fna.gz,cconcisuscurvus,-,103,94,108,100,,104,
GCF_902387125.fna.gz,cconcisuscurvus,-,,,,8,,,
GCF_902460445.fna.gz,cconcisuscurvus,-,92,79,93,90,,92,90
GCF_902460515.fna.gz,cconcisuscurvus,115,98,88,104,98,88,97,99
GCF_902460585.fna.gz,cconcisuscurvus,128,103,94,108,100,100,104,106
GCF_902460665.fna.gz,cconcisuscurvus,121,87,21,90,86,93,105,104
GCF_902460735.fna.gz,cconcisuscurvus,121,87,21,90,86,93,105,104
GCF_002914285.fna.gz,cconcisuscurvus,-,20,,,5,,100,
GCF_002914345.fna.gz,cconcisuscurvus,-,,54,,,,,
GCF_003048405.fna.gz,cconcisuscurvus,-,,22,,,,,
GCF_003048445.fna.gz,cconcisuscurvus,-,91,2,,2,81,,2
GCF_003048675.fna.gz,cconcisuscurvus,-,,,,,,,96
GCF_003048755.fna.gz,cconcisuscurvus,-,,43,12,,43,45,46
GCF_003048775.fna.gz,cconcisuscurvus,-,,43,45,,,,46
GCF_003048815.fna.gz,cconcisuscurvus,-,,63,,,,,
GCF_003048835.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_003048875.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_003048905.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_015229935.fna.gz,cconcisuscurvus,-,,,,98,,,
GCF_015230075.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_017170235.fna.gz,cconcisuscurvus,-,6,6,6,6,12,,6
GCF_902387055.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_902460405.fna.gz,cconcisuscurvus,129,52,63,94,91,102,93,112
GCF_902460475.fna.gz,cconcisuscurvus,78,4,49,4,4,4,4,4
GCF_902460545.fna.gz,cconcisuscurvus,126,77,86,101,75,98,76,75
GCF_902460615.fna.gz,cconcisuscurvus,-,20,,,5,,100,
GCF_902460695.fna.gz,cconcisuscurvus,-,,31,,34,,,74
GCF_902460765.fna.gz,cconcisuscurvus,-,66,71,,,64,66,
GCF_002914225.fna.gz,cconcisuscurvus,26,26,24,27,28,26,25,27
GCF_002914265.fna.gz,cconcisuscurvus,-,,,,5,,100,
GCF_002914325.fna.gz,cconcisuscurvus,-,,,68,,,77,
GCF_002914365.fna.gz,cconcisuscurvus,78,4,49,4,4,4,4,4
GCF_003048685.fna.gz,cconcisuscurvus,-,72,70,,,,,
GCF_003048695.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_003048705.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_003048765.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_003048845.fna.gz,cconcisuscurvus,-,,56,62,58,57,,26
GCF_003048895.fna.gz,cconcisuscurvus,-,,,,,,34,
GCF_003048925.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_003048995.fna.gz,cconcisuscurvus,78,4,49,4,4,4,4,4
GCF_003049065.fna.gz,cconcisuscurvus,-,,,104,,,,
GCF_003049705.fna.gz,cconcisuscurvus,-,21,22,,,,20,
GCF_012978875.fna.gz,cconcisuscurvus,1,1,1,1,1,1,1,1
GCF_012978935.fna.gz,cconcisuscurvus,66,16,14,18,17,15,67,17
GCF_012978995.fna.gz,cconcisuscurvus,20,18,16,6,19,17,16,6
GCF_012979055.fna.gz,cconcisuscurvus,41,13,41,43,42,41,43,44
GCF_015229955.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_015679945.fna.gz,cconcisuscurvus,-,,56,62,58,57,,26
GCF_901874975.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_902387065.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_902460415.fna.gz,cconcisuscurvus,102,19,17,88,20,18,82,82
GCF_902460485.fna.gz,cconcisuscurvus,120,97,83,98,103,84,103,93
GCF_902460555.fna.gz,cconcisuscurvus,-,,80,,,25,,
GCF_902460625.fna.gz,cconcisuscurvus,87,78,93,81,77,73,65,77
GCF_902460705.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_902460775.fna.gz,cconcisuscurvus,-,,,50,82,,,
GCF_003048475.fna.gz,cconcisuscurvus,-,,13,34,,,,52
GCF_003048535.fna.gz,cconcisuscurvus,-,,,,,,,4
GCF_003048595.fna.gz,cconcisuscurvus,114,22,81,96,93,4,95,92
GCF_003048965.fna.gz,cconcisuscurvus,-,,43,,,,,
GCF_003049025.fna.gz,cconcisuscurvus,-,,,37,,10,,
GCF_003049085.fna.gz,cconcisuscurvus,-,,12,,,,,
GCF_003049735.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_012978895.fna.gz,cconcisuscurvus,6,6,6,6,6,6,6,6
GCF_012978955.fna.gz,cconcisuscurvus,17,13,11,13,14,12,12,13
GCF_012979015.fna.gz,cconcisuscurvus,71,42,39,41,68,12,40,42
GCF_013372125.fna.gz,cconcisuscurvus,1,1,1,1,1,1,1,1
GCF_015229965.fna.gz,cconcisuscurvus,-,,,104,98,,,
GCF_015679965.fna.gz,cconcisuscurvus,114,22,81,96,93,4,95,92
GCF_902374575.fna.gz,cconcisuscurvus,-,86,73,89,,,,
GCF_902387085.fna.gz,cconcisuscurvus,60,61,58,64,60,59,62,61
GCF_902460425.fna.gz,cconcisuscurvus,-,104,,,76,85,99,94
GCF_902460495.fna.gz,cconcisuscurvus,93,74,50,78,50,69,73,72
GCF_902460565.fna.gz,cconcisuscurvus,-,92,79,93,90,,92,90
GCF_902460635.fna.gz,cconcisuscurvus,96,38,27,20,76,32,77,76
GCF_902460715.fna.gz,cconcisuscurvus,106,29,74,16,87,78,86,86
GCF_902460785.fna.gz,cconcisuscurvus,105,87,21,90,86,92,85,85
GCF_003048495.fna.gz,cconcisuscurvus,-,,86,101,,98,,75
GCF_003048555.fna.gz,cconcisuscurvus,-,,58,,,,,
GCF_003048605.fna.gz,cconcisuscurvus,-,,,,,28,,
GCF_003048985.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_003049045.fna.gz,cconcisuscurvus,-,,75,,,,,
GCF_003049105.fna.gz,cconcisuscurvus,-,108,,,,,108,
GCF_003116505.fna.gz,cconcisuscurvus,-,,,68,,,,
GCF_012978915.fna.gz,cconcisuscurvus,16,13,11,17,14,12,12,14
GCF_012978975.fna.gz,cconcisuscurvus,18,6,6,19,6,12,12,6
GCF_012979035.fna.gz,cconcisuscurvus,40,13,11,17,14,12,42,14
GCF_015163675.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_015229985.fna.gz,cconcisuscurvus,-,94,85,,,97,,110
GCF_015679985.fna.gz,cconcisuscurvus,-,,,,,,63,
GCF_902381815.fna.gz,cconcisuscurvus,13,13,11,14,14,12,12,14
GCF_902387105.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_902460435.fna.gz,cconcisuscurvus,-,,80,28,,,80,
GCF_902460505.fna.gz,cconcisuscurvus,103,84,72,87,83,91,83,83
GCF_902460575.fna.gz,cconcisuscurvus,88,82,70,28,105,94,66,105
GCF_902460645.fna.gz,cconcisuscurvus,-,69,53,59,55,55,,112
GCF_902460725.fna.gz,cconcisuscurvus,107,88,75,91,88,79,87,87
GCF_902460795.fna.gz,cconcisuscurvus,-,66,71,,,64,66,
GCF_003048505.fna.gz,cconcisuscurvus,-,80,69,,79,74,79,79
GCF_003048575.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_003048615.fna.gz,cconcisuscurvus,-,,56,62,58,57,,112
GCF_015230035.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_015680025.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_902387035.fna.gz,cconcisuscurvus,78,4,49,4,4,4,4,4
GCF_902460395.fna.gz,cconcisuscurvus,94,75,67,79,73,70,74,73
GCF_902460465.fna.gz,cconcisuscurvus,113,96,80,95,92,70,94,91
GCF_902460535.fna.gz,cconcisuscurvus,119,102,91,105,101,90,101,101
GCF_902460605.fna.gz,cconcisuscurvus,107,88,75,91,88,79,87,87
GCF_902460685.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_902460755.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_902460895.fna.gz,cconcisuscurvus,-,,,,,49,,
GCF_902460905.fna.gz,cconcisuscurvus,-,73,27,,31,42,77,
GCF_902460915.fna.gz,cconcisuscurvus,-,,,,98,32,,
GCF_000017465.fna.gz,cconcisuscurvus,13,13,11,14,14,12,12,14
GCF_000017725.fna.gz,cconcisuscurvus,42,44,42,44,43,42,44,45
GCF_000259315.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_000376325.fna.gz,cconcisuscurvus,1,1,1,1,1,1,1,1
GCF_000466645.fna.gz,cconcisuscurvus,-,88,75,91,88,79,,88
GCF_000466665.fna.gz,cconcisuscurvus,-,,,74,,,,
GCF_000466685.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_000466705.fna.gz,cconcisuscurvus,2,2,2,2,2,2,2,2
GCF_000466725.fna.gz,cconcisuscurvus,-,,,,,,,53
GCF_000466745.fna.gz,cconcisuscurvus,3,3,3,3,3,3,3,3
GCF_001298465.fna.gz,cconcisuscurvus,77,4,49,4,4,4,68,4
GCF_902460805.fna.gz,cconcisuscurvus,125,108,97,111,108,99,108,109
GCF_902460815.fna.gz,cconcisuscurvus,-,,69,,79,,,68
GCF_902460825.fna.gz,cconcisuscurvus,-,,69,,79,,,68
GCF_902460835.fna.gz,cconcisuscurvus,-,,,74,49,77,,
GCF_902460845.fna.gz,cconcisuscurvus,-,92,79,93,90,,92,90
GCF_902460855.fna.gz,cconcisuscurvus,-,,43,,,43,,
GCF_902460865.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_902460875.fna.gz,cconcisuscurvus,-,,,,,,,
GCF_902460885.fna.gz,cconcisuscurvus,125,108,97,111,108,99,108,109
