Genome,Scheme,ST,sodA,plc,colA,groEL,gyrB,pgk,nadA,sigK
GCF_003181555.fna.gz,cperfringens,114,1,50,50,39,1,4,1,5
GCF_001949455.fna.gz,cperfringens,-,44,65,41,54,23,21,40,
GCF_001949595.fna.gz,cperfringens,93,44,65,41,54,23,21,40,23
GCF_004116135.fna.gz,cperfringens,147,29,20,23,12,18,27,20,17
GCF_004116235.fna.gz,cperfringens,147,29,20,23,12,18,27,20,17
GCF_011062565.fna.gz,cperfringens,292,1,89,4,5,5,3,1,4
GCF_001854085.fna.gz,cperfringens,77,1,6,4,34,4,3,1,4
GCF_003181415.fna.gz,cperfringens,108,3,1,3,1,3,1,1,5
GCF_003181735.fna.gz,cperfringens,122,3,51,52,1,3,1,1,4
GCF_003181745.fna.gz,cperfringens,103,1,46,4,1,3,4,1,5
GCF_003849945.fna.gz,cperfringens,143,1,5,19,5,1,3,1,2
GCF_004329595.fna.gz,cperfringens,160,62,60,56,7,1,1,49,35
GCF_011062605.fna.gz,cperfringens,143,1,5,19,5,1,3,1,2
GCF_002287985.fna.gz,cperfringens,103,1,46,4,1,3,4,1,5
GCF_001949315.fna.gz,cperfringens,-,44,65,41,54,23,21,40,
GCF_003181955.fna.gz,cperfringens,39,40,39,33,4,7,3,19,4
GCF_006454475.fna.gz,cperfringens,118,1,4,65,19,3,1,1,5
GCF_001949775.fna.gz,cperfringens,-,44,65,41,54,23,21,40,
GCF_001949465.fna.gz,cperfringens,78,3,4,4,19,3,20,1,5
GCF_001949615.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_003181575.fna.gz,cperfringens,115,50,50,49,38,32,12,1,29
GCF_003181595.fna.gz,cperfringens,67,15,40,51,6,1,12,2,5
GCF_003181615.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_011062615.fna.gz,cperfringens,278,1,46,3,71,3,1,1,2
GCF_016236605.fna.gz,cperfringens,-,6,,3,10,2,6,1,62
GCF_016236815.fna.gz,cperfringens,-,6,109,11,81,2,6,7,8
GCF_017590355.fna.gz,cperfringens,-,50,,49,38,32,12,1,29
GCF_001949205.fna.gz,cperfringens,80,44,65,41,54,23,21,40,26
GCF_016236825.fna.gz,cperfringens,-,1,4,4,4,3,1,1,2
GCF_017590365.fna.gz,cperfringens,-,46,4,3,1,3,1,,3
GCF_001949325.fna.gz,cperfringens,-,44,65,41,54,23,21,40,
GCF_011062745.fna.gz,cperfringens,286,1,46,4,19,3,4,1,2
GCF_011062805.fna.gz,cperfringens,282,1,33,6,5,24,7,19,4
GCF_011062825.fna.gz,cperfringens,279,1,1,77,41,8,4,1,19
GCF_011063005.fna.gz,cperfringens,29,14,19,20,1,5,2,1,2
GCF_016236545.fna.gz,cperfringens,-,6,11,3,10,2,28,10,8
GCF_016236785.fna.gz,cperfringens,-,1,94,71,63,,48,61,45
GCF_017590315.fna.gz,cperfringens,-,50,,49,38,32,12,1,29
GCF_001949485.fna.gz,cperfringens,89,3,4,4,19,3,20,1,22
GCF_011062625.fna.gz,cperfringens,289,78,84,96,74,52,40,1,47
GCF_011062635.fna.gz,cperfringens,278,1,46,3,71,3,1,1,2
GCF_011062685.fna.gz,cperfringens,-,,98,91,64,63,4,74,
GCF_011062695.fna.gz,cperfringens,221,1,4,1,63,25,1,13,2
GCF_011062725.fna.gz,cperfringens,288,97,121,87,102,61,11,90,49
GCF_011062735.fna.gz,cperfringens,287,76,85,86,7,2,12,8,19
GCF_011062775.fna.gz,cperfringens,284,1,3,19,60,62,2,3,5
GCF_011062815.fna.gz,cperfringens,-,,4,4,19,3,1,1,2
GCF_011062845.fna.gz,cperfringens,-,81,9,8,94,2,1,1,18
GCF_011062925.fna.gz,cperfringens,-,99,99,99,82,58,35,79,59
GCF_011063045.fna.gz,cperfringens,265,1,5,19,60,5,2,3,2
GCF_011063135.fna.gz,cperfringens,-,,22,54,19,2,1,53,18
GCF_011063145.fna.gz,cperfringens,255,38,69,36,33,55,18,36,25
GCF_011063265.fna.gz,cperfringens,-,1,3,3,4,1,3,,3
GCF_011063305.fna.gz,cperfringens,224,46,10,3,87,3,20,1,5
GCF_011068425.fna.gz,cperfringens,253,40,31,33,4,7,3,19,4
GCF_015548585.fna.gz,cperfringens,162,18,20,23,12,16,13,20,17
GCF_015553385.fna.gz,cperfringens,-,89,9,29,93,,4,105,12
GCF_016027375.fna.gz,cperfringens,-,1,10,2,3,3,1,,2
GCF_016117735.fna.gz,cperfringens,-,1,62,10,99,11,8,61,4
GCF_016236065.fna.gz,cperfringens,-,79,11,90,58,3,1,13,24
GCF_016236165.fna.gz,cperfringens,221,1,4,1,63,25,1,13,2
GCF_016236285.fna.gz,cperfringens,-,52,,34,,28,,,25
GCF_016236455.fna.gz,cperfringens,-,1,4,4,19,3,1,1,5
GCF_016236685.fna.gz,cperfringens,-,6,12,,10,2,6,1,9
GCF_017590195.fna.gz,cperfringens,21,3,4,3,1,3,1,1,2
GCF_017590465.fna.gz,cperfringens,-,,,75,109,,7,,63
GCF_011062885.fna.gz,cperfringens,280,43,5,19,5,5,3,1,2
GCF_011062905.fna.gz,cperfringens,-,,,26,24,,,8,
GCF_011062975.fna.gz,cperfringens,-,46,46,4,1,3,1,1,
GCF_011063325.fna.gz,cperfringens,237,101,87,93,75,2,43,79,52
GCF_012843975.fna.gz,cperfringens,296,6,11,13,12,2,2,10,8
GCF_016236225.fna.gz,cperfringens,221,1,4,1,63,25,1,13,2
GCF_016236395.fna.gz,cperfringens,-,1,4,4,,1,4,1,3
GCF_016236615.fna.gz,cperfringens,-,7,126,9,,2,6,1,9
GCF_016236855.fna.gz,cperfringens,-,1,4,4,4,3,1,1,2
GCF_017590415.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_011063025.fna.gz,cperfringens,264,40,21,76,4,6,3,19,4
GCF_016235965.fna.gz,cperfringens,-,8,12,3,12,2,6,44,9
GCF_016235975.fna.gz,cperfringens,-,6,1,11,,2,6,1,8
GCF_016235985.fna.gz,cperfringens,-,6,11,,12,2,6,,8
GCF_016236125.fna.gz,cperfringens,-,6,11,,10,2,28,10,9
GCF_016236235.fna.gz,cperfringens,-,1,50,66,3,1,4,1,7
GCF_016236415.fna.gz,cperfringens,-,14,19,20,1,5,2,1,
GCF_016236635.fna.gz,cperfringens,-,6,11,3,10,2,6,10,8
GCF_016236885.fna.gz,cperfringens,-,7,126,,10,4,2,1,9
GCF_017590425.fna.gz,cperfringens,-,46,63,64,4,2,22,41,2
GCF_011062935.fna.gz,cperfringens,278,1,46,3,71,3,1,1,2
GCF_015548365.fna.gz,cperfringens,-,26,27,26,22,17,4,11,18
GCF_016236305.fna.gz,cperfringens,-,,,,,64,8,,
GCF_016236485.fna.gz,cperfringens,-,6,12,11,10,2,6,,9
GCF_016236705.fna.gz,cperfringens,39,40,39,33,4,7,3,19,4
GCF_017590205.fna.gz,cperfringens,21,3,4,3,1,3,1,1,2
GCF_017590495.fna.gz,cperfringens,-,62,17,38,103,6,,61,57
GCF_011063155.fna.gz,cperfringens,263,29,20,23,12,18,15,18,17
GCF_011063215.fna.gz,cperfringens,254,3,5,19,85,5,3,1,2
GCF_011063255.fna.gz,cperfringens,13,1,10,4,9,8,1,1,2
GCF_015553915.fna.gz,cperfringens,-,1,50,66,3,1,4,1,41
GCF_016236135.fna.gz,cperfringens,-,71,4,4,19,3,1,106,5
GCF_016236265.fna.gz,cperfringens,-,1,50,66,3,1,4,1,41
GCF_016236445.fna.gz,cperfringens,-,1,43,3,29,5,4,1,5
GCF_016236655.fna.gz,cperfringens,-,1,94,3,63,2,48,61,45
GCF_016236905.fna.gz,cperfringens,-,7,,,10,2,2,1,9
GCF_017590455.fna.gz,cperfringens,-,5,41,26,29,3,19,38,24
GCF_015670355.fna.gz,cperfringens,269,35,35,6,103,2,2,13,4
GCF_016026995.fna.gz,cperfringens,-,3,70,4,1,3,1,13,2
GCF_016236315.fna.gz,cperfringens,-,6,1,,,2,6,1,8
GCF_016236495.fna.gz,cperfringens,-,7,,115,,2,6,1,9
GCF_016236725.fna.gz,cperfringens,-,6,12,,10,2,6,1,9
GCF_017590255.fna.gz,cperfringens,21,3,4,3,1,3,1,1,2
GCF_017590515.fna.gz,cperfringens,-,5,41,26,29,3,19,38,24
GCF_011063055.fna.gz,cperfringens,39,40,39,33,4,7,3,19,4
GCF_011063075.fna.gz,cperfringens,264,40,21,76,4,6,3,19,4
GCF_011063105.fna.gz,cperfringens,265,1,5,19,60,5,2,3,2
GCF_011063125.fna.gz,cperfringens,256,1,5,19,65,1,3,1,2
GCF_011063205.fna.gz,cperfringens,247,84,98,91,64,63,4,74,19
GCF_011063245.fna.gz,cperfringens,39,40,39,33,4,7,3,19,4
GCF_013305215.fna.gz,cperfringens,221,1,4,1,63,25,1,13,2
GCF_016236085.fna.gz,cperfringens,-,7,11,13,10,2,6,1,9
GCF_016236185.fna.gz,cperfringens,70,42,5,6,3,4,3,10,3
GCF_016236345.fna.gz,cperfringens,39,40,39,33,4,7,3,19,4
GCF_016236515.fna.gz,cperfringens,-,6,11,3,10,2,28,1,8
GCF_016236735.fna.gz,cperfringens,-,6,12,,10,2,6,1,9
GCF_017590275.fna.gz,cperfringens,21,3,4,3,1,3,1,1,2
GCF_017590535.fna.gz,cperfringens,-,,41,26,29,3,,38,24
GCF_016026675.fna.gz,cperfringens,-,,62,24,,2,1,,2
GCF_016027155.fna.gz,cperfringens,13,1,10,4,9,8,1,1,2
GCF_016236355.fna.gz,cperfringens,39,40,39,33,4,7,3,19,4
GCF_016236535.fna.gz,cperfringens,39,40,39,33,4,7,3,19,4
GCF_016236745.fna.gz,cperfringens,-,7,12,,,52,6,1,10
GCF_017590295.fna.gz,cperfringens,-,4,,,20,2,2,2,
GCF_017590555.fna.gz,cperfringens,-,5,41,26,29,3,19,38,24
GCF_011062955.fna.gz,cperfringens,-,,98,91,64,63,4,74,
GCF_015553685.fna.gz,cperfringens,248,22,24,25,14,11,8,23,4
GCF_015555525.fna.gz,cperfringens,-,46,63,64,4,2,22,,70
GCF_015555735.fna.gz,cperfringens,210,93,5,6,101,5,2,3,2
GCF_015561335.fna.gz,cperfringens,166,14,10,4,3,3,1,13,2
GCF_015667875.fna.gz,cperfringens,-,,11,,99,25,48,13,3
GCF_015670075.fna.gz,cperfringens,-,,4,4,1,3,1,1,5
GCF_016236005.fna.gz,cperfringens,-,7,12,11,10,2,6,44,9
GCF_016236035.fna.gz,cperfringens,-,8,12,3,12,2,6,44,9
GCF_016236095.fna.gz,cperfringens,-,95,,,104,,8,99,
GCF_016236195.fna.gz,cperfringens,221,1,4,1,63,25,1,13,2
GCF_016236385.fna.gz,cperfringens,-,1,4,4,19,3,20,1,71
GCF_016236585.fna.gz,cperfringens,-,6,11,,10,2,6,10,9
GCF_016236805.fna.gz,cperfringens,-,6,109,11,81,2,6,7,8
GCF_017590335.fna.gz,cperfringens,119,1,46,3,24,3,4,1,2
GCF_017590565.fna.gz,cperfringens,71,6,42,38,4,3,1,38,20
GCF_017590595.fna.gz,cperfringens,71,6,42,38,4,3,1,38,20
GCF_017590615.fna.gz,cperfringens,-,15,10,4,20,1,12,2,5
GCF_017590635.fna.gz,cperfringens,-,5,41,26,29,3,19,8,24
GCF_017590655.fna.gz,cperfringens,-,,,12,,,,9,46
GCF_017590675.fna.gz,cperfringens,-,,1,69,1,,4,10,24
GCF_017590695.fna.gz,cperfringens,-,5,41,26,29,3,19,38,24
GCF_017590715.fna.gz,cperfringens,-,,8,7,7,32,,5,6
GCF_017590725.fna.gz,cperfringens,-,38,,83,,,18,36,25
GCF_017590755.fna.gz,cperfringens,-,,,4,29,1,28,,7
GCF_017590765.fna.gz,cperfringens,-,5,41,26,29,3,19,8,24
GCF_017590795.fna.gz,cperfringens,-,1,1,77,41,8,4,1,
GCF_017590815.fna.gz,cperfringens,-,3,4,3,1,3,1,1,
GCF_017590835.fna.gz,cperfringens,-,38,,83,,,18,36,25
GCF_017590845.fna.gz,cperfringens,-,1,1,77,41,8,4,1,
GCF_017590865.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_017590885.fna.gz,cperfringens,-,1,4,39,19,3,1,1,
GCF_017590915.fna.gz,cperfringens,-,1,,39,19,3,1,1,5
GCF_017590925.fna.gz,cperfringens,-,3,17,4,17,12,1,13,2
GCF_017590945.fna.gz,cperfringens,-,3,4,3,1,3,1,1,
GCF_017590975.fna.gz,cperfringens,21,3,4,3,1,3,1,1,2
GCF_017590995.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_017591015.fna.gz,cperfringens,73,1,4,39,19,3,1,1,5
GCF_017591035.fna.gz,cperfringens,-,3,1,4,4,,1,1,2
GCF_017591045.fna.gz,cperfringens,-,3,1,4,4,,1,1,2
GCF_017591055.fna.gz,cperfringens,-,1,4,,19,3,1,1,5
GCF_017591095.fna.gz,cperfringens,21,3,4,3,1,3,1,1,2
GCF_017897335.fna.gz,cperfringens,33,18,20,23,21,16,14,20,17
GCF_018135545.fna.gz,cperfringens,221,1,4,1,63,25,1,13,2
GCF_900447035.fna.gz,cperfringens,135,18,20,23,12,16,14,20,17
GCF_900447075.fna.gz,cperfringens,30,15,10,4,20,1,12,17,12
GCF_900447085.fna.gz,cperfringens,136,1,54,54,42,1,1,11,7
GCF_900447095.fna.gz,cperfringens,33,18,20,23,21,16,14,20,17
GCF_900447105.fna.gz,cperfringens,33,18,20,23,21,16,14,20,17
GCF_900447125.fna.gz,cperfringens,-,40,17,33,4,6,3,19,
GCF_900447135.fna.gz,cperfringens,137,1,32,6,6,1,4,1,5
GCF_900461135.fna.gz,cperfringens,138,24,55,23,12,18,14,18,17
GCF_900461145.fna.gz,cperfringens,132,29,20,23,21,16,14,43,31
GCF_900461155.fna.gz,cperfringens,133,59,20,12,41,16,14,44,17
GCF_900461235.fna.gz,cperfringens,139,24,20,23,12,16,14,20,17
GCF_900461295.fna.gz,cperfringens,31,16,20,21,12,14,13,18,15
GCF_900461395.fna.gz,cperfringens,140,41,56,55,43,35,15,45,32
GCF_900475545.fna.gz,cperfringens,62,1,10,4,3,8,1,1,2
GCF_900478015.fna.gz,cperfringens,134,1,34,37,19,1,1,37,19
GCF_900604525.fna.gz,cperfringens,141,51,57,34,44,36,25,46,33
GCF_900604545.fna.gz,cperfringens,142,52,58,60,45,37,26,47,25
GCF_901482475.fna.gz,cperfringens,172,65,22,54,19,2,1,53,18
GCF_901482515.fna.gz,cperfringens,139,24,20,23,12,16,14,20,17
GCF_901523095.fna.gz,cperfringens,173,24,20,23,12,16,14,54,17
GCF_902165845.fna.gz,cperfringens,-,,,,,,,,
GCF_902165905.fna.gz,cperfringens,-,,,,,,,,
GCF_902166005.fna.gz,cperfringens,163,63,61,1,50,39,8,51,37
GCF_902166025.fna.gz,cperfringens,41,1,5,19,5,5,3,1,2
GCF_902166095.fna.gz,cperfringens,164,1,62,10,51,11,8,61,4
GCF_902166125.fna.gz,cperfringens,-,,,,,,,,
GCF_902166135.fna.gz,cperfringens,165,9,11,58,14,9,8,52,38
GCF_902166765.fna.gz,cperfringens,152,10,11,55,51,5,3,11,5
GCF_902166825.fna.gz,cperfringens,-,,,,,,,,
GCF_902386435.fna.gz,cperfringens,77,1,6,4,34,4,3,1,4
GCF_902459425.fna.gz,cperfringens,177,56,38,61,44,37,26,62,26
GCF_902459435.fna.gz,cperfringens,142,52,58,60,45,37,26,47,25
GCF_902459455.fna.gz,cperfringens,175,55,68,4,53,41,29,55,5
GCF_902459515.fna.gz,cperfringens,33,18,20,23,21,16,14,20,17
GCF_000255475.fna.gz,cperfringens,69,5,41,26,29,3,19,30,24
GCF_000171155.fna.gz,cperfringens,-,20,1,4,1,3,4,8,
GCF_000512415.fna.gz,cperfringens,70,42,5,6,3,4,3,10,3
GCF_000171175.fna.gz,cperfringens,32,17,21,22,5,15,7,19,16
GCF_001546355.fna.gz,cperfringens,74,57,66,62,15,10,9,57,21
GCF_000171195.fna.gz,cperfringens,36,1,7,6,6,1,4,1,5
GCF_001052445.fna.gz,cperfringens,72,19,43,4,29,1,4,1,5
GCF_000171215.fna.gz,cperfringens,68,39,34,37,3,8,1,8,19
GCF_000009685.fna.gz,cperfringens,40,1,31,29,5,5,8,13,4
GCF_000013285.fna.gz,cperfringens,1,1,1,1,1,1,1,1,1
GCF_000171135.fna.gz,cperfringens,39,40,39,33,4,7,3,19,4
GCF_000172455.fna.gz,cperfringens,67,15,40,51,6,1,12,2,5
GCF_000243175.fna.gz,cperfringens,71,6,42,38,4,3,1,38,20
