Genome,Scheme,ST,hexB,ddl,xpt,aroE,gdh,gki,recP
GCF_002096195.fna.gz,soralis,-,,,,,,,
GCF_003943835.fna.gz,soralis,-,,7,14,,,17,10
GCF_004127235.fna.gz,soralis,-,,32,,,,,
GCF_013488065.fna.gz,soralis,75,27,41,35,50,39,27,32
GCF_003943415.fna.gz,soralis,-,,,,,,,28
GCF_003944235.fna.gz,soralis,-,,,,,,,
GCF_015553015.fna.gz,soralis,-,,,,,,,
GCF_015561235.fna.gz,soralis,-,,,25,,,,
GCF_016028255.fna.gz,soralis,-,,,,,,,
GCF_016127915.fna.gz,soralis,-,,,,,,,
GCF_017154185.fna.gz,soralis,-,,,,,,,
GCF_900637025.fna.gz,soralis,-,,,17,63,,,10
GCF_018791825.fna.gz,soralis,-,,,,36,7,,5
GCF_018985475.fna.gz,soralis,-,,,15,31,17,2,8
GCF_910575295.fna.gz,soralis,-,,5,,2,5,,18
GCF_000164095.fna.gz,soralis,-,,,17,63,,,10
GCF_003943875.fna.gz,soralis,-,,,,39,,2,
GCF_003943805.fna.gz,soralis,-,28,,24,,,2,2
GCF_006175905.fna.gz,soralis,-,27,,,,,,
GCF_016549395.fna.gz,soralis,-,,,,50,39,,
GCF_018448765.fna.gz,soralis,-,,,,,,,
GCF_016127555.fna.gz,soralis,-,,,17,63,,,10
GCF_016127735.fna.gz,soralis,-,13,,,,,,
GCF_003944395.fna.gz,soralis,-,2,2,,2,,2,9
GCF_018195655.fna.gz,soralis,-,5,,,2,5,5,20
GCF_018985485.fna.gz,soralis,-,37,2,,5,,6,
GCF_000185265.fna.gz,soralis,-,27,,,,,,
GCF_003943825.fna.gz,soralis,-,,,,,,,
GCF_016617455.fna.gz,soralis,-,5,,,,,5,
GCF_016888845.fna.gz,soralis,-,,,,50,39,,
GCF_017154175.fna.gz,soralis,-,,,,,,,
GCF_003944205.fna.gz,soralis,-,,,,3,,,28
GCF_004127215.fna.gz,soralis,-,,,,,,,
GCF_007475365.fna.gz,soralis,-,,,,,,,
GCF_013488045.fna.gz,soralis,-,,14,16,,,,
GCF_016028175.fna.gz,soralis,-,3,3,5,,3,3,
GCF_018310275.fna.gz,soralis,-,,,,,,,
GCF_018448725.fna.gz,soralis,-,5,2,,5,,6,5
GCF_901543815.fna.gz,soralis,-,,,,,,,
GCF_018619395.fna.gz,soralis,-,5,2,5,5,2,,5
GCF_002096335.fna.gz,soralis,-,,,,,,,
GCF_002096355.fna.gz,soralis,-,,,,,,,
GCF_002096365.fna.gz,soralis,-,,,,,,,
GCF_002096435.fna.gz,soralis,-,,,,,,,
GCF_000722675.fna.gz,soralis,-,,,,50,,,
GCF_000960035.fna.gz,soralis,-,,,,50,,,
GCF_002096455.fna.gz,soralis,-,,25,,,17,,
GCF_002871315.fna.gz,soralis,-,,,,,,,
GCF_002386345.fna.gz,soralis,-,5,,5,5,,,5
GCF_002096215.fna.gz,soralis,-,,,,,,,
GCF_002096255.fna.gz,soralis,-,,,,,,,
GCF_002096275.fna.gz,soralis,-,,,,,,,
GCF_002096285.fna.gz,soralis,-,,44,5,,,,
GCF_002096375.fna.gz,soralis,-,36,,10,,,,8
GCF_002096445.fna.gz,soralis,-,,10,,,,,
GCF_001069675.fna.gz,soralis,-,,,,4,,11,5
GCF_002096295.fna.gz,soralis,-,,,,53,,,
GCF_002096415.fna.gz,soralis,-,,44,,,,,35
GCF_002096675.fna.gz,soralis,-,3,,,,3,3,
GCF_002096685.fna.gz,soralis,-,7,,,,3,,
GCF_003942285.fna.gz,soralis,-,5,,,,,,5
GCF_002096495.fna.gz,soralis,-,5,,24,5,10,25,18
GCF_002096515.fna.gz,soralis,-,,,,39,,,
GCF_002096525.fna.gz,soralis,-,,,,18,,,
GCF_002096575.fna.gz,soralis,-,,5,,,,2,2
GCF_002096695.fna.gz,soralis,-,37,3,,3,,,
GCF_002096595.fna.gz,soralis,-,8,,11,10,,,5
GCF_002096655.fna.gz,soralis,-,,36,,,,,31
GCF_002096535.fna.gz,soralis,-,,,10,4,,,18
GCF_002096605.fna.gz,soralis,-,,,,,,,
GCF_002096615.fna.gz,soralis,-,,,,3,,,
GCF_002356415.fna.gz,soralis,-,,,,,,,
GCF_000148565.fna.gz,soralis,-,,,17,63,8,,10
GCF_000253155.fna.gz,soralis,-,36,,,,,,
GCF_000257455.fna.gz,soralis,-,,,,,,,
GCF_000257475.fna.gz,soralis,-,5,,5,5,5,6,
GCF_000257495.fna.gz,soralis,75,27,41,35,50,39,27,32
GCF_000257845.fna.gz,soralis,-,,,,,,,
GCF_000287715.fna.gz,soralis,-,,,,,,,
GCF_000344255.fna.gz,soralis,-,7,,,,,,
GCF_000382805.fna.gz,soralis,-,,,,,,,
GCF_000382825.fna.gz,soralis,-,3,3,5,,3,3,
GCF_000442155.fna.gz,soralis,-,7,,,,,,
GCF_000442175.fna.gz,soralis,-,7,,,,,,
GCF_000959975.fna.gz,soralis,-,,,,50,,,
GCF_000960105.fna.gz,soralis,-,,,5,,,,
