Genome,Scheme,ST,holC,petC,cysG,gltT,nuoL,leuA,malF
GCF_004016295.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_003973695.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_009664125.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_009669365.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3
GCF_014856645.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_014856735.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_014856785.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_014856845.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_014856935.fna.gz,xfastidiosa,81,3,3,32,3,3,3,3
GCF_015475935.fna.gz,xfastidiosa,7,3,3,7,3,3,3,3
GCF_015475955.fna.gz,xfastidiosa,34,3,3,3,6,3,3,3
GCF_015476035.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_018069645.fna.gz,xfastidiosa,42,4,3,12,3,3,6,5
GCF_018449095.fna.gz,xfastidiosa,87,3,3,3,3,21,5,5
GCF_018449175.fna.gz,xfastidiosa,87,3,3,3,3,21,5,5
GCF_000007245.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_000166835.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3
GCF_000428665.fna.gz,xfastidiosa,41,9,3,18,3,3,3,5
GCF_004016315.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_004016415.fna.gz,xfastidiosa,76,24,13,26,1,18,12,15
GCF_004023385.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3
GCF_009669445.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3
GCF_003973705.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_009669335.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3
GCF_009669375.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3
GCF_014856675.fna.gz,xfastidiosa,81,3,3,32,3,3,3,3
GCF_014856745.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_014856795.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_014856865.fna.gz,xfastidiosa,81,3,3,32,3,3,3,3
GCF_014856895.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_015475975.fna.gz,xfastidiosa,1,1,1,1,1,1,1,1
GCF_018449105.fna.gz,xfastidiosa,87,3,3,3,3,21,5,5
GCF_018449235.fna.gz,xfastidiosa,87,3,3,3,3,21,5,5
GCF_900129695.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_000006725.fna.gz,xfastidiosa,13,10,6,9,8,7,7,7
GCF_000506405.fna.gz,xfastidiosa,16,11,6,10,8,8,7,8
GCF_000506905.fna.gz,xfastidiosa,14,12,8,11,9,9,8,8
GCF_000567985.fna.gz,xfastidiosa,29,5,3,18,3,4,4,6
GCF_000698805.fna.gz,xfastidiosa,5,2,2,2,2,2,2,2
GCF_000732705.fna.gz,xfastidiosa,8,4,3,5,7,3,3,5
GCF_001469395.fna.gz,xfastidiosa,75,1,1,29,1,19,9,10
GCF_009669455.fna.gz,xfastidiosa,81,3,3,32,3,3,3,3
GCF_009669465.fna.gz,xfastidiosa,6,3,3,3,3,3,3,3
GCF_009669505.fna.gz,xfastidiosa,81,3,3,32,3,3,3,3
GCF_009669515.fna.gz,xfastidiosa,81,3,3,32,3,3,3,3
GCF_009695485.fna.gz,xfastidiosa,7,3,3,7,3,3,3,3
GCF_009695495.fna.gz,xfastidiosa,26,6,3,3,5,3,5,3
GCF_009910885.fna.gz,xfastidiosa,2,1,1,1,1,1,1,4
GCF_013283685.fna.gz,xfastidiosa,11,10,7,9,8,8,7,7
