Genome,Scheme,ST,pyrC,lysA,dtdS,glp,gyrB,mdh,metG,pntA,purM,tnaA
GCF_002903865.fna.gz,vvulnificus,8,6,7,1,4,5,6,6,6,6,5
GCF_000959765.fna.gz,vvulnificus,474,53,15,170,9,14,70,9,42,9,45
GCF_002891785.fna.gz,vvulnificus,112,5,4,65,2,2,2,3,5,3,25
GCF_002903735.fna.gz,vvulnificus,462,121,162,166,17,26,2,23,5,8,119
GCF_001890575.fna.gz,vvulnificus,15,4,25,6,14,14,17,7,16,13,22
GCF_002073065.fna.gz,vvulnificus,135,13,41,27,34,13,14,13,29,25,11
GCF_002284515.fna.gz,vvulnificus,136,9,12,15,6,6,2,12,7,7,15
GCF_002903265.fna.gz,vvulnificus,484,53,56,82,126,12,11,24,20,8,50
GCF_002906265.fna.gz,vvulnificus,1,10,9,8,5,1,8,8,1,1,7
GCF_002265325.fna.gz,vvulnificus,136,9,12,15,6,6,2,12,7,7,15
GCF_002074885.fna.gz,vvulnificus,8,6,7,1,4,5,6,6,6,6,5
GCF_001890465.fna.gz,vvulnificus,16,4,19,5,15,16,17,15,2,1,2
GCF_001471465.fna.gz,vvulnificus,16,4,19,5,15,16,17,15,2,1,2
GCF_002278455.fna.gz,vvulnificus,136,9,12,15,6,6,2,12,7,7,15
GCF_002903765.fna.gz,vvulnificus,-,5,,65,2,2,2,3,5,3,25
GCF_000959775.fna.gz,vvulnificus,508,73,2,118,5,53,32,43,10,22,7
GCF_000967055.fna.gz,vvulnificus,491,7,104,22,19,42,2,12,21,8,2
GCF_001277815.fna.gz,vvulnificus,494,128,167,1,128,98,113,95,32,6,123
GCF_000746665.fna.gz,vvulnificus,76,41,2,26,28,3,3,25,26,21,7
GCF_002891805.fna.gz,vvulnificus,112,5,4,65,2,2,2,3,5,3,25
GCF_002903245.fna.gz,vvulnificus,501,129,12,106,70,100,114,97,106,12,124
GCF_002903285.fna.gz,vvulnificus,509,67,70,39,5,27,58,25,93,30,61
GCF_002903395.fna.gz,vvulnificus,478,16,2,29,16,4,24,5,1,15,53
GCF_002903415.fna.gz,vvulnificus,16,4,19,5,15,16,17,15,2,1,2
GCF_002903545.fna.gz,vvulnificus,470,124,12,22,122,94,2,48,27,8,10
GCF_002903555.fna.gz,vvulnificus,139,9,22,19,6,31,2,24,27,7,29
GCF_002903635.fna.gz,vvulnificus,139,9,22,19,6,31,2,24,27,7,29
GCF_002903785.fna.gz,vvulnificus,489,3,3,29,1,1,32,1,4,2,7
GCF_002903805.fna.gz,vvulnificus,139,9,22,19,6,31,2,24,27,7,29
GCF_002903885.fna.gz,vvulnificus,8,6,7,1,4,5,6,6,6,6,5
GCF_002906235.fna.gz,vvulnificus,526,13,61,182,46,13,14,40,29,12,11
GCF_003072005.fna.gz,vvulnificus,-,115,79,66,5,52,4,55,10,,20
GCF_003072025.fna.gz,vvulnificus,-,71,2,49,40,35,51,35,36,1,7
GCF_003258485.fna.gz,vvulnificus,528,16,90,29,16,4,24,5,1,4,53
GCF_003522555.fna.gz,vvulnificus,457,75,161,104,5,3,112,92,1,78,7
GCF_004214375.fna.gz,vvulnificus,222,43,70,39,28,54,22,25,36,24,7
GCF_004214385.fna.gz,vvulnificus,493,14,26,5,79,9,21,2,104,16,9
GCF_004214475.fna.gz,vvulnificus,502,3,148,149,22,3,97,1,37,20,109
GCF_004214495.fna.gz,vvulnificus,498,12,168,18,79,99,21,7,105,86,9
GCF_003072055.fna.gz,vvulnificus,521,132,136,29,39,3,101,4,1,30,58
GCF_003798485.fna.gz,vvulnificus,496,43,9,176,59,53,8,96,1,1,58
GCF_004214395.fna.gz,vvulnificus,1,10,9,8,5,1,8,8,1,1,7
GCF_004214565.fna.gz,vvulnificus,473,3,49,39,35,3,22,1,39,26,36
GCF_004214595.fna.gz,vvulnificus,520,4,4,35,9,6,95,98,21,9,125
GCF_004214765.fna.gz,vvulnificus,488,127,53,34,73,95,11,7,16,8,18
GCF_004215135.fna.gz,vvulnificus,479,125,165,44,124,95,13,6,13,82,18
GCF_004215215.fna.gz,vvulnificus,-,4,18,5,8,14,,7,21,8,26
GCF_004215335.fna.gz,vvulnificus,519,50,53,181,24,26,32,7,68,8,74
GCF_008693685.fna.gz,vvulnificus,3,4,1,10,2,2,1,2,2,1,9
GCF_012275045.fna.gz,vvulnificus,-,67,,89,28,3,3,4,1,25,
GCF_016094295.fna.gz,vvulnificus,429,37,42,50,36,1,4,5,10,30,34
GCF_017290495.fna.gz,vvulnificus,415,7,12,135,109,84,2,24,67,8,111
GCF_017291155.fna.gz,vvulnificus,-,44,34,52,16,35,,35,36,1,70
GCF_017291255.fna.gz,vvulnificus,-,71,66,26,39,48,31,33,34,52,31
GCF_900460445.fna.gz,vvulnificus,467,123,17,169,120,9,21,2,20,16,16
GCF_003184085.fna.gz,vvulnificus,432,40,9,91,1,1,101,53,24,54,72
GCF_004214355.fna.gz,vvulnificus,485,4,18,5,18,19,17,17,21,8,26
GCF_004214455.fna.gz,vvulnificus,515,83,168,111,29,102,21,7,107,9,9
GCF_004214575.fna.gz,vvulnificus,472,12,64,61,123,42,3,12,68,13,121
GCF_004214625.fna.gz,vvulnificus,520,4,4,35,9,6,95,98,21,9,125
GCF_004215015.fna.gz,vvulnificus,475,30,90,148,5,54,18,5,10,54,7
GCF_004215145.fna.gz,vvulnificus,518,67,176,180,129,27,69,43,55,88,126
GCF_004215225.fna.gz,vvulnificus,499,4,169,44,17,14,15,7,5,1,16
GCF_004215355.fna.gz,vvulnificus,479,125,165,44,124,95,13,6,13,82,18
GCF_009758215.fna.gz,vvulnificus,570,111,9,8,5,30,8,25,1,22,7
GCF_013369015.fna.gz,vvulnificus,222,43,70,39,28,54,22,25,36,24,7
GCF_016094365.fna.gz,vvulnificus,429,37,42,50,36,1,4,5,10,30,34
GCF_017290675.fna.gz,vvulnificus,-,109,147,126,44,,94,59,85,15,60
GCF_017291165.fna.gz,vvulnificus,-,43,2,30,39,4,22,5,1,5,7
GCF_017291275.fna.gz,vvulnificus,521,132,136,29,39,3,101,4,1,30,58
GCF_900460515.fna.gz,vvulnificus,466,22,2,7,5,3,18,14,10,14,13
GCF_003184105.fna.gz,vvulnificus,76,41,2,26,28,3,3,25,26,21,7
GCF_004214365.fna.gz,vvulnificus,505,17,26,39,13,95,11,7,5,9,16
GCF_004214525.fna.gz,vvulnificus,1,10,9,8,5,1,8,8,1,1,7
GCF_004214655.fna.gz,vvulnificus,490,126,98,174,13,14,17,7,21,8,16
GCF_004214715.fna.gz,vvulnificus,497,12,26,18,79,95,21,18,21,85,9
GCF_004215035.fna.gz,vvulnificus,498,12,168,18,79,99,21,7,105,86,9
GCF_004215155.fna.gz,vvulnificus,23,4,18,44,23,14,17,17,21,8,9
GCF_004215235.fna.gz,vvulnificus,512,15,172,111,30,15,11,7,5,18,9
GCF_004319645.fna.gz,vvulnificus,465,75,155,118,3,3,4,4,93,53,99
GCF_009764095.fna.gz,vvulnificus,-,,69,81,19,11,13,22,,8,10
GCF_013369285.fna.gz,vvulnificus,58,3,35,42,35,1,22,1,28,26,31
GCF_016094575.fna.gz,vvulnificus,429,37,42,50,36,1,4,5,10,30,34
GCF_017290755.fna.gz,vvulnificus,-,18,106,180,57,27,3,4,93,23,95
GCF_017291175.fna.gz,vvulnificus,-,71,66,26,58,48,31,33,34,52,31
GCF_017291295.fna.gz,vvulnificus,-,71,66,26,39,48,31,33,34,52,31
GCF_900460565.fna.gz,vvulnificus,3,4,1,10,2,2,1,2,2,1,9
GCF_003258475.fna.gz,vvulnificus,527,3,3,29,1,18,118,1,4,2,7
GCF_004214465.fna.gz,vvulnificus,510,17,168,18,79,6,21,7,105,86,16
GCF_004214555.fna.gz,vvulnificus,495,21,4,175,29,16,11,24,21,8,2
GCF_004214665.fna.gz,vvulnificus,522,12,177,19,29,99,21,7,107,9,45
GCF_004214675.fna.gz,vvulnificus,518,67,176,180,129,27,69,43,55,88,126
GCF_004214695.fna.gz,vvulnificus,506,12,171,18,79,6,21,7,105,86,9
GCF_004214755.fna.gz,vvulnificus,-,4,18,5,8,14,,7,21,8,26
GCF_004214995.fna.gz,vvulnificus,477,4,18,40,23,14,17,17,21,8,9
GCF_004215005.fna.gz,vvulnificus,476,43,164,39,59,1,8,10,1,4,58
GCF_004215045.fna.gz,vvulnificus,479,125,165,44,124,95,13,6,13,82,18
GCF_004215095.fna.gz,vvulnificus,469,124,12,22,122,25,2,41,27,8,10
GCF_004215105.fna.gz,vvulnificus,171,37,42,66,55,1,4,5,10,30,53
GCF_004215195.fna.gz,vvulnificus,516,131,174,178,69,103,17,23,25,8,125
GCF_004215255.fna.gz,vvulnificus,22,4,19,5,15,16,11,7,20,1,2
GCF_004215295.fna.gz,vvulnificus,486,4,4,169,103,96,2,23,21,8,119
GCF_004215315.fna.gz,vvulnificus,523,19,171,39,9,12,117,24,13,8,18
GCF_004215325.fna.gz,vvulnificus,-,4,18,5,8,14,,7,21,8,26
GCF_004302935.fna.gz,vvulnificus,112,5,4,65,2,2,2,3,5,3,25
GCF_004302945.fna.gz,vvulnificus,112,5,4,65,2,2,2,3,5,3,25
GCF_004355205.fna.gz,vvulnificus,446,1,160,165,3,3,3,4,1,4,99
GCF_009665455.fna.gz,vvulnificus,-,14,,39,79,9,21,2,104,16,9
GCF_009665475.fna.gz,vvulnificus,-,10,9,8,5,14,8,8,1,1,7
GCF_009764115.fna.gz,vvulnificus,-,,,,,21,6,24,,,
GCF_011754395.fna.gz,vvulnificus,521,132,136,29,39,3,101,4,1,30,58
GCF_013369375.fna.gz,vvulnificus,-,,,,,,,,,6,
GCF_014107515.fna.gz,vvulnificus,303,90,9,122,90,1,8,70,84,66,93
GCF_015351355.fna.gz,vvulnificus,-,,,160,,,,77,1,23,7
GCF_015351365.fna.gz,vvulnificus,-,,,160,,,,77,1,23,7
GCF_015351545.fna.gz,vvulnificus,-,,,160,,,,77,1,23,7
GCF_016094395.fna.gz,vvulnificus,429,37,42,50,36,1,4,5,10,30,34
GCF_016094495.fna.gz,vvulnificus,429,37,42,50,36,1,4,5,10,30,34
GCF_016094525.fna.gz,vvulnificus,429,37,42,50,36,1,4,5,10,30,34
GCF_017290195.fna.gz,vvulnificus,-,73,2,30,40,35,51,10,36,1,13
GCF_017291075.fna.gz,vvulnificus,-,71,66,26,39,48,31,33,34,52,31
GCF_017291195.fna.gz,vvulnificus,423,89,122,70,44,71,91,31,51,23,108
GCF_017291305.fna.gz,vvulnificus,-,71,66,26,39,48,31,33,34,52,31
GCF_902388005.fna.gz,vvulnificus,487,67,166,173,127,97,3,69,103,83,7
GCF_014211935.fna.gz,vvulnificus,-,,17,34,8,23,,2,4,21,30
GCF_014525125.fna.gz,vvulnificus,-,22,2,7,5,3,18,14,17,14,17
GCF_014525155.fna.gz,vvulnificus,-,,55,46,30,14,2,23,5,9,50
GCF_014525285.fna.gz,vvulnificus,-,,,76,44,1,94,25,1,,
GCF_016094415.fna.gz,vvulnificus,429,37,42,50,36,1,4,5,10,30,34
GCF_016094425.fna.gz,vvulnificus,429,37,42,50,36,1,4,5,10,30,34
GCF_016094435.fna.gz,vvulnificus,429,37,42,50,36,1,4,5,10,30,34
GCF_016094475.fna.gz,vvulnificus,429,37,42,50,36,1,4,5,10,30,34
GCF_016094505.fna.gz,vvulnificus,429,37,42,50,36,1,4,5,10,30,34
GCF_016094535.fna.gz,vvulnificus,429,37,42,50,36,1,4,5,10,30,34
GCF_017290475.fna.gz,vvulnificus,160,12,14,71,26,23,18,24,13,8,8
GCF_017291135.fna.gz,vvulnificus,-,18,106,180,57,27,3,4,93,23,95
GCF_017291205.fna.gz,vvulnificus,-,71,66,26,39,48,31,33,34,52,31
GCF_017291335.fna.gz,vvulnificus,521,132,136,29,39,3,101,4,1,30,58
GCF_000299635.fna.gz,vvulnificus,-,4,1,10,2,2,1,,2,1,9
GCF_000269725.fna.gz,vvulnificus,482,126,98,172,125,14,17,7,21,8,16
GCF_000342305.fna.gz,vvulnificus,8,6,7,1,4,5,6,6,6,6,5
GCF_000039765.fna.gz,vvulnificus,446,1,160,165,3,3,3,4,1,4,99
GCF_000303175.fna.gz,vvulnificus,3,4,1,10,2,2,1,2,2,1,9
GCF_000186585.fna.gz,vvulnificus,32,22,2,7,5,3,18,14,17,14,13
GCF_000743095.fna.gz,vvulnificus,8,6,7,1,4,5,6,6,6,6,5
GCF_000009745.fna.gz,vvulnificus,432,40,9,91,1,1,101,53,24,54,72
