Genome,Scheme,ST,Cfe_glnA,Cfe_glyA,Cfe_aspA,Cfe_tkt,Cfe_gltA,Cfe_pgm,Cfe_uncA
GCF_000512745.fna.gz,cfetus,4,2,2,1,2,2,1,1
GCF_001699135.fna.gz,cfetus,67,3,5,4,5,6,5,5
GCF_001699205.fna.gz,cfetus,60,3,11,15,5,6,12,5
GCF_001699255.fna.gz,cfetus,62,4,11,16,5,6,10,5
GCF_001699295.fna.gz,cfetus,64,3,5,3,9,6,5,5
GCF_001699335.fna.gz,cfetus,66,17,11,15,5,10,10,5
GCF_001699385.fna.gz,cfetus,31,3,11,4,9,10,5,5
GCF_000015085.fna.gz,cfetus,6,2,2,1,2,2,1,4
GCF_001699455.fna.gz,cfetus,15,6,4,5,6,6,6,6
GCF_001699465.fna.gz,cfetus,30,6,10,5,6,6,6,5
GCF_001699485.fna.gz,cfetus,15,6,4,5,6,6,6,6
GCF_001699565.fna.gz,cfetus,4,2,2,1,2,2,1,1
