Genome,Scheme,ST,guaA,CAMP2,atpD,gmk,tly,lepA,sodA,aroE
GCF_003384255.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_005773845.fna.gz,pacnes,139,16,12,4,2,10,2,20,17
GCF_001660885.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_002775735.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_005773885.fna.gz,pacnes,139,16,12,4,2,10,2,20,17
GCF_001281065.fna.gz,pacnes,79,4,28,4,2,10,2,12,17
GCF_003384115.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_003384685.fna.gz,pacnes,-,4,6,1,1,,1,4,1
GCF_003426225.fna.gz,pacnes,145,4,6,1,1,33,1,4,1
GCF_003426255.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_003426625.fna.gz,pacnes,22,5,7,1,1,8,3,5,1
GCF_003426685.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_004136215.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_001750525.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_001469655.fna.gz,pacnes,127,3,1,1,1,1,1,19,5
GCF_002572555.fna.gz,pacnes,28,16,12,4,2,10,2,12,17
GCF_002572585.fna.gz,pacnes,130,16,39,4,14,10,2,12,17
GCF_001660935.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_002831705.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_003384285.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_003384365.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_003384525.fna.gz,pacnes,65,4,19,4,2,10,2,3,17
GCF_004136195.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_005774165.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_001469555.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_003384145.fna.gz,pacnes,141,8,6,17,4,14,6,8,24
GCF_003384415.fna.gz,pacnes,6,4,10,4,2,10,2,3,17
GCF_003798465.fna.gz,pacnes,18,3,5,1,1,2,1,1,8
GCF_005774125.fna.gz,pacnes,140,3,6,16,1,8,1,1,1
GCF_001660945.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_003586225.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_005773905.fna.gz,pacnes,65,4,19,4,2,10,2,3,17
GCF_001750535.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_001660115.fna.gz,pacnes,126,3,1,1,1,1,12,1,1
GCF_003384705.fna.gz,pacnes,22,5,7,1,1,8,3,5,1
GCF_005773925.fna.gz,pacnes,139,16,12,4,2,10,2,20,17
GCF_002831715.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_003384305.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_005773935.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_002572625.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_003384555.fna.gz,pacnes,65,4,19,4,2,10,2,3,17
GCF_005773965.fna.gz,pacnes,139,16,12,4,2,10,2,20,17
GCF_001469565.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_003384445.fna.gz,pacnes,6,4,10,4,2,10,2,3,17
GCF_005773975.fna.gz,pacnes,107,8,6,1,4,14,6,8,9
GCF_003384175.fna.gz,pacnes,107,8,6,1,4,14,6,8,9
GCF_001750545.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_003390995.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_005774005.fna.gz,pacnes,107,8,6,1,4,14,6,8,9
GCF_001660855.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_002831725.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_003384315.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_003384385.fna.gz,pacnes,140,3,6,16,1,8,1,1,1
GCF_005774135.fna.gz,pacnes,107,8,6,1,4,14,6,8,9
GCF_001660955.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_003611765.fna.gz,pacnes,115,3,2,1,1,22,1,1,1
GCF_005774015.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_002572705.fna.gz,pacnes,25,4,10,9,2,10,2,3,17
GCF_003384585.fna.gz,pacnes,42,4,21,1,1,8,1,4,1
GCF_005774035.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_001469595.fna.gz,pacnes,56,4,6,1,12,8,1,4,1
GCF_003384465.fna.gz,pacnes,6,4,10,4,2,10,2,3,17
GCF_005774065.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_003384195.fna.gz,pacnes,140,3,6,16,1,8,1,1,1
GCF_003391355.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_005774075.fna.gz,pacnes,107,8,6,1,4,14,6,8,9
GCF_002831735.fna.gz,pacnes,143,3,1,1,1,1,1,21,1
GCF_001660865.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_003384345.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_003426665.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_003812785.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_005774145.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_001750555.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_002572785.fna.gz,pacnes,132,4,40,4,2,10,2,3,17
GCF_002572815.fna.gz,pacnes,7,4,10,4,2,10,2,3,15
GCF_001660965.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_002572615.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_005774205.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_005774215.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_005774255.fna.gz,pacnes,42,4,21,1,1,8,1,4,1
GCF_005774305.fna.gz,pacnes,42,4,21,1,1,8,1,4,1
GCF_005774345.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_005774355.fna.gz,pacnes,150,4,10,4,2,36,2,3,17
GCF_005937345.fna.gz,pacnes,141,8,6,17,4,14,6,8,24
GCF_005937375.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_005937505.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_005937675.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_006240735.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_009737065.fna.gz,pacnes,137,4,42,4,2,10,2,6,20
GCF_018917715.fna.gz,pacnes,115,3,2,1,1,22,1,1,1
GCF_018918905.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_018919005.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_902363305.fna.gz,pacnes,72,4,12,4,2,10,2,12,17
GCF_005774325.fna.gz,pacnes,22,5,7,1,1,8,3,5,1
GCF_005774405.fna.gz,pacnes,142,3,43,1,17,1,1,1,1
GCF_005774425.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_005937155.fna.gz,pacnes,139,16,12,4,2,10,2,20,17
GCF_005937265.fna.gz,pacnes,139,16,12,4,2,10,2,20,17
GCF_005937385.fna.gz,pacnes,107,8,6,1,4,14,6,8,9
GCF_005937475.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_005937545.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_006240655.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_008728435.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_009737125.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_018918825.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_018918945.fna.gz,pacnes,-,4,10,9,2,,2,3,17
GCF_018919085.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_910576755.fna.gz,pacnes,-,4,,4,2,10,2,3,17
GCF_005774245.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_005774265.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_005774335.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_005937165.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_005937275.fna.gz,pacnes,107,8,6,1,4,14,6,8,9
GCF_005937445.fna.gz,pacnes,42,4,21,1,1,8,1,4,1
GCF_005937555.fna.gz,pacnes,139,16,12,4,2,10,2,20,17
GCF_005937695.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_006240665.fna.gz,pacnes,139,16,12,4,2,10,2,20,17
GCF_008868325.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_011399315.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_018918845.fna.gz,pacnes,-,5,2,,1,31,1,4,1
GCF_018918965.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_018919105.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_005774435.fna.gz,pacnes,145,4,6,1,1,33,1,4,1
GCF_005774445.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_005887575.fna.gz,pacnes,-,,2,1,1,2,1,1,1
GCF_005937245.fna.gz,pacnes,139,16,12,4,2,10,2,20,17
GCF_005937285.fna.gz,pacnes,-,,2,1,1,2,1,1,1
GCF_005937455.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_005937565.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_005937705.fna.gz,pacnes,107,8,6,1,4,14,6,8,9
GCF_006240685.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_009177305.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_011399455.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_018918865.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_018918985.fna.gz,pacnes,42,4,21,1,1,8,1,4,1
GCF_018919125.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_005774465.fna.gz,pacnes,139,16,12,4,2,10,2,20,17
GCF_005937145.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_005937255.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_005937355.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_005937365.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_005937465.fna.gz,pacnes,22,5,7,1,1,8,3,5,1
GCF_005937595.fna.gz,pacnes,65,4,19,4,2,10,2,3,17
GCF_005937745.fna.gz,pacnes,140,3,6,16,1,8,1,1,1
GCF_006240705.fna.gz,pacnes,145,4,6,1,1,33,1,4,1
GCF_009737035.fna.gz,pacnes,-,4,6,1,1,8,1,4,
GCF_018784045.fna.gz,pacnes,-,3,2,1,,22,,1,1
GCF_018918885.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_018918995.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_900102845.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_005937615.fna.gz,pacnes,139,16,12,4,2,10,2,20,17
GCF_005937645.fna.gz,pacnes,107,8,6,1,4,14,6,8,9
GCF_005937755.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_005937785.fna.gz,pacnes,42,4,21,1,1,8,1,4,1
GCF_005937805.fna.gz,pacnes,150,4,10,4,2,36,2,3,17
GCF_006240615.fna.gz,pacnes,142,3,43,1,17,1,1,1,1
GCF_006240625.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_006739385.fna.gz,pacnes,-,3,,1,1,1,1,1,1
GCF_009737075.fna.gz,pacnes,-,4,,1,1,8,1,4,1
GCF_018918785.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_018918915.fna.gz,pacnes,-,4,26,4,2,10,2,3,17
GCF_018919045.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_910576035.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000194845.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_000144205.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_000145335.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000145375.fna.gz,pacnes,13,3,6,1,1,7,1,1,1
GCF_000144835.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_000144005.fna.gz,pacnes,30,4,12,4,2,10,2,6,17
GCF_000194865.fna.gz,pacnes,25,4,10,9,2,10,2,3,17
GCF_000144185.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_000144775.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000144795.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_000145095.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_000145135.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_000144265.fna.gz,pacnes,-,5,2,1,1,9,1,,1
GCF_000145055.fna.gz,pacnes,7,4,10,4,2,10,2,3,15
GCF_000145115.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_000194905.fna.gz,pacnes,70,8,14,1,4,14,6,8,9
GCF_000144385.fna.gz,pacnes,15,3,1,1,10,6,1,1,1
GCF_000231215.fna.gz,pacnes,-,4,13,4,2,10,2,12,17
GCF_000145155.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_000145355.fna.gz,pacnes,6,4,10,4,2,10,2,3,17
GCF_000145435.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_000147145.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000221125.fna.gz,pacnes,-,3,5,13,1,2,1,1,8
GCF_000213155.fna.gz,pacnes,20,3,1,1,1,1,1,1,5
GCF_000178055.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000177395.fna.gz,pacnes,28,16,12,4,2,10,2,12,17
GCF_000144855.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_000144545.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000203995.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_000217615.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_000178075.fna.gz,pacnes,19,15,6,1,1,8,1,4,16
GCF_000144225.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_000144505.fna.gz,pacnes,9,3,1,1,1,4,1,1,1
GCF_000144565.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000145555.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_000145575.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_000144525.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000194825.fna.gz,pacnes,8,3,1,1,1,3,1,1,1
GCF_000025765.fna.gz,pacnes,18,3,5,1,1,2,1,1,8
GCF_000145475.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_000144325.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_000144165.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_000144345.fna.gz,pacnes,16,3,1,1,10,1,1,1,1
GCF_000145515.fna.gz,pacnes,22,5,7,1,1,8,3,5,1
GCF_000240055.fna.gz,pacnes,36,13,2,1,1,8,1,4,1
GCF_000342585.fna.gz,pacnes,31,3,3,1,1,2,1,1,1
GCF_000144125.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000144045.fna.gz,pacnes,24,5,9,1,1,8,1,4,1
GCF_000709495.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000144465.fna.gz,pacnes,26,17,11,4,2,11,2,3,17
GCF_000144875.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000144425.fna.gz,pacnes,4,3,6,1,1,8,1,1,1
GCF_000145175.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_000252385.fna.gz,pacnes,70,8,14,1,4,14,6,8,9
GCF_000144065.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_000144145.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_002572665.fna.gz,pacnes,7,4,10,4,2,10,2,3,15
GCF_002600615.fna.gz,pacnes,65,4,19,4,2,10,2,3,17
GCF_000145495.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000488875.fna.gz,pacnes,7,4,10,4,2,10,2,3,15
GCF_000496895.fna.gz,pacnes,119,4,6,1,13,8,1,4,1
GCF_000496915.fna.gz,pacnes,118,4,6,1,1,29,1,4,1
GCF_000730465.fna.gz,pacnes,122,3,1,1,1,1,1,13,1
GCF_000145535.fna.gz,pacnes,14,3,3,1,1,2,1,14,1
GCF_002572695.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000145195.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_002572655.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
GCF_002572745.fna.gz,pacnes,131,3,38,1,1,1,1,1,1
GCF_000144365.fna.gz,pacnes,17,3,2,10,1,2,1,1,1
GCF_000144445.fna.gz,pacnes,10,3,4,1,1,2,1,1,1
GCF_000144245.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000144735.fna.gz,pacnes,23,5,8,8,1,8,3,5,1
GCF_000144025.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_000145455.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_002572735.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_000144105.fna.gz,pacnes,6,4,10,4,2,10,2,3,17
GCF_000144305.fna.gz,pacnes,11,3,2,1,1,5,1,1,1
GCF_000472405.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000240015.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_000144585.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000144715.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_000376705.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_001063605.fna.gz,pacnes,107,8,6,1,4,14,6,8,9
GCF_000144285.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_000144895.fna.gz,pacnes,7,4,10,4,2,10,2,3,15
GCF_000302515.fna.gz,pacnes,115,3,2,1,1,22,1,1,1
GCF_000240035.fna.gz,pacnes,22,5,7,1,1,8,3,5,1
GCF_000144755.fna.gz,pacnes,3,3,2,1,1,2,1,1,1
GCF_000144815.fna.gz,pacnes,21,1,6,1,1,8,1,1,1
GCF_002572775.fna.gz,pacnes,1,3,1,1,1,1,1,1,1
GCF_002572835.fna.gz,pacnes,72,4,12,4,2,10,2,12,17
GCF_000144485.fna.gz,pacnes,2,5,2,1,1,8,1,4,1
GCF_000008345.fna.gz,pacnes,5,4,6,1,1,8,1,4,1
