Genome,Scheme,ST,trpB,atpA,dnaK,murG,fumC,tuf,gyrB
GCF_900130145.fna.gz,fpsychrophilum,9,4,4,6,6,5,5,7
GCF_900186375.fna.gz,fpsychrophilum,79,2,2,8,2,2,2,8
GCF_900186395.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_900186415.fna.gz,fpsychrophilum,108,1,1,1,1,2,41,1
GCF_900186445.fna.gz,fpsychrophilum,34,1,18,15,16,3,6,20
GCF_900186455.fna.gz,fpsychrophilum,132,11,3,2,3,11,3,49
GCF_900186515.fna.gz,fpsychrophilum,4,4,3,3,3,3,3,3
GCF_900186545.fna.gz,fpsychrophilum,90,1,1,1,1,1,2,1
GCF_900186565.fna.gz,fpsychrophilum,21,2,10,2,2,2,7,2
GCF_900186595.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_900186685.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_016803815.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_016803615.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_016803655.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_016804085.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_016804105.fna.gz,fpsychrophilum,10,2,2,2,2,2,2,8
GCF_900101925.fna.gz,fpsychrophilum,13,4,4,6,6,5,8,7
GCF_900186345.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610005.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_016804185.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_900186385.fna.gz,fpsychrophilum,193,4,47,22,2,17,3,18
GCF_900186425.fna.gz,fpsychrophilum,79,2,2,8,2,2,2,8
GCF_900186435.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
GCF_900186755.fna.gz,fpsychrophilum,121,32,42,8,10,10,22,23
GCF_016804205.fna.gz,fpsychrophilum,125,1,2,15,2,2,7,13
GCF_900186475.fna.gz,fpsychrophilum,49,5,27,2,8,6,1,24
GCF_900186525.fna.gz,fpsychrophilum,-,8,2,2,2,2,2,2
GCF_900186555.fna.gz,fpsychrophilum,59,22,30,4,19,10,32,31
GCF_900186575.fna.gz,fpsychrophilum,5,5,4,4,2,4,4,4
GCF_900186605.fna.gz,fpsychrophilum,62,5,32,8,26,1,26,34
GCF_900610015.fna.gz,fpsychrophilum,79,2,2,8,2,2,2,8
GCF_900610025.fna.gz,fpsychrophilum,79,2,2,8,2,2,2,8
GCF_900610035.fna.gz,fpsychrophilum,-,8,3,22,3,3,3,8
GCF_900610045.fna.gz,fpsychrophilum,79,2,2,8,2,2,2,8
GCF_900610055.fna.gz,fpsychrophilum,-,11,3,,44,,3,49
GCF_900610065.fna.gz,fpsychrophilum,79,2,2,8,2,2,2,8
GCF_900610075.fna.gz,fpsychrophilum,79,2,2,8,2,2,2,8
GCF_900610085.fna.gz,fpsychrophilum,124,2,1,15,1,14,7,13
GCF_900610095.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_900610105.fna.gz,fpsychrophilum,79,2,2,8,2,2,2,8
GCF_900610115.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610125.fna.gz,fpsychrophilum,126,2,1,15,1,16,7,13
GCF_900610135.fna.gz,fpsychrophilum,-,2,2,2,2,,7,8
GCF_900610145.fna.gz,fpsychrophilum,-,3,2,2,2,,41,2
GCF_900610155.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610165.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_900610175.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_900610185.fna.gz,fpsychrophilum,12,2,2,2,2,2,7,8
GCF_900610195.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610205.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610215.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610225.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610235.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610245.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610255.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610265.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610275.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610285.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610295.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610305.fna.gz,fpsychrophilum,-,3,2,2,2,,41,2
GCF_900610315.fna.gz,fpsychrophilum,92,3,2,2,2,2,41,2
GCF_900610325.fna.gz,fpsychrophilum,23,9,12,11,9,7,13,13
GCF_900610335.fna.gz,fpsychrophilum,23,9,12,11,9,7,13,13
GCF_900610345.fna.gz,fpsychrophilum,125,1,2,15,2,2,7,13
GCF_900610355.fna.gz,fpsychrophilum,133,33,2,8,2,5,26,37
GCF_900610385.fna.gz,fpsychrophilum,181,4,2,22,3,3,3,3
GCF_000064305.fna.gz,fpsychrophilum,20,8,2,2,2,2,2,8
GCF_000739395.fna.gz,fpsychrophilum,10,2,2,2,2,2,2,8
GCF_000754405.fna.gz,fpsychrophilum,13,4,4,6,6,5,8,7
GCF_000767095.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2
