Genome,Scheme,ST,rpoB,oppB,recA,hsp,aroE,mdh,aceK
GCF_001573245.fna.gz,cbotulinum,-,,,,,,,
GCF_002103805.fna.gz,cbotulinum,92,9,10,8,9,13,32,13
GCF_002103825.fna.gz,cbotulinum,7,2,4,5,5,4,2,2
GCF_002103875.fna.gz,cbotulinum,-,9,10,8,9,13,10,13
GCF_002104015.fna.gz,cbotulinum,114,9,10,8,9,13,8,13
GCF_002798035.fna.gz,cbotulinum,-,,,,,,,
GCF_002865745.fna.gz,cbotulinum,-,9,10,8,9,13,8,7
GCF_002865885.fna.gz,cbotulinum,92,9,10,8,9,13,32,13
GCF_002866045.fna.gz,cbotulinum,-,8,9,6,8,13,5,6
GCF_003017195.fna.gz,cbotulinum,-,,27,19,,27,21,35
GCF_003017335.fna.gz,cbotulinum,-,20,,,14,,,47
GCF_016925735.fna.gz,cbotulinum,-,,,,,,,
GCF_016925995.fna.gz,cbotulinum,-,,,,,,,
GCF_016989755.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_016989975.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_016990155.fna.gz,cbotulinum,7,2,4,5,5,4,2,2
GCF_016990315.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_017100085.fna.gz,cbotulinum,-,,,,,,,
GCF_002103855.fna.gz,cbotulinum,22,8,9,7,8,10,8,6
GCF_002103885.fna.gz,cbotulinum,-,8,9,6,8,13,5,6
GCF_002797995.fna.gz,cbotulinum,-,,,,,,,
GCF_003345335.fna.gz,cbotulinum,7,2,4,5,5,4,2,2
GCF_004120535.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_009939325.fna.gz,cbotulinum,-,9,5,7,6,13,5,17
GCF_014805105.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_014805215.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_014872905.fna.gz,cbotulinum,121,10,43,7,27,19,8,14
GCF_016925795.fna.gz,cbotulinum,-,,,,,,,
GCF_016926015.fna.gz,cbotulinum,-,,,,,,,
GCF_016989775.fna.gz,cbotulinum,-,9,10,8,7,13,45,
GCF_016990015.fna.gz,cbotulinum,26,8,9,7,8,9,8,7
GCF_016990195.fna.gz,cbotulinum,26,8,9,7,8,9,8,7
GCF_016990335.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_017330865.fna.gz,cbotulinum,36,13,15,14,14,18,14,22
GCF_002103975.fna.gz,cbotulinum,30,9,10,9,9,13,6,16
GCF_002865765.fna.gz,cbotulinum,28,10,12,7,8,14,11,14
GCF_003610755.fna.gz,cbotulinum,30,9,10,9,9,13,6,16
GCF_003994935.fna.gz,cbotulinum,103,9,37,8,9,13,6,9
GCF_009733885.fna.gz,cbotulinum,9,9,10,8,9,13,6,9
GCF_009939345.fna.gz,cbotulinum,-,9,5,7,6,13,5,17
GCF_014805145.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_014805235.fna.gz,cbotulinum,-,25,,25,9,35,11,44
GCF_016071375.fna.gz,cbotulinum,-,,,,,,,
GCF_016925815.fna.gz,cbotulinum,-,,,,,,,
GCF_016989565.fna.gz,cbotulinum,86,8,9,6,8,13,5,11
GCF_016989785.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_016990025.fna.gz,cbotulinum,26,8,9,7,8,9,8,7
GCF_016990235.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_016990345.fna.gz,cbotulinum,-,10,13,7,8,14,18,24
GCF_017330945.fna.gz,cbotulinum,36,13,15,14,14,18,14,22
GCF_002103985.fna.gz,cbotulinum,58,8,9,7,8,13,8,15
GCF_002865805.fna.gz,cbotulinum,85,8,9,6,8,11,30,11
GCF_002866225.fna.gz,cbotulinum,92,9,10,8,9,13,32,13
GCF_003058345.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_010078315.fna.gz,cbotulinum,-,9,5,7,6,13,5,17
GCF_014068615.fna.gz,cbotulinum,4,8,9,7,8,9,10,6
GCF_014805165.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_014805255.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_016798345.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_016925855.fna.gz,cbotulinum,-,,,,,,,
GCF_016989605.fna.gz,cbotulinum,22,8,9,7,8,10,8,6
GCF_016989825.fna.gz,cbotulinum,26,8,9,7,8,9,8,7
GCF_016990055.fna.gz,cbotulinum,7,2,4,5,5,4,2,2
GCF_016990255.fna.gz,cbotulinum,26,8,9,7,8,9,8,7
GCF_016990375.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_017590175.fna.gz,cbotulinum,-,9,10,8,9,,6,13
GCF_002865825.fna.gz,cbotulinum,7,2,4,5,5,4,2,2
GCF_002866125.fna.gz,cbotulinum,92,9,10,8,9,13,32,13
GCF_003014955.fna.gz,cbotulinum,32,11,9,10,11,13,8,18
GCF_003058445.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_009938935.fna.gz,cbotulinum,-,9,5,7,6,13,5,17
GCF_014805085.fna.gz,cbotulinum,30,9,10,9,9,13,6,16
GCF_014805185.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_014805275.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_016838665.fna.gz,cbotulinum,87,15,21,5,17,23,19,43
GCF_016925865.fna.gz,cbotulinum,-,,,,,,,
GCF_016989635.fna.gz,cbotulinum,84,8,9,6,8,11,5,11
GCF_016989855.fna.gz,cbotulinum,25,8,10,7,8,10,8,6
GCF_016990065.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_016990275.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_016990395.fna.gz,cbotulinum,10,8,5,6,8,11,5,11
GCF_017591115.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_002865845.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_003017145.fna.gz,cbotulinum,-,,27,19,,27,21,35
GCF_003017225.fna.gz,cbotulinum,-,4,26,,,,,
GCF_003345315.fna.gz,cbotulinum,4,8,9,7,8,9,10,6
GCF_014805065.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_014805095.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_014805195.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_014805305.fna.gz,cbotulinum,-,27,,27,25,36,35,46
GCF_016925705.fna.gz,cbotulinum,-,,,,,,,
GCF_016925945.fna.gz,cbotulinum,-,,,,,,,
GCF_016989715.fna.gz,cbotulinum,22,8,9,7,8,10,8,6
GCF_016989895.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_016990115.fna.gz,cbotulinum,25,8,10,7,8,10,8,6
GCF_016990285.fna.gz,cbotulinum,-,10,13,7,8,14,18,24
GCF_016990415.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_902386235.fna.gz,cbotulinum,-,10,13,7,8,14,18,24
GCF_000017045.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_000019545.fna.gz,cbotulinum,3,3,2,3,3,3,3,5
GCF_000017065.fna.gz,cbotulinum,88,10,8,10,9,34,11,20
GCF_000020165.fna.gz,cbotulinum,-,,,,,,,
GCF_000019305.fna.gz,cbotulinum,34,10,8,12,9,16,12,20
GCF_000020345.fna.gz,cbotulinum,7,2,4,5,5,4,2,2
GCF_000171075.fna.gz,cbotulinum,14,2,4,5,5,5,2,2
GCF_000022765.fna.gz,cbotulinum,2,8,9,7,8,10,8,7
GCF_000171095.fna.gz,cbotulinum,-,,,,,,,
GCF_000171055.fna.gz,cbotulinum,4,8,9,7,8,9,10,6
GCF_000063585.fna.gz,cbotulinum,9,9,10,8,9,13,6,9
GCF_000017025.fna.gz,cbotulinum,1,9,10,8,9,13,6,13
GCF_000020285.fna.gz,cbotulinum,-,,,,,,,
GCF_000175335.fna.gz,cbotulinum,-,,,,,,,
GCF_000204375.fna.gz,cbotulinum,-,,,,,,,
GCF_000204395.fna.gz,cbotulinum,-,,,,,,,
GCF_000204565.fna.gz,cbotulinum,-,,,,,,,
GCF_000253195.fna.gz,cbotulinum,-,10,13,15,12,,8,25
GCF_000307125.fna.gz,cbotulinum,-,,,,,,,
GCF_000309805.fna.gz,cbotulinum,-,,,,,,,
GCF_000353835.fna.gz,cbotulinum,-,,,,,,,
GCF_000439815.fna.gz,cbotulinum,-,8,9,7,8,10,,6
GCF_000503815.fna.gz,cbotulinum,35,12,14,13,13,17,13,21
GCF_000710585.fna.gz,cbotulinum,-,,,,,,,
GCF_000710975.fna.gz,cbotulinum,-,7,9,6,8,13,5,
GCF_000710985.fna.gz,cbotulinum,-,10,16,11,9,13,8,
GCF_000710995.fna.gz,cbotulinum,38,10,16,11,9,13,15,23
GCF_000711005.fna.gz,cbotulinum,-,,,,,,,
GCF_000711055.fna.gz,cbotulinum,-,10,13,7,8,14,18,24
GCF_000711065.fna.gz,cbotulinum,67,9,10,8,7,10,10,12
GCF_000711095.fna.gz,cbotulinum,-,8,9,7,8,13,5,15
GCF_000711105.fna.gz,cbotulinum,-,10,,7,27,19,,
GCF_000711115.fna.gz,cbotulinum,-,9,10,8,7,,,12
GCF_000724305.fna.gz,cbotulinum,-,,,,,,,
GCF_000724325.fna.gz,cbotulinum,-,,,,,,,
GCF_000724345.fna.gz,cbotulinum,-,,,,,,,
GCF_000724365.fna.gz,cbotulinum,-,,,,,,,
GCF_000730785.fna.gz,cbotulinum,4,8,9,7,8,9,10,6
GCF_000768655.fna.gz,cbotulinum,-,,,,,,,
GCF_000769495.fna.gz,cbotulinum,87,15,21,5,17,23,19,43
GCF_000817935.fna.gz,cbotulinum,7,2,4,5,5,4,2,2
GCF_000827935.fna.gz,cbotulinum,-,,,,,,,
GCF_000986925.fna.gz,cbotulinum,88,10,8,10,9,34,11,20
