Genome,Scheme,ST,leuS,fusA,rplB,gyrB,dnaA,pyrG,rpoB
GCF_016632625.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_009707405.fna.gz,ecloacae,932,337,51,36,65,1,275,1
GCF_016632955.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016633475.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016633615.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016634325.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016864095.fna.gz,ecloacae,-,443,233,6,333,352,347,53
GCF_018595775.fna.gz,ecloacae,477,186,44,1,61,161,153,1
GCF_008502095.fna.gz,ecloacae,976,1,44,1,61,1,153,1
GCF_008631235.fna.gz,ecloacae,1524,487,44,36,61,1,373,1
GCF_014893485.fna.gz,ecloacae,1084,370,18,8,34,309,34,29
GCF_018597445.fna.gz,ecloacae,-,,243,22,61,171,36,1
GCF_019265065.fna.gz,ecloacae,922,168,107,77,61,169,36,1
GCF_010590685.fna.gz,ecloacae,1312,436,92,22,355,156,105,64
GCF_014930475.fna.gz,ecloacae,515,58,38,12,35,56,169,20
GCF_014930485.fna.gz,ecloacae,901,173,18,8,161,112,264,30
GCF_013168985.fna.gz,ecloacae,456,180,44,1,61,149,152,1
GCF_014169295.fna.gz,ecloacae,32,35,24,16,3,3,3,17
GCF_014323445.fna.gz,ecloacae,976,1,44,1,61,1,153,1
GCF_016428155.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016632885.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_009727145.fna.gz,ecloacae,456,180,44,1,61,149,152,1
GCF_016864115.fna.gz,ecloacae,-,441,92,22,109,240,346,99
GCF_017151335.fna.gz,ecloacae,922,168,107,77,61,169,36,1
GCF_009907135.fna.gz,ecloacae,156,86,53,22,65,73,1,1
GCF_016633045.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016633505.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_013376815.fna.gz,ecloacae,1,1,1,1,1,1,1,1
GCF_016633985.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016634365.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_011077475.fna.gz,ecloacae,-,,,,,,,
GCF_015159675.fna.gz,ecloacae,104,9,40,6,76,59,70,6
GCF_015319295.fna.gz,ecloacae,-,186,107,,89,169,36,1
GCF_019047105.fna.gz,ecloacae,1,1,1,1,1,1,1,1
GCF_019056655.fna.gz,ecloacae,171,44,21,12,19,49,45,32
GCF_013169935.fna.gz,ecloacae,456,180,44,1,61,149,152,1
GCF_014169315.fna.gz,ecloacae,-,329,175,120,,,265,
GCF_014840875.fna.gz,ecloacae,84,1,1,22,61,60,36,1
GCF_009907475.fna.gz,ecloacae,836,186,44,1,189,265,36,1
GCF_016428465.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016428505.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016901095.fna.gz,ecloacae,-,,113,6,371,,358,55
GCF_018422095.fna.gz,ecloacae,-,319,44,193,236,264,145,1
GCF_009907535.fna.gz,ecloacae,1525,168,107,22,368,1,374,1
GCF_016633055.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016633515.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_010592545.fna.gz,ecloacae,524,1,107,36,188,1,172,1
GCF_010594505.fna.gz,ecloacae,712,73,126,33,245,1,228,1
GCF_014895585.fna.gz,ecloacae,1096,64,18,8,64,75,32,29
GCF_016633995.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016863995.fna.gz,ecloacae,1084,370,18,8,34,309,34,29
GCF_015321245.fna.gz,ecloacae,1552,217,92,22,109,150,389,99
GCF_014169815.fna.gz,ecloacae,-,352,43,61,,289,360,
GCF_013169955.fna.gz,ecloacae,456,180,44,1,61,149,152,1
GCF_019056615.fna.gz,ecloacae,-,44,,4,20,53,45,6
GCF_019056635.fna.gz,ecloacae,177,61,4,4,14,9,89,9
GCF_016428495.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_900075425.fna.gz,ecloacae,780,296,165,11,273,253,247,161
GCF_900075485.fna.gz,ecloacae,789,311,1,36,65,192,198,1
GCF_011078175.fna.gz,ecloacae,-,,,,,,,
GCF_016633425.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016633605.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_011754445.fna.gz,ecloacae,418,44,35,4,154,53,45,6
GCF_016634025.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_016634305.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_015704905.fna.gz,ecloacae,-,217,92,22,109,,,64
GCF_017151325.fna.gz,ecloacae,647,70,133,22,225,192,206,1
GCF_018140965.fna.gz,ecloacae,837,319,44,118,236,264,145,1
GCF_000025565.fna.gz,ecloacae,1,1,1,1,1,1,1,1
GCF_014895675.fna.gz,ecloacae,-,376,202,,332,154,302,203
GCF_014895695.fna.gz,ecloacae,-,13,4,,4,11,39,9
GCF_014895745.fna.gz,ecloacae,-,9,9,,12,59,67,25
GCF_014895875.fna.gz,ecloacae,701,189,18,110,138,227,119,142
GCF_014930585.fna.gz,ecloacae,35,31,19,17,42,31,33,28
GCF_019265125.fna.gz,ecloacae,-,,243,36,,169,,1
GCF_900075545.fna.gz,ecloacae,519,1,107,36,158,1,168,1
GCF_900077125.fna.gz,ecloacae,-,,,,,,,
GCF_014895885.fna.gz,ecloacae,1090,142,18,8,336,111,32,80
GCF_016427675.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_014895895.fna.gz,ecloacae,1080,107,18,8,22,140,241,29
GCF_014895705.fna.gz,ecloacae,-,370,18,,34,33,32,29
GCF_014895775.fna.gz,ecloacae,-,370,18,,34,309,34,29
GCF_014896205.fna.gz,ecloacae,1097,195,113,6,333,158,303,55
GCF_016864075.fna.gz,ecloacae,-,442,232,6,384,351,97,55
GCF_900078025.fna.gz,ecloacae,267,44,20,28,111,46,107,6
GCF_014895905.fna.gz,ecloacae,1101,373,113,6,335,308,291,200
GCF_900076365.fna.gz,ecloacae,598,237,129,12,309,144,150,129
GCF_900077695.fna.gz,ecloacae,780,296,165,11,273,253,247,161
GCF_014895915.fna.gz,ecloacae,917,167,19,8,157,140,126,29
GCF_014895975.fna.gz,ecloacae,-,142,18,,336,111,32,80
GCF_016427905.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_014895985.fna.gz,ecloacae,1084,370,18,8,34,309,34,29
GCF_014895995.fna.gz,ecloacae,-,142,18,,336,111,32,80
GCF_014896015.fna.gz,ecloacae,-,370,18,,34,309,34,29
GCF_900075555.fna.gz,ecloacae,24,16,15,11,23,23,28,11
GCF_900075855.fna.gz,ecloacae,435,16,15,11,23,23,148,11
GCF_900077005.fna.gz,ecloacae,767,300,25,21,269,197,100,163
GCF_900156955.fna.gz,ecloacae,-,,,,,,,
GCF_014896025.fna.gz,ecloacae,1081,6,4,4,4,4,11,6
GCF_016427965.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_014896075.fna.gz,ecloacae,-,167,19,,157,140,126,29
GCF_019265145.fna.gz,ecloacae,1385,86,243,22,65,1,153,1
GCF_900075165.fna.gz,ecloacae,609,225,126,1,158,198,1,1
GCF_014895715.fna.gz,ecloacae,-,6,4,,4,62,39,44
GCF_014895785.fna.gz,ecloacae,-,142,18,,336,111,32,80
GCF_014901735.fna.gz,ecloacae,976,1,44,1,61,1,153,1
GCF_019265085.fna.gz,ecloacae,1,1,1,1,1,1,1,1
GCF_900322725.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_014896085.fna.gz,ecloacae,135,9,47,23,59,59,62,6
GCF_016632935.fna.gz,ecloacae,873,103,63,6,101,85,96,53
GCF_900077165.fna.gz,ecloacae,24,16,15,11,23,23,28,11
GCF_900077215.fna.gz,ecloacae,774,299,122,112,272,250,245,160
GCF_900077545.fna.gz,ecloacae,610,224,15,88,205,199,46,10
GCF_900077605.fna.gz,ecloacae,24,16,15,11,23,23,28,11
GCF_902713475.fna.gz,ecloacae,93,61,4,4,14,9,37,9
GCF_014896095.fna.gz,ecloacae,-,370,18,,34,309,34,29
GCF_902387755.fna.gz,ecloacae,1065,367,106,138,330,305,298,18
GCF_902387775.fna.gz,ecloacae,922,168,107,77,61,169,36,1
GCF_001472895.fna.gz,ecloacae,525,186,44,1,189,169,36,1
GCF_002152055.fna.gz,ecloacae,432,168,44,1,158,141,145,1
GCF_002239955.fna.gz,ecloacae,1515,482,258,22,65,392,366,261
GCF_019265105.fna.gz,ecloacae,922,168,107,77,61,169,36,1
GCF_902163425.fna.gz,ecloacae,721,280,92,97,195,150,154,64
GCF_014896135.fna.gz,ecloacae,-,370,18,,34,309,34,29
GCF_000755525.fna.gz,ecloacae,1,1,1,1,1,1,1,1
GCF_000812505.fna.gz,ecloacae,717,168,148,95,61,192,1,1
GCF_014896145.fna.gz,ecloacae,-,370,18,,34,309,34,29
GCF_000966095.fna.gz,ecloacae,712,73,126,33,245,1,228,1
GCF_014896175.fna.gz,ecloacae,-,228,81,,334,33,241,204
GCF_002266385.fna.gz,ecloacae,820,315,170,36,158,258,256,169
GCF_001472955.fna.gz,ecloacae,137,66,48,22,65,73,36,1
GCF_014895795.fna.gz,ecloacae,1090,142,18,8,336,111,32,80
GCF_014930495.fna.gz,ecloacae,484,191,14,11,143,26,61,89
GCF_014930525.fna.gz,ecloacae,1081,6,4,4,4,4,11,6
GCF_014930595.fna.gz,ecloacae,1099,252,18,8,337,314,30,30
GCF_014896185.fna.gz,ecloacae,-,142,18,,336,111,32,80
GCF_000686165.fna.gz,ecloacae,719,278,149,96,250,234,232,156
GCF_000686185.fna.gz,ecloacae,719,278,149,96,250,234,232,156
GCF_000692275.fna.gz,ecloacae,414,160,99,12,153,136,140,92
GCF_014895835.fna.gz,ecloacae,-,9,88,,82,59,67,6
GCF_014930545.fna.gz,ecloacae,1099,252,18,8,337,314,30,30
GCF_001006635.fna.gz,ecloacae,680,255,136,107,232,220,215,136
GCF_014895845.fna.gz,ecloacae,-,370,18,,34,309,34,29
GCF_014930575.fna.gz,ecloacae,1099,252,18,8,337,314,30,30
GCF_902387805.fna.gz,ecloacae,1067,368,68,11,298,94,299,198
GCF_001473155.fna.gz,ecloacae,456,180,44,1,61,149,152,1
GCF_014930815.fna.gz,ecloacae,-,370,18,,34,309,34,29
GCF_014982305.fna.gz,ecloacae,1084,370,18,8,34,309,34,29
GCF_001022695.fna.gz,ecloacae,608,186,48,77,61,211,198,1
GCF_000235765.fna.gz,ecloacae,736,217,92,22,167,240,105,99
GCF_001525175.fna.gz,ecloacae,462,1,107,36,158,1,153,1
GCF_014930645.fna.gz,ecloacae,1099,252,18,8,337,314,30,30
GCF_014930715.fna.gz,ecloacae,421,42,4,4,15,4,39,9
GCF_014930775.fna.gz,ecloacae,1087,28,19,8,34,33,304,29
GCF_014982245.fna.gz,ecloacae,1082,210,18,142,42,310,34,199
GCF_014982425.fna.gz,ecloacae,1083,371,47,6,76,59,67,6
GCF_001472555.fna.gz,ecloacae,519,1,107,36,158,1,168,1
GCF_000496775.fna.gz,ecloacae,-,,,,,,,
GCF_001525285.fna.gz,ecloacae,609,225,126,1,158,198,1,1
GCF_014982315.fna.gz,ecloacae,1081,6,4,4,4,4,11,6
GCF_001052195.fna.gz,ecloacae,658,291,27,104,260,244,204,27
GCF_001472135.fna.gz,ecloacae,513,168,1,22,190,171,1,113
GCF_001472845.fna.gz,ecloacae,524,1,107,36,188,1,172,1
GCF_000564975.fna.gz,ecloacae,738,287,98,68,170,241,237,109
GCF_014930635.fna.gz,ecloacae,693,39,4,4,14,51,11,39
GCF_014930675.fna.gz,ecloacae,421,42,4,4,15,4,39,9
GCF_014930725.fna.gz,ecloacae,-,,,,,,,
GCF_014930795.fna.gz,ecloacae,1078,125,4,4,14,51,37,6
GCF_014982265.fna.gz,ecloacae,1082,210,18,142,42,310,34,199
GCF_015075755.fna.gz,ecloacae,614,44,21,12,19,201,45,32
GCF_001473135.fna.gz,ecloacae,456,180,44,1,61,149,152,1
GCF_001631365.fna.gz,ecloacae,1512,481,92,22,411,150,154,259
GCF_015138375.fna.gz,ecloacae,484,191,14,11,143,26,61,89
GCF_014930695.fna.gz,ecloacae,-,,,,,,,
GCF_014930745.fna.gz,ecloacae,-,,,,,,,
GCF_014982215.fna.gz,ecloacae,1084,370,18,8,34,309,34,29
GCF_014982345.fna.gz,ecloacae,1085,372,18,143,310,311,34,28
GCF_001562175.fna.gz,ecloacae,-,,202,,,,377,
GCF_001641445.fna.gz,ecloacae,-,,113,6,,308,358,55
GCF_002087055.fna.gz,ecloacae,1513,217,92,22,109,150,105,260
GCF_001022575.fna.gz,ecloacae,700,269,92,22,240,150,154,99
GCF_014930845.fna.gz,ecloacae,-,44,21,,19,201,45,32
GCF_014982105.fna.gz,ecloacae,923,6,4,4,15,51,270,6
GCF_014982145.fna.gz,ecloacae,1085,372,18,143,310,311,34,28
GCF_014982155.fna.gz,ecloacae,1100,15,200,11,39,312,46,201
GCF_014982165.fna.gz,ecloacae,-,374,201,,331,313,301,55
GCF_014982205.fna.gz,ecloacae,1084,370,18,8,34,309,34,29
GCF_014982275.fna.gz,ecloacae,1084,370,18,8,34,309,34,29
