Genome,Scheme,ST,RIRDC_est,RIRDC_mdh,RIRDC_pmi,RIRDC_zwf,RIRDC_pgi,RIRDC_gdh,RIRDC_adk
GCF_001931225.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002023945.fna.gz,pmultocida#1,204,11,4,5,6,7,5,2
GCF_002859245.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002859385.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002859505.fna.gz,pmultocida#1,-,11,4,40,10,8,7,
GCF_002859525.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_003268295.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001930285.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001930525.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002023905.fna.gz,pmultocida#1,204,11,4,5,6,7,5,2
GCF_001929525.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002083205.fna.gz,pmultocida#1,242,21,1,33,1,11,6,1
GCF_003402875.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_001930925.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001929785.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_000973525.fna.gz,pmultocida#1,-,,,,,,,
GCF_002750815.fna.gz,pmultocida#1,74,13,8,8,29,31,3,22
GCF_003402895.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_002023825.fna.gz,pmultocida#1,298,11,40,63,67,75,43,35
GCF_002859265.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002859405.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002930755.fna.gz,pmultocida#1,4,20,1,16,21,16,1,1
GCF_004286965.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_001929565.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002859285.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_003402915.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_001930605.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002900115.fna.gz,pmultocida#1,321,44,15,39,36,43,53,23
GCF_003402935.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_001929855.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001510775.fna.gz,pmultocida#1,128,4,4,3,38,30,2,3
GCF_001930965.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001931235.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001931265.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002023985.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_002083215.fna.gz,pmultocida#1,156,34,22,28,22,30,8,21
GCF_004287045.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001930305.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002750835.fna.gz,pmultocida#1,-,,,20,19,20,3,14
GCF_002859425.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002930775.fna.gz,pmultocida#1,4,20,1,16,21,16,1,1
GCF_004286975.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_001929595.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001930705.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002023925.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_002859305.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002859545.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_003061265.fna.gz,pmultocida#1,365,5,1,23,1,11,1,1
GCF_004327765.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001929905.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001931115.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002023935.fna.gz,pmultocida#1,74,13,8,8,29,31,3,22
GCF_001578435.fna.gz,pmultocida#1,201,33,17,26,2,35,20,21
GCF_002083265.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_003428945.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_002023835.fna.gz,pmultocida#1,204,11,4,5,6,7,5,2
GCF_001930385.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002750875.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_002891825.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002891845.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002893985.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_003061385.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_004336735.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_002750885.fna.gz,pmultocida#1,74,13,8,8,29,31,3,22
GCF_001930765.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002859325.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_004114645.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001857595.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_002393385.fna.gz,pmultocida#1,25,3,1,23,1,3,1,1
GCF_004286935.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_001931145.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001929985.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001929655.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001931455.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002023805.fna.gz,pmultocida#1,298,11,40,63,67,75,43,35
GCF_002024005.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_002024015.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_004792555.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_006232125.fna.gz,pmultocida#1,320,15,21,17,74,29,19,21
GCF_006351865.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_008693845.fna.gz,pmultocida#1,-,5,1,10,1,11,12,1
GCF_009901975.fna.gz,pmultocida#1,342,33,17,77,2,20,57,21
GCF_011390865.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_012271915.fna.gz,pmultocida#1,-,37,4,,17,17,2,23
GCF_013012025.fna.gz,pmultocida#1,-,13,8,,29,31,3,
GCF_013012895.fna.gz,pmultocida#1,-,13,8,,29,31,3,22
GCF_013013245.fna.gz,pmultocida#1,287,61,4,43,72,47,3,4
GCF_013013405.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_013013525.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_013013645.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_014058585.fna.gz,pmultocida#1,349,13,8,38,29,31,7,22
GCF_014338465.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_015354685.fna.gz,pmultocida#1,321,44,15,39,36,43,53,23
GCF_016458265.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_019134675.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_900478175.fna.gz,pmultocida#1,130,33,24,26,4,42,20,21
GCF_004792595.fna.gz,pmultocida#1,342,33,17,77,2,20,57,21
GCF_006274235.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_010443215.fna.gz,pmultocida#1,-,,4,48,35,54,,4
GCF_012126375.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_012928515.fna.gz,pmultocida#1,235,72,11,28,63,68,3,4
GCF_012952185.fna.gz,pmultocida#1,-,,14,6,21,5,2,4
GCF_013012805.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_013012905.fna.gz,pmultocida#1,74,13,8,8,29,31,3,22
GCF_013013065.fna.gz,pmultocida#1,74,13,8,8,29,31,3,22
GCF_013013355.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_013013475.fna.gz,pmultocida#1,-,,,20,19,20,3,14
GCF_013013585.fna.gz,pmultocida#1,-,10,8,,19,20,3,14
GCF_014058465.fna.gz,pmultocida#1,349,13,8,38,29,31,7,22
GCF_014058665.fna.gz,pmultocida#1,349,13,8,38,29,31,7,22
GCF_015354645.fna.gz,pmultocida#1,321,44,15,39,36,43,53,23
GCF_015546705.fna.gz,pmultocida#1,288,6,4,12,17,8,25,22
GCF_018139065.fna.gz,pmultocida#1,-,33,17,26,2,20,,21
GCF_900454645.fna.gz,pmultocida#1,11,9,7,7,8,9,3,2
GCF_900638665.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_004792615.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_009646155.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_011149495.fna.gz,pmultocida#1,67,42,1,10,1,16,1,1
GCF_012271895.fna.gz,pmultocida#1,-,37,4,,17,17,2,23
GCF_012952165.fna.gz,pmultocida#1,8,5,5,2,5,5,3,4
GCF_012952205.fna.gz,pmultocida#1,-,5,5,2,5,,3,4
GCF_013012825.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_013012945.fna.gz,pmultocida#1,74,13,8,8,29,31,3,22
GCF_013013075.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_013013175.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_013013205.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_013013225.fna.gz,pmultocida#1,74,13,8,8,29,31,3,22
GCF_013013305.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_013013425.fna.gz,pmultocida#1,287,61,4,43,72,47,3,4
GCF_013013535.fna.gz,pmultocida#1,-,,8,20,19,20,3,14
GCF_013013655.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_014058605.fna.gz,pmultocida#1,349,13,8,38,29,31,7,22
GCF_014495805.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_015354715.fna.gz,pmultocida#1,321,44,15,39,36,43,53,23
GCF_016820295.fna.gz,pmultocida#1,-,65,31,,54,65,,42
GCF_900115485.fna.gz,pmultocida#1,65,10,4,31,11,10,8,8
GCF_900636625.fna.gz,pmultocida#1,65,10,4,31,11,10,8,8
GCF_004792575.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_009663815.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_012952225.fna.gz,pmultocida#1,8,5,5,2,5,5,3,4
GCF_013012845.fna.gz,pmultocida#1,7,6,6,4,4,6,4,2
GCF_013012965.fna.gz,pmultocida#1,27,13,8,8,30,31,3,22
GCF_013013315.fna.gz,pmultocida#1,-,10,8,,43,20,3,14
GCF_013013435.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_013013545.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_013013675.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_014058625.fna.gz,pmultocida#1,349,13,8,38,29,31,7,22
GCF_015070975.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_015546645.fna.gz,pmultocida#1,288,6,4,12,17,8,25,22
GCF_016916875.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_900187275.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_900638095.fna.gz,pmultocida#1,-,,,,,,,
GCF_004792635.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_009739555.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_013012855.fna.gz,pmultocida#1,74,13,8,8,29,31,3,22
GCF_013012975.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_013013025.fna.gz,pmultocida#1,-,11,4,,10,8,7,7
GCF_013013085.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_013013135.fna.gz,pmultocida#1,-,11,4,,10,,7,7
GCF_013013215.fna.gz,pmultocida#1,74,13,8,8,29,31,3,22
GCF_013013235.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_013013365.fna.gz,pmultocida#1,-,10,8,,19,20,3,14
GCF_013013505.fna.gz,pmultocida#1,287,61,4,43,72,47,3,4
GCF_013013625.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_014058485.fna.gz,pmultocida#1,349,13,8,38,29,31,7,22
GCF_014338445.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_015354675.fna.gz,pmultocida#1,321,44,15,39,36,43,53,23
GCF_016313205.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_018162435.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_900454845.fna.gz,pmultocida#1,15,5,1,10,1,11,1,1
GCF_006232065.fna.gz,pmultocida#1,-,15,19,,28,29,21,27
GCF_009739575.fna.gz,pmultocida#1,7,6,6,4,4,6,4,2
GCF_013012885.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_013012985.fna.gz,pmultocida#1,74,13,8,8,29,31,3,22
GCF_013013045.fna.gz,pmultocida#1,74,13,8,8,29,31,3,22
GCF_013013125.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_013013165.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_013013345.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_013013455.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_013013565.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_013013685.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_014058645.fna.gz,pmultocida#1,349,13,8,38,29,31,7,22
GCF_015354635.fna.gz,pmultocida#1,321,44,15,39,36,43,53,23
GCF_015546695.fna.gz,pmultocida#1,222,68,3,62,19,67,38,43
GCF_017815735.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_900454565.fna.gz,pmultocida#1,54,27,1,23,1,24,1,16
GCF_900638315.fna.gz,pmultocida#1,-,5,1,23,,16,6,1
GCF_001027805.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001029495.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001662525.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_001027815.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001064415.fna.gz,pmultocida#1,-,,,,,,,
GCF_001670455.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_001027685.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001027825.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001663095.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_001670425.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_001670535.fna.gz,pmultocida#1,159,4,4,3,44,4,2,25
GCF_001028205.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001027695.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001670435.fna.gz,pmultocida#1,60,24,11,25,25,21,2,4
GCF_001670525.fna.gz,pmultocida#1,53,26,13,2,22,23,2,15
GCF_001028225.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001027735.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001670445.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_001027755.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001028245.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_001661585.fna.gz,pmultocida#1,129,33,17,26,2,20,20,21
GCF_001670545.fna.gz,pmultocida#1,156,34,22,28,22,30,8,21
GCF_002024045.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_001670555.fna.gz,pmultocida#1,27,13,8,8,30,31,3,22
GCF_001721885.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_002024065.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_002024085.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_001670775.fna.gz,pmultocida#1,8,5,5,2,5,5,3,4
GCF_001874445.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_002059225.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_002073255.fna.gz,pmultocida#1,8,5,5,2,5,5,3,4
GCF_000006825.fna.gz,pmultocida#1,9,7,4,5,6,7,5,2
GCF_000234745.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_000255915.fna.gz,pmultocida#1,50,10,8,20,19,20,3,14
GCF_000259545.fna.gz,pmultocida#1,74,13,8,8,29,31,3,22
GCF_000296345.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_000298655.fna.gz,pmultocida#1,60,24,11,25,25,21,2,4
GCF_000298675.fna.gz,pmultocida#1,8,5,5,2,5,5,3,4
GCF_000409915.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_000412015.fna.gz,pmultocida#1,80,11,4,40,10,8,7,7
GCF_000412035.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_000412075.fna.gz,pmultocida#1,349,13,8,38,29,31,7,22
GCF_000412105.fna.gz,pmultocida#1,339,7,4,5,6,7,5,16
GCF_000412125.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_000413135.fna.gz,pmultocida#1,80,11,4,40,10,8,7,7
GCF_000469095.fna.gz,pmultocida#1,-,,,21,17,17,2,23
GCF_000478235.fna.gz,pmultocida#1,79,11,4,9,10,8,7,26
GCF_000512395.fna.gz,pmultocida#1,13,11,4,9,10,8,7,7
GCF_000731735.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
GCF_000973565.fna.gz,pmultocida#1,31,19,5,12,18,17,13,6
GCF_001027665.fna.gz,pmultocida#1,122,37,4,21,17,17,2,23
