Genome,Scheme,ST,yphC,trpC,efp,ppa,mutY,ureI,atpA
GCF_002026585.fna.gz,hpylori,3520,1291,2886,2390,2665,2826,2885,2789
GCF_001189685.fna.gz,hpylori,-,,,,,,,1328
GCF_002357455.fna.gz,hpylori,-,,2534,,2292,,,
GCF_002357595.fna.gz,hpylori,-,,,,943,,,
GCF_002832605.fna.gz,hpylori,-,,,,337,,,1643
GCF_002906495.fna.gz,hpylori,181,181,181,181,181,181,181,181
GCF_003058805.fna.gz,hpylori,-,,,,,,,
GCF_003058925.fna.gz,hpylori,-,,,2033,,,,223
GCF_002831835.fna.gz,hpylori,-,,,,1031,,,
GCF_001653455.fna.gz,hpylori,1909,1050,1050,1000,1021,1033,1060,1039
GCF_003059565.fna.gz,hpylori,-,,2122,,,,,
GCF_003059615.fna.gz,hpylori,-,,,,,,,
GCF_002533845.fna.gz,hpylori,3097,2730,2701,2463,2503,2645,426,2625
GCF_002533065.fna.gz,hpylori,3143,2766,2737,247,2532,2677,251,2655
GCF_000008525.fna.gz,hpylori,181,181,181,181,181,181,181,181
GCF_000688975.fna.gz,hpylori,-,204,204,204,204,204,204,
GCF_000689095.fna.gz,hpylori,-,204,204,204,204,204,204,
GCF_002012615.fna.gz,hpylori,3131,2756,422,1448,419,2671,2738,2645
GCF_002026675.fna.gz,hpylori,3536,2941,2902,2624,2680,2841,2899,2804
GCF_002026755.fna.gz,hpylori,3541,2949,2906,2628,2684,1504,2903,2808
GCF_001653475.fna.gz,hpylori,1161,1267,1257,1194,1212,1240,1277,1253
GCF_002533905.fna.gz,hpylori,3092,2724,2697,2449,2497,732,2709,2620
GCF_002534005.fna.gz,hpylori,3077,2713,2684,2453,2487,2630,2697,2611
GCF_002906555.fna.gz,hpylori,181,181,181,181,181,181,181,181
GCF_002952415.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_003059925.fna.gz,hpylori,-,,,,,,,
GCF_003060085.fna.gz,hpylori,-,,,,,,,
GCF_002831915.fna.gz,hpylori,-,,,,1031,,,
GCF_002357615.fna.gz,hpylori,-,2414,2977,,,,2547,
GCF_001189695.fna.gz,hpylori,-,,,,365,,,
GCF_003058945.fna.gz,hpylori,-,,,931,,,,
GCF_003059045.fna.gz,hpylori,-,,,,,,,
GCF_002533135.fna.gz,hpylori,3140,2764,2734,227,2529,2612,2745,2652
GCF_000688995.fna.gz,hpylori,-,204,204,204,204,204,204,
GCF_000689115.fna.gz,hpylori,-,204,204,204,204,204,204,
GCF_002012635.fna.gz,hpylori,3136,219,2731,2465,252,2675,2742,2649
GCF_002026705.fna.gz,hpylori,3537,2336,2903,2625,2681,2842,2900,2805
GCF_002026785.fna.gz,hpylori,3543,2951,2908,653,2686,2836,2905,2809
GCF_001901635.fna.gz,hpylori,-,,876,,,,,
GCF_002533915.fna.gz,hpylori,3091,2723,2696,430,722,2618,2708,423
GCF_002534055.fna.gz,hpylori,3052,2694,2666,2441,2470,2611,2676,2592
GCF_002951975.fna.gz,hpylori,-,2654,2628,626,,2567,,2558
GCF_002952435.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_003059965.fna.gz,hpylori,-,,,,,,,
GCF_003060165.fna.gz,hpylori,-,,,,,,,
GCF_002831975.fna.gz,hpylori,-,,,185,,,,184
GCF_002357655.fna.gz,hpylori,-,,,,,,461,
GCF_001189735.fna.gz,hpylori,-,,,,,,,1202
GCF_003058965.fna.gz,hpylori,-,,748,,,,,
GCF_003059065.fna.gz,hpylori,1233,752,747,717,723,733,756,734
GCF_002533145.fna.gz,hpylori,3138,2762,2732,2483,228,2627,2632,2650
GCF_000689015.fna.gz,hpylori,204,204,204,204,204,204,204,204
GCF_000689135.fna.gz,hpylori,-,204,204,204,204,204,204,
GCF_002012645.fna.gz,hpylori,3112,2726,2713,247,2516,2657,2722,247
GCF_002026725.fna.gz,hpylori,3538,2946,1546,217,219,2843,723,2806
GCF_002026805.fna.gz,hpylori,3545,2336,2894,2630,2688,2848,2907,2811
GCF_002533925.fna.gz,hpylori,3088,2721,2694,2459,1478,732,2706,2619
GCF_002534065.fna.gz,hpylori,3075,2703,2671,2448,721,2620,2685,2609
GCF_001939315.fna.gz,hpylori,-,,,,,37,,
GCF_002906535.fna.gz,hpylori,181,181,181,181,181,181,181,181
GCF_002952395.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_003059905.fna.gz,hpylori,-,,,,,,,
GCF_003060065.fna.gz,hpylori,-,,,,,,,
GCF_002831985.fna.gz,hpylori,-,,184,,184,,,
GCF_002357675.fna.gz,hpylori,-,,,2320,,,,
GCF_001189755.fna.gz,hpylori,-,,,,,,,
GCF_003058985.fna.gz,hpylori,-,,,,,2996,,
GCF_003059085.fna.gz,hpylori,-,732,727,,,713,737,
GCF_002533175.fna.gz,hpylori,3136,219,2731,2465,252,2675,2742,2649
GCF_002012655.fna.gz,hpylori,3133,2709,2728,2443,252,2672,2740,2597
GCF_000689035.fna.gz,hpylori,204,204,204,204,204,204,204,204
GCF_000709945.fna.gz,hpylori,-,,,,,,,
GCF_002026825.fna.gz,hpylori,3551,2957,1546,2635,2694,2852,2913,2816
GCF_001939585.fna.gz,hpylori,-,,,,,,,
GCF_002533975.fna.gz,hpylori,-,2709,2693,2769,228,2638,2705,2597
GCF_002534095.fna.gz,hpylori,3073,219,2682,2452,228,2628,2695,2608
GCF_002952175.fna.gz,hpylori,-,2654,2628,626,204,2567,,2558
GCF_002952455.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_003059985.fna.gz,hpylori,-,,,,,,,
GCF_003070765.fna.gz,hpylori,-,,,,,,,696
GCF_002831995.fna.gz,hpylori,-,184,1352,185,,188,,
GCF_002357695.fna.gz,hpylori,-,1242,2977,,49,1219,,
GCF_001189765.fna.gz,hpylori,-,,,,,,,
GCF_003058995.fna.gz,hpylori,-,,,,,,,
GCF_003059105.fna.gz,hpylori,-,,,,,,,
GCF_002533195.fna.gz,hpylori,3135,2760,2730,716,722,2674,2741,2648
GCF_002012685.fna.gz,hpylori,3138,2762,2732,2483,228,2627,2632,2650
GCF_000689055.fna.gz,hpylori,204,204,204,204,204,204,204,204
GCF_000730525.fna.gz,hpylori,3097,2730,2701,2463,2503,2645,426,2625
GCF_002026745.fna.gz,hpylori,3539,2947,2904,2626,2682,2844,2901,696
GCF_002026865.fna.gz,hpylori,3549,2955,2912,2633,2692,2851,2911,667
GCF_001939635.fna.gz,hpylori,-,,,,,,2991,
GCF_002533985.fna.gz,hpylori,3078,2714,2685,2454,2488,2612,2698,2612
GCF_002534105.fna.gz,hpylori,3072,219,2681,2451,2485,2627,2694,2607
GCF_002952195.fna.gz,hpylori,-,2654,2628,626,204,2567,,2558
GCF_002952475.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_003060025.fna.gz,hpylori,-,,,,,,,
GCF_003382505.fna.gz,hpylori,-,,,,,,,
GCF_002357715.fna.gz,hpylori,-,,,,,,,
GCF_002831925.fna.gz,hpylori,-,,,,,,,
GCF_002832025.fna.gz,hpylori,-,184,1352,,,,,
GCF_001189775.fna.gz,hpylori,-,,,2686,,,,
GCF_003059025.fna.gz,hpylori,-,,,,,,,
GCF_003059125.fna.gz,hpylori,-,,,2658,,,,
GCF_002533205.fna.gz,hpylori,3132,2757,2727,247,2515,2628,2739,2646
GCF_002012715.fna.gz,hpylori,3108,2738,2710,2470,2513,2653,2719,2632
GCF_000689075.fna.gz,hpylori,-,204,204,204,204,204,204,
GCF_000740095.fna.gz,hpylori,-,,,,,,,
GCF_002026835.fna.gz,hpylori,3519,2930,2885,2611,2664,2825,1296,2788
GCF_001940015.fna.gz,hpylori,-,,,,,,,
GCF_002533995.fna.gz,hpylori,3079,2715,2686,2455,2489,2631,2698,2613
GCF_002534135.fna.gz,hpylori,3071,219,2680,430,228,2621,2693,2606
GCF_002952275.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_002952495.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_003060035.fna.gz,hpylori,-,,,163,,,,
GCF_003382515.fna.gz,hpylori,-,,,,,,,
GCF_002357735.fna.gz,hpylori,-,2481,,,,1219,,
GCF_002831955.fna.gz,hpylori,-,,,,,,,
GCF_002832045.fna.gz,hpylori,-,,,,,,,
GCF_001189815.fna.gz,hpylori,-,,,,,,,
GCF_000008785.fna.gz,hpylori,199,199,199,199,199,199,199,199
GCF_003059245.fna.gz,hpylori,-,,,,,,,2361
GCF_002533225.fna.gz,hpylori,3133,2709,2728,2443,252,2672,2740,2597
GCF_002012725.fna.gz,hpylori,3097,2730,2701,2463,2503,2645,426,2625
GCF_000740115.fna.gz,hpylori,-,,,1772,,,,
GCF_000802505.fna.gz,hpylori,-,,,,,,,
GCF_002026985.fna.gz,hpylori,3542,2950,2907,2629,2685,2846,2904,1708
GCF_001940025.fna.gz,hpylori,-,,,,,,,
GCF_002534145.fna.gz,hpylori,3069,2710,2678,2447,2483,2626,2691,2597
GCF_002534245.fna.gz,hpylori,3058,219,1546,258,2475,2617,2682,2597
GCF_002952515.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_002952635.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_003635555.fna.gz,hpylori,1733,533,528,181,519,523,533,530
GCF_003635665.fna.gz,hpylori,-,,,349,,,347,
GCF_002357775.fna.gz,hpylori,-,,,,,,,
GCF_001189835.fna.gz,hpylori,-,,,,,,,
GCF_002832055.fna.gz,hpylori,-,,,,,,,
GCF_002832155.fna.gz,hpylori,-,,,,337,,,
GCF_003059225.fna.gz,hpylori,-,,,,,,,
GCF_003059335.fna.gz,hpylori,-,,,,,,,
GCF_002533235.fna.gz,hpylori,3134,2758,2729,2408,2504,2563,420,2547
GCF_002012745.fna.gz,hpylori,3139,2763,2733,268,219,2660,2744,2651
GCF_000766025.fna.gz,hpylori,3677,1538,1512,1389,2759,1489,1521,1492
GCF_000802525.fna.gz,hpylori,-,3224,,,,1258,,696
GCF_001940035.fna.gz,hpylori,-,,,,,,2991,
GCF_002026885.fna.gz,hpylori,3523,2933,2889,418,2668,2829,2887,2792
GCF_002027005.fna.gz,hpylori,3546,2953,2909,2631,2689,2849,2908,2812
GCF_002534175.fna.gz,hpylori,3066,2706,2675,2449,2481,732,2688,2601
GCF_002534295.fna.gz,hpylori,3056,2698,2669,2444,2473,2615,2680,2595
GCF_002952615.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_003050665.fna.gz,hpylori,3745,230,29,2735,31,29,29,29
GCF_003635615.fna.gz,hpylori,-,,,,,1195,,
GCF_002357795.fna.gz,hpylori,-,,,2184,,,,
GCF_002832075.fna.gz,hpylori,-,,,,1031,,,
GCF_002832175.fna.gz,hpylori,-,,,568,187,,,
GCF_001248015.fna.gz,hpylori,-,,,,,,,
GCF_003059145.fna.gz,hpylori,-,,3141,,,,,
GCF_003059265.fna.gz,hpylori,-,,,,,,,
GCF_002533275.fna.gz,hpylori,3131,2756,422,1448,419,2671,2738,2645
GCF_002012755.fna.gz,hpylori,3140,2764,2734,227,2529,2612,2745,2652
GCF_000766035.fna.gz,hpylori,-,,,,,,,
GCF_000802545.fna.gz,hpylori,-,,,,,2157,,3009
GCF_001940085.fna.gz,hpylori,-,,868,,,39,,
GCF_002026895.fna.gz,hpylori,3524,2934,2890,2614,2669,2830,2888,2793
GCF_002027025.fna.gz,hpylori,3525,2935,2891,2615,2670,2831,2889,2196
GCF_002952535.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_002952655.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_002534185.fna.gz,hpylori,3068,2709,2677,2443,226,2612,2690,2604
GCF_003382545.fna.gz,hpylori,-,,,,,,,
GCF_003635645.fna.gz,hpylori,-,,,283,,,,298
GCF_002357815.fna.gz,hpylori,-,,,,,,,
GCF_002832115.fna.gz,hpylori,-,,,,,,,
GCF_002832195.fna.gz,hpylori,-,,184,,184,188,184,
GCF_001248025.fna.gz,hpylori,-,,,,,,,
GCF_003059165.fna.gz,hpylori,-,,,,,,2054,
GCF_003059285.fna.gz,hpylori,-,,,,,,,
GCF_002533285.fna.gz,hpylori,3130,2744,2413,2480,2527,2662,2726,2644
GCF_002012795.fna.gz,hpylori,3120,2748,1521,2475,252,2665,2730,253
GCF_000802445.fna.gz,hpylori,-,,,,,,,
GCF_000802575.fna.gz,hpylori,-,,,,,,,
GCF_001940095.fna.gz,hpylori,-,,868,,,,,
GCF_002026925.fna.gz,hpylori,3526,2936,2892,2616,2671,2832,2474,2794
GCF_002027045.fna.gz,hpylori,3550,2956,2913,2634,2693,2836,2912,2815
GCF_002952555.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_002952675.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_002534215.fna.gz,hpylori,3065,2705,2674,227,2480,2623,2687,2593
GCF_003635545.fna.gz,hpylori,1883,541,537,529,527,531,541,538
GCF_003635655.fna.gz,hpylori,-,,,,,,,
GCF_002357835.fna.gz,hpylori,-,,,,502,,,
GCF_001248035.fna.gz,hpylori,-,,,,,,,
GCF_003059185.fna.gz,hpylori,-,,2189,,,,,
GCF_003059305.fna.gz,hpylori,-,,,,,,,
GCF_002832135.fna.gz,hpylori,-,,,,,,,
GCF_002533295.fna.gz,hpylori,3128,2755,2726,2479,2526,2669,2736,1835
GCF_002012805.fna.gz,hpylori,3111,2726,1549,247,2515,2656,2721,2635
GCF_000802455.fna.gz,hpylori,-,,,,,,,
GCF_000802605.fna.gz,hpylori,-,,,,,,,
GCF_001940115.fna.gz,hpylori,-,,,,,,,
GCF_002026935.fna.gz,hpylori,3528,2938,2894,2618,2673,2834,2891,2796
GCF_002027065.fna.gz,hpylori,3544,2952,2894,1703,2687,2847,2906,2810
GCF_002952575.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_002953555.fna.gz,hpylori,181,181,181,181,181,181,181,181
GCF_003635585.fna.gz,hpylori,625,524,519,514,512,516,522,521
GCF_003635705.fna.gz,hpylori,-,,,,,,,
GCF_002534225.fna.gz,hpylori,3064,219,2673,2443,2479,2622,2686,2597
GCF_002357855.fna.gz,hpylori,-,,457,,,,,
GCF_001248105.fna.gz,hpylori,-,,,,,,,
GCF_003059195.fna.gz,hpylori,-,,,,,,723,
GCF_003059325.fna.gz,hpylori,-,,,668,,,,
GCF_002832145.fna.gz,hpylori,-,,,,,,,
GCF_002533335.fna.gz,hpylori,3127,2754,1754,1448,2525,2621,2735,221
GCF_002012815.fna.gz,hpylori,3121,219,2720,2476,2522,2666,2571,2640
GCF_000802465.fna.gz,hpylori,-,,,,,,,
GCF_001940145.fna.gz,hpylori,-,,,,,,,
GCF_001940175.fna.gz,hpylori,-,1376,,,41,,,
GCF_002026955.fna.gz,hpylori,3540,2948,2905,2627,2683,2845,2902,2807
GCF_002027085.fna.gz,hpylori,3547,2954,2910,2632,2690,663,2909,2813
GCF_002952595.fna.gz,hpylori,3020,2654,2628,626,204,2567,2634,2558
GCF_002983705.fna.gz,hpylori,3496,199,199,199,199,2806,199,2762
GCF_003635595.fna.gz,hpylori,1258,530,524,519,517,520,528,526
GCF_003635715.fna.gz,hpylori,-,,,2630,321,2209,335,
GCF_002534235.fna.gz,hpylori,3052,2694,2666,2441,2470,2611,2676,2592
GCF_002532595.fna.gz,hpylori,-,2759,2413,2481,,2673,2704,2647
GCF_001275165.fna.gz,hpylori,-,,,,,,,
GCF_001278515.fna.gz,hpylori,-,,,2773,,3035,3068,
GCF_002832295.fna.gz,hpylori,-,,,,,,,
GCF_003059365.fna.gz,hpylori,-,,,,,,,
GCF_003635905.fna.gz,hpylori,-,,,,1551,,1699,
GCF_002012855.fna.gz,hpylori,3098,2651,2702,2408,2504,2563,2632,2597
GCF_000802625.fna.gz,hpylori,-,,,,,,,
GCF_001940185.fna.gz,hpylori,-,,,,,,,
GCF_001998045.fna.gz,hpylori,3508,2920,2879,2604,2660,2815,2877,2783
GCF_002027125.fna.gz,hpylori,3548,2939,2911,667,2691,2850,2910,2814
GCF_002191215.fna.gz,hpylori,2335,2109,2076,1919,1995,2041,2115,879
GCF_003058635.fna.gz,hpylori,-,,,,,,,
GCF_003635735.fna.gz,hpylori,-,,,,,,,
GCF_003635795.fna.gz,hpylori,-,870,,827,,,877,1202
GCF_003636105.fna.gz,hpylori,-,,,,,,,
GCF_002532685.fna.gz,hpylori,3057,2699,2670,2445,2474,2616,2681,2596
GCF_002534305.fna.gz,hpylori,3102,2730,2706,268,2508,1258,2715,223
GCF_002534435.fna.gz,hpylori,3089,2722,2695,2443,2495,2639,2707,2597
GCF_001278525.fna.gz,hpylori,-,,,2772,,3034,3067,
GCF_002832215.fna.gz,hpylori,-,,,,,,,
GCF_002832355.fna.gz,hpylori,-,,,,,,,
GCF_003059445.fna.gz,hpylori,-,,,,512,,,
GCF_003636035.fna.gz,hpylori,-,,,1564,,,,
GCF_002533355.fna.gz,hpylori,3125,2752,2724,714,2523,2667,2704,2547
GCF_002012875.fna.gz,hpylori,3124,2751,2723,2477,233,731,2733,2642
GCF_000802645.fna.gz,hpylori,-,,,2397,,264,2681,
GCF_001976105.fna.gz,hpylori,-,,,,,,,
GCF_001998125.fna.gz,hpylori,3498,2908,2866,2595,2649,2807,2869,2775
GCF_003058655.fna.gz,hpylori,-,,,89,,,,
GCF_003635765.fna.gz,hpylori,-,,,,,,,
GCF_003635825.fna.gz,hpylori,-,,,,,,,
GCF_003636145.fna.gz,hpylori,3259,2859,2823,2555,2609,2697,2824,2730
GCF_002093735.fna.gz,hpylori,3496,199,199,199,199,2806,199,2762
GCF_002532605.fna.gz,hpylori,3137,2761,430,2482,228,2612,2743,423
GCF_002532725.fna.gz,hpylori,3101,2732,2705,2464,2507,2647,2571,2627
GCF_002534325.fna.gz,hpylori,3111,2726,1549,247,2515,2656,2721,2635
GCF_002534455.fna.gz,hpylori,3086,2719,2691,2443,2494,2636,2703,2617
GCF_001278545.fna.gz,hpylori,-,1683,,1512,,1613,3069,
GCF_002832255.fna.gz,hpylori,-,,,,,,,
GCF_002832395.fna.gz,hpylori,-,,,,,,,
GCF_003059455.fna.gz,hpylori,-,,,181,,,,
GCF_003636065.fna.gz,hpylori,-,,,,1467,,,2676
GCF_002533365.fna.gz,hpylori,3126,2753,2725,2478,2524,2668,2734,2643
GCF_002012885.fna.gz,hpylori,3126,2753,2725,2478,2524,2668,2734,2643
GCF_000817025.fna.gz,hpylori,-,,,,,,,
GCF_001976125.fna.gz,hpylori,-,,,,,,,
GCF_001998165.fna.gz,hpylori,3500,2910,2867,2597,2651,226,2870,2776
GCF_003058685.fna.gz,hpylori,-,,,,724,,,
GCF_003636085.fna.gz,hpylori,-,,,,,,,
GCF_002532715.fna.gz,hpylori,3095,2728,430,2462,2501,2644,292,2624
GCF_002534315.fna.gz,hpylori,3513,2726,2709,2469,1478,2819,251,2631
GCF_002534445.fna.gz,hpylori,3079,2715,2686,2455,2489,2631,2698,2613
GCF_003635785.fna.gz,hpylori,-,,296,,1236,303,,305
GCF_003636095.fna.gz,hpylori,-,,,,,,,
GCF_002081955.fna.gz,hpylori,3496,199,199,199,199,2806,199,2762
GCF_002203985.fna.gz,hpylori,-,,,,,,,
GCF_002832325.fna.gz,hpylori,-,,,,318,,,
GCF_001420425.fna.gz,hpylori,-,,,1750,1896,,,
GCF_003059385.fna.gz,hpylori,-,,,,,,,
GCF_003635915.fna.gz,hpylori,-,,,1719,,,,
GCF_002533375.fna.gz,hpylori,3124,2751,2723,2477,233,731,2733,2642
GCF_002012915.fna.gz,hpylori,3123,2750,2722,2463,2493,421,2732,253
GCF_000826985.fna.gz,hpylori,181,181,181,181,181,181,181,181
GCF_003058585.fna.gz,hpylori,-,,,,724,,,
GCF_003635945.fna.gz,hpylori,-,,,,,,,
GCF_001991095.fna.gz,hpylori,-,,31,31,,31,31,31
GCF_002532615.fna.gz,hpylori,3129,2726,1546,247,1478,2670,2737,247
GCF_002532735.fna.gz,hpylori,3059,2700,224,2446,2476,2618,2683,2598
GCF_002534375.fna.gz,hpylori,3514,2925,2881,247,2500,2820,2712,247
GCF_002534495.fna.gz,hpylori,3076,2712,2683,1448,2486,2629,2696,2610
GCF_003635845.fna.gz,hpylori,-,,1652,,,1990,1772,115
GCF_003636155.fna.gz,hpylori,-,,1228,,,,,
GCF_002092915.fna.gz,hpylori,3496,199,199,199,199,2806,199,2762
GCF_002204015.fna.gz,hpylori,-,,,1293,,,,
GCF_002832345.fna.gz,hpylori,-,,,185,1167,,,184
GCF_001433515.fna.gz,hpylori,-,,,,,,,
GCF_003059405.fna.gz,hpylori,-,,,,,,,
GCF_003635965.fna.gz,hpylori,-,,,,,,,
GCF_002533415.fna.gz,hpylori,3123,2750,2722,2463,2493,421,2732,253
GCF_002012935.fna.gz,hpylori,3129,2726,1546,247,1478,2670,2737,247
GCF_000827025.fna.gz,hpylori,181,181,181,181,181,181,181,181
GCF_003058595.fna.gz,hpylori,-,,,92,,,,
GCF_003635975.fna.gz,hpylori,-,2775,,2533,,1514,,
GCF_001997965.fna.gz,hpylori,3504,2917,2875,2603,210,2812,211,2779
GCF_002532625.fna.gz,hpylori,-,219,2688,2443,226,,,
