Genome,Scheme,ST,gyrB,pryG,rpoB,dnaA,fusA,leuS,rplB
GCF_001054315.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001011625.fna.gz,kaerogenes,202,40,7,9,16,6,22,1
GCF_001472275.fna.gz,kaerogenes,189,1,1,2,8,3,18,1
GCF_001518675.fna.gz,kaerogenes,181,9,6,2,5,3,33,1
GCF_001006555.fna.gz,kaerogenes,-,10,3,2,,3,14,1
GCF_001011305.fna.gz,kaerogenes,169,1,3,2,30,5,13,1
GCF_001011375.fna.gz,kaerogenes,22,10,8,2,17,7,3,1
GCF_001571545.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_002184625.fna.gz,kaerogenes,136,3,3,2,32,2,18,1
GCF_001011475.fna.gz,kaerogenes,171,9,2,2,23,1,33,1
GCF_001518115.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001525245.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_000957485.fna.gz,kaerogenes,-,1,3,2,10,,29,1
GCF_001030125.fna.gz,kaerogenes,135,30,3,10,22,17,26,1
GCF_001030185.fna.gz,kaerogenes,190,16,3,2,23,1,14,1
GCF_001631895.fna.gz,kaerogenes,231,43,1,2,17,7,3,1
GCF_001939895.fna.gz,kaerogenes,-,1,3,,3,3,4,1
GCF_001631655.fna.gz,kaerogenes,182,7,3,2,12,1,25,1
GCF_001054405.fna.gz,kaerogenes,130,9,2,2,11,1,5,1
GCF_001011645.fna.gz,kaerogenes,176,1,3,2,19,3,4,1
GCF_001011335.fna.gz,kaerogenes,-,1,3,2,,3,5,1
GCF_001472415.fna.gz,kaerogenes,103,1,1,2,27,3,14,1
GCF_001631305.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001011175.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001011495.fna.gz,kaerogenes,-,3,7,9,29,,,1
GCF_001011545.fna.gz,kaerogenes,134,1,3,2,31,3,4,1
GCF_001593585.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_002185345.fna.gz,kaerogenes,-,5,,5,7,3,,
GCF_000957525.fna.gz,kaerogenes,181,9,6,2,5,3,33,1
GCF_001518125.fna.gz,kaerogenes,181,9,6,2,5,3,33,1
GCF_001974865.fna.gz,kaerogenes,-,1,8,,5,3,25,6
GCF_001030165.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001649605.fna.gz,kaerogenes,-,1,3,2,3,3,4,
GCF_001662695.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001631725.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001055555.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001011515.fna.gz,kaerogenes,-,37,7,9,16,6,22,1
GCF_001011355.fna.gz,kaerogenes,-,7,2,2,,2,25,2
GCF_001011185.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001011795.fna.gz,kaerogenes,-,,,9,,6,,
GCF_001011815.fna.gz,kaerogenes,-,1,3,,13,3,11,1
GCF_001472725.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_001631185.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_001631215.fna.gz,kaerogenes,-,1,2,2,1,17,26,1
GCF_002204605.fna.gz,kaerogenes,202,40,7,9,16,6,22,1
GCF_000957705.fna.gz,kaerogenes,-,4,4,11,6,2,7,1
GCF_001518435.fna.gz,kaerogenes,202,40,7,9,16,6,22,1
GCF_002152895.fna.gz,kaerogenes,151,9,3,2,5,3,5,1
GCF_000215745.fna.gz,kaerogenes,134,1,3,2,31,3,4,1
GCF_010598485.fna.gz,kaerogenes,15,1,3,8,13,3,11,1
GCF_001011915.fna.gz,kaerogenes,117,3,1,2,28,2,3,1
GCF_003057175.fna.gz,kaerogenes,209,11,4,11,6,2,7,3
GCF_003057255.fna.gz,kaerogenes,209,11,4,11,6,2,7,3
GCF_003227775.fna.gz,kaerogenes,116,1,2,2,30,5,14,1
GCF_003950545.fna.gz,kaerogenes,-,1,2,12,3,1,33,1
GCF_003951575.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003952145.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_009757245.fna.gz,kaerogenes,2,2,1,2,2,2,2,2
GCF_010591315.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_011006785.fna.gz,kaerogenes,212,2,3,21,3,1,3,14
GCF_001011205.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_000957715.fna.gz,kaerogenes,-,3,7,9,29,14,,1
GCF_002796425.fna.gz,kaerogenes,-,2,8,21,11,3,3,8
GCF_002849555.fna.gz,kaerogenes,-,4,3,2,,,14,1
GCF_002891215.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_002948835.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_003057225.fna.gz,kaerogenes,210,10,3,12,14,18,29,8
GCF_003225895.fna.gz,kaerogenes,-,11,4,3,6,,7,3
GCF_003400825.fna.gz,kaerogenes,135,30,3,10,22,17,26,1
GCF_003950595.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003951605.fna.gz,kaerogenes,-,2,3,,3,1,3,1
GCF_003952905.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_010509815.fna.gz,kaerogenes,143,16,3,2,23,1,18,1
GCF_010592765.fna.gz,kaerogenes,-,10,2,12,14,3,3,
GCF_011392705.fna.gz,kaerogenes,143,16,3,2,23,1,18,1
GCF_001011385.fna.gz,kaerogenes,168,22,2,2,14,3,3,1
GCF_010592485.fna.gz,kaerogenes,-,16,8,2,23,3,3,1
GCF_011006935.fna.gz,kaerogenes,211,3,3,22,3,3,3,1
GCF_001011195.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_002591115.fna.gz,kaerogenes,151,9,3,2,5,3,5,1
GCF_002796405.fna.gz,kaerogenes,150,16,3,2,23,3,14,1
GCF_002796525.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_002852865.fna.gz,kaerogenes,205,3,3,2,8,3,13,1
GCF_002863955.fna.gz,kaerogenes,-,9,3,2,5,3,3,1
GCF_002863975.fna.gz,kaerogenes,-,9,3,2,5,3,3,1
GCF_002918815.fna.gz,kaerogenes,197,24,3,2,8,3,13,1
GCF_003057155.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_003057195.fna.gz,kaerogenes,210,10,3,12,14,18,29,8
GCF_003057215.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003075515.fna.gz,kaerogenes,136,3,3,2,32,2,18,1
GCF_003227795.fna.gz,kaerogenes,116,1,2,2,30,5,14,1
GCF_003227835.fna.gz,kaerogenes,-,1,2,12,28,,3,1
GCF_003401085.fna.gz,kaerogenes,-,2,3,8,3,2,3,1
GCF_003401475.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_003546885.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_003950615.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003950635.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003951115.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003951175.fna.gz,kaerogenes,-,1,6,12,11,2,,1
GCF_003951245.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_003951535.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003951615.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003952055.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003952105.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_004127305.fna.gz,kaerogenes,-,2,3,8,3,3,3,1
GCF_006517605.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_008727695.fna.gz,kaerogenes,192,3,6,10,14,3,3,1
GCF_010591225.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_010598495.fna.gz,kaerogenes,-,1,1,2,30,5,14,1
GCF_003400515.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_003400785.fna.gz,kaerogenes,230,1,2,12,28,20,3,1
GCF_003401425.fna.gz,kaerogenes,-,20,2,2,23,1,,1
GCF_003425735.fna.gz,kaerogenes,238,3,1,2,25,3,14,2
GCF_003950575.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003951125.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003951185.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_003951635.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003952915.fna.gz,kaerogenes,207,6,1,2,8,1,24,1
GCF_007558675.fna.gz,kaerogenes,56,17,1,2,10,2,3,1
GCF_008364345.fna.gz,kaerogenes,-,1,2,8,24,3,11,1
GCF_010590725.fna.gz,kaerogenes,27,6,2,2,8,3,18,1
GCF_010597985.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_013166335.fna.gz,kaerogenes,135,30,3,10,22,17,26,1
GCF_006874725.fna.gz,kaerogenes,81,3,2,2,20,1,3,1
GCF_007558485.fna.gz,kaerogenes,56,17,1,2,10,2,3,1
GCF_010588245.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_010592775.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_011392925.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_003401285.fna.gz,kaerogenes,197,24,3,2,8,3,13,1
GCF_003951195.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_003952045.fna.gz,kaerogenes,237,25,3,2,24,2,4,1
GCF_007558665.fna.gz,kaerogenes,56,17,1,2,10,2,3,1
GCF_009732795.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_009732835.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_010591255.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_010598905.fna.gz,kaerogenes,-,,,9,,6,,
GCF_003952035.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_004127295.fna.gz,kaerogenes,-,2,3,8,3,3,3,1
GCF_007571405.fna.gz,kaerogenes,56,17,1,2,10,2,3,1
GCF_008693885.fna.gz,kaerogenes,134,1,3,2,31,3,4,1
GCF_010591065.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_010598245.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_013166345.fna.gz,kaerogenes,-,11,4,3,6,2,7,3
GCF_007558345.fna.gz,kaerogenes,56,17,1,2,10,2,3,1
GCF_007558625.fna.gz,kaerogenes,56,17,1,2,10,2,3,1
GCF_010589945.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_010597765.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_011604725.fna.gz,kaerogenes,189,1,1,2,8,3,18,1
GCF_003401315.fna.gz,kaerogenes,-,24,3,2,8,3,,1
GCF_003812185.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_003950535.fna.gz,kaerogenes,-,2,3,10,,3,,1
GCF_003951235.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_003952125.fna.gz,kaerogenes,-,1,3,,12,1,42,1
GCF_008931665.fna.gz,kaerogenes,9,6,3,6,8,3,3,1
GCF_009732815.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_009909445.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_010592605.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_011067245.fna.gz,kaerogenes,202,40,7,9,16,6,22,1
GCF_007632255.fna.gz,kaerogenes,56,17,1,2,10,2,3,1
GCF_008082115.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_010590305.fna.gz,kaerogenes,-,15,7,9,,14,15,1
GCF_010597785.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_013166315.fna.gz,kaerogenes,-,3,3,10,14,3,5,1
GCF_007558425.fna.gz,kaerogenes,56,17,1,2,10,2,3,1
GCF_007558645.fna.gz,kaerogenes,56,17,1,2,10,2,3,1
GCF_010590365.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_010597805.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_013166325.fna.gz,kaerogenes,135,30,3,10,22,17,26,1
GCF_000334515.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_013166415.fna.gz,kaerogenes,-,3,1,2,31,3,18,1
GCF_013166435.fna.gz,kaerogenes,-,3,3,,3,2,3,1
GCF_013166445.fna.gz,kaerogenes,-,11,4,3,6,2,7,3
GCF_013403435.fna.gz,kaerogenes,103,1,1,2,27,3,14,1
GCF_013727635.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_013925105.fna.gz,kaerogenes,141,11,4,11,6,2,41,3
GCF_014169215.fna.gz,kaerogenes,128,16,3,2,23,3,13,1
GCF_014235505.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_014235545.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_014333355.fna.gz,kaerogenes,-,2,8,21,11,3,3,8
GCF_014856475.fna.gz,kaerogenes,116,1,2,2,30,5,14,1
GCF_014856485.fna.gz,kaerogenes,116,1,2,2,30,5,14,1
GCF_014856495.fna.gz,kaerogenes,210,10,3,12,14,18,29,8
GCF_014901435.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_014901455.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_014901595.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_014901605.fna.gz,kaerogenes,-,4,,11,6,2,,1
GCF_014901995.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_014902045.fna.gz,kaerogenes,-,20,2,2,23,3,,1
GCF_014902465.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_014902735.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_014902765.fna.gz,kaerogenes,-,2,8,21,11,3,3,8
GCF_014902795.fna.gz,kaerogenes,-,1,2,2,12,2,3,1
GCF_014902855.fna.gz,kaerogenes,135,30,3,10,22,17,26,1
GCF_015679435.fna.gz,kaerogenes,-,6,1,2,8,3,3,1
GCF_015701185.fna.gz,kaerogenes,195,1,2,2,12,3,4,1
GCF_015701195.fna.gz,kaerogenes,195,1,2,2,12,3,4,1
GCF_015701235.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_015718665.fna.gz,kaerogenes,-,1,2,12,28,,3,1
GCF_016527315.fna.gz,kaerogenes,-,11,4,11,6,2,,1
GCF_016527875.fna.gz,kaerogenes,135,30,3,10,22,17,26,1
GCF_016529455.fna.gz,kaerogenes,209,11,4,11,6,2,7,3
GCF_016554165.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_016643805.fna.gz,kaerogenes,234,16,2,2,23,1,14,1
GCF_016643825.fna.gz,kaerogenes,-,1,2,12,28,,3,1
GCF_016644025.fna.gz,kaerogenes,-,13,4,4,6,2,7,13
GCF_016644035.fna.gz,kaerogenes,142,1,8,8,24,3,42,1
GCF_016939495.fna.gz,kaerogenes,-,6,3,2,14,3,14,1
GCF_017742775.fna.gz,kaerogenes,20,6,3,10,8,1,3,2
GCF_018069155.fna.gz,kaerogenes,-,1,2,12,28,,3,1
GCF_018278705.fna.gz,kaerogenes,-,2,2,2,14,3,33,1
GCF_018420135.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_018420295.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_018420355.fna.gz,kaerogenes,230,1,2,12,28,20,3,1
GCF_018420415.fna.gz,kaerogenes,-,1,8,,5,3,25,1
GCF_018420895.fna.gz,kaerogenes,234,16,2,2,23,1,14,1
GCF_018420935.fna.gz,kaerogenes,92,6,3,2,8,1,18,1
GCF_018420955.fna.gz,kaerogenes,-,9,6,6,5,2,5,
GCF_018420975.fna.gz,kaerogenes,-,9,2,2,2,3,18,1
GCF_018421075.fna.gz,kaerogenes,-,9,6,6,5,2,5,
GCF_018421225.fna.gz,kaerogenes,-,9,2,2,2,3,18,1
GCF_018421335.fna.gz,kaerogenes,-,9,2,2,2,3,18,1
GCF_018421675.fna.gz,kaerogenes,-,5,,5,,3,30,
GCF_018421795.fna.gz,kaerogenes,-,1,1,2,,3,5,
GCF_018422045.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_018422565.fna.gz,kaerogenes,-,11,4,11,6,2,,3
GCF_018422575.fna.gz,kaerogenes,-,3,8,10,10,3,25,1
GCF_018422885.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_018422935.fna.gz,kaerogenes,-,,2,2,2,2,3,1
GCF_018439425.fna.gz,kaerogenes,-,2,,2,10,2,29,1
GCF_018441025.fna.gz,kaerogenes,206,2,2,2,3,3,9,1
GCF_018443245.fna.gz,kaerogenes,135,30,3,10,22,17,26,1
GCF_018445415.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_018445685.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_018445765.fna.gz,kaerogenes,-,6,2,2,14,3,27,1
GCF_018445795.fna.gz,kaerogenes,103,1,1,2,27,3,14,1
GCF_018445865.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_018445905.fna.gz,kaerogenes,34,10,3,2,17,7,3,1
GCF_018445925.fna.gz,kaerogenes,-,5,5,,7,3,,1
GCF_018446235.fna.gz,kaerogenes,-,,3,10,3,3,18,1
GCF_018446415.fna.gz,kaerogenes,-,6,2,2,14,3,27,1
GCF_018446755.fna.gz,kaerogenes,235,1,2,2,8,3,3,1
GCF_018446775.fna.gz,kaerogenes,-,3,2,2,10,2,14,1
GCF_018446975.fna.gz,kaerogenes,135,30,3,10,22,17,26,1
GCF_018447155.fna.gz,kaerogenes,-,6,3,2,28,1,18,1
GCF_018447335.fna.gz,kaerogenes,-,2,,2,10,2,29,1
GCF_018447575.fna.gz,kaerogenes,210,10,3,12,14,18,29,8
GCF_018447655.fna.gz,kaerogenes,-,44,7,9,37,6,15,1
GCF_019047925.fna.gz,kaerogenes,135,30,3,10,22,17,26,1
GCF_019048125.fna.gz,kaerogenes,134,1,3,2,31,3,4,1
GCF_019048885.fna.gz,kaerogenes,176,1,3,2,19,3,4,1
GCF_019104165.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_019166045.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_019166205.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_900075225.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_900077035.fna.gz,kaerogenes,137,11,4,11,6,2,21,3
GCF_900119335.fna.gz,kaerogenes,187,10,3,2,14,3,13,8
GCF_900558035.fna.gz,kaerogenes,234,16,2,2,23,1,14,1
GCF_900558125.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_900558485.fna.gz,kaerogenes,-,1,2,2,24,5,14,1
GCF_900636315.fna.gz,kaerogenes,-,,,,,,,
GCF_900637945.fna.gz,kaerogenes,-,6,3,2,14,15,3,2
GCF_902161715.fna.gz,kaerogenes,188,1,3,12,30,1,18,1
GCF_902161755.fna.gz,kaerogenes,188,1,3,12,30,1,18,1
GCF_902162655.fna.gz,kaerogenes,135,30,3,10,22,17,26,1
GCF_902164615.fna.gz,kaerogenes,-,20,3,,23,3,33,1
GCF_902165035.fna.gz,kaerogenes,141,11,4,11,6,2,41,3
GCF_902165235.fna.gz,kaerogenes,-,9,3,2,31,2,3,2
GCF_902165325.fna.gz,kaerogenes,-,9,3,2,31,2,3,2
GCF_902387745.fna.gz,kaerogenes,133,29,3,2,5,3,29,1
GCF_904863085.fna.gz,kaerogenes,-,11,4,3,6,8,7,1
GCF_000383335.fna.gz,kaerogenes,116,1,2,2,30,5,14,1
GCF_000534075.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_000534095.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_000534115.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_000534135.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_000534235.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_000534255.fna.gz,kaerogenes,4,1,3,2,3,3,4,1
GCF_000534315.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_000534335.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_000692155.fna.gz,kaerogenes,69,1,3,10,3,10,25,1
GCF_000692175.fna.gz,kaerogenes,128,16,3,2,23,3,13,1
GCF_000692195.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_000692215.fna.gz,kaerogenes,93,2,3,10,3,3,18,1
GCF_000755545.fna.gz,kaerogenes,34,10,3,2,17,7,3,1
