Genome,Scheme,ST,rpoD,rpoB,recA,ileS,ppsA,gyrB,nuoC,argS
GCF_002906815.fna.gz,pputida,-,,3,,14,,62,59,51
GCF_014062205.fna.gz,pputida,12,52,20,55,52,51,11,31,8
GCF_001306495.fna.gz,pputida,17,29,7,33,20,20,24,15,11
GCF_002165665.fna.gz,pputida,-,,1,74,91,2,60,57,49
GCF_002810225.fna.gz,pputida,-,,1,8,,2,60,57,
GCF_002906835.fna.gz,pputida,-,,21,23,82,39,39,19,33
GCF_014076515.fna.gz,pputida,-,,1,,88,2,60,57,49
GCF_000800615.fna.gz,pputida,-,71,27,,64,65,,,
GCF_000987155.fna.gz,pputida,-,26,7,39,25,26,23,,35
GCF_001005285.fna.gz,pputida,119,45,16,30,40,49,76,71,30
GCF_001908395.fna.gz,pputida,-,,7,,,,,,
GCF_014162535.fna.gz,pputida,-,,24,,,,,,
GCF_001886975.fna.gz,pputida,70,14,4,14,15,11,48,48,39
GCF_001645635.fna.gz,pputida,-,34,13,59,48,35,2,24,5
GCF_001542955.fna.gz,pputida,-,,10,21,,,16,65,
GCF_001077495.fna.gz,pputida,69,1,1,1,3,1,44,45,37
GCF_002891885.fna.gz,pputida,-,87,1,79,88,2,60,57,50
GCF_003053385.fna.gz,pputida,-,,1,,88,,,,
GCF_003263425.fna.gz,pputida,-,,8,32,24,,22,,10
GCF_003350225.fna.gz,pputida,-,92,,21,102,18,71,62,60
GCF_003671955.fna.gz,pputida,-,7,1,,,4,,,49
GCF_014217705.fna.gz,pputida,-,,1,,,80,,57,47
GCF_002906855.fna.gz,pputida,-,,21,23,82,39,39,19,33
GCF_003721325.fna.gz,pputida,70,14,4,14,15,11,48,48,39
GCF_004614175.fna.gz,pputida,-,,3,75,,,62,59,
GCF_005930545.fna.gz,pputida,-,,12,,,,,,
GCF_014169055.fna.gz,pputida,-,,24,,,,,,
GCF_004345845.fna.gz,pputida,-,25,12,,,,,,
GCF_009012945.fna.gz,pputida,-,14,4,14,15,,48,48,39
GCF_013337395.fna.gz,pputida,-,21,10,,,,,62,3
GCF_007049805.fna.gz,pputida,-,7,1,82,,3,60,57,
GCF_009905395.fna.gz,pputida,-,6,1,,,,,4,
GCF_013305625.fna.gz,pputida,78,6,1,8,12,2,60,4,48
GCF_013336785.fna.gz,pputida,-,21,10,,,,,62,3
GCF_013337275.fna.gz,pputida,-,21,10,,,,,62,3
GCF_013337355.fna.gz,pputida,-,21,10,,,,,62,3
GCF_014726755.fna.gz,pputida,12,52,20,55,52,51,11,31,8
GCF_003053335.fna.gz,pputida,-,83,1,9,,,47,57,49
GCF_003228315.fna.gz,pputida,-,,,,,,,,
GCF_003550095.fna.gz,pputida,-,46,17,31,,,,,30
GCF_003586135.fna.gz,pputida,-,2,1,4,7,8,12,3,70
GCF_003721355.fna.gz,pputida,-,31,7,76,105,,74,70,62
GCF_003752325.fna.gz,pputida,-,,28,,,66,,,
GCF_005080685.fna.gz,pputida,-,,,,,,,,
GCF_005930605.fna.gz,pputida,-,,12,,,,,,
GCF_009078365.fna.gz,pputida,-,,,,84,,,,
GCF_013337415.fna.gz,pputida,-,21,10,,,,,62,3
GCF_004357765.fna.gz,pputida,-,,,,,,,,
GCF_007279645.fna.gz,pputida,-,,1,9,88,,,57,49
GCF_009938035.fna.gz,pputida,-,76,5,,,28,19,13,21
GCF_011750655.fna.gz,pputida,69,1,1,1,3,1,44,45,37
GCF_013314935.fna.gz,pputida,-,,17,,,50,,,30
GCF_013337265.fna.gz,pputida,-,21,10,,,,,62,3
GCF_013337325.fna.gz,pputida,-,21,10,,,,,62,3
GCF_013337345.fna.gz,pputida,-,21,10,,,,,62,3
GCF_013376655.fna.gz,pputida,-,,1,,,,,,
GCF_014764425.fna.gz,pputida,-,24,12,,85,75,56,8,16
GCF_014841805.fna.gz,pputida,-,,,,,,,,
GCF_014854555.fna.gz,pputida,-,38,13,59,49,,,23,4
GCF_015680425.fna.gz,pputida,-,,14,,,,,,
GCF_015680435.fna.gz,pputida,-,,14,,,,,,
GCF_015680445.fna.gz,pputida,-,,14,,,,,,
GCF_015680455.fna.gz,pputida,-,26,7,,,,,17,
GCF_015680505.fna.gz,pputida,-,,,,,,,,
GCF_015680515.fna.gz,pputida,-,,14,,,,,,
GCF_015680535.fna.gz,pputida,-,,7,,,,,,
GCF_015680565.fna.gz,pputida,-,26,7,,,,,17,
GCF_015680575.fna.gz,pputida,-,,7,,,,,,
GCF_015680605.fna.gz,pputida,-,26,7,,,,,,35
GCF_016008995.fna.gz,pputida,-,92,10,21,102,18,16,62,3
GCF_016009055.fna.gz,pputida,-,96,10,21,,,,65,
GCF_016009185.fna.gz,pputida,-,79,21,,86,77,58,55,17
GCF_016009195.fna.gz,pputida,72,78,10,21,30,76,57,54,46
GCF_016009285.fna.gz,pputida,-,24,12,,85,75,56,8,16
GCF_016009325.fna.gz,pputida,-,77,35,,84,74,55,53,45
GCF_016009385.fna.gz,pputida,-,24,12,,33,72,54,8,16
GCF_016337175.fna.gz,pputida,-,,14,,,,,,
GCF_016337225.fna.gz,pputida,-,5,1,,,,,4,49
GCF_016337245.fna.gz,pputida,-,52,20,,,51,,,
GCF_016337255.fna.gz,pputida,-,52,20,,,51,,,
GCF_016337265.fna.gz,pputida,-,,,,,,,,
GCF_016406145.fna.gz,pputida,-,48,18,29,42,48,,49,41
GCF_017315385.fna.gz,pputida,-,,,,,,,,
GCF_017875105.fna.gz,pputida,-,24,12,,33,13,10,7,16
GCF_018141045.fna.gz,pputida,-,81,1,,88,2,60,57,47
GCF_019038355.fna.gz,pputida,-,106,46,104,122,,90,84,71
GCF_900095365.fna.gz,pputida,-,6,1,,8,5,14,4,31
GCF_900104105.fna.gz,pputida,-,74,32,,79,69,40,43,34
GCF_900156185.fna.gz,pputida,87,2,1,4,6,9,12,3,12
GCF_900167985.fna.gz,pputida,69,1,1,1,3,1,44,45,37
GCF_900455605.fna.gz,pputida,-,35,13,57,,33,,,4
GCF_900455645.fna.gz,pputida,2,21,10,20,29,17,15,5,3
GCF_900455695.fna.gz,pputida,-,,17,31,,,,,30
GCF_900636645.fna.gz,pputida,69,1,1,1,3,1,44,45,37
GCF_901482375.fna.gz,pputida,-,1,1,,3,1,44,45,37
GCF_000007565.fna.gz,pputida,69,1,1,1,3,1,44,45,37
GCF_000016865.fna.gz,pputida,43,6,1,12,8,4,14,4,31
GCF_000019125.fna.gz,pputida,-,14,4,14,15,11,48,46,39
GCF_000019445.fna.gz,pputida,64,48,18,29,42,48,50,49,41
GCF_000183645.fna.gz,pputida,-,2,1,5,7,8,46,60,70
GCF_000219705.fna.gz,pputida,-,31,7,34,21,22,51,50,42
GCF_000226035.fna.gz,pputida,-,9,1,11,9,3,13,57,13
GCF_000226475.fna.gz,pputida,-,4,1,3,5,7,,,37
GCF_000264665.fna.gz,pputida,-,6,1,12,8,5,14,4,38
GCF_000271965.fna.gz,pputida,-,6,1,12,8,5,14,4,38
GCF_000281215.fna.gz,pputida,-,8,1,7,10,4,47,4,49
GCF_000285395.fna.gz,pputida,-,16,5,41,17,28,19,13,22
GCF_000287915.fna.gz,pputida,-,2,1,4,6,8,45,3,12
GCF_000294445.fna.gz,pputida,-,6,1,8,12,2,60,57,
GCF_000319305.fna.gz,pputida,-,,,,,64,,,
GCF_000325725.fna.gz,pputida,15,28,7,33,20,20,24,15,11
GCF_000367825.fna.gz,pputida,-,7,1,9,13,2,60,57,49
GCF_000390005.fna.gz,pputida,-,12,3,13,14,10,88,59,
GCF_000410575.fna.gz,pputida,-,23,12,17,33,15,10,9,14
GCF_000411615.fna.gz,pputida,-,66,24,60,62,54,,,
GCF_000412675.fna.gz,pputida,2,21,10,20,29,17,15,5,3
GCF_000495455.fna.gz,pputida,-,2,1,4,6,8,45,3,12
GCF_000497385.fna.gz,pputida,-,56,14,62,76,55,,,
GCF_000498395.fna.gz,pputida,63,25,12,15,28,12,49,47,40
GCF_000507325.fna.gz,pputida,-,23,12,17,33,15,10,9,14
GCF_000691565.fna.gz,pputida,65,31,7,34,21,23,51,50,42
GCF_000710785.fna.gz,pputida,4,34,13,59,48,34,2,24,5
GCF_000729805.fna.gz,pputida,-,73,31,,77,68,,,
