Genome,Scheme,ST,gyrB,metE,mdh,pntA,adk,purM,pyrC
GCF_001857435.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001253695.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098935.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002099015.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788795.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000736795.fna.gz,vcholerae,756,127,50,14,31,26,14,45
GCF_002098305.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098365.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001259475.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076255.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_002076455.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002284075.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_002284205.fna.gz,vcholerae,-,44,,109,3,,1,331
GCF_001402445.fna.gz,vcholerae,749,1,130,14,6,14,9,39
GCF_002078815.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002097755.fna.gz,vcholerae,1346,5,31,25,36,17,10,29
GCF_001248505.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001857265.fna.gz,vcholerae,742,15,15,126,24,112,5,14
GCF_001857355.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_001254055.fna.gz,vcholerae,-,11,37,4,12,,1,20
GCF_000788815.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098955.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002099035.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000736845.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098335.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098435.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076265.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002284095.fna.gz,vcholerae,335,81,43,14,99,14,71,132
GCF_002284155.fna.gz,vcholerae,768,81,285,14,161,73,101,211
GCF_001259495.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_002078825.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002097765.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001402535.fna.gz,vcholerae,749,1,130,14,6,14,9,39
GCF_001857285.fna.gz,vcholerae,-,5,,89,66,73,73,137
GCF_001857365.fna.gz,vcholerae,3,15,15,19,24,1,5,14
GCF_001248645.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788835.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000736855.fna.gz,vcholerae,-,5,162,14,29,26,14,
GCF_002284115.fna.gz,vcholerae,335,81,43,14,99,14,71,132
GCF_002284175.fna.gz,vcholerae,749,1,130,14,6,14,9,39
GCF_002076315.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001248905.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_002098345.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098415.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001259555.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_002098965.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002099055.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001402545.fna.gz,vcholerae,1396,1,4,4,29,1,17,231
GCF_001857305.fna.gz,vcholerae,731,15,15,126,24,1,5,14
GCF_001857405.fna.gz,vcholerae,48,5,54,14,28,26,14,45
GCF_001254095.fna.gz,vcholerae,-,5,,11,66,3,,137
GCF_002097735.fna.gz,vcholerae,766,129,284,131,160,2,1,167
GCF_002097815.fna.gz,vcholerae,1347,46,32,26,63,23,10,25
GCF_000788855.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000736865.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002284125.fna.gz,vcholerae,-,48,36,29,25,3,3,
GCF_002284235.fna.gz,vcholerae,769,5,47,29,22,14,1,212
GCF_002076415.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098355.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098425.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001249085.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001857325.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_001857425.fna.gz,vcholerae,738,5,50,14,28,26,14,45
GCF_001259635.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_002097745.fna.gz,vcholerae,733,1,66,14,39,19,1,45
GCF_002097825.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001402575.fna.gz,vcholerae,463,5,48,15,17,18,1,45
GCF_001254335.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000006745.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002114205.fna.gz,vcholerae,753,5,188,7,78,62,1,24
GCF_000788875.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002284245.fna.gz,vcholerae,750,1,130,14,6,14,8,39
GCF_002284365.fna.gz,vcholerae,463,5,48,15,17,18,1,45
GCF_002098525.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001249515.fna.gz,vcholerae,-,11,37,4,12,7,,20
GCF_001857455.fna.gz,vcholerae,1389,32,20,24,33,73,1,27
GCF_001858475.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001260295.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000736875.fna.gz,vcholerae,1010,5,50,3,30,2,45,45
GCF_002097905.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098005.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001402585.fna.gz,vcholerae,335,81,43,14,99,14,71,132
GCF_001254635.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076465.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076575.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002099115.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002194215.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788895.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002284255.fna.gz,vcholerae,1398,92,36,109,66,51,9,45
GCF_002284395.fna.gz,vcholerae,771,130,287,14,3,14,9,214
GCF_002098535.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001260335.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001857505.fna.gz,vcholerae,734,123,16,22,21,25,8,11
GCF_001858585.fna.gz,vcholerae,-,11,37,4,12,,1,20
GCF_000736925.fna.gz,vcholerae,74,12,37,14,12,7,1,36
GCF_002097845.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002097985.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001402595.fna.gz,vcholerae,749,1,130,14,6,14,9,39
GCF_001254655.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076475.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_002076585.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002099125.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002194235.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001249715.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002284265.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_002284415.fna.gz,vcholerae,750,1,130,14,6,14,8,39
GCF_000788915.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001259995.fna.gz,vcholerae,-,5,,89,66,73,73,137
GCF_001260995.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001858445.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001860285.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002097925.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098065.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001402605.fna.gz,vcholerae,463,5,48,15,17,18,1,45
GCF_002099095.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002194185.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001249795.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000736935.fna.gz,vcholerae,5,42,60,4,20,1,1,12
GCF_001254535.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_001255155.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076545.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076645.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002284355.fna.gz,vcholerae,1398,92,36,109,66,51,9,45
GCF_002284475.fna.gz,vcholerae,772,1,64,15,25,7,103,41
GCF_000788935.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001260175.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001261075.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001858455.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001860295.fna.gz,vcholerae,-,,37,4,12,7,1,20
GCF_002097975.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098075.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002194155.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001249995.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000736945.fna.gz,vcholerae,17,38,43,14,8,14,21,11
GCF_001402655.fna.gz,vcholerae,1396,1,4,4,29,1,17,231
GCF_001471585.fna.gz,vcholerae,-,29,18,14,10,15,1,22
GCF_001254675.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076485.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076615.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788955.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002284315.fna.gz,vcholerae,463,5,48,15,17,18,1,45
GCF_002284425.fna.gz,vcholerae,-,93,459,14,3,128,1,200
GCF_001260695.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001857515.fna.gz,vcholerae,1351,5,22,3,31,24,18,45
GCF_001860225.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002097915.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098055.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098495.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098555.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002194165.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001250235.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000737005.fna.gz,vcholerae,42,5,16,22,21,25,8,11
GCF_001411585.fna.gz,vcholerae,335,81,43,14,99,14,71,132
GCF_001517845.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001254815.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076535.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_002076635.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788975.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001857545.fna.gz,vcholerae,68,11,17,4,23,7,1,35
GCF_001860265.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002284325.fna.gz,vcholerae,770,44,286,11,3,13,102,213
GCF_002284455.fna.gz,vcholerae,773,97,288,14,3,1,9,215
GCF_001260915.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_002097895.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002097995.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002102575.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002194245.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000737015.fna.gz,vcholerae,1103,46,57,26,63,26,10,29
GCF_001250035.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001250435.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001471455.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_001517855.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098515.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098595.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001254895.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788995.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001857485.fna.gz,vcholerae,-,,,184,3,,61,200
GCF_001858465.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002807725.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076735.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001261535.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002194265.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002196055.fna.gz,vcholerae,178,31,99,56,70,1,48,13
GCF_001525525.fna.gz,vcholerae,68,11,17,4,23,7,1,35
GCF_001250455.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098605.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098755.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098195.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001255575.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000737025.fna.gz,vcholerae,555,5,196,98,14,24,6,45
GCF_001860315.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001860385.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002749635.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002807825.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076745.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000789015.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002194295.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002196105.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001617675.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001250615.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098625.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098765.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000754625.fna.gz,vcholerae,73,11,9,4,12,7,1,38
GCF_002098085.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098215.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001255835.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002284495.fna.gz,vcholerae,773,97,288,14,3,1,9,215
GCF_002807735.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076775.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_000789035.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001860345.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001860395.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002194305.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002196155.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001250795.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098135.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098225.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000765415.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001543465.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001683415.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_001255915.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076665.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002078055.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_002098675.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098805.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002807705.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002807835.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000789055.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001860365.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001860425.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002194335.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002196165.fna.gz,vcholerae,767,23,106,14,57,2,1,210
GCF_001251435.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098655.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098795.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076785.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001256015.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001637575.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_001718095.fna.gz,vcholerae,762,38,280,14,38,60,53,90
GCF_000789075.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098145.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098235.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788415.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002313005.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002807765.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001261555.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001887415.fna.gz,vcholerae,71,11,37,4,12,7,1,38
GCF_001887475.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_002098695.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098835.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001256355.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076695.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002078595.fna.gz,vcholerae,515,11,206,4,12,7,1,20
GCF_000789095.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001639085.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001718105.fna.gz,vcholerae,763,1,281,130,6,100,94,187
GCF_000788425.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002313025.fna.gz,vcholerae,746,5,1,2,30,12,6,40
GCF_002807785.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001281585.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001887435.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001887495.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002196065.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_002196175.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098705.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001641685.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_002076705.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002078635.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000789115.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788435.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002407455.fna.gz,vcholerae,-,,37,4,12,7,1,20
GCF_002807805.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001257035.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001261335.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001281595.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001887455.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001887515.fna.gz,vcholerae,71,11,37,4,12,7,1,38
GCF_002098155.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098845.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001251495.fna.gz,vcholerae,-,11,9,4,12,7,1,
GCF_002196095.fna.gz,vcholerae,178,31,99,56,70,1,48,13
GCF_002196135.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098715.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001641705.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_000788495.fna.gz,vcholerae,757,5,265,3,64,55,1,206
GCF_000789135.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000818865.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_001899465.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002899735.fna.gz,vcholerae,759,5,50,14,158,26,14,45
GCF_001281665.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002204085.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_002807875.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808125.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002911455.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001251935.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002204095.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808355.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002098875.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002807925.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808365.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001729185.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_000788515.fna.gz,vcholerae,-,38,356,,18,19,,280
GCF_001257075.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001258495.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000789155.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001887615.fna.gz,vcholerae,71,11,37,4,12,7,1,38
GCF_002076165.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001282605.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002807945.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808405.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001252055.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002078695.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002196255.fna.gz,vcholerae,75,2,37,4,12,7,1,38
GCF_002808145.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002918335.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001729195.fna.gz,vcholerae,-,31,,56,3,1,1,235
GCF_002807965.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808415.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788535.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001257215.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001258535.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808155.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002918345.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001318185.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002807975.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808435.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001252075.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001887635.fna.gz,vcholerae,70,11,37,4,12,7,1,37
GCF_002076175.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002196185.fna.gz,vcholerae,-,11,37,4,,7,1,20
GCF_002196375.fna.gz,vcholerae,-,38,201,112,,2,88,
GCF_002808275.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_003056955.fna.gz,vcholerae,775,11,37,133,12,7,1,38
GCF_000812045.fna.gz,vcholerae,-,,,14,,51,59,108
GCF_001729125.fna.gz,vcholerae,-,5,,89,66,73,73,137
GCF_001854425.fna.gz,vcholerae,173,57,96,15,2,7,1,75
GCF_002808165.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002946655.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_000788555.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001257835.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001258555.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808205.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002997215.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001402185.fna.gz,vcholerae,747,5,56,15,66,13,69,39
GCF_002807985.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002808465.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001252495.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_001887655.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002076185.fna.gz,vcholerae,69,11,37,4,12,7,1,20
GCF_002196225.fna.gz,vcholerae,178,31,99,56,70,1,48,13
GCF_002204075.fna.gz,vcholerae,69,11,37,4,12,7,1,20
