Genome,Scheme,ST,tpi,ilv,gmk,pta,pur,pyc,glp
GCF_001913575.fna.gz,bcereus,138,7,14,9,12,12,14,37
GCF_002199185.fna.gz,bcereus,1295,3,270,4,5,43,6,6
GCF_002199335.fna.gz,bcereus,1317,10,68,8,30,9,62,13
GCF_001044645.fna.gz,bcereus,2111,7,14,8,11,292,36,11
GCF_002199695.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002199805.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002014575.fna.gz,bcereus,1092,188,104,51,237,163,92,82
GCF_001566385.fna.gz,bcereus,2056,91,21,2,348,19,3,19
GCF_000746865.fna.gz,bcereus,38,19,50,12,21,23,31,24
GCF_001604665.fna.gz,bcereus,1976,16,42,4,37,44,6,6
GCF_001619395.fna.gz,bcereus,999,10,8,8,11,11,12,13
GCF_002201665.fna.gz,bcereus,1970,10,9,8,11,11,12,12
GCF_002201705.fna.gz,bcereus,2093,41,33,72,37,49,241,55
GCF_001883965.fna.gz,bcereus,758,23,43,8,28,9,12,12
GCF_002199205.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002199275.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_001913545.fna.gz,bcereus,120,36,3,4,4,46,6,6
GCF_002550365.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_002550435.fna.gz,bcereus,2061,32,351,193,341,322,250,332
GCF_001044655.fna.gz,bcereus,1979,17,13,8,19,2,120,33
GCF_002199705.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002199815.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002014585.fna.gz,bcereus,1142,11,174,10,36,17,22,18
GCF_001566445.fna.gz,bcereus,144,4,63,2,5,36,3,67
GCF_002552295.fna.gz,bcereus,2070,12,356,5,357,223,248,17
GCF_002552465.fna.gz,bcereus,1952,7,14,8,12,2,25,11
GCF_001619285.fna.gz,bcereus,1967,8,43,8,11,9,47,14
GCF_001619405.fna.gz,bcereus,4,7,8,8,11,11,12,13
GCF_000789315.fna.gz,bcereus,78,5,33,22,37,34,38,24
GCF_002214705.fna.gz,bcereus,1977,17,36,8,10,41,17,241
GCF_002224345.fna.gz,bcereus,-,,9,8,96,9,88,14
GCF_002199405.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_001883975.fna.gz,bcereus,766,23,9,8,201,9,12,13
GCF_001913615.fna.gz,bcereus,2082,2,31,2,349,284,245,19
GCF_001941885.fna.gz,bcereus,2094,41,358,1,1,303,37,24
GCF_002199955.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002200125.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_002550815.fna.gz,bcereus,1992,172,223,116,170,207,144,215
GCF_002551665.fna.gz,bcereus,90,3,41,4,5,43,46,6
GCF_001044665.fna.gz,bcereus,142,7,8,8,11,9,12,13
GCF_001566515.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_001583745.fna.gz,bcereus,1083,185,36,8,30,41,17,96
GCF_002552745.fna.gz,bcereus,2037,281,223,116,309,118,171,312
GCF_002553185.fna.gz,bcereus,2058,47,33,138,37,298,242,347
GCF_002021385.fna.gz,bcereus,76,33,28,15,38,30,29,34
GCF_000832385.fna.gz,bcereus,1263,89,124,1,16,18,33,34
GCF_002214725.fna.gz,bcereus,127,3,53,4,4,16,6,6
GCF_002290105.fna.gz,bcereus,2057,55,367,14,5,19,3,320
GCF_002199425.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002199845.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002199975.fna.gz,bcereus,2050,159,231,204,43,45,53,113
GCF_001895235.fna.gz,bcereus,177,10,9,47,11,68,12,13
GCF_002550595.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002550855.fna.gz,bcereus,723,103,193,78,169,164,143,158
GCF_001044715.fna.gz,bcereus,395,53,8,8,11,4,12,13
GCF_001566525.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_001583755.fna.gz,bcereus,111,30,35,26,42,39,41,43
GCF_001913635.fna.gz,bcereus,2091,86,8,8,337,4,12,14
GCF_001982805.fna.gz,bcereus,2085,2,372,2,17,19,3,3
GCF_001619465.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_002552635.fna.gz,bcereus,137,7,14,28,12,37,36,37
GCF_002552995.fna.gz,bcereus,2042,274,14,9,12,24,14,37
GCF_002021435.fna.gz,bcereus,1009,21,170,6,9,4,7,16
GCF_002199345.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002199485.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002214765.fna.gz,bcereus,1246,7,146,8,19,2,17,33
GCF_002343945.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_001901235.fna.gz,bcereus,1983,24,296,52,70,55,37,79
GCF_002199875.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002200015.fna.gz,bcereus,2102,7,395,8,11,297,35,341
GCF_002550775.fna.gz,bcereus,1948,7,14,8,11,2,17,287
GCF_002551635.fna.gz,bcereus,2046,268,14,8,26,2,50,40
GCF_001044735.fna.gz,bcereus,164,4,63,2,5,36,3,3
GCF_000832765.fna.gz,bcereus,145,24,52,1,1,1,37,65
GCF_001913625.fna.gz,bcereus,1949,7,44,8,19,2,17,33
GCF_001941905.fna.gz,bcereus,2094,41,358,1,1,303,37,24
GCF_002552805.fna.gz,bcereus,1957,7,49,8,12,2,36,346
GCF_002553235.fna.gz,bcereus,2047,266,21,2,5,114,3,322
GCF_001566705.fna.gz,bcereus,29,17,8,8,35,8,17,20
GCF_002021335.fna.gz,bcereus,2082,2,31,2,349,284,245,19
GCF_002021445.fna.gz,bcereus,2071,10,33,17,332,24,35,12
GCF_001619525.fna.gz,bcereus,29,17,8,8,35,8,17,20
GCF_002199365.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002199505.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_001901245.fna.gz,bcereus,377,32,114,70,110,116,105,112
GCF_002199895.fna.gz,bcereus,1295,3,270,4,5,43,6,6
GCF_002200055.fna.gz,bcereus,8,7,16,8,13,2,16,7
GCF_000832805.fna.gz,bcereus,78,5,33,22,37,34,38,24
GCF_001044795.fna.gz,bcereus,1989,91,122,2,5,19,3,324
GCF_001044855.fna.gz,bcereus,15,9,16,8,13,2,16,9
GCF_001936485.fna.gz,bcereus,2094,41,358,1,1,303,37,24
GCF_001982815.fna.gz,bcereus,1065,2,31,2,5,19,3,3
GCF_002215175.fna.gz,bcereus,138,7,14,9,12,12,14,37
GCF_002504205.fna.gz,bcereus,1000,7,8,8,58,122,12,13
GCF_002552895.fna.gz,bcereus,1961,7,49,28,44,2,36,40
GCF_001635915.fna.gz,bcereus,752,21,198,6,8,4,7,93
GCF_002021355.fna.gz,bcereus,2067,24,238,1,327,18,33,44
GCF_002021455.fna.gz,bcereus,2072,10,401,17,332,2,35,12
GCF_001583685.fna.gz,bcereus,1087,39,23,6,235,4,8,15
GCF_002550675.fna.gz,bcereus,2063,32,348,81,229,214,122,59
GCF_002550895.fna.gz,bcereus,2054,128,223,116,225,336,107,213
GCF_002199445.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_001901305.fna.gz,bcereus,377,32,114,70,110,116,105,112
GCF_002199905.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002200075.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_000935235.fna.gz,bcereus,2080,7,146,8,343,2,17,14
GCF_001044815.fna.gz,bcereus,2038,280,66,41,48,42,61,330
GCF_001044875.fna.gz,bcereus,2052,140,29,152,325,4,114,126
GCF_001940365.fna.gz,bcereus,2068,21,391,6,354,4,7,336
GCF_001982845.fna.gz,bcereus,2060,33,93,2,347,318,37,344
GCF_001583705.fna.gz,bcereus,1084,2,239,2,5,19,3,19
GCF_001619425.fna.gz,bcereus,1766,190,271,5,240,281,183,229
GCF_001635955.fna.gz,bcereus,752,21,198,6,8,4,7,93
GCF_002021365.fna.gz,bcereus,1993,197,238,1,254,241,195,337
GCF_002021465.fna.gz,bcereus,176,53,8,8,11,9,12,13
GCF_002550835.fna.gz,bcereus,1965,7,14,8,44,138,50,40
GCF_002551775.fna.gz,bcereus,2043,274,14,9,12,12,14,11
GCF_002199465.fna.gz,bcereus,1295,3,270,4,5,43,6,6
GCF_002552725.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_002553095.fna.gz,bcereus,18,7,14,9,12,12,14,11
GCF_002216125.fna.gz,bcereus,24,10,9,8,14,11,12,12
GCF_001901815.fna.gz,bcereus,205,2,21,2,5,19,3,19
GCF_002199945.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002200085.fna.gz,bcereus,1259,8,9,8,11,9,88,14
GCF_000948345.fna.gz,bcereus,750,7,211,9,18,20,19,22
GCF_001913645.fna.gz,bcereus,90,3,41,4,5,43,46,6
GCF_001941925.fna.gz,bcereus,2094,41,358,1,1,303,37,24
GCF_001044825.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_001579695.fna.gz,bcereus,1025,10,8,8,30,9,62,14
GCF_001583765.fna.gz,bcereus,1032,3,123,4,118,43,6,117
GCF_001619445.fna.gz,bcereus,33,7,18,9,18,20,19,22
GCF_001635995.fna.gz,bcereus,1688,10,26,141,30,9,28,288
GCF_002021375.fna.gz,bcereus,1985,43,83,1,1,55,37,342
GCF_002021515.fna.gz,bcereus,1982,23,9,8,28,4,88,14
GCF_002199475.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002550705.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002551625.fna.gz,bcereus,2101,7,396,8,12,20,36,7
GCF_002552875.fna.gz,bcereus,1955,7,14,28,12,37,25,99
GCF_002553255.fna.gz,bcereus,225,7,14,9,95,12,14,11
GCF_002220285.fna.gz,bcereus,1981,21,29,6,9,4,39,93
GCF_002558705.fna.gz,bcereus,138,7,14,9,12,12,14,37
GCF_001901885.fna.gz,bcereus,205,2,21,2,5,19,3,19
GCF_000978375.fna.gz,bcereus,998,7,13,8,11,8,17,33
GCF_001982855.fna.gz,bcereus,2078,7,146,8,260,291,17,33
GCF_002021535.fna.gz,bcereus,1972,10,9,8,30,9,62,14
GCF_002078195.fna.gz,bcereus,265,13,7,7,2,93,8,15
GCF_002559045.fna.gz,bcereus,-,49,223,116,170,207,144,215
GCF_001678165.fna.gz,bcereus,206,39,29,6,91,4,82,93
GCF_001583865.fna.gz,bcereus,24,10,9,8,14,11,12,12
GCF_001044905.fna.gz,bcereus,1986,51,295,30,61,44,31,48
GCF_002199525.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002551975.fna.gz,bcereus,1579,7,16,8,12,2,16,10
GCF_002555205.fna.gz,bcereus,509,37,133,6,46,4,114,126
GCF_002558125.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002558615.fna.gz,bcereus,-,104,13,8,19,60,17,33
GCF_002559275.fna.gz,bcereus,138,7,14,9,12,12,14,37
GCF_002530565.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_002530775.fna.gz,bcereus,1989,91,122,2,5,19,3,324
GCF_002558735.fna.gz,bcereus,-,,14,8,12,37,50,
GCF_001901895.fna.gz,bcereus,32,16,3,4,4,15,6,5
GCF_001982885.fna.gz,bcereus,869,2,59,2,5,19,3,19
GCF_002558745.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_000987785.fna.gz,bcereus,32,16,3,4,4,15,6,5
GCF_001044895.fna.gz,bcereus,164,4,63,2,5,36,3,3
GCF_001059875.fna.gz,bcereus,1032,3,123,4,118,43,6,117
GCF_001677965.fna.gz,bcereus,2076,7,371,17,332,24,35,12
GCF_001913315.fna.gz,bcereus,1994,198,295,30,37,44,31,48
GCF_001583875.fna.gz,bcereus,1089,7,14,28,26,2,25,40
GCF_002199555.fna.gz,bcereus,266,4,21,2,17,36,3,3
GCF_002551855.fna.gz,bcereus,2025,13,346,54,2,248,84,68
GCF_002551935.fna.gz,bcereus,2053,128,187,116,306,118,171,202
GCF_002558165.fna.gz,bcereus,1965,7,14,8,44,138,50,40
GCF_002558645.fna.gz,bcereus,8,7,16,8,13,2,16,7
GCF_002559355.fna.gz,bcereus,18,7,14,9,12,12,14,11
GCF_002117465.fna.gz,bcereus,78,5,33,22,37,34,38,24
GCF_002553345.fna.gz,bcereus,2077,7,166,8,361,290,25,345
GCF_002556855.fna.gz,bcereus,-,15,,144,9,224,7,14
GCF_002558285.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002559055.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_001901905.fna.gz,bcereus,127,3,53,4,4,16,6,6
GCF_001982895.fna.gz,bcereus,205,2,21,2,5,19,3,19
GCF_002558765.fna.gz,bcereus,-,7,14,,26,,25,99
GCF_001008565.fna.gz,bcereus,2066,26,345,35,49,42,20,59
GCF_002199565.fna.gz,bcereus,1950,7,9,8,19,29,17,33
GCF_002530625.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_002558315.fna.gz,bcereus,-,,311,5,3,223,212,17
GCF_002559065.fna.gz,bcereus,-,7,166,8,26,138,36,40
GCF_001683695.fna.gz,bcereus,32,16,3,4,4,15,6,5
GCF_001044955.fna.gz,bcereus,15,9,16,8,13,2,16,9
GCF_002021545.fna.gz,bcereus,8,7,16,8,13,2,16,7
GCF_002558845.fna.gz,bcereus,506,7,147,8,44,2,36,40
GCF_001583925.fna.gz,bcereus,1086,5,33,138,37,218,38,24
GCF_002530785.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_002557925.fna.gz,bcereus,-,7,49,8,44,2,25,40
GCF_002558365.fna.gz,bcereus,-,7,15,8,12,37,50,47
GCF_002559115.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_001901925.fna.gz,bcereus,1533,19,246,22,21,23,31,24
GCF_001008575.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_001982925.fna.gz,bcereus,205,2,21,2,5,19,3,19
GCF_002557945.fna.gz,bcereus,2049,179,149,133,229,328,122,59
GCF_002558375.fna.gz,bcereus,-,7,14,9,95,12,14,31
GCF_002559125.fna.gz,bcereus,-,7,14,8,329,20,36,7
GCF_002199615.fna.gz,bcereus,90,3,41,4,5,43,46,6
GCF_002530795.fna.gz,bcereus,2044,269,101,66,77,319,83,92
GCF_002558875.fna.gz,bcereus,-,128,187,116,202,118,107,
GCF_001683705.fna.gz,bcereus,177,10,9,47,11,68,12,13
GCF_002021695.fna.gz,bcereus,1263,89,124,1,16,18,33,34
GCF_002558885.fna.gz,bcereus,-,128,,,202,118,171,202
GCF_001058585.fna.gz,bcereus,1083,185,36,8,30,41,17,96
GCF_001583805.fna.gz,bcereus,1050,166,93,1,214,51,37,65
GCF_001583935.fna.gz,bcereus,33,7,18,9,18,20,19,22
GCF_002558435.fna.gz,bcereus,1579,7,16,8,12,2,16,10
GCF_002559135.fna.gz,bcereus,2025,13,346,54,2,248,84,68
GCF_001909175.fna.gz,bcereus,2073,10,261,8,11,295,12,13
GCF_002553395.fna.gz,bcereus,1952,7,14,8,12,2,25,11
GCF_002557995.fna.gz,bcereus,-,7,8,8,195,9,12,13
GCF_002558445.fna.gz,bcereus,-,7,14,9,26,138,36,272
GCF_002559195.fna.gz,bcereus,-,,,116,322,336,107,213
GCF_001008585.fna.gz,bcereus,144,4,63,2,5,36,3,67
GCF_002558205.fna.gz,bcereus,-,244,118,22,62,66,66,74
GCF_002558955.fna.gz,bcereus,480,101,138,77,129,134,118,129
GCF_002200145.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_002530555.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_002530635.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_002558465.fna.gz,bcereus,-,7,14,28,44,292,36,
GCF_002559205.fna.gz,bcereus,137,7,14,28,12,37,36,37
GCF_001699805.fna.gz,bcereus,18,7,14,9,12,12,14,11
GCF_001059175.fna.gz,bcereus,-,185,,8,30,41,17,96
GCF_001583845.fna.gz,bcereus,787,7,14,71,29,24,14,172
GCF_001583955.fna.gz,bcereus,1090,11,22,10,36,158,129,144
GCF_002558475.fna.gz,bcereus,-,142,14,28,12,37,50,172
GCF_002559215.fna.gz,bcereus,-,105,150,82,138,,,137
GCF_001913295.fna.gz,bcereus,2087,272,21,14,5,19,3,19
GCF_001982935.fna.gz,bcereus,1667,216,59,2,5,47,3,53
GCF_002558085.fna.gz,bcereus,-,7,49,8,44,2,,40
GCF_002558515.fna.gz,bcereus,-,32,,81,229,214,,59
GCF_002559225.fna.gz,bcereus,506,7,147,8,44,2,36,40
GCF_001008595.fna.gz,bcereus,2074,7,48,208,45,58,87,93
GCF_002558245.fna.gz,bcereus,100,7,46,8,28,9,12,13
GCF_002558975.fna.gz,bcereus,-,128,,,202,118,171,202
GCF_002530575.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_002558275.fna.gz,bcereus,-,128,223,116,225,118,107,213
GCF_002558985.fna.gz,bcereus,-,7,49,8,44,2,25,91
GCF_001719025.fna.gz,bcereus,1084,2,239,2,5,19,3,19
GCF_002024535.fna.gz,bcereus,1465,10,8,8,14,9,12,122
GCF_002559035.fna.gz,bcereus,787,7,14,71,29,24,14,172
GCF_001059825.fna.gz,bcereus,1032,3,123,4,118,43,6,117
GCF_001583855.fna.gz,bcereus,365,24,32,1,1,18,33,34
GCF_001583975.fna.gz,bcereus,1085,186,85,137,62,66,66,74
GCF_001913305.fna.gz,bcereus,2092,84,368,2,5,19,3,321
GCF_001913325.fna.gz,bcereus,2082,2,31,2,349,284,245,19
GCF_002558665.fna.gz,bcereus,1947,7,14,9,12,24,14,11
GCF_002559365.fna.gz,bcereus,1957,7,49,8,12,2,36,346
GCF_002561985.fna.gz,bcereus,-,12,311,5,3,223,212,17
GCF_002562345.fna.gz,bcereus,-,7,14,8,329,20,36,7
GCF_002562695.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_001008645.fna.gz,bcereus,1050,166,93,1,214,51,37,65
GCF_002560175.fna.gz,bcereus,-,7,88,8,12,2,36,47
GCF_002560395.fna.gz,bcereus,506,7,147,8,44,2,36,40
GCF_002560955.fna.gz,bcereus,119,7,49,8,12,2,36,47
GCF_002561385.fna.gz,bcereus,18,7,14,9,12,12,14,11
GCF_002561915.fna.gz,bcereus,-,49,223,116,170,207,144,215
GCF_002562255.fna.gz,bcereus,-,145,117,53,,113,93,81
GCF_002562585.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_001913375.fna.gz,bcereus,2099,19,33,12,205,288,31,24
GCF_001913405.fna.gz,bcereus,1966,7,48,8,180,58,87,180
GCF_002562715.fna.gz,bcereus,2040,276,14,8,44,86,36,40
GCF_001077095.fna.gz,bcereus,-,185,,8,30,41,17,96
GCF_002560215.fna.gz,bcereus,-,7,14,9,12,12,14,
GCF_002560415.fna.gz,bcereus,1957,7,49,8,12,2,36,346
GCF_002561035.fna.gz,bcereus,-,7,14,,26,2,25,40
GCF_002561535.fna.gz,bcereus,744,144,14,28,12,37,157,37
GCF_002561925.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002562265.fna.gz,bcereus,119,7,49,8,12,2,36,47
GCF_002562595.fna.gz,bcereus,-,7,14,8,329,20,36,7
GCF_001008665.fna.gz,bcereus,15,9,16,8,13,2,16,9
GCF_002560225.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002560475.fna.gz,bcereus,-,12,356,5,357,223,212,17
GCF_002561095.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002561565.fna.gz,bcereus,-,,294,,,42,,
GCF_002561945.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_002562285.fna.gz,bcereus,959,7,14,9,18,20,14,37
GCF_002562625.fna.gz,bcereus,-,12,311,5,3,223,212,17
GCF_001913385.fna.gz,bcereus,2098,41,292,192,37,333,31,55
GCF_002560255.fna.gz,bcereus,1961,7,49,28,44,2,36,40
GCF_002560525.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002561115.fna.gz,bcereus,-,7,49,28,12,308,36,47
GCF_002561575.fna.gz,bcereus,-,144,14,8,13,2,50,40
GCF_002561965.fna.gz,bcereus,18,7,14,9,12,12,14,11
GCF_002562335.fna.gz,bcereus,1990,144,14,28,12,37,36,37
GCF_002562645.fna.gz,bcereus,-,128,223,116,223,118,107,
GCF_001008695.fna.gz,bcereus,26,4,31,2,5,16,3,3
GCF_002559915.fna.gz,bcereus,-,7,14,28,44,292,36,
GCF_002560075.fna.gz,bcereus,-,7,14,8,12,2,36,40
GCF_002560265.fna.gz,bcereus,1216,7,14,28,248,2,50,46
GCF_002560615.fna.gz,bcereus,-,32,,36,,54,179,222
GCF_002561135.fna.gz,bcereus,-,144,14,28,12,37,36,47
GCF_002561635.fna.gz,bcereus,-,7,166,8,26,138,36,40
GCF_002562015.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_002562355.fna.gz,bcereus,-,148,251,36,233,53,56,59
GCF_002562725.fna.gz,bcereus,1956,7,14,28,12,2,36,315
GCF_001913395.fna.gz,bcereus,2059,41,374,72,37,49,31,55
GCF_002562365.fna.gz,bcereus,-,7,14,9,12,24,14,
GCF_002562735.fna.gz,bcereus,1576,7,15,8,44,2,25,40
GCF_001277915.fna.gz,bcereus,1590,21,170,6,8,242,7,41
GCF_002560795.fna.gz,bcereus,-,49,223,116,170,207,144,215
GCF_002561265.fna.gz,bcereus,610,115,157,85,144,143,130,146
GCF_002561745.fna.gz,bcereus,168,7,72,28,26,2,65,47
GCF_002562145.fna.gz,bcereus,1992,172,223,116,170,207,144,215
GCF_002562505.fna.gz,bcereus,118,7,14,28,26,2,36,47
GCF_002562955.fna.gz,bcereus,138,7,14,9,12,12,14,37
GCF_001043655.fna.gz,bcereus,1481,8,9,8,11,9,12,13
GCF_002559665.fna.gz,bcereus,-,277,,,335,,,
GCF_002559765.fna.gz,bcereus,-,7,14,28,26,2,36,37
