Genome,Scheme,ST,glyA,gmk,adk,gyrB,atpA,arcC,pgm,ppa
GCF_001272735.fna.gz,mpneumoniae,20,1,3,1,1,3,1,2,1
GCF_001272755.fna.gz,mpneumoniae,20,1,3,1,1,3,1,2,1
GCF_001272775.fna.gz,mpneumoniae,20,1,3,1,1,3,1,2,1
GCF_001272795.fna.gz,mpneumoniae,-,1,1,1,1,3,,2,1
GCF_001272815.fna.gz,mpneumoniae,-,1,1,1,1,3,,2,1
GCF_001272835.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_001272855.fna.gz,mpneumoniae,4,2,2,1,2,4,1,1,2
GCF_001272875.fna.gz,mpneumoniae,-,2,2,2,2,4,1,,2
GCF_001272915.fna.gz,mpneumoniae,2,2,2,1,2,4,1,3,2
GCF_001296485.fna.gz,mpneumoniae,20,1,3,1,1,3,1,2,1
