Genome,Scheme,ST,dnaE,pntA,pyrC,recA,tnaA,gyrB,dtdS
GCF_001727365.fna.gz,vparahaemolyticus,744,31,23,26,236,51,82,35
GCF_001727475.fna.gz,vparahaemolyticus,674,83,4,77,73,58,82,83
GCF_001023105.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000707685.fna.gz,vparahaemolyticus,678,231,21,5,209,99,261,276
GCF_000706985.fna.gz,vparahaemolyticus,896,28,20,23,21,24,17,119
GCF_001608895.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001608995.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001696215.fna.gz,vparahaemolyticus,9,6,11,35,3,26,6,17
GCF_001726175.fna.gz,vparahaemolyticus,313,142,4,24,10,20,29,7
GCF_001304775.fna.gz,vparahaemolyticus,1630,31,37,212,135,54,106,402
GCF_001728655.fna.gz,vparahaemolyticus,636,223,45,171,31,165,106,221
GCF_001758605.fna.gz,vparahaemolyticus,2015,67,47,436,31,17,522,70
GCF_001633835.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_000878815.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000707705.fna.gz,vparahaemolyticus,162,47,50,37,53,26,58,19
GCF_001023055.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001188185.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001727385.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001727485.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000707005.fna.gz,vparahaemolyticus,653,17,44,28,166,36,57,23
GCF_001608915.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001609015.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_001696225.fna.gz,vparahaemolyticus,20,16,13,11,32,19,33,36
GCF_001726185.fna.gz,vparahaemolyticus,1134,137,129,46,19,14,212,139
GCF_001433415.fna.gz,vparahaemolyticus,1628,111,20,21,22,24,320,34
GCF_001728665.fna.gz,vparahaemolyticus,636,223,45,171,31,165,106,221
GCF_001856035.fna.gz,vparahaemolyticus,2455,19,74,214,89,24,4,19
GCF_000951795.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001726595.fna.gz,vparahaemolyticus,735,4,18,46,11,23,13,38
GCF_001726695.fna.gz,vparahaemolyticus,1135,63,48,120,231,24,326,191
GCF_001633845.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_001188035.fna.gz,vparahaemolyticus,59,36,23,21,1,16,15,25
GCF_000707725.fna.gz,vparahaemolyticus,679,19,54,96,4,175,318,13
GCF_001727345.fna.gz,vparahaemolyticus,313,142,4,24,10,20,29,7
GCF_001727465.fna.gz,vparahaemolyticus,65,39,3,37,27,30,9,39
GCF_000707025.fna.gz,vparahaemolyticus,653,17,44,28,166,36,57,23
GCF_001696145.fna.gz,vparahaemolyticus,58,35,23,6,31,27,20,29
GCF_001707995.fna.gz,vparahaemolyticus,1579,57,31,11,338,2,176,13
GCF_001608935.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001471485.fna.gz,vparahaemolyticus,50,29,20,22,22,25,5,12
GCF_001728695.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001856105.fna.gz,vparahaemolyticus,-,291,18,175,418,26,177,125
GCF_000958565.fna.gz,vparahaemolyticus,-,26,18,18,,153,355,
GCF_001726615.fna.gz,vparahaemolyticus,735,4,18,46,11,23,13,38
GCF_001726725.fna.gz,vparahaemolyticus,1136,31,14,3,13,20,327,157
GCF_001633855.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_000707745.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001023125.fna.gz,vparahaemolyticus,674,83,4,77,73,58,82,83
GCF_001244315.fna.gz,vparahaemolyticus,984,49,112,37,249,23,209,50
GCF_001727995.fna.gz,vparahaemolyticus,1144,3,50,334,297,187,53,13
GCF_001728085.fna.gz,vparahaemolyticus,283,27,54,124,127,37,84,139
GCF_001727405.fna.gz,vparahaemolyticus,1132,56,14,11,13,19,16,286
GCF_000707045.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001696155.fna.gz,vparahaemolyticus,12,9,4,10,15,26,21,13
GCF_001720365.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001608945.fna.gz,vparahaemolyticus,8,28,63,69,82,1,4,88
GCF_001497485.fna.gz,vparahaemolyticus,1052,3,47,177,15,13,147,348
GCF_001728725.fna.gz,vparahaemolyticus,1145,158,128,43,298,189,131,287
GCF_001879585.fna.gz,vparahaemolyticus,233,109,83,107,114,83,136,121
GCF_001726655.fna.gz,vparahaemolyticus,735,4,18,46,11,23,13,38
GCF_000958575.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001633825.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_001633915.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_000707765.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001023155.fna.gz,vparahaemolyticus,1127,60,203,50,25,99,106,358
GCF_001267555.fna.gz,vparahaemolyticus,88,11,26,48,43,26,48,48
GCF_001727395.fna.gz,vparahaemolyticus,1132,56,14,11,13,19,16,286
GCF_001727505.fna.gz,vparahaemolyticus,34,20,7,11,15,5,25,13
GCF_001728005.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001728095.fna.gz,vparahaemolyticus,-,19,74,214,,24,4,19
GCF_000707065.fna.gz,vparahaemolyticus,677,26,28,49,228,23,317,275
GCF_001696165.fna.gz,vparahaemolyticus,58,35,23,6,31,27,20,29
GCF_001726165.fna.gz,vparahaemolyticus,1133,214,26,69,30,26,329,19
GCF_001608975.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001541615.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001895465.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001726845.fna.gz,vparahaemolyticus,676,60,66,62,31,65,106,72
GCF_001633985.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_000707785.fna.gz,vparahaemolyticus,8,28,63,69,82,1,4,88
GCF_000958585.fna.gz,vparahaemolyticus,2014,348,26,11,67,42,510,280
GCF_000960655.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001267595.fna.gz,vparahaemolyticus,-,10,,82,,47,,139
GCF_001270125.fna.gz,vparahaemolyticus,676,60,66,62,31,65,106,72
GCF_001727585.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000707085.fna.gz,vparahaemolyticus,811,29,20,22,22,24,7,12
GCF_001728125.fna.gz,vparahaemolyticus,748,17,172,32,13,181,327,8
GCF_001728235.fna.gz,vparahaemolyticus,1147,292,73,35,25,23,154,50
GCF_001726255.fna.gz,vparahaemolyticus,732,241,28,22,205,188,330,253
GCF_001609025.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_001541625.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001895345.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001895505.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_001633995.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_001726735.fna.gz,vparahaemolyticus,-,19,136,11,,13,295,223
GCF_001726885.fna.gz,vparahaemolyticus,737,45,171,255,143,36,336,7
GCF_000707805.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_000958595.fna.gz,vparahaemolyticus,1517,11,29,4,19,26,4,4
GCF_000960665.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_001267625.fna.gz,vparahaemolyticus,1134,137,129,46,19,14,212,139
GCF_001270145.fna.gz,vparahaemolyticus,1134,137,129,46,19,14,212,139
GCF_001727625.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000707105.fna.gz,vparahaemolyticus,1116,17,24,16,13,228,16,7
GCF_001728135.fna.gz,vparahaemolyticus,749,5,26,11,238,107,71,162
GCF_001728255.fna.gz,vparahaemolyticus,775,31,33,11,13,19,16,36
GCF_001726265.fna.gz,vparahaemolyticus,1133,214,26,69,30,26,329,19
GCF_001609075.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001895355.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001895515.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001558495.fna.gz,vparahaemolyticus,1,5,17,25,27,10,52,13
GCF_000707825.fna.gz,vparahaemolyticus,8,28,63,69,82,1,4,88
GCF_001726755.fna.gz,vparahaemolyticus,1150,56,33,59,237,20,16,362
GCF_001726895.fna.gz,vparahaemolyticus,320,145,4,132,140,104,177,158
GCF_001634015.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_001267635.fna.gz,vparahaemolyticus,1134,137,129,46,19,14,212,139
GCF_001727545.fna.gz,vparahaemolyticus,-,19,,62,89,51,217,175
GCF_001727665.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000958645.fna.gz,vparahaemolyticus,2471,56,33,31,219,2,16,157
GCF_000707125.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001728155.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001728275.fna.gz,vparahaemolyticus,750,17,44,28,52,36,57,285
GCF_001609095.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001726775.fna.gz,vparahaemolyticus,108,26,28,9,53,26,58,19
GCF_001726915.fna.gz,vparahaemolyticus,1151,47,2,256,299,23,328,13
GCF_001895435.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001895585.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001267655.fna.gz,vparahaemolyticus,1346,42,127,46,19,69,248,76
GCF_000707845.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001727565.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001727705.fna.gz,vparahaemolyticus,65,39,3,37,27,30,9,39
GCF_001726275.fna.gz,vparahaemolyticus,536,14,49,11,49,13,30,11
GCF_001559805.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001633935.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_001634105.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_000707145.fna.gz,vparahaemolyticus,652,31,26,247,25,24,312,271
GCF_001609055.fna.gz,vparahaemolyticus,638,42,26,237,64,50,75,67
GCF_001609105.fna.gz,vparahaemolyticus,50,29,20,22,22,25,5,12
GCF_001726815.fna.gz,vparahaemolyticus,676,60,66,62,31,65,106,72
GCF_001726965.fna.gz,vparahaemolyticus,1151,47,2,256,299,23,328,13
GCF_001728215.fna.gz,vparahaemolyticus,1147,292,73,35,25,23,154,50
GCF_001728335.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_001727645.fna.gz,vparahaemolyticus,199,22,8,19,17,14,28,13
GCF_001895365.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_001895525.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001267965.fna.gz,vparahaemolyticus,137,31,26,90,91,23,4,69
GCF_000958655.fna.gz,vparahaemolyticus,2278,26,33,33,13,2,16,157
GCF_001559885.fna.gz,vparahaemolyticus,417,3,116,167,167,33,111,188
GCF_001584415.fna.gz,vparahaemolyticus,141,31,3,91,22,68,115,12
GCF_001726245.fna.gz,vparahaemolyticus,32,20,7,11,15,4,25,6
GCF_001726335.fna.gz,vparahaemolyticus,32,20,7,11,15,4,25,6
GCF_001634035.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_000707865.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_000707165.fna.gz,vparahaemolyticus,651,42,26,246,31,87,311,29
GCF_001726805.fna.gz,vparahaemolyticus,676,60,66,62,31,65,106,72
GCF_001726935.fna.gz,vparahaemolyticus,1152,3,206,335,192,2,16,363
GCF_001728205.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001728325.fna.gz,vparahaemolyticus,1131,17,21,32,3,20,323,19
GCF_001727655.fna.gz,vparahaemolyticus,65,39,3,37,27,30,9,39
GCF_001895425.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001895535.fna.gz,vparahaemolyticus,189,11,26,48,3,26,48,48
GCF_001268005.fna.gz,vparahaemolyticus,1187,247,54,3,113,2,360,324
GCF_000960645.fna.gz,vparahaemolyticus,216,98,77,97,112,26,135,107
GCF_001633955.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_001634125.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_001559895.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001726195.fna.gz,vparahaemolyticus,1134,137,129,46,19,14,212,139
GCF_001726325.fna.gz,vparahaemolyticus,734,235,164,254,25,20,22,273
GCF_000707885.fna.gz,vparahaemolyticus,59,36,23,21,1,16,15,25
GCF_000707185.fna.gz,vparahaemolyticus,768,29,30,18,75,46,339,123
GCF_001728175.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001728295.fna.gz,vparahaemolyticus,749,5,26,11,238,107,71,162
GCF_001726855.fna.gz,vparahaemolyticus,320,145,4,132,140,104,177,158
GCF_001727575.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001727725.fna.gz,vparahaemolyticus,799,28,63,187,82,1,4,88
GCF_001895445.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001895595.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001268015.fna.gz,vparahaemolyticus,1516,80,4,67,80,61,82,74
GCF_000960565.fna.gz,vparahaemolyticus,326,28,61,49,44,38,28,46
GCF_000182345.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001634205.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_001595565.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001726345.fna.gz,vparahaemolyticus,34,20,7,11,15,5,25,13
GCF_002018705.fna.gz,vparahaemolyticus,308,12,27,78,25,54,178,153
GCF_000707905.fna.gz,vparahaemolyticus,676,60,66,62,31,65,106,72
GCF_000707205.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001609135.fna.gz,vparahaemolyticus,50,29,20,22,22,25,5,12
GCF_001609395.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_002018535.fna.gz,vparahaemolyticus,-,4,18,9,317,,13,38
GCF_002072985.fna.gz,vparahaemolyticus,73,3,38,44,42,24,44,44
GCF_001727055.fna.gz,vparahaemolyticus,1151,47,2,256,299,23,328,13
GCF_001901565.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001921805.fna.gz,vparahaemolyticus,2360,202,4,54,208,57,279,242
GCF_002018555.fna.gz,vparahaemolyticus,-,336,30,11,335,,106,123
GCF_002073005.fna.gz,vparahaemolyticus,79,35,31,35,38,37,43,21
GCF_001270235.fna.gz,vparahaemolyticus,34,20,7,11,15,5,25,13
GCF_000960685.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001726355.fna.gz,vparahaemolyticus,12,9,4,10,15,26,21,13
GCF_002018725.fna.gz,vparahaemolyticus,445,137,122,11,3,131,238,194
GCF_000707225.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001634135.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_001636035.fna.gz,vparahaemolyticus,1629,225,50,250,226,17,104,201
GCF_001608525.fna.gz,vparahaemolyticus,631,222,46,236,21,12,128,69
GCF_000732985.fna.gz,vparahaemolyticus,1167,55,54,337,31,46,15,55
GCF_001609155.fna.gz,vparahaemolyticus,43,23,14,24,10,2,29,7
GCF_001609415.fna.gz,vparahaemolyticus,36,21,23,21,1,16,15,23
GCF_001895615.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001895665.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001895695.fna.gz,vparahaemolyticus,3,3,29,4,19,22,4,4
GCF_001895745.fna.gz,vparahaemolyticus,2516,11,26,48,107,26,48,48
GCF_001913775.fna.gz,vparahaemolyticus,8,28,63,69,82,1,4,88
GCF_002013995.fna.gz,vparahaemolyticus,1913,363,30,303,218,26,505,442
GCF_002018735.fna.gz,vparahaemolyticus,308,12,27,78,25,54,178,153
GCF_001270285.fna.gz,vparahaemolyticus,-,210,37,46,77,23,,84
GCF_000972025.fna.gz,vparahaemolyticus,632,47,138,45,200,94,300,262
GCF_001726405.fna.gz,vparahaemolyticus,23,17,15,31,13,26,16,36
GCF_002018775.fna.gz,vparahaemolyticus,308,12,27,78,25,54,178,153
GCF_001634215.fna.gz,vparahaemolyticus,120,60,18,45,86,51,108,98
GCF_000707245.fna.gz,vparahaemolyticus,50,29,20,22,22,25,5,12
