Genome,Scheme,ST,ddl,gdh,atpA,gyd,adk,pstS,purK
GCF_002945615.fna.gz,efaecium,581,50,1,2,1,1,7,3
GCF_002945795.fna.gz,efaecium,-,3,1,2,4,1,1,2
GCF_002947885.fna.gz,efaecium,463,2,6,9,1,1,16,6
GCF_002947925.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_001053135.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_002557625.fna.gz,efaecium,-,3,6,5,2,1,2,9
GCF_002562805.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_002946315.fna.gz,efaecium,-,13,18,11,10,6,6,17
GCF_002946765.fna.gz,efaecium,1082,9,1,2,22,1,100,7
GCF_002909305.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_002260825.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_002140315.fna.gz,efaecium,-,1,1,9,2,1,2,2
GCF_002631645.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_002631655.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_003574925.fna.gz,efaecium,-,13,18,10,2,6,19,15
GCF_003583905.fna.gz,efaecium,107,13,18,11,10,6,19,17
GCF_002831505.fna.gz,efaecium,30,3,1,5,2,1,2,6
GCF_001563065.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_003323575.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_003323595.fna.gz,efaecium,-,2,1,,1,1,,44
GCF_003350805.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_003350815.fna.gz,efaecium,584,1,1,1,1,1,1,44
GCF_003937355.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003937555.fna.gz,efaecium,-,1,1,11,1,1,1,1
GCF_002949215.fna.gz,efaecium,8,2,1,5,1,1,7,6
GCF_002948795.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_002945175.fna.gz,efaecium,646,5,1,14,1,1,1,3
GCF_003795795.fna.gz,efaecium,-,13,9,,10,6,19,33
GCF_003795805.fna.gz,efaecium,-,3,1,,1,1,1,2
GCF_003020705.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_003320505.fna.gz,efaecium,38,5,3,2,4,1,4,5
GCF_003320555.fna.gz,efaecium,76,8,10,13,6,11,28,23
GCF_003796765.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_003796775.fna.gz,efaecium,329,8,14,9,10,6,27,8
GCF_003796445.fna.gz,efaecium,-,3,1,3,80,1,1,2
GCF_001990565.fna.gz,efaecium,822,5,1,4,1,1,7,3
GCF_003797665.fna.gz,efaecium,-,2,6,9,1,5,20,6
GCF_003862415.fna.gz,efaecium,39,6,4,6,3,2,3,4
GCF_003346255.fna.gz,efaecium,-,10,1,9,1,15,14,11
GCF_003796105.fna.gz,efaecium,490,2,7,9,1,1,36,6
GCF_003796125.fna.gz,efaecium,-,,6,2,1,1,11,6
GCF_002858965.fna.gz,efaecium,-,1,1,9,12,1,,1
GCF_003284815.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_003284825.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_002944705.fna.gz,efaecium,820,7,5,5,1,1,1,7
GCF_001298485.fna.gz,efaecium,21,3,1,9,1,1,1,2
GCF_003240465.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_003242935.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_003323385.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_003323415.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_003320135.fna.gz,efaecium,-,3,1,5,1,1,33,6
GCF_003335725.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_003335735.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_002947295.fna.gz,efaecium,2030,108,8,109,2,6,27,72
GCF_003320735.fna.gz,efaecium,-,2,1,5,1,5,33,3
GCF_003320755.fna.gz,efaecium,1950,3,1,2,1,1,179,14
GCF_001025405.fna.gz,efaecium,1878,8,8,13,11,6,27,23
GCF_000934365.fna.gz,efaecium,414,5,1,15,1,1,20,1
GCF_003797055.fna.gz,efaecium,14,2,7,9,1,1,7,6
GCF_003797285.fna.gz,efaecium,841,7,1,2,1,5,25,6
GCF_001055715.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_001750885.fna.gz,efaecium,16,2,1,1,1,1,1,1
GCF_001858385.fna.gz,efaecium,515,4,12,9,1,5,20,6
GCF_002005995.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_002006745.fna.gz,efaecium,1046,7,5,3,1,1,1,7
GCF_001543795.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_001545835.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_001545845.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_001547495.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_001547505.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_002141135.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_002141195.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_002140735.fna.gz,efaecium,27,7,5,2,1,1,1,7
GCF_000147235.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_001720945.fna.gz,efaecium,-,1,1,7,5,,1,1
GCF_001547265.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_001953445.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_001953465.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_002360265.fna.gz,efaecium,82,2,6,9,1,1,7,3
GCF_002416685.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_002158295.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_001563205.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_003320365.fna.gz,efaecium,-,2,6,9,1,1,192,6
GCF_003320395.fna.gz,efaecium,800,8,8,13,6,6,88,8
GCF_002944375.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_001059685.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_002948875.fna.gz,efaecium,157,2,6,9,1,1,7,6
GCF_002948915.fna.gz,efaecium,355,34,1,3,1,1,11,6
GCF_002174435.fna.gz,efaecium,413,1,6,7,5,1,7,6
GCF_002945185.fna.gz,efaecium,446,2,1,9,1,1,1,3
GCF_002945255.fna.gz,efaecium,55,1,1,2,1,1,1,2
GCF_002631225.fna.gz,efaecium,-,8,8,11,10,6,27,8
GCF_001547075.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_002945815.fna.gz,efaecium,1240,5,1,5,2,1,62,3
GCF_002945895.fna.gz,efaecium,-,50,1,2,1,1,,3
GCF_003320155.fna.gz,efaecium,8,2,1,5,1,1,7,6
GCF_003320165.fna.gz,efaecium,21,3,1,9,1,1,1,2
GCF_002848385.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_002263115.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_003796465.fna.gz,efaecium,540,13,9,25,10,6,19,17
GCF_003796485.fna.gz,efaecium,-,3,1,3,80,1,1,2
GCF_002140375.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_003795885.fna.gz,efaecium,-,3,1,3,80,1,1,2
GCF_003795915.fna.gz,efaecium,329,8,14,9,10,6,27,8
GCF_003020725.fna.gz,efaecium,796,1,1,4,1,1,20,1
GCF_001543575.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_001990575.fna.gz,efaecium,262,1,1,7,5,1,7,1
GCF_001990615.fna.gz,efaecium,-,3,1,15,1,1,1,44
GCF_003796815.fna.gz,efaecium,-,2,6,,1,1,7,6
GCF_003796845.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_000951815.fna.gz,efaecium,572,1,1,15,1,1,7,39
GCF_003937575.fna.gz,efaecium,-,1,1,7,12,1,,1
GCF_003937635.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_001025435.fna.gz,efaecium,-,13,8,,10,6,27,8
GCF_002973675.fna.gz,efaecium,650,5,1,5,1,5,1,3
GCF_002973685.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_003320575.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_003320585.fna.gz,efaecium,76,8,10,13,6,11,28,23
GCF_003933345.fna.gz,efaecium,-,9,6,,1,1,20,3
GCF_003933355.fna.gz,efaecium,636,5,1,5,1,1,7,3
GCF_003667965.fna.gz,efaecium,812,6,4,6,3,27,3,4
GCF_002948015.fna.gz,efaecium,-,2,1,5,1,1,,3
GCF_001053155.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_001055845.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_001056515.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_002562815.fna.gz,efaecium,-,5,1,43,1,1,1,1
GCF_002562855.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_002946805.fna.gz,efaecium,-,2,6,2,1,1,,6
GCF_002946855.fna.gz,efaecium,296,8,8,25,10,6,10,8
GCF_003350845.fna.gz,efaecium,-,2,1,15,1,1,,44
GCF_003323435.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_003335785.fna.gz,efaecium,967,1,1,7,5,32,1,1
GCF_003335795.fna.gz,efaecium,967,1,1,7,5,32,1,1
GCF_002948395.fna.gz,efaecium,1973,1,1,138,1,1,11,2
GCF_003242945.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_003244335.fna.gz,efaecium,792,3,1,1,1,28,1,44
GCF_002631665.fna.gz,efaecium,262,1,1,7,5,1,7,1
GCF_002944735.fna.gz,efaecium,152,8,8,9,1,6,19,17
GCF_002944795.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_003350625.fna.gz,efaecium,734,1,1,15,1,1,83,44
GCF_003350635.fna.gz,efaecium,969,1,1,1,1,1,7,44
GCF_003323615.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_000767345.fna.gz,efaecium,-,5,1,14,1,1,1,12
GCF_002077585.fna.gz,efaecium,214,3,2,2,1,1,1,2
GCF_002077625.fna.gz,efaecium,-,16,8,36,17,6,140,16
GCF_003797325.fna.gz,efaecium,-,3,1,3,80,1,1,2
GCF_003797365.fna.gz,efaecium,540,13,9,25,10,6,19,17
GCF_001545615.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_003312385.fna.gz,efaecium,1393,5,1,5,1,1,1,44
GCF_003312405.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_002947335.fna.gz,efaecium,492,3,41,3,1,1,1,2
GCF_002141255.fna.gz,efaecium,361,8,8,13,6,6,51,8
GCF_001720965.fna.gz,efaecium,656,3,1,15,1,1,20,44
GCF_001562895.fna.gz,efaecium,1495,3,1,2,1,1,20,1
GCF_002631245.fna.gz,efaecium,672,4,1,9,21,5,20,9
GCF_002631285.fna.gz,efaecium,1311,4,12,5,2,5,1,9
GCF_001543825.fna.gz,efaecium,16,2,1,1,1,1,1,1
GCF_002007625.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_002009635.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_002945835.fna.gz,efaecium,-,5,1,5,2,1,1,3
GCF_002945935.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_002848625.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_001545855.fna.gz,efaecium,787,1,1,9,12,1,7,1
GCF_001990605.fna.gz,efaecium,-,1,1,3,,1,1,44
GCF_001996345.fna.gz,efaecium,916,1,1,75,1,1,1,1
GCF_002263125.fna.gz,efaecium,172,13,18,25,10,6,29,15
GCF_002263175.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_002158325.fna.gz,efaecium,734,1,1,15,1,1,83,44
GCF_002140865.fna.gz,efaecium,-,6,14,,3,2,,
GCF_002945215.fna.gz,efaecium,55,1,1,2,1,1,1,2
GCF_002945375.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_001953455.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_003795905.fna.gz,efaecium,-,8,14,9,10,6,,8
GCF_003795965.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_002944435.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_002948895.fna.gz,efaecium,76,8,10,13,6,11,28,23
GCF_002948955.fna.gz,efaecium,-,2,6,2,1,1,,6
GCF_002174445.fna.gz,efaecium,361,8,8,13,6,6,51,8
GCF_003320775.fna.gz,efaecium,1950,3,1,2,1,1,179,14
GCF_003320795.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_001547095.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_003320195.fna.gz,efaecium,434,8,8,11,10,6,41,17
GCF_003320235.fna.gz,efaecium,309,2,6,5,2,1,7,6
GCF_003796505.fna.gz,efaecium,-,3,1,3,80,1,1,2
GCF_003796625.fna.gz,efaecium,2025,124,1,20,1,1,91,3
GCF_002442275.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_003796865.fna.gz,efaecium,1505,13,18,25,10,6,119,15
GCF_003796885.fna.gz,efaecium,-,3,1,3,80,1,1,2
GCF_002973715.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_001547285.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_003933425.fna.gz,efaecium,822,5,1,4,1,1,7,3
GCF_003936585.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003320635.fna.gz,efaecium,148,2,1,5,1,1,1,3
GCF_001576665.fna.gz,efaecium,-,4,1,35,2,5,,9
GCF_001543585.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_003697805.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_003713175.fna.gz,efaecium,1274,1,1,3,1,1,11,1
GCF_000981945.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_001858405.fna.gz,efaecium,515,4,12,9,1,5,20,6
GCF_001895905.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_001059755.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_002140385.fna.gz,efaecium,717,8,14,5,8,6,27,62
GCF_002140435.fna.gz,efaecium,-,3,1,3,1,1,,2
GCF_002562865.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_002591965.fna.gz,efaecium,-,13,8,13,11,6,41,8
GCF_001053215.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_001056605.fna.gz,efaecium,-,3,,1,1,1,1,44
GCF_001056745.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_003350865.fna.gz,efaecium,967,1,1,7,5,32,1,1
GCF_003350885.fna.gz,efaecium,734,1,1,15,1,1,83,44
GCF_002946895.fna.gz,efaecium,-,,1,12,22,1,100,6
GCF_003350665.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_003350675.fna.gz,efaecium,1056,2,1,15,1,1,1,1
GCF_003323455.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_003268195.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_003335825.fna.gz,efaecium,584,1,1,1,1,1,1,44
GCF_003335835.fna.gz,efaecium,969,1,1,1,1,1,7,44
GCF_002944835.fna.gz,efaecium,944,3,6,5,1,1,7,6
GCF_002858985.fna.gz,efaecium,-,1,1,9,12,1,,1
GCF_002631705.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_003796185.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_003796225.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_003320405.fna.gz,efaecium,-,3,1,2,1,1,7,6
GCF_002077915.fna.gz,efaecium,-,7,1,2,1,1,,6
GCF_002948415.fna.gz,efaecium,598,1,1,5,1,1,11,1
GCF_002948595.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_003797405.fna.gz,efaecium,-,2,6,5,2,1,1,6
GCF_003797425.fna.gz,efaecium,-,2,6,9,1,5,20,6
GCF_000767365.fna.gz,efaecium,536,3,1,58,1,1,1,2
GCF_003323655.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_003323665.fna.gz,efaecium,584,1,1,1,1,1,1,44
GCF_003020745.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_002944025.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_001545655.fna.gz,efaecium,317,3,1,15,1,1,7,1
GCF_003319975.fna.gz,efaecium,38,5,3,2,4,1,4,5
GCF_003319985.fna.gz,efaecium,-,3,1,2,1,1,25,6
GCF_002141335.fna.gz,efaecium,-,,3,145,1,1,,6
GCF_001720985.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_002024245.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_002025045.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_001562905.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_002946055.fna.gz,efaecium,1179,13,75,5,8,6,6,17
GCF_002946115.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_002631295.fna.gz,efaecium,-,6,4,13,11,2,10,4
GCF_001039515.fna.gz,efaecium,76,8,10,13,6,11,28,23
GCF_001543835.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_001544055.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_001545895.fna.gz,efaecium,317,3,1,15,1,1,7,1
GCF_001545955.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_002947355.fna.gz,efaecium,2030,108,8,109,2,6,27,72
GCF_002947365.fna.gz,efaecium,-,13,9,25,17,6,29,84
GCF_002442315.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_002263195.fna.gz,efaecium,872,1,1,9,12,1,6,1
GCF_002945395.fna.gz,efaecium,361,8,8,13,6,6,51,8
GCF_002945455.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_003320215.fna.gz,efaecium,-,7,57,2,1,1,80,6
GCF_003320245.fna.gz,efaecium,-,2,1,5,1,5,33,3
GCF_003933435.fna.gz,efaecium,97,5,1,4,1,1,20,3
GCF_003936605.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_003320805.fna.gz,efaecium,12,2,6,5,1,1,1,6
GCF_002158355.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_001547105.fna.gz,efaecium,317,3,1,15,1,1,7,1
GCF_001953715.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_001969545.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_003795975.fna.gz,efaecium,1764,13,18,129,10,6,46,17
GCF_003796005.fna.gz,efaecium,196,2,6,5,1,1,36,6
GCF_002005805.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_002949035.fna.gz,efaecium,148,2,1,5,1,1,1,3
GCF_002949055.fna.gz,efaecium,195,2,1,9,1,1,7,6
GCF_003796515.fna.gz,efaecium,196,2,6,5,1,1,36,6
GCF_003796645.fna.gz,efaecium,196,2,6,5,1,1,36,6
GCF_002206235.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_002140895.fna.gz,efaecium,-,,1,2,22,1,,6
GCF_003320595.fna.gz,efaecium,1950,3,1,2,1,1,179,14
GCF_003320655.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_001582095.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_001543635.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_002140415.fna.gz,efaecium,688,8,8,13,6,6,27,59
GCF_002140455.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_001025255.fna.gz,efaecium,-,13,8,,10,6,27,8
GCF_001886635.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_001896235.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_002848645.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_002848665.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_002562875.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_003796905.fna.gz,efaecium,-,3,1,3,80,1,1,2
GCF_001059965.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_001053835.fna.gz,efaecium,-,9,6,12,1,1,30,
GCF_003323465.fna.gz,efaecium,664,2,1,1,1,1,1,44
GCF_003323515.fna.gz,efaecium,584,1,1,1,1,1,1,44
GCF_002946915.fna.gz,efaecium,-,2,6,9,1,1,33,3
GCF_001056925.fna.gz,efaecium,18,1,1,7,5,1,1,1
GCF_003350705.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_003350725.fna.gz,efaecium,262,1,1,7,5,1,7,1
GCF_003796265.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_003796285.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_003268235.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_002973755.fna.gz,efaecium,17,1,1,1,1,1,1,1
GCF_002944455.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_002631725.fna.gz,efaecium,286,4,12,40,1,5,1,9
GCF_003335855.fna.gz,efaecium,967,1,1,7,5,32,1,1
GCF_003335905.fna.gz,efaecium,967,1,1,7,5,32,1,1
GCF_002944915.fna.gz,efaecium,172,13,18,25,10,6,29,15
GCF_002859005.fna.gz,efaecium,-,1,1,9,12,1,,1
GCF_003320415.fna.gz,efaecium,2044,3,1,3,1,1,7,6
GCF_003320455.fna.gz,efaecium,54,9,6,2,1,1,11,6
GCF_001547315.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_003937935.fna.gz,efaecium,-,1,1,7,12,1,,1
GCF_003938005.fna.gz,efaecium,787,1,1,9,12,1,7,1
GCF_002948605.fna.gz,efaecium,-,2,24,2,1,1,33,6
GCF_003323695.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_003332845.fna.gz,efaecium,78,1,1,15,1,1,1,1
GCF_002944075.fna.gz,efaecium,258,23,1,2,1,1,42,6
GCF_002119055.fna.gz,efaecium,-,,1,1,1,1,20,44
GCF_003020765.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_003071425.fna.gz,efaecium,203,1,1,15,1,1,20,1
GCF_000772505.fna.gz,efaecium,-,2,,1,1,1,1,1
GCF_003797435.fna.gz,efaecium,-,2,6,5,1,,7,6
GCF_003797505.fna.gz,efaecium,-,3,1,3,80,1,1,2
GCF_003320055.fna.gz,efaecium,785,3,1,2,1,1,86,67
GCF_003350905.fna.gz,efaecium,967,1,1,7,5,32,1,1
GCF_003408975.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_002025065.fna.gz,efaecium,-,1,1,1,1,1,,1
GCF_001562915.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_002141355.fna.gz,efaecium,800,8,8,13,6,6,88,8
GCF_002141435.fna.gz,efaecium,311,3,13,9,1,1,7,6
GCF_002946175.fna.gz,efaecium,822,5,1,4,1,1,7,3
GCF_002946255.fna.gz,efaecium,-,3,1,,2,1,1,2
GCF_001721005.fna.gz,efaecium,412,1,1,15,1,1,20,44
GCF_001412695.fna.gz,efaecium,21,3,1,9,1,1,1,2
GCF_003320255.fna.gz,efaecium,-,3,1,5,1,1,33,6
GCF_003320275.fna.gz,efaecium,157,2,6,9,1,1,7,6
GCF_002945475.fna.gz,efaecium,-,3,1,,1,1,1,2
GCF_003796015.fna.gz,efaecium,26,2,1,9,1,1,1,6
GCF_003796065.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_001052395.fna.gz,efaecium,117,1,1,9,1,1,1,1
GCF_001546375.fna.gz,efaecium,-,8,8,13,6,,10,8
GCF_001546995.fna.gz,efaecium,192,1,1,15,1,1,7,1
GCF_001544255.fna.gz,efaecium,160,3,1,4,1,1,1,27
GCF_003936615.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003937285.fna.gz,efaecium,132,1,1,7,12,1,1,1
GCF_003796685.fna.gz,efaecium,9,2,6,5,1,1,7,6
GCF_002005815.fna.gz,efaecium,896,2,1,15,1,1,20,44
GCF_002216245.fna.gz,efaecium,-,2,,5,2,5,14,3
GCF_002233655.fna.gz,efaecium,1336,1,1,9,12,28,1,1
GCF_002140955.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_001547115.fna.gz,efaecium,317,3,1,15,1,1,7,1
GCF_002263205.fna.gz,efaecium,172,13,18,25,10,6,29,15
GCF_002265255.fna.gz,efaecium,-,2,1,9,1,5,14,
GCF_003320665.fna.gz,efaecium,1950,3,1,2,1,1,179,14
GCF_003320695.fna.gz,efaecium,21,3,1,9,1,1,1,2
GCF_001969615.fna.gz,efaecium,80,1,1,9,12,1,1,1
GCF_001582105.fna.gz,efaecium,16,2,1,1,1,1,1,1
GCF_001025265.fna.gz,efaecium,-,13,8,,10,6,27,8
GCF_002158365.fna.gz,efaecium,967,1,1,7,5,32,1,1
GCF_002158375.fna.gz,efaecium,967,1,1,7,5,32,1,1
GCF_002140475.fna.gz,efaecium,32,3,1,3,1,1,1,2
GCF_003320815.fna.gz,efaecium,94,8,8,13,6,6,10,8
GCF_003320855.fna.gz,efaecium,22,3,1,2,1,1,1,2
GCF_001543645.fna.gz,efaecium,25,3,1,9,1,1,1,6
GCF_001953235.fna.gz,efaecium,736,3,1,1,1,1,1,44
GCF_001953255.fna.gz,efaecium,736,3,1,1,1,1,1,44
