Genome,Scheme,ST,ldh,cat,lhkA,abcZ,dapE,dat,bglA
GCF_001583205.fna.gz,lmonocytogenes,388,1,12,5,3,70,2,1
GCF_001712265.fna.gz,lmonocytogenes,11,2,10,1,7,6,1,6
GCF_001760365.fna.gz,lmonocytogenes,1198,285,206,177,216,254,163,184
GCF_001760385.fna.gz,lmonocytogenes,1199,111,201,105,116,255,33,33
GCF_001565075.fna.gz,lmonocytogenes,13,8,17,1,7,6,10,6
GCF_001565095.fna.gz,lmonocytogenes,31,8,10,1,7,19,9,14
GCF_001759075.fna.gz,lmonocytogenes,558,1,12,5,11,38,2,1
GCF_001493615.fna.gz,lmonocytogenes,101,14,15,9,7,8,6,15
GCF_001493655.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001759725.fna.gz,lmonocytogenes,264,110,42,27,40,49,30,30
GCF_001827015.fna.gz,lmonocytogenes,551,3,88,1,5,29,5,6
GCF_001827025.fna.gz,lmonocytogenes,321,7,8,34,5,62,6,6
GCF_001565715.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001565735.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001564755.fna.gz,lmonocytogenes,87,39,4,4,12,14,3,1
GCF_001564775.fna.gz,lmonocytogenes,199,26,15,1,9,6,8,10
GCF_001751635.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_001760685.fna.gz,lmonocytogenes,796,27,17,1,7,6,1,14
GCF_001760695.fna.gz,lmonocytogenes,489,1,12,4,11,3,3,9
GCF_001827335.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001827345.fna.gz,lmonocytogenes,1211,2,17,1,5,5,6,8
GCF_001594305.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_001827975.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_001827995.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001709365.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001760045.fna.gz,lmonocytogenes,1188,113,42,25,40,52,32,40
GCF_001760065.fna.gz,lmonocytogenes,1189,384,203,173,214,252,32,180
GCF_001482035.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001496455.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_001496595.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001658385.fna.gz,lmonocytogenes,204,4,6,1,5,4,5,7
GCF_001658405.fna.gz,lmonocytogenes,204,4,6,1,5,4,5,7
GCF_001827645.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_001827665.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_000727625.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_000728905.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000728935.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_000726005.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_000438625.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000726965.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000726985.fna.gz,lmonocytogenes,87,39,4,4,12,14,3,1
GCF_000800335.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_000801375.fna.gz,lmonocytogenes,8,3,2,1,5,9,5,6
GCF_001262395.fna.gz,lmonocytogenes,124,6,10,1,23,30,6,5
GCF_001273535.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_001711985.fna.gz,lmonocytogenes,1018,3,2,1,177,29,5,144
GCF_001711345.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_000726635.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_000727285.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_000727315.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001578045.fna.gz,lmonocytogenes,1082,6,17,1,93,212,1,15
GCF_001582945.fna.gz,lmonocytogenes,368,2,59,1,7,68,38,48
GCF_000727925.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_001866445.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001866455.fna.gz,lmonocytogenes,14,2,13,1,8,6,5,6
GCF_001761065.fna.gz,lmonocytogenes,1059,370,10,6,53,18,1,170
GCF_001711635.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001760395.fna.gz,lmonocytogenes,1200,111,207,178,185,256,86,32
GCF_001760415.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_001710985.fna.gz,lmonocytogenes,839,14,10,6,7,72,1,100
GCF_001749945.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001749985.fna.gz,lmonocytogenes,800,111,43,28,41,54,70,30
GCF_001557685.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_000726325.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001751975.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_001752025.fna.gz,lmonocytogenes,48,28,11,5,1,11,2,1
GCF_000729555.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001712275.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_001712295.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_000729225.fna.gz,lmonocytogenes,87,39,4,4,12,14,3,1
GCF_001752325.fna.gz,lmonocytogenes,635,6,3,1,23,30,6,29
GCF_001758835.fna.gz,lmonocytogenes,663,1,12,5,88,3,18,79
GCF_001710015.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001027125.fna.gz,lmonocytogenes,29,3,18,1,15,18,1,10
GCF_001827055.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001827095.fna.gz,lmonocytogenes,296,1,12,4,12,61,3,12
GCF_001564795.fna.gz,lmonocytogenes,26,2,8,1,5,21,6,10
GCF_001564815.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001828005.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001565755.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_001565775.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001827695.fna.gz,lmonocytogenes,321,7,8,34,5,62,6,6
GCF_001826075.fna.gz,lmonocytogenes,1181,381,3,6,5,5,1,7
GCF_001759745.fna.gz,lmonocytogenes,1183,383,118,111,212,250,159,179
GCF_000728585.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_000960145.fna.gz,lmonocytogenes,37,8,3,6,5,5,1,7
GCF_000960155.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001490455.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_001490875.fna.gz,lmonocytogenes,8,3,2,1,5,9,5,6
GCF_001488395.fna.gz,lmonocytogenes,-,,2,1,5,9,5,6
GCF_001709715.fna.gz,lmonocytogenes,204,4,6,1,5,4,5,7
GCF_001709725.fna.gz,lmonocytogenes,59,1,12,7,11,16,3,1
GCF_001826415.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001826425.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001463975.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001710685.fna.gz,lmonocytogenes,20,7,3,1,17,6,5,13
GCF_001710705.fna.gz,lmonocytogenes,368,2,59,1,7,68,38,48
GCF_001565435.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_001565455.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_001499495.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_000728265.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001826735.fna.gz,lmonocytogenes,199,26,15,1,9,6,8,10
GCF_001826755.fna.gz,lmonocytogenes,199,26,15,1,9,6,8,10
GCF_001710325.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_001565115.fna.gz,lmonocytogenes,31,8,10,1,7,19,9,14
GCF_001565135.fna.gz,lmonocytogenes,31,8,10,1,7,19,9,14
GCF_001583235.fna.gz,lmonocytogenes,388,1,12,5,3,70,2,1
GCF_001583255.fna.gz,lmonocytogenes,388,1,12,5,3,70,2,1
GCF_001760725.fna.gz,lmonocytogenes,1206,1,57,2,34,3,3,1
GCF_001494195.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001759095.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_001759115.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001273505.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_000728945.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_000726995.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001711325.fna.gz,lmonocytogenes,1017,1,1,141,3,1,3,1
GCF_001711355.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_000726655.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001711945.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_001711995.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_000727305.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000438645.fna.gz,lmonocytogenes,394,2,17,6,5,21,39,5
GCF_000727635.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_000727655.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000801385.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_000801395.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_000727945.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000726025.fna.gz,lmonocytogenes,635,6,3,1,23,30,6,29
GCF_001466265.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001466295.fna.gz,lmonocytogenes,59,1,12,7,11,16,3,1
GCF_001761045.fna.gz,lmonocytogenes,1209,285,46,147,58,259,16,71
GCF_001761085.fna.gz,lmonocytogenes,308,1,1,3,3,1,18,1
GCF_001557705.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_001582935.fna.gz,lmonocytogenes,368,2,59,1,7,68,38,48
GCF_001582955.fna.gz,lmonocytogenes,368,2,59,1,7,68,38,48
GCF_001749965.fna.gz,lmonocytogenes,44,11,4,5,4,3,2,4
GCF_001751405.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_001027165.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000726335.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000729235.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_000729245.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_001752005.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001752045.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001711645.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001758825.fna.gz,lmonocytogenes,-,6,3,193,23,30,6,29
GCF_001758845.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001827065.fna.gz,lmonocytogenes,1186,30,48,4,1,90,3,3
GCF_001827115.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001565795.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001565835.fna.gz,lmonocytogenes,623,248,21,13,18,24,17,11
GCF_001751665.fna.gz,lmonocytogenes,199,26,15,1,9,6,8,10
GCF_000960455.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001513695.fna.gz,lmonocytogenes,8,3,2,1,5,9,5,6
GCF_001548635.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001491615.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_001866565.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001889585.fna.gz,lmonocytogenes,145,12,11,5,1,11,2,1
GCF_001709785.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001488435.fna.gz,lmonocytogenes,-,,40,,26,110,45,21
GCF_001760445.fna.gz,lmonocytogenes,556,24,2,1,7,6,1,27
GCF_001760465.fna.gz,lmonocytogenes,412,2,8,1,7,6,1,52
GCF_001710715.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001759755.fna.gz,lmonocytogenes,265,111,43,28,41,50,31,33
GCF_001759805.fna.gz,lmonocytogenes,266,112,44,29,42,51,16,34
GCF_001710995.fna.gz,lmonocytogenes,391,2,62,1,7,28,5,6
GCF_001825765.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001825815.fna.gz,lmonocytogenes,569,232,93,77,86,101,61,75
GCF_001565475.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001565515.fna.gz,lmonocytogenes,441,4,6,1,6,4,1,64
GCF_001827385.fna.gz,lmonocytogenes,635,6,3,1,23,30,6,29
GCF_001596775.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_000728595.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001760075.fna.gz,lmonocytogenes,1070,371,99,150,189,225,32,159
GCF_001760125.fna.gz,lmonocytogenes,1190,111,204,28,215,54,70,181
GCF_001710365.fna.gz,lmonocytogenes,224,94,12,2,11,38,3,3
GCF_001828035.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001828055.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001564835.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001564855.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001759415.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001482055.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_001710025.fna.gz,lmonocytogenes,1022,345,2,1,5,29,5,6
GCF_001710065.fna.gz,lmonocytogenes,372,2,58,1,7,7,5,10
GCF_001565155.fna.gz,lmonocytogenes,193,27,37,1,7,6,1,14
GCF_001565175.fna.gz,lmonocytogenes,193,27,37,1,7,6,1,14
GCF_000729565.fna.gz,lmonocytogenes,635,6,3,1,23,30,6,29
GCF_001494235.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001494355.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001712345.fna.gz,lmonocytogenes,37,8,3,6,5,5,1,7
GCF_001712365.fna.gz,lmonocytogenes,20,7,3,1,17,6,5,13
GCF_001280245.fna.gz,lmonocytogenes,642,3,2,1,5,7,5,6
GCF_000728975.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_000438665.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001711385.fna.gz,lmonocytogenes,194,1,27,5,3,3,4,18
GCF_001711395.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_000727345.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000726685.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_000727665.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000727705.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_000806405.fna.gz,lmonocytogenes,328,131,1,3,3,1,3,1
GCF_000806455.fna.gz,lmonocytogenes,328,131,1,3,3,1,3,1
GCF_001712025.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001712035.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_001761095.fna.gz,lmonocytogenes,1077,314,196,6,206,244,5,5
GCF_001582965.fna.gz,lmonocytogenes,1331,429,8,6,7,276,177,49
GCF_001564495.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001751425.fna.gz,lmonocytogenes,11,2,10,1,7,6,1,6
GCF_001751435.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001027205.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_000726045.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000726355.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_000726385.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001752055.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_001752075.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001827135.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_001827145.fna.gz,lmonocytogenes,145,12,11,5,1,11,2,1
GCF_001827715.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001759145.fna.gz,lmonocytogenes,558,1,12,5,11,38,2,1
GCF_001751685.fna.gz,lmonocytogenes,562,178,91,72,83,100,58,19
GCF_001565815.fna.gz,lmonocytogenes,19,24,19,1,7,6,1,6
GCF_001565855.fna.gz,lmonocytogenes,98,45,5,1,5,7,6,8
GCF_000729285.fna.gz,lmonocytogenes,323,1,11,2,34,15,3,12
GCF_001709375.fna.gz,lmonocytogenes,321,7,8,34,5,62,6,6
GCF_001709385.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001496755.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_001548585.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001551855.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_000727985.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_000960445.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000960575.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001709765.fna.gz,lmonocytogenes,321,7,8,34,5,62,6,6
GCF_001709805.fna.gz,lmonocytogenes,7,2,5,1,5,7,6,8
GCF_001880165.fna.gz,lmonocytogenes,308,1,1,3,3,1,18,1
GCF_001889645.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001711685.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001759785.fna.gz,lmonocytogenes,1184,111,201,105,116,251,160,33
GCF_001759825.fna.gz,lmonocytogenes,1107,1,57,2,194,3,2,1
GCF_001711015.fna.gz,lmonocytogenes,224,94,12,2,11,38,3,3
GCF_001710725.fna.gz,lmonocytogenes,20,7,3,1,17,6,5,13
GCF_001565495.fna.gz,lmonocytogenes,441,4,6,1,6,4,1,64
GCF_001565535.fna.gz,lmonocytogenes,4,5,12,3,1,3,2,2
GCF_001825795.fna.gz,lmonocytogenes,1214,393,198,27,219,158,27,30
GCF_001760105.fna.gz,lmonocytogenes,856,287,119,56,76,146,88,68
GCF_001827375.fna.gz,lmonocytogenes,155,2,16,1,7,7,5,10
GCF_001827415.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001758855.fna.gz,lmonocytogenes,29,3,18,1,15,18,1,10
GCF_001658415.fna.gz,lmonocytogenes,204,4,6,1,5,4,5,7
GCF_000728615.fna.gz,lmonocytogenes,87,39,4,4,12,14,3,1
GCF_001710375.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_001710385.fna.gz,lmonocytogenes,1024,3,8,1,5,7,5,143
GCF_001826095.fna.gz,lmonocytogenes,224,94,12,2,11,38,3,3
GCF_001826105.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001488995.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001759435.fna.gz,lmonocytogenes,191,1,36,7,11,2,3,1
GCF_001759485.fna.gz,lmonocytogenes,59,1,12,7,11,16,3,1
GCF_000727015.fna.gz,lmonocytogenes,87,39,4,4,12,14,3,1
GCF_001828065.fna.gz,lmonocytogenes,120,3,2,1,5,29,5,6
GCF_001828115.fna.gz,lmonocytogenes,204,4,6,1,5,4,5,7
GCF_001482075.fna.gz,lmonocytogenes,382,5,11,5,1,13,2,51
GCF_001481795.fna.gz,lmonocytogenes,2,1,11,5,1,11,2,1
GCF_001565195.fna.gz,lmonocytogenes,193,27,37,1,7,6,1,14
GCF_001565235.fna.gz,lmonocytogenes,10,1,20,3,3,1,3,1
GCF_001710085.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001710115.fna.gz,lmonocytogenes,1023,123,64,55,27,74,22,54
GCF_001302385.fna.gz,lmonocytogenes,18,6,15,1,7,18,12,6
GCF_000729595.fna.gz,lmonocytogenes,296,1,12,4,12,61,3,12
GCF_001712375.fna.gz,lmonocytogenes,4,5,12,3,1,3,2,2
GCF_001712415.fna.gz,lmonocytogenes,19,24,19,1,7,6,1,6
GCF_001711435.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001463985.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_000727355.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000726695.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_000808055.fna.gz,lmonocytogenes,6,1,9,5,3,3,3,9
GCF_000808125.fna.gz,lmonocytogenes,177,26,17,1,5,20,1,10
GCF_001712045.fna.gz,lmonocytogenes,11,2,10,1,7,6,1,6
GCF_001712105.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
GCF_001826455.fna.gz,lmonocytogenes,325,8,10,1,7,19,1,14
GCF_001826475.fna.gz,lmonocytogenes,1081,358,17,6,5,6,5,97
GCF_000729005.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001751445.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001751455.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001027245.fna.gz,lmonocytogenes,561,2,5,71,5,7,6,8
GCF_001494455.fna.gz,lmonocytogenes,8,3,2,1,5,9,5,6
GCF_001494495.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_000726065.fna.gz,lmonocytogenes,5,1,11,7,2,3,3,1
GCF_001827175.fna.gz,lmonocytogenes,1204,271,10,1,7,6,1,6
GCF_001827195.fna.gz,lmonocytogenes,121,37,8,1,7,8,6,6
GCF_001751695.fna.gz,lmonocytogenes,67,9,11,5,1,11,2,1
GCF_001577855.fna.gz,lmonocytogenes,1,1,1,3,3,1,3,1
GCF_001577865.fna.gz,lmonocytogenes,1331,429,8,6,7,276,177,49
GCF_000438685.fna.gz,lmonocytogenes,3,1,4,5,4,3,2,4
GCF_001827725.fna.gz,lmonocytogenes,9,4,6,1,6,4,1,5
