Genome,Scheme,ST,coxA,gatB,hcpA,fbpA,ftsZ
GCF_001637495.fna.gz,wolbachia,213,11,106,13,162,105
GCF_000174095.fna.gz,wolbachia,"23,352",7,8,198,1,6
GCF_003999585.fna.gz,wolbachia,377,88,207,13,9,170
GCF_009012935.fna.gz,wolbachia,25,17,11,18,17,3
GCF_013096535.fna.gz,wolbachia,-,11,246,101,4,209
GCF_013365435.fna.gz,wolbachia,-,,,,,
GCF_001027565.fna.gz,wolbachia,6,13,13,14,13,9
GCF_016584425.fna.gz,wolbachia,1,1,1,1,1,1
GCF_017896305.fna.gz,wolbachia,1,1,1,1,1,1
GCF_018467135.fna.gz,wolbachia,13,1,1,1,1,3
GCF_018491625.fna.gz,wolbachia,492,275,280,303,446,241
GCF_018555315.fna.gz,wolbachia,302,14,9,143,4,73
GCF_016584355.fna.gz,wolbachia,1,1,1,1,1,1
GCF_004795935.fna.gz,wolbachia,35,29,28,33,30,26
GCF_014107455.fna.gz,wolbachia,201,110,130,129,102,100
GCF_017896325.fna.gz,wolbachia,1,1,1,1,1,1
GCF_902713635.fna.gz,wolbachia,-,84,,,,70
GCF_000008385.fna.gz,wolbachia,35,29,28,33,30,26
GCF_008245065.fna.gz,wolbachia,136,14,96,3,4,73
GCF_009732755.fna.gz,wolbachia,101,58,53,85,79,70
GCF_000008025.fna.gz,wolbachia,1,1,1,1,1,1
GCF_018454445.fna.gz,wolbachia,160,85,101,40,4,22
GCF_002204235.fna.gz,wolbachia,-,,,,,
GCF_002318985.fna.gz,wolbachia,41,14,39,40,4,36
GCF_001752665.fna.gz,wolbachia,-,,,,,
GCF_013366855.fna.gz,wolbachia,-,,,,,
GCF_001931755.fna.gz,wolbachia,244,148,171,179,227,135
GCF_002374845.fna.gz,wolbachia,464,229,242,166,27,210
GCF_001266585.fna.gz,wolbachia,-,14,39,,4,36
GCF_001439985.fna.gz,wolbachia,-,276,21,,452,19
GCF_001675695.fna.gz,wolbachia,-,,,,15,
GCF_001675715.fna.gz,wolbachia,-,,,,15,
GCF_001675775.fna.gz,wolbachia,-,,,,15,
GCF_001983635.fna.gz,wolbachia,"23,352",7,8,198,1,6
GCF_013365495.fna.gz,wolbachia,-,,,,,
GCF_013366805.fna.gz,wolbachia,-,,,,,
GCF_003344345.fna.gz,wolbachia,-,,,,,
GCF_003671375.fna.gz,wolbachia,17,23,22,24,23,3
GCF_013458815.fna.gz,wolbachia,-,11,246,101,4,209
GCF_000156735.fna.gz,wolbachia,9,3,4,3,4,22
GCF_000167475.fna.gz,wolbachia,17,23,22,24,23,3
GCF_000242415.fna.gz,wolbachia,464,229,242,166,27,210
GCF_000306885.fna.gz,wolbachia,-,,,,,
GCF_000333795.fna.gz,wolbachia,17,23,22,24,23,3
GCF_000376585.fna.gz,wolbachia,16,4,5,4,5,4
GCF_000376605.fna.gz,wolbachia,19,6,7,7,8,3
GCF_000475015.fna.gz,wolbachia,1,1,1,1,1,1
GCF_000530755.fna.gz,wolbachia,-,,,,,
GCF_000689175.fna.gz,wolbachia,-,128,141,23,,
GCF_000723225.fna.gz,wolbachia,9,3,4,3,4,22
GCF_000742435.fna.gz,wolbachia,13,1,1,1,1,3
GCF_001675785.fna.gz,wolbachia,-,,,,15,
