Genome,Scheme,ST,pta,tuf,ack,fdh,purA,sar,cpn60
GCF_007050575.fna.gz,spseudintermedius,-,1,1,4,2,11,2,13
GCF_004166835.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_006382295.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_006382505.fna.gz,spseudintermedius,928,1,1,3,2,11,2,7
GCF_006383085.fna.gz,spseudintermedius,1048,1,2,3,1,8,2,7
GCF_009939245.fna.gz,spseudintermedius,-,1,1,4,1,,1,
GCF_004166555.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004166665.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_004307395.fna.gz,spseudintermedius,856,1,2,4,1,8,1,13
GCF_006383115.fna.gz,spseudintermedius,432,1,2,2,2,1,2,2
GCF_006406245.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_007050535.fna.gz,spseudintermedius,68,4,1,1,1,1,1,10
GCF_014353035.fna.gz,spseudintermedius,1544,1,1,3,3,1,2,9
GCF_004794835.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_004794855.fna.gz,spseudintermedius,68,4,1,1,1,1,1,10
GCF_006381995.fna.gz,spseudintermedius,282,1,1,3,2,2,1,2
GCF_006382145.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_006382205.fna.gz,spseudintermedius,498,1,2,1,1,11,2,13
GCF_006382325.fna.gz,spseudintermedius,498,1,2,1,1,11,2,13
GCF_006382355.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_006382395.fna.gz,spseudintermedius,261,1,2,5,4,11,2,7
GCF_006382415.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_009184805.fna.gz,spseudintermedius,585,1,1,2,2,1,2,31
GCF_014397615.fna.gz,spseudintermedius,1404,1,2,7,3,1,1,8
GCF_016454985.fna.gz,spseudintermedius,-,1,2,1,4,8,1,13
GCF_016804825.fna.gz,spseudintermedius,611,1,2,3,2,11,1,50
GCF_014397375.fna.gz,spseudintermedius,438,1,1,2,1,3,1,20
GCF_016455005.fna.gz,spseudintermedius,-,1,2,1,4,8,1,13
GCF_016455065.fna.gz,spseudintermedius,-,1,2,1,4,8,1,13
GCF_016481805.fna.gz,spseudintermedius,-,4,1,1,4,11,3,2
GCF_016481865.fna.gz,spseudintermedius,-,1,2,16,5,5,5,9
GCF_016481905.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_016481925.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016482085.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016482145.fna.gz,spseudintermedius,-,2,2,1,2,1,1,7
GCF_016804845.fna.gz,spseudintermedius,181,24,1,3,2,20,1,11
GCF_014397225.fna.gz,spseudintermedius,2136,1,1,1,6,1,1,7
GCF_014397235.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_014397305.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_014397325.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_014397345.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_014397355.fna.gz,spseudintermedius,263,1,1,5,4,1,1,13
GCF_014397405.fna.gz,spseudintermedius,1410,2,2,1,1,11,1,2
GCF_014490535.fna.gz,spseudintermedius,1544,1,1,3,3,1,2,9
GCF_016455025.fna.gz,spseudintermedius,-,60,2,4,2,5,1,2
GCF_016482265.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016482445.fna.gz,spseudintermedius,-,2,2,1,4,5,1,57
GCF_016804925.fna.gz,spseudintermedius,1296,2,2,4,1,1,2,31
GCF_016455085.fna.gz,spseudintermedius,503,1,2,1,2,8,1,2
GCF_016455145.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016481295.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_016481825.fna.gz,spseudintermedius,-,1,2,1,1,,2,9
GCF_016482525.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_016804415.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_016805035.fna.gz,spseudintermedius,316,1,2,2,1,13,2,9
GCF_016482105.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016482155.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016804435.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016804685.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_016804945.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_014397425.fna.gz,spseudintermedius,1411,1,1,1,2,8,2,7
GCF_014397505.fna.gz,spseudintermedius,1407,57,1,5,2,11,2,2
GCF_015234395.fna.gz,spseudintermedius,551,1,1,5,2,1,1,9
GCF_016026635.fna.gz,spseudintermedius,494,1,1,3,1,52,2,24
GCF_016454965.fna.gz,spseudintermedius,-,1,2,1,4,8,1,13
GCF_016482045.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016482305.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016804735.fna.gz,spseudintermedius,1229,24,1,3,2,1,1,10
GCF_016481665.fna.gz,spseudintermedius,-,4,1,1,4,11,3,2
GCF_016481735.fna.gz,spseudintermedius,-,4,1,1,4,11,3,2
GCF_016482535.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016598915.fna.gz,spseudintermedius,-,,2,,2,,,
GCF_016804965.fna.gz,spseudintermedius,150,1,2,1,1,1,1,10
GCF_016482125.fna.gz,spseudintermedius,-,1,2,4,4,11,5,3
GCF_016482225.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016804485.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_016804695.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_016804985.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_016126795.fna.gz,spseudintermedius,1880,2,2,3,4,1,2,31
GCF_016481265.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_016804865.fna.gz,spseudintermedius,150,1,2,1,1,1,1,10
GCF_014397465.fna.gz,spseudintermedius,1409,4,2,1,2,1,2,2
GCF_014397535.fna.gz,spseudintermedius,1413,1,2,47,2,7,1,26
GCF_016126735.fna.gz,spseudintermedius,-,1,1,4,1,3,1,7
GCF_016455165.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016455245.fna.gz,spseudintermedius,1248,1,2,1,2,7,1,26
GCF_016482245.fna.gz,spseudintermedius,-,4,1,1,4,11,3,2
GCF_016482325.fna.gz,spseudintermedius,-,4,1,1,4,11,3,2
GCF_016804765.fna.gz,spseudintermedius,496,1,1,2,4,1,2,9
GCF_016481935.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016481985.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016482585.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016804385.fna.gz,spseudintermedius,64,11,2,2,2,5,2,7
GCF_016804505.fna.gz,spseudintermedius,181,24,1,3,2,20,1,11
GCF_016804585.fna.gz,spseudintermedius,181,24,1,3,2,20,1,11
GCF_016804635.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016804785.fna.gz,spseudintermedius,181,24,1,3,2,20,1,11
GCF_014397475.fna.gz,spseudintermedius,1408,2,2,1,2,8,1,13
GCF_014397555.fna.gz,spseudintermedius,1406,1,2,1,2,7,2,9
GCF_016127335.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016481845.fna.gz,spseudintermedius,-,1,2,1,2,11,,24
GCF_016805005.fna.gz,spseudintermedius,301,1,2,1,4,11,2,18
GCF_016092595.fna.gz,spseudintermedius,1685,2,2,10,4,19,26,24
GCF_016455185.fna.gz,spseudintermedius,-,1,1,5,4,1,1,2
GCF_016455225.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016481855.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016482345.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016804425.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_016805055.fna.gz,spseudintermedius,551,1,1,5,2,1,1,9
GCF_016481945.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_016482005.fna.gz,spseudintermedius,301,1,2,1,4,11,2,18
GCF_016598895.fna.gz,spseudintermedius,-,,2,,2,,,
GCF_016804405.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_016804515.fna.gz,spseudintermedius,-,,1,1,1,1,1,10
GCF_016804605.fna.gz,spseudintermedius,1294,32,2,1,3,11,5,57
GCF_016804665.fna.gz,spseudintermedius,551,1,1,5,2,1,1,9
GCF_016804805.fna.gz,spseudintermedius,150,1,2,1,1,1,1,10
GCF_016403325.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016481685.fna.gz,spseudintermedius,1061,1,2,1,2,8,1,7
GCF_016804885.fna.gz,spseudintermedius,420,1,2,7,2,11,1,10
GCF_016103395.fna.gz,spseudintermedius,1685,2,2,10,4,19,26,24
GCF_016126695.fna.gz,spseudintermedius,-,20,2,6,1,7,1,13
GCF_016126755.fna.gz,spseudintermedius,-,1,1,2,2,14,1,7
GCF_016455205.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016455265.fna.gz,spseudintermedius,-,1,1,5,1,1,1,7
GCF_016482355.fna.gz,spseudintermedius,257,1,2,2,2,13,2,13
GCF_016482365.fna.gz,spseudintermedius,-,1,1,7,2,14,1,2
GCF_016482405.fna.gz,spseudintermedius,-,1,1,7,2,14,1,2
GCF_016482425.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016804545.fna.gz,spseudintermedius,157,11,2,2,2,5,1,11
GCF_016804565.fna.gz,spseudintermedius,157,11,2,2,2,5,1,11
GCF_016804625.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_016804725.fna.gz,spseudintermedius,420,1,2,7,2,11,1,10
GCF_016805085.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016482205.fna.gz,spseudintermedius,611,1,2,3,2,11,1,50
GCF_016482235.fna.gz,spseudintermedius,-,1,1,5,4,11,1,25
GCF_016804905.fna.gz,spseudintermedius,260,11,2,2,4,6,2,7
GCF_014397515.fna.gz,spseudintermedius,262,22,2,1,2,2,1,18
GCF_016126715.fna.gz,spseudintermedius,-,1,2,11,2,7,27,7
GCF_016126775.fna.gz,spseudintermedius,-,22,1,1,5,7,5,13
GCF_016482025.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016805025.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016805105.fna.gz,spseudintermedius,258,1,2,5,4,11,2,13
GCF_016805125.fna.gz,spseudintermedius,150,1,2,1,1,1,1,10
GCF_016805145.fna.gz,spseudintermedius,171,1,2,1,2,5,1,7
GCF_016805155.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016805185.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016805205.fna.gz,spseudintermedius,277,1,2,5,4,11,1,13
GCF_016805215.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_016805245.fna.gz,spseudintermedius,181,24,1,3,2,20,1,11
GCF_016805265.fna.gz,spseudintermedius,45,1,2,3,2,2,1,2
GCF_016805285.fna.gz,spseudintermedius,281,2,2,4,2,1,2,31
GCF_017795485.fna.gz,spseudintermedius,71,2,1,3,1,1,2,9
GCF_018868045.fna.gz,spseudintermedius,1609,1,2,12,2,1,2,10
GCF_018997125.fna.gz,spseudintermedius,-,64,1,4,,,1,
GCF_900636355.fna.gz,spseudintermedius,-,23,2,1,2,1,2,9
GCF_901542585.fna.gz,spseudintermedius,-,,1,1,4,15,1,2
GCF_903991915.fna.gz,spseudintermedius,944,4,1,5,2,1,2,13
GCF_903991925.fna.gz,spseudintermedius,943,1,2,1,2,7,1,2
GCF_903991935.fna.gz,spseudintermedius,980,1,1,5,4,2,1,2
GCF_903991945.fna.gz,spseudintermedius,946,1,2,1,1,8,4,6
