Genome,Scheme,ST,aroA,thrA,gki,dpr,recA,mutS,cpn60
GCF_000941735.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940095.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940335.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000944715.fna.gz,ssuis,864,23,18,4,52,33,14,39
GCF_000944895.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000876775.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000876875.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945595.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945775.fna.gz,ssuis,877,15,12,7,9,30,305,11
GCF_000937395.fna.gz,ssuis,94,8,4,45,5,22,44,21
GCF_000937675.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942495.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942615.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947735.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000993745.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_000936555.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936675.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_000938635.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000938795.fna.gz,ssuis,908,38,9,298,237,26,84,340
GCF_000943335.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943915.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940155.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940375.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944755.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_000944915.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946655.fna.gz,ssuis,947,37,204,294,239,20,75,41
GCF_000946835.fna.gz,ssuis,912,259,44,128,30,7,312,337
GCF_000945635.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945795.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_000941655.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941755.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000876795.fna.gz,ssuis,94,8,4,45,5,22,44,21
GCF_000876895.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942515.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_000942635.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000937535.fna.gz,ssuis,862,26,4,12,24,10,55,8
GCF_000937695.fna.gz,ssuis,890,25,113,254,235,38,117,13
GCF_000018185.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936695.fna.gz,ssuis,949,25,8,25,226,215,315,39
GCF_000936875.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_001272635.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_001293305.fna.gz,ssuis,76,8,12,24,36,22,21,23
GCF_000938835.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_000939075.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940395.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940595.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946875.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947055.fna.gz,ssuis,911,8,203,45,5,22,44,21
GCF_000944935.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945075.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943935.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944055.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945815.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945995.fna.gz,ssuis,878,15,11,12,9,30,305,68
GCF_000941775.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941915.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000876915.fna.gz,ssuis,107,1,1,1,43,1,1,1
GCF_000877015.fna.gz,ssuis,792,62,34,49,39,42,6,45
GCF_000942655.fna.gz,ssuis,790,23,106,128,5,46,14,25
GCF_000942795.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000937735.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000937915.fna.gz,ssuis,888,49,27,290,20,46,54,340
GCF_000936735.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_000936895.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_001293215.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_001293355.fna.gz,ssuis,787,2,25,34,5,3,270,30
GCF_000938915.fna.gz,ssuis,873,1,1,293,1,1,1,1
GCF_000939095.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943955.fna.gz,ssuis,910,157,206,300,224,38,117,346
GCF_000944075.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940415.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_000940635.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000876935.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000877035.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941795.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941955.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946915.fna.gz,ssuis,905,31,143,15,223,46,302,332
GCF_000947075.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944975.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945095.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945855.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946015.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942675.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942835.fna.gz,ssuis,27,31,25,34,5,3,31,30
GCF_000937755.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000937935.fna.gz,ssuis,884,49,12,14,231,46,16,340
GCF_001293235.fna.gz,ssuis,-,,25,34,5,3,31,30
GCF_001293375.fna.gz,ssuis,-,222,175,49,5,18,52,
GCF_000936795.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936915.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_000938935.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000939115.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943975.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944115.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_000876955.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000877055.fna.gz,ssuis,792,62,34,49,39,42,6,45
GCF_000940475.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940675.fna.gz,ssuis,27,31,25,34,5,3,31,30
GCF_000946935.fna.gz,ssuis,860,49,125,128,19,77,75,90
GCF_000947095.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941815.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942015.fna.gz,ssuis,950,43,36,296,227,217,304,340
GCF_000945015.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945135.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_000945875.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000946035.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942715.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942855.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000937775.fna.gz,ssuis,870,15,12,39,52,194,220,99
GCF_000937995.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936815.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936935.fna.gz,ssuis,144,1,1,1,1,1,1,30
GCF_001293245.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_001572685.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_000938955.fna.gz,ssuis,859,38,174,66,30,71,84,10
GCF_000939175.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943995.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944135.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000876975.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000877075.fna.gz,ssuis,144,1,1,1,1,1,1,30
GCF_000940495.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940715.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946955.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947235.fna.gz,ssuis,901,188,202,103,229,58,301,343
GCF_000941855.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942035.fna.gz,ssuis,-,2,,34,5,3,31,30
GCF_000945035.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945155.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000945935.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000946075.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942735.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942875.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000937815.fna.gz,ssuis,903,49,8,294,20,26,84,335
GCF_000938055.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936835.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936955.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_001293255.fna.gz,ssuis,25,9,25,34,5,3,30,30
GCF_001610935.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000939015.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000939235.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944035.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944175.fna.gz,ssuis,886,257,125,61,231,26,76,344
GCF_000876995.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000877095.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940575.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_000940735.fna.gz,ssuis,873,1,1,293,1,1,1,1
GCF_000946995.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947255.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941875.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000942055.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945055.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945215.fna.gz,ssuis,-,18,4,12,24,10,,8
GCF_000945975.fna.gz,ssuis,863,37,28,5,29,19,8,34
GCF_000946095.fna.gz,ssuis,858,38,149,15,45,26,84,75
GCF_000942755.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942895.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000937875.fna.gz,ssuis,27,31,25,34,5,3,31,30
GCF_000938075.fna.gz,ssuis,857,31,6,13,109,7,6,7
GCF_001293295.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936855.fna.gz,ssuis,876,37,36,296,227,217,304,339
GCF_000936975.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000938815.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000939055.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944215.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000944495.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000940755.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941275.fna.gz,ssuis,908,38,9,298,237,26,84,340
GCF_000877115.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000877235.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947335.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947475.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942075.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942195.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945255.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945375.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946115.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946215.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942935.fna.gz,ssuis,23,26,4,12,24,10,1,8
GCF_000943075.fna.gz,ssuis,23,26,4,12,24,10,1,8
GCF_000938095.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000938215.fna.gz,ssuis,911,8,203,45,5,22,44,21
GCF_002111405.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_000936995.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000937155.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000939315.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000939855.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941115.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_000941295.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944315.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944515.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000877135.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000935945.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_000947395.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947495.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000942095.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000942215.fna.gz,ssuis,882,35,29,9,27,28,308,36
GCF_000946135.fna.gz,ssuis,31,30,25,34,5,3,31,30
GCF_000946235.fna.gz,ssuis,27,31,25,34,5,3,31,30
GCF_000945275.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945395.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942975.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943115.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000938115.fna.gz,ssuis,867,18,25,34,5,3,31,30
GCF_000938375.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_001640765.fna.gz,ssuis,243,8,12,30,45,6,2,30
GCF_002157605.fna.gz,ssuis,752,8,23,264,5,22,44,21
GCF_000937015.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000937175.fna.gz,ssuis,911,8,203,45,5,22,44,21
GCF_000939375.fna.gz,ssuis,857,31,6,13,109,7,6,7
GCF_000939875.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941135.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941315.fna.gz,ssuis,948,25,8,295,226,215,315,39
GCF_000944335.fna.gz,ssuis,896,255,178,286,112,58,309,152
GCF_000944535.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_000877155.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936025.fna.gz,ssuis,885,256,56,128,232,26,220,344
GCF_000947415.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947515.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942115.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942235.fna.gz,ssuis,105,1,1,52,1,1,1,1
GCF_000946155.fna.gz,ssuis,873,1,1,293,1,1,1,1
GCF_000946255.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000945295.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945415.fna.gz,ssuis,868,30,4,12,24,10,1,8
GCF_000942995.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943175.fna.gz,ssuis,875,202,12,39,18,216,52,6
GCF_000938135.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000938415.fna.gz,ssuis,891,1,1,299,1,1,1,1
GCF_001721625.fna.gz,ssuis,243,8,12,30,45,6,2,30
GCF_002189695.fna.gz,ssuis,658,1,162,1,1,1,1,1
GCF_000937035.fna.gz,ssuis,880,157,178,11,228,36,307,341
GCF_000937195.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000939715.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_000939895.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941175.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941355.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000877175.fna.gz,ssuis,951,1,1,1,1,1,316,1
GCF_000936045.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944375.fna.gz,ssuis,879,63,8,297,21,30,7,68
GCF_000944555.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942135.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000942295.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947435.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947535.fna.gz,ssuis,887,114,8,188,58,219,310,342
GCF_000946175.fna.gz,ssuis,873,1,1,293,1,1,1,1
GCF_000946355.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945335.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000945435.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943035.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000943195.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000938155.fna.gz,ssuis,907,8,4,34,238,21,30,30
GCF_000938435.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_001866735.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_002285535.fna.gz,ssuis,785,222,175,49,5,18,52,282
GCF_000937055.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000937215.fna.gz,ssuis,891,1,1,299,1,1,1,1
GCF_000939735.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000939915.fna.gz,ssuis,87,18,4,12,24,10,1,8
GCF_000941235.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000941375.fna.gz,ssuis,874,38,8,7,20,214,5,344
GCF_000877195.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936145.fna.gz,ssuis,29,8,25,34,5,3,30,30
GCF_000944415.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944575.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942175.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000942315.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000947455.fna.gz,ssuis,913,21,56,128,225,26,76,344
GCF_000947555.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000946195.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000946395.fna.gz,ssuis,105,1,1,52,1,1,1,1
GCF_000945355.fna.gz,ssuis,28,2,25,34,5,3,31,30
GCF_000945455.fna.gz,ssuis,897,13,205,287,233,38,117,77
GCF_000938195.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000938455.fna.gz,ssuis,875,202,12,39,18,216,52,6
GCF_000943055.fna.gz,ssuis,915,260,207,292,193,39,25,338
GCF_000943215.fna.gz,ssuis,914,25,29,291,27,69,308,344
GCF_000937075.fna.gz,ssuis,27,31,25,34,5,3,31,30
GCF_000937235.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_001936415.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_002285735.fna.gz,ssuis,76,8,12,24,36,22,21,23
GCF_000939795.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000939935.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941255.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000941415.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000877215.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000936285.fna.gz,ssuis,871,25,12,4,9,30,7,68
GCF_000944195.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_000944455.fna.gz,ssuis,856,8,25,34,5,3,31,30
GCF_002960005.fna.gz,ssuis,-,,267,304,,184,,348
GCF_002960185.fna.gz,ssuis,-,16,61,129,23,34,65,58
GCF_002960395.fna.gz,ssuis,-,214,232,235,131,,380,300
GCF_002960565.fna.gz,ssuis,929,16,51,281,23,35,293,329
GCF_002960775.fna.gz,ssuis,927,63,12,280,2,64,43,33
GCF_002961045.fna.gz,ssuis,-,87,12,86,71,123,84,106
GCF_002961305.fna.gz,ssuis,-,,,,,,,
GCF_002961565.fna.gz,ssuis,930,248,138,282,216,77,294,330
GCF_000943235.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_002960195.fna.gz,ssuis,-,38,64,162,,17,,
GCF_002960425.fna.gz,ssuis,-,,,,,,,
GCF_002960605.fna.gz,ssuis,-,149,61,164,133,34,,110
GCF_002960805.fna.gz,ssuis,926,93,53,165,75,91,292,328
GCF_002961055.fna.gz,ssuis,-,87,12,86,71,123,84,106
GCF_002961315.fna.gz,ssuis,-,91,111,,133,,113,
GCF_002961605.fna.gz,ssuis,931,249,55,86,52,91,292,66
GCF_000941475.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_002961075.fna.gz,ssuis,7,1,3,1,1,1,1,1
GCF_002961325.fna.gz,ssuis,-,15,11,7,5,162,220,193
GCF_002961625.fna.gz,ssuis,-,62,62,54,58,42,,85
GCF_000936305.fna.gz,ssuis,1,1,1,1,1,1,1,1
GCF_002759735.fna.gz,ssuis,406,142,111,158,74,113,109,77
GCF_002760105.fna.gz,ssuis,453,91,111,167,99,129,133,182
