Genome,Scheme,ST,Moraxella_catarrhalis_MLST_trpE,Moraxella_catarrhalis_MLST_efp,Moraxella_catarrhalis_MLST_ppa,Moraxella_catarrhalis_MLST_glyBeta,Moraxella_catarrhalis_MLST_abcZ,Moraxella_catarrhalis_MLST_adk,Moraxella_catarrhalis_MLST_mutY,Moraxella_catarrhalis_MLST_fumC
GCF_002984125.fna.gz,mcatarrhalis,172,2,6,8,6,34,3,3,3
GCF_003625655.fna.gz,mcatarrhalis,70,2,2,21,31,28,3,31,3
GCF_009378075.fna.gz,mcatarrhalis,188,2,6,8,3,3,3,22,9
GCF_001062845.fna.gz,mcatarrhalis,374,2,2,3,29,22,22,31,18
GCF_001656255.fna.gz,mcatarrhalis,52,1,11,22,28,15,4,16,5
GCF_003625835.fna.gz,mcatarrhalis,41,2,2,2,20,2,8,22,18
GCF_003625855.fna.gz,mcatarrhalis,41,2,2,2,20,2,8,22,18
GCF_003625935.fna.gz,mcatarrhalis,443,2,2,3,2,2,2,31,53
GCF_003626295.fna.gz,mcatarrhalis,444,2,3,2,20,9,6,9,7
GCF_009378275.fna.gz,mcatarrhalis,25,2,3,3,18,3,3,3,4
GCF_001656475.fna.gz,mcatarrhalis,37,3,13,18,23,19,15,20,17
GCF_001656175.fna.gz,mcatarrhalis,1,1,1,1,1,1,1,1,1
GCF_001679345.fna.gz,mcatarrhalis,916,2,12,3,50,36,6,26,2
GCF_003625545.fna.gz,mcatarrhalis,41,2,2,2,20,2,8,22,18
GCF_003625785.fna.gz,mcatarrhalis,227,2,2,3,57,3,3,3,9
GCF_003625975.fna.gz,mcatarrhalis,371,2,3,3,77,8,6,26,2
GCF_003626305.fna.gz,mcatarrhalis,444,2,3,2,20,9,6,9,7
GCF_009378315.fna.gz,mcatarrhalis,-,2,,3,,3,18,9,2
GCF_001632285.fna.gz,mcatarrhalis,54,2,3,23,30,8,24,3,7
GCF_003625555.fna.gz,mcatarrhalis,41,2,2,2,20,2,8,22,18
GCF_009378035.fna.gz,mcatarrhalis,-,,1,100,,51,5,5,6
GCF_001656375.fna.gz,mcatarrhalis,116,14,19,30,45,33,29,38,22
GCF_003626055.fna.gz,mcatarrhalis,442,2,3,17,109,3,3,15,3
GCF_009378055.fna.gz,mcatarrhalis,-,37,,,,30,,,
GCF_001063475.fna.gz,mcatarrhalis,371,2,3,3,77,8,6,26,2
GCF_001656275.fna.gz,mcatarrhalis,-,12,15,4,60,45,,49,5
GCF_001656495.fna.gz,mcatarrhalis,23,9,1,16,12,16,15,17,15
GCF_001679075.fna.gz,mcatarrhalis,140,3,24,16,12,38,15,44,15
GCF_001997265.fna.gz,mcatarrhalis,98,2,12,3,20,24,25,6,7
GCF_003626335.fna.gz,mcatarrhalis,441,12,15,4,26,23,41,25,5
GCF_009378325.fna.gz,mcatarrhalis,-,2,3,28,,42,17,9,7
GCF_001656195.fna.gz,mcatarrhalis,169,1,27,40,59,38,4,25,5
GCF_003625665.fna.gz,mcatarrhalis,440,2,3,8,15,2,17,15,2
GCF_003625675.fna.gz,mcatarrhalis,435,2,6,23,57,8,25,22,4
GCF_003625805.fna.gz,mcatarrhalis,434,2,3,8,15,2,20,15,2
GCF_003625985.fna.gz,mcatarrhalis,46,11,7,20,25,21,4,24,12
GCF_003626355.fna.gz,mcatarrhalis,184,2,6,2,57,8,25,22,4
GCF_009378355.fna.gz,mcatarrhalis,950,2,3,3,15,2,20,15,2
GCF_001656095.fna.gz,mcatarrhalis,170,12,15,4,60,45,37,49,5
GCF_001656385.fna.gz,mcatarrhalis,1,1,1,1,1,1,1,1,1
GCF_003443935.fna.gz,mcatarrhalis,-,2,2,3,,8,8,,7
GCF_003626115.fna.gz,mcatarrhalis,46,11,7,20,25,21,4,24,12
GCF_009378135.fna.gz,mcatarrhalis,191,2,2,42,46,52,8,15,2
GCF_001064655.fna.gz,mcatarrhalis,372,2,6,3,14,3,8,28,3
GCF_001656285.fna.gz,mcatarrhalis,-,37,11,58,,23,41,24,5
GCF_003625865.fna.gz,mcatarrhalis,41,2,2,2,20,2,8,22,18
GCF_003625895.fna.gz,mcatarrhalis,436,2,2,9,10,27,18,9,2
GCF_003626005.fna.gz,mcatarrhalis,46,11,7,20,25,21,4,24,12
GCF_003626095.fna.gz,mcatarrhalis,41,2,2,2,20,2,8,22,18
GCF_003626105.fna.gz,mcatarrhalis,203,2,12,3,32,9,6,3,20
GCF_003626385.fna.gz,mcatarrhalis,184,2,6,2,57,8,25,22,4
GCF_003626415.fna.gz,mcatarrhalis,184,2,6,2,57,8,25,22,4
GCF_003626425.fna.gz,mcatarrhalis,438,35,49,77,108,71,1,90,52
GCF_003626455.fna.gz,mcatarrhalis,437,2,2,3,107,2,17,89,4
GCF_009378155.fna.gz,mcatarrhalis,40,2,2,3,10,9,20,9,7
GCF_003626215.fna.gz,mcatarrhalis,70,2,2,21,31,28,3,31,3
GCF_003626235.fna.gz,mcatarrhalis,440,2,3,8,15,2,17,15,2
GCF_003971305.fna.gz,mcatarrhalis,224,2,2,3,57,53,3,3,3
GCF_003971325.fna.gz,mcatarrhalis,156,2,2,3,29,22,22,47,18
GCF_009378165.fna.gz,mcatarrhalis,-,2,2,17,,2,18,18,3
GCF_009378185.fna.gz,mcatarrhalis,131,2,3,3,6,34,25,3,7
GCF_009378375.fna.gz,mcatarrhalis,-,2,3,28,,42,17,9,7
GCF_003985315.fna.gz,mcatarrhalis,544,2,3,3,29,22,2,3,18
GCF_009378085.fna.gz,mcatarrhalis,946,2,3,3,57,3,3,125,4
GCF_009378105.fna.gz,mcatarrhalis,-,2,,2,20,8,34,6,3
GCF_009378395.fna.gz,mcatarrhalis,951,2,2,3,14,2,3,9,3
GCF_009378405.fna.gz,mcatarrhalis,-,2,2,3,21,,2,9,9
GCF_009378425.fna.gz,mcatarrhalis,-,2,2,3,21,,2,9,9
GCF_009378455.fna.gz,mcatarrhalis,50,2,3,3,3,25,18,9,4
GCF_009378475.fna.gz,mcatarrhalis,-,2,2,,34,29,2,29,3
GCF_009378485.fna.gz,mcatarrhalis,953,2,11,3,10,2,17,6,2
GCF_009378515.fna.gz,mcatarrhalis,64,2,12,3,3,2,17,3,2
GCF_009378535.fna.gz,mcatarrhalis,140,3,24,16,12,38,15,44,15
GCF_009378555.fna.gz,mcatarrhalis,955,2,3,52,43,3,76,3,9
GCF_009378575.fna.gz,mcatarrhalis,-,2,2,,15,,28,3,4
GCF_009378585.fna.gz,mcatarrhalis,-,2,,2,2,2,2,2,3
GCF_009378595.fna.gz,mcatarrhalis,374,2,2,3,29,22,22,31,18
GCF_009378635.fna.gz,mcatarrhalis,957,2,6,8,15,2,20,15,3
GCF_009378645.fna.gz,mcatarrhalis,224,2,2,3,57,53,3,3,3
GCF_009378675.fna.gz,mcatarrhalis,-,2,2,9,2,8,8,3,2
GCF_009378685.fna.gz,mcatarrhalis,224,2,2,3,57,53,3,3,3
GCF_009378715.fna.gz,mcatarrhalis,224,2,2,3,57,53,3,3,3
GCF_009378725.fna.gz,mcatarrhalis,217,2,12,3,29,8,18,3,3
GCF_009378755.fna.gz,mcatarrhalis,608,2,2,95,31,3,3,31,3
GCF_009378775.fna.gz,mcatarrhalis,666,2,2,3,37,53,3,3,3
GCF_009378795.fna.gz,mcatarrhalis,73,2,2,17,2,2,3,19,3
GCF_009378815.fna.gz,mcatarrhalis,118,2,2,3,46,2,25,9,3
GCF_009378825.fna.gz,mcatarrhalis,67,2,2,3,3,2,17,3,3
GCF_009378835.fna.gz,mcatarrhalis,-,2,6,17,,3,18,15,3
GCF_009378865.fna.gz,mcatarrhalis,958,2,6,2,57,8,3,22,4
GCF_009378895.fna.gz,mcatarrhalis,62,2,2,25,2,8,26,22,3
GCF_009378915.fna.gz,mcatarrhalis,-,38,,88,120,,,,66
GCF_009378925.fna.gz,mcatarrhalis,498,2,55,8,15,3,18,15,2
GCF_009378935.fna.gz,mcatarrhalis,46,11,7,20,25,21,4,24,12
GCF_009378945.fna.gz,mcatarrhalis,184,2,6,2,57,8,25,22,4
GCF_009378995.fna.gz,mcatarrhalis,960,2,2,3,14,8,3,29,3
GCF_009379015.fna.gz,mcatarrhalis,589,2,59,3,57,53,3,3,3
GCF_009379035.fna.gz,mcatarrhalis,961,2,3,3,50,8,6,19,3
GCF_009379045.fna.gz,mcatarrhalis,960,2,2,3,14,8,3,29,3
GCF_009379055.fna.gz,mcatarrhalis,70,2,2,21,31,28,3,31,3
GCF_009379095.fna.gz,mcatarrhalis,64,2,12,3,3,2,17,3,2
GCF_009379115.fna.gz,mcatarrhalis,962,2,6,3,15,3,3,15,2
GCF_009379135.fna.gz,mcatarrhalis,540,2,20,17,128,8,17,3,3
GCF_009379145.fna.gz,mcatarrhalis,966,2,2,3,46,52,8,15,2
GCF_009379155.fna.gz,mcatarrhalis,436,2,2,9,10,27,18,9,2
GCF_009379195.fna.gz,mcatarrhalis,4,2,3,3,3,3,3,3,4
GCF_009379215.fna.gz,mcatarrhalis,-,2,3,,6,2,18,3,7
GCF_009379235.fna.gz,mcatarrhalis,-,2,6,3,37,8,,9,2
GCF_009379245.fna.gz,mcatarrhalis,-,2,2,25,2,27,,22,3
GCF_009379265.fna.gz,mcatarrhalis,4,2,3,3,3,3,3,3,4
GCF_009379285.fna.gz,mcatarrhalis,969,2,2,3,42,40,34,3,3
GCF_009379305.fna.gz,mcatarrhalis,540,2,20,17,128,8,17,3,3
GCF_009379335.fna.gz,mcatarrhalis,966,2,2,3,46,52,8,15,2
GCF_009379345.fna.gz,mcatarrhalis,157,2,2,2,20,2,23,2,3
GCF_009379375.fna.gz,mcatarrhalis,962,2,6,3,15,3,3,15,2
GCF_009379395.fna.gz,mcatarrhalis,374,2,2,3,29,22,22,31,18
GCF_009379405.fna.gz,mcatarrhalis,74,2,2,21,34,29,2,29,3
GCF_009379425.fna.gz,mcatarrhalis,209,2,3,9,20,9,6,9,7
GCF_009379455.fna.gz,mcatarrhalis,-,2,2,25,2,,26,22,3
GCF_009379475.fna.gz,mcatarrhalis,968,2,12,9,10,9,6,3,7
GCF_009379495.fna.gz,mcatarrhalis,540,2,20,17,128,8,17,3,3
GCF_009379515.fna.gz,mcatarrhalis,969,2,2,3,42,40,34,3,3
GCF_009379535.fna.gz,mcatarrhalis,969,2,2,3,42,40,34,3,3
GCF_009379545.fna.gz,mcatarrhalis,-,2,2,3,,8,8,3,4
GCF_009379565.fna.gz,mcatarrhalis,399,2,2,17,17,8,3,9,2
GCF_009379585.fna.gz,mcatarrhalis,224,2,2,3,57,53,3,3,3
GCF_009379615.fna.gz,mcatarrhalis,408,2,2,3,57,3,3,67,3
GCF_009379625.fna.gz,mcatarrhalis,41,2,2,2,20,2,8,22,18
GCF_009379655.fna.gz,mcatarrhalis,-,2,2,25,2,,26,22,3
GCF_009379675.fna.gz,mcatarrhalis,105,2,12,3,37,8,25,9,2
GCF_009379685.fna.gz,mcatarrhalis,11,5,2,8,8,3,8,8,9
GCF_009379715.fna.gz,mcatarrhalis,971,2,2,36,57,53,3,3,3
GCF_010603895.fna.gz,mcatarrhalis,462,2,2,3,2,2,2,31,3
GCF_010603915.fna.gz,mcatarrhalis,912,2,2,2,20,162,8,22,18
GCF_010603965.fna.gz,mcatarrhalis,205,2,2,3,29,22,9,31,18
GCF_010603985.fna.gz,mcatarrhalis,915,1,11,135,219,45,10,170,146
GCF_010604025.fna.gz,mcatarrhalis,913,2,2,9,10,27,18,171,2
GCF_010604075.fna.gz,mcatarrhalis,914,1,104,66,12,38,41,11,147
GCF_010612395.fna.gz,mcatarrhalis,11,5,2,8,8,3,8,8,9
GCF_900453075.fna.gz,mcatarrhalis,-,15,21,32,51,37,,42,26
GCF_900453095.fna.gz,mcatarrhalis,-,1,7,,,67,10,12,12
GCF_900476075.fna.gz,mcatarrhalis,54,2,3,23,30,8,24,3,7
GCF_000092265.fna.gz,mcatarrhalis,128,2,2,3,32,8,30,3,7
GCF_000192905.fna.gz,mcatarrhalis,82,2,3,3,3,3,18,9,4
GCF_000192925.fna.gz,mcatarrhalis,187,2,2,41,2,8,26,22,3
GCF_000192945.fna.gz,mcatarrhalis,930,2,2,8,83,3,20,15,7
GCF_000192985.fna.gz,mcatarrhalis,216,2,3,3,6,25,18,9,4
GCF_000193005.fna.gz,mcatarrhalis,217,2,12,3,29,8,18,3,3
GCF_000193025.fna.gz,mcatarrhalis,162,2,12,3,20,2,2,6,7
GCF_000193045.fna.gz,mcatarrhalis,199,2,2,9,2,8,8,3,3
GCF_000193065.fna.gz,mcatarrhalis,218,2,2,25,2,8,26,3,3
GCF_000193085.fna.gz,mcatarrhalis,146,2,2,8,57,2,6,22,4
GCF_000302495.fna.gz,mcatarrhalis,-,2,3,3,20,,6,9,2
GCF_000740455.fna.gz,mcatarrhalis,172,2,6,8,6,34,3,3,3
