Genome,Scheme,ST,lepA,trpB,gltB,recA,phaC,gyrB,atpD
GCF_001530105.fna.gz,bcepacia_complex,1602,595,53,455,103,3,1031,235
GCF_001530905.fna.gz,bcepacia_complex,1586,652,645,709,1,1,1060,534
GCF_001531505.fna.gz,bcepacia_complex,1605,659,645,195,103,1,1055,66
GCF_001531525.fna.gz,bcepacia_complex,1604,658,21,707,103,499,1054,4
GCF_001531905.fna.gz,bcepacia_complex,1580,1,388,195,1,1,1053,530
GCF_001532125.fna.gz,bcepacia_complex,1599,1,21,386,103,487,1027,523
GCF_001532525.fna.gz,bcepacia_complex,698,369,190,121,322,101,518,6
GCF_001532555.fna.gz,bcepacia_complex,698,369,190,121,322,101,518,6
GCF_001532705.fna.gz,bcepacia_complex,1595,108,644,182,37,39,418,531
GCF_001533445.fna.gz,bcepacia_complex,1596,646,21,58,37,3,48,75
GCF_002407525.fna.gz,bcepacia_complex,10,4,48,4,4,4,44,5
GCF_002968055.fna.gz,bcepacia_complex,-,127,,,,,,104
GCF_001718395.fna.gz,bcepacia_complex,1600,3,636,698,103,491,1038,75
GCF_003546465.fna.gz,bcepacia_complex,10,4,48,4,4,4,44,5
GCF_003857515.fna.gz,bcepacia_complex,1447,41,593,55,551,101,955,6
GCF_000292915.fna.gz,bcepacia_complex,1760,736,710,456,656,567,1139,594
GCF_004376865.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_004377105.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_004377495.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_004377615.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_004377645.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_004377675.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_004377685.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_004377745.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_004377805.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_004377815.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_004377825.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_004798465.fna.gz,bcepacia_complex,1578,644,190,691,114,286,1023,6
GCF_006094315.fna.gz,bcepacia_complex,10,4,48,4,4,4,44,5
GCF_007829215.fna.gz,bcepacia_complex,-,591,115,,,4,,504
GCF_009586235.fna.gz,bcepacia_complex,-,38,,354,,93,,
GCF_011140355.fna.gz,bcepacia_complex,1485,1,21,654,103,1,969,66
GCF_013336605.fna.gz,bcepacia_complex,-,,48,354,,62,,
GCF_013336635.fna.gz,bcepacia_complex,266,41,190,182,183,95,249,102
GCF_014141625.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014141955.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014141995.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142045.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142065.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142075.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142095.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142175.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142185.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142285.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142305.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142315.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142325.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142385.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142395.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142465.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142475.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142565.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014142595.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_014854795.fna.gz,bcepacia_complex,-,647,,,103,1,,66
GCF_014892615.fna.gz,bcepacia_complex,-,3,21,697,1,1,,4
GCF_016092225.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_016092265.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_016092295.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_016092315.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_016505945.fna.gz,bcepacia_complex,1535,628,617,120,357,4,993,6
GCF_900111715.fna.gz,bcepacia_complex,-,,,,,101,,6
GCF_900446175.fna.gz,bcepacia_complex,-,4,48,4,4,4,44,
GCF_900446185.fna.gz,bcepacia_complex,1,2,1,1,1,1,1,1
GCF_902825095.fna.gz,bcepacia_complex,9,42,21,93,103,1,96,91
GCF_902829425.fna.gz,bcepacia_complex,-,365,592,,113,,,6
GCF_902830615.fna.gz,bcepacia_complex,938,41,102,94,53,94,649,5
GCF_902830625.fna.gz,bcepacia_complex,10,4,48,4,4,4,44,5
GCF_902830635.fna.gz,bcepacia_complex,1,2,1,1,1,1,1,1
GCF_902830645.fna.gz,bcepacia_complex,770,4,103,95,336,95,313,5
GCF_902830655.fna.gz,bcepacia_complex,268,3,194,195,1,1,263,4
GCF_902830665.fna.gz,bcepacia_complex,937,3,53,3,3,3,498,4
GCF_902830675.fna.gz,bcepacia_complex,6,3,53,109,3,40,49,66
GCF_902830685.fna.gz,bcepacia_complex,1,2,1,1,1,1,1,1
GCF_902830695.fna.gz,bcepacia_complex,124,108,48,73,113,95,131,100
GCF_902830705.fna.gz,bcepacia_complex,128,41,115,119,114,101,132,101
GCF_902830715.fna.gz,bcepacia_complex,-,,3,,37,4,,6
GCF_902830735.fna.gz,bcepacia_complex,266,41,190,182,183,95,249,102
GCF_902830745.fna.gz,bcepacia_complex,124,108,48,73,113,95,131,100
GCF_902830755.fna.gz,bcepacia_complex,939,41,427,120,385,101,543,102
GCF_902830765.fna.gz,bcepacia_complex,-,1,,,37,496,,2
GCF_902830785.fna.gz,bcepacia_complex,-,1,,,37,496,,2
GCF_902830795.fna.gz,bcepacia_complex,-,585,21,58,103,1,,181
GCF_902830805.fna.gz,bcepacia_complex,-,,3,,37,4,,6
GCF_904865725.fna.gz,bcepacia_complex,-,11,147,11,14,6,545,15
GCF_000473485.fna.gz,bcepacia_complex,10,4,48,4,4,4,44,5
GCF_000504665.fna.gz,bcepacia_complex,44,33,44,49,47,36,41,65
GCF_000701165.fna.gz,bcepacia_complex,1331,316,146,577,149,410,304,124
GCF_000724975.fna.gz,bcepacia_complex,1618,657,643,706,597,498,1052,180
GCF_001521915.fna.gz,bcepacia_complex,1613,649,21,386,593,3,1037,1
