Genome,Scheme,ST,pgi,atpG,adk,mdh,frdB,recA,fucK
GCF_002984665.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002984145.fna.gz,hinfluenzae,2,4,7,14,16,1,1,15
GCF_002985265.fna.gz,hinfluenzae,432,42,1,1,67,97,5,1
GCF_002985345.fna.gz,hinfluenzae,41,12,4,17,7,17,11,1
GCF_000833855.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_005888205.fna.gz,hinfluenzae,-,33,26,,36,24,21,21
GCF_007897005.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_001184545.fna.gz,hinfluenzae,329,1,1,1,31,1,5,1
GCF_001679415.fna.gz,hinfluenzae,36,14,21,16,29,14,3,16
GCF_001949825.fna.gz,hinfluenzae,-,44,1,132,60,38,5,
GCF_002984925.fna.gz,hinfluenzae,404,111,1,1,49,1,5,14
GCF_002985045.fna.gz,hinfluenzae,203,62,1,52,89,1,37,14
GCF_001055565.fna.gz,hinfluenzae,-,,,,333,,179,
GCF_002966735.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002983825.fna.gz,hinfluenzae,33,6,10,1,1,1,5,1
GCF_002093265.fna.gz,hinfluenzae,203,62,1,52,89,1,37,14
GCF_002985585.fna.gz,hinfluenzae,136,42,1,1,67,1,5,1
GCF_002985685.fna.gz,hinfluenzae,170,21,7,14,15,1,1,30
GCF_002984585.fna.gz,hinfluenzae,156,56,2,26,22,15,3,7
GCF_002984165.fna.gz,hinfluenzae,98,13,7,14,17,13,1,15
GCF_005888215.fna.gz,hinfluenzae,65,33,26,24,36,24,21,21
GCF_007897025.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002985285.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_000833875.fna.gz,hinfluenzae,34,26,2,11,28,15,3,8
GCF_001184555.fna.gz,hinfluenzae,423,62,1,1,74,1,37,14
GCF_001184645.fna.gz,hinfluenzae,546,136,33,5,26,7,29,32
GCF_001856725.fna.gz,hinfluenzae,23,11,16,13,3,5,7,2
GCF_001975845.fna.gz,hinfluenzae,-,28,6,18,10,3,12,
GCF_002984945.fna.gz,hinfluenzae,1372,227,125,181,247,161,21,18
GCF_002985125.fna.gz,hinfluenzae,680,142,8,33,17,108,29,16
GCF_001055615.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_002983745.fna.gz,hinfluenzae,-,25,1,1,13,1,16,
GCF_002983845.fna.gz,hinfluenzae,33,6,10,1,1,1,5,1
GCF_002093275.fna.gz,hinfluenzae,143,1,1,1,15,1,5,38
GCF_002985605.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_002985705.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002984595.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_002984185.fna.gz,hinfluenzae,414,1,8,16,29,16,3,16
GCF_005888265.fna.gz,hinfluenzae,65,33,26,24,36,24,21,21
GCF_007897045.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_001184595.fna.gz,hinfluenzae,2425,2,8,39,63,35,33,28
GCF_000833895.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_001908955.fna.gz,hinfluenzae,-,1,11,33,7,232,3,8
GCF_001949855.fna.gz,hinfluenzae,-,1,33,47,66,7,29,
GCF_002984955.fna.gz,hinfluenzae,98,13,7,14,17,13,1,15
GCF_002985065.fna.gz,hinfluenzae,1331,145,82,121,167,109,97,1
GCF_001056575.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_002985305.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002985365.fna.gz,hinfluenzae,582,13,80,1,1,1,5,1
GCF_002983755.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002093285.fna.gz,hinfluenzae,1069,1,107,14,22,1,5,1
GCF_002985615.fna.gz,hinfluenzae,265,2,51,60,15,16,31,48
GCF_002985725.fna.gz,hinfluenzae,-,25,1,1,13,1,16,
GCF_002984615.fna.gz,hinfluenzae,253,2,51,60,15,16,31,46
GCF_002984225.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_007896915.fna.gz,hinfluenzae,119,47,14,10,4,4,8,5
GCF_007897085.fna.gz,hinfluenzae,836,1,11,1,62,18,5,18
GCF_001184615.fna.gz,hinfluenzae,66,28,6,18,10,3,12,11
GCF_000833915.fna.gz,hinfluenzae,145,14,8,1,22,1,13,14
GCF_001909005.fna.gz,hinfluenzae,36,14,21,16,29,14,3,16
GCF_001949875.fna.gz,hinfluenzae,-,44,1,132,60,38,5,
GCF_002984985.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_002985105.fna.gz,hinfluenzae,398,114,1,1,89,1,37,14
GCF_002985315.fna.gz,hinfluenzae,253,2,51,60,15,16,31,46
GCF_002985425.fna.gz,hinfluenzae,1337,1,24,1,55,18,139,14
GCF_001057195.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_002983805.fna.gz,hinfluenzae,46,1,25,1,15,1,5,14
GCF_002983885.fna.gz,hinfluenzae,215,1,1,1,98,54,5,14
GCF_002237715.fna.gz,hinfluenzae,124,19,19,22,22,11,15,11
GCF_002985625.fna.gz,hinfluenzae,2,4,7,14,16,1,1,15
GCF_002985745.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002984645.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002984685.fna.gz,hinfluenzae,12,25,1,1,13,1,16,13
GCF_002984255.fna.gz,hinfluenzae,203,62,1,52,89,1,37,14
GCF_008586805.fna.gz,hinfluenzae,65,33,26,24,36,24,21,21
GCF_010367335.fna.gz,hinfluenzae,422,21,7,14,1,1,1,30
GCF_001184655.fna.gz,hinfluenzae,524,8,9,42,7,8,4,2
GCF_000833935.fna.gz,hinfluenzae,145,14,8,1,22,1,13,14
GCF_001997355.fna.gz,hinfluenzae,44,3,14,10,4,4,8,3
GCF_002966635.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_002985175.fna.gz,hinfluenzae,156,56,2,26,22,15,3,7
GCF_002985465.fna.gz,hinfluenzae,1339,143,81,179,167,16,97,58
GCF_002986055.fna.gz,hinfluenzae,411,21,7,14,1,13,1,30
GCF_002987175.fna.gz,hinfluenzae,630,41,33,42,26,7,29,1
GCF_001058575.fna.gz,hinfluenzae,-,338,171,243,336,223,181,
GCF_002983905.fna.gz,hinfluenzae,1327,145,103,152,74,109,97,7
GCF_002984065.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_002915495.fna.gz,hinfluenzae,23,11,16,13,3,5,7,2
GCF_002985785.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002986235.fna.gz,hinfluenzae,85,38,2,30,22,15,3,7
GCF_002984725.fna.gz,hinfluenzae,34,26,2,11,28,15,3,8
GCF_002984305.fna.gz,hinfluenzae,263,55,14,28,16,1,1,1
GCF_008586825.fna.gz,hinfluenzae,65,33,26,24,36,24,21,21
GCF_010603795.fna.gz,hinfluenzae,-,44,1,132,60,38,5,
GCF_001184695.fna.gz,hinfluenzae,147,1,24,1,55,18,5,14
GCF_000877255.fna.gz,hinfluenzae,13,8,9,3,14,8,4,4
GCF_002073475.fna.gz,hinfluenzae,47,5,15,5,7,7,11,9
GCF_002966655.fna.gz,hinfluenzae,156,56,2,26,22,15,3,7
GCF_002985205.fna.gz,hinfluenzae,136,42,1,1,67,1,5,1
GCF_002985485.fna.gz,hinfluenzae,260,57,8,11,90,29,35,7
GCF_002986125.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_002987225.fna.gz,hinfluenzae,66,28,6,18,10,3,12,11
GCF_001059125.fna.gz,hinfluenzae,-,337,170,240,333,222,179,
GCF_002983925.fna.gz,hinfluenzae,34,26,2,11,28,15,3,8
GCF_002984445.fna.gz,hinfluenzae,145,14,8,1,22,1,13,14
GCF_002985925.fna.gz,hinfluenzae,349,13,14,28,62,13,1,1
GCF_002986965.fna.gz,hinfluenzae,630,41,33,42,26,7,29,1
GCF_002917845.fna.gz,hinfluenzae,6,7,14,10,4,4,8,5
GCF_002984705.fna.gz,hinfluenzae,432,42,1,1,67,97,5,1
GCF_002984825.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002984325.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_002835625.fna.gz,hinfluenzae,53,7,14,10,4,5,8,7
GCF_002985145.fna.gz,hinfluenzae,1332,21,1,52,15,1,5,14
GCF_002986245.fna.gz,hinfluenzae,147,1,24,1,55,18,5,14
GCF_008831525.fna.gz,hinfluenzae,43,17,22,1,32,19,2,19
GCF_010603865.fna.gz,hinfluenzae,145,14,8,1,22,1,13,14
GCF_000931575.fna.gz,hinfluenzae,1,1,1,1,15,1,5,14
GCF_002985525.fna.gz,hinfluenzae,260,57,8,11,90,29,35,7
GCF_002986385.fna.gz,hinfluenzae,147,1,24,1,55,18,5,14
GCF_001059185.fna.gz,hinfluenzae,-,331,169,242,335,218,176,
GCF_002983945.fna.gz,hinfluenzae,1341,1,1,1,98,54,5,106
GCF_002984455.fna.gz,hinfluenzae,33,6,10,1,1,1,5,1
GCF_002917855.fna.gz,hinfluenzae,368,3,4,3,54,17,34,11
GCF_002985805.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_002986425.fna.gz,hinfluenzae,41,12,4,17,7,17,11,1
GCF_002984745.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_002984345.fna.gz,hinfluenzae,1331,145,82,121,167,109,97,1
GCF_001184705.fna.gz,hinfluenzae,1160,213,6,99,78,35,124,54
GCF_002093175.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_002966675.fna.gz,hinfluenzae,156,56,2,26,22,15,3,7
GCF_002985955.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002987015.fna.gz,hinfluenzae,260,57,8,11,90,29,35,7
GCF_000636055.fna.gz,hinfluenzae,2419,64,1,26,79,46,29,15
GCF_000931605.fna.gz,hinfluenzae,244,2,11,55,102,16,3,14
GCF_001007605.fna.gz,hinfluenzae,321,13,14,28,62,1,1,1
GCF_002986025.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_002987085.fna.gz,hinfluenzae,630,41,33,42,26,7,29,1
GCF_001071435.fna.gz,hinfluenzae,436,1,1,40,15,1,5,10
GCF_002983985.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_002984505.fna.gz,hinfluenzae,183,1,44,14,22,1,5,1
GCF_002966575.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002985825.fna.gz,hinfluenzae,253,2,51,60,15,16,31,46
GCF_002986475.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_002984765.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002984355.fna.gz,hinfluenzae,1336,225,6,18,10,3,12,1
GCF_001276545.fna.gz,hinfluenzae,411,21,7,14,1,13,1,30
GCF_002093185.fna.gz,hinfluenzae,266,14,18,3,86,53,23,15
GCF_002984845.fna.gz,hinfluenzae,46,1,25,1,15,1,5,14
GCF_000636075.fna.gz,hinfluenzae,2419,64,1,26,79,46,29,15
GCF_002985165.fna.gz,hinfluenzae,245,1,24,1,27,18,5,18
GCF_002986515.fna.gz,hinfluenzae,170,21,7,14,15,1,1,30
GCF_000931625.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_002985845.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_002986555.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_001076115.fna.gz,hinfluenzae,367,1,1,1,67,1,5,1
GCF_002984005.fna.gz,hinfluenzae,-,14,1,1,,1,13,
GCF_002986595.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_002966595.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002985855.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_002986655.fna.gz,hinfluenzae,321,13,14,28,62,1,1,1
GCF_002984785.fna.gz,hinfluenzae,11,14,8,1,9,1,13,14
GCF_002984385.fna.gz,hinfluenzae,398,114,1,1,89,1,37,14
GCF_001298185.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_002093195.fna.gz,hinfluenzae,388,1,51,60,15,16,31,48
GCF_002986665.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_000698365.fna.gz,hinfluenzae,712,31,54,63,17,102,10,1
GCF_000968335.fna.gz,hinfluenzae,321,13,14,28,62,1,1,1
GCF_001052725.fna.gz,hinfluenzae,396,61,2,10,26,15,3,8
GCF_002985445.fna.gz,hinfluenzae,183,1,44,14,22,1,5,1
GCF_002985505.fna.gz,hinfluenzae,107,2,8,33,49,16,3,16
GCF_002986175.fna.gz,hinfluenzae,349,13,14,28,62,13,1,1
GCF_002987275.fna.gz,hinfluenzae,66,28,6,18,10,3,12,11
GCF_001076835.fna.gz,hinfluenzae,1559,49,20,60,31,7,31,7
GCF_002984015.fna.gz,hinfluenzae,1335,145,83,121,169,109,97,48
GCF_002986695.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002966615.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_002985895.fna.gz,hinfluenzae,196,2,8,14,17,18,3,11
GCF_002986795.fna.gz,hinfluenzae,12,25,1,1,13,1,16,13
GCF_002984805.fna.gz,hinfluenzae,196,2,8,14,17,18,3,11
GCF_002984425.fna.gz,hinfluenzae,680,142,8,33,17,108,29,16
GCF_001298195.fna.gz,hinfluenzae,124,19,19,22,22,11,15,11
GCF_002988995.fna.gz,hinfluenzae,245,1,24,1,27,18,5,18
GCF_002989455.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_000818925.fna.gz,hinfluenzae,1907,161,84,71,290,111,100,1
GCF_001053795.fna.gz,hinfluenzae,147,1,24,1,55,18,5,14
GCF_002988555.fna.gz,hinfluenzae,170,21,7,14,15,1,1,30
GCF_002988795.fna.gz,hinfluenzae,603,21,7,14,46,16,1,30
GCF_002988945.fna.gz,hinfluenzae,98,13,7,14,17,13,1,15
GCF_002989335.fna.gz,hinfluenzae,1374,21,83,121,248,1,97,48
GCF_002989905.fna.gz,hinfluenzae,203,62,1,52,89,1,37,14
GCF_001184435.fna.gz,hinfluenzae,165,2,2,44,17,16,3,37
GCF_002987585.fna.gz,hinfluenzae,263,55,14,28,16,1,1,1
GCF_002987795.fna.gz,hinfluenzae,389,112,1,1,61,44,5,14
GCF_002988155.fna.gz,hinfluenzae,107,2,8,33,49,16,3,16
GCF_002988275.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_002988455.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002988595.fna.gz,hinfluenzae,155,1,8,16,30,16,3,16
GCF_002988835.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002989095.fna.gz,hinfluenzae,12,25,1,1,13,1,16,13
GCF_002989465.fna.gz,hinfluenzae,-,,1,1,49,1,5,
GCF_001298205.fna.gz,hinfluenzae,253,2,51,60,15,16,31,46
GCF_002989105.fna.gz,hinfluenzae,503,2,8,33,17,16,3,16
GCF_002989475.fna.gz,hinfluenzae,66,28,6,18,10,3,12,11
GCF_000833745.fna.gz,hinfluenzae,2445,78,54,245,64,65,183,1
GCF_002989135.fna.gz,hinfluenzae,503,2,8,33,17,16,3,16
GCF_002989515.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_001053815.fna.gz,hinfluenzae,396,61,2,10,26,15,3,8
GCF_002987645.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_002987835.fna.gz,hinfluenzae,389,112,1,1,61,44,5,14
GCF_002988175.fna.gz,hinfluenzae,196,2,8,14,17,18,3,11
GCF_002988295.fna.gz,hinfluenzae,245,1,24,1,27,18,5,18
GCF_002988465.fna.gz,hinfluenzae,136,42,1,1,67,1,5,1
GCF_002988615.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_002988855.fna.gz,hinfluenzae,98,13,7,14,17,13,1,15
GCF_002989155.fna.gz,hinfluenzae,36,14,21,16,29,14,3,16
GCF_002989535.fna.gz,hinfluenzae,263,55,14,28,16,1,1,1
GCF_001457655.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_002989175.fna.gz,hinfluenzae,196,2,8,14,17,18,3,11
GCF_002989545.fna.gz,hinfluenzae,203,62,1,52,89,1,37,14
GCF_001184445.fna.gz,hinfluenzae,156,56,2,26,22,15,3,7
GCF_002989195.fna.gz,hinfluenzae,-,21,7,14,46,16,1,
GCF_002989575.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_000833755.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_002989205.fna.gz,hinfluenzae,196,2,8,14,17,18,3,11
GCF_002989595.fna.gz,hinfluenzae,436,1,1,40,15,1,5,10
GCF_001053885.fna.gz,hinfluenzae,367,1,1,1,67,1,5,1
GCF_002987315.fna.gz,hinfluenzae,156,56,2,26,22,15,3,7
GCF_002987435.fna.gz,hinfluenzae,263,55,14,28,16,1,1,1
GCF_002987705.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_002987925.fna.gz,hinfluenzae,98,13,7,14,17,13,1,15
GCF_002988195.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_002988335.fna.gz,hinfluenzae,414,1,8,16,29,16,3,16
GCF_002988505.fna.gz,hinfluenzae,-,80,74,53,214,134,99,
GCF_002988655.fna.gz,hinfluenzae,85,38,2,30,22,15,3,7
GCF_002988875.fna.gz,hinfluenzae,-,21,7,,,13,1,30
GCF_002989275.fna.gz,hinfluenzae,215,1,1,1,98,54,5,14
GCF_002989635.fna.gz,hinfluenzae,1328,144,1,120,74,109,97,10
GCF_001184475.fna.gz,hinfluenzae,143,1,1,1,15,1,5,38
GCF_002988665.fna.gz,hinfluenzae,321,13,14,28,62,1,1,1
GCF_002988885.fna.gz,hinfluenzae,107,2,8,33,49,16,3,16
GCF_002989295.fna.gz,hinfluenzae,1341,1,1,1,98,54,5,106
GCF_002989655.fna.gz,hinfluenzae,57,13,7,14,17,13,17,7
GCF_000833765.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_002989235.fna.gz,hinfluenzae,244,2,11,55,102,16,3,14
GCF_002989615.fna.gz,hinfluenzae,147,1,24,1,55,18,5,14
GCF_001054455.fna.gz,hinfluenzae,-,337,170,241,334,222,180,
GCF_002987425.fna.gz,hinfluenzae,1333,144,1,120,74,109,97,1
GCF_002987475.fna.gz,hinfluenzae,414,1,8,16,29,16,3,16
GCF_002987735.fna.gz,hinfluenzae,648,1,1,1,115,35,5,14
GCF_002987945.fna.gz,hinfluenzae,411,21,7,14,1,13,1,30
GCF_002988215.fna.gz,hinfluenzae,107,2,8,33,49,16,3,16
GCF_002988355.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_002988525.fna.gz,hinfluenzae,196,2,8,14,17,18,3,11
GCF_002988755.fna.gz,hinfluenzae,1333,144,1,120,74,109,97,1
GCF_002988915.fna.gz,hinfluenzae,1373,21,83,121,169,109,97,48
GCF_002989305.fna.gz,hinfluenzae,34,26,2,11,28,15,3,8
GCF_002989845.fna.gz,hinfluenzae,245,1,24,1,27,18,5,18
GCF_001184485.fna.gz,hinfluenzae,14,2,1,5,1,1,5,1
GCF_002988135.fna.gz,hinfluenzae,205,69,1,40,61,1,5,14
GCF_002988255.fna.gz,hinfluenzae,1334,14,43,6,77,7,43,7
GCF_002988375.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_002988415.fna.gz,hinfluenzae,107,2,8,33,49,16,3,16
GCF_002988495.fna.gz,hinfluenzae,253,2,51,60,15,16,31,46
GCF_002988635.fna.gz,hinfluenzae,349,13,14,28,62,13,1,1
GCF_002988695.fna.gz,hinfluenzae,41,12,4,17,7,17,11,1
GCF_002988775.fna.gz,hinfluenzae,414,1,8,16,29,16,3,16
GCF_002988935.fna.gz,hinfluenzae,1334,14,43,6,77,7,43,7
GCF_002989005.fna.gz,hinfluenzae,156,56,2,26,22,15,3,7
GCF_002989055.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002989355.fna.gz,hinfluenzae,-,56,2,26,22,15,3,
GCF_002989395.fna.gz,hinfluenzae,11,14,8,1,9,1,13,14
GCF_002989435.fna.gz,hinfluenzae,98,13,7,14,17,13,1,15
GCF_002989695.fna.gz,hinfluenzae,203,62,1,52,89,1,37,14
GCF_002989805.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002990315.fna.gz,hinfluenzae,-,50,74,53,272,134,99,
GCF_002990405.fna.gz,hinfluenzae,-,247,74,53,268,42,86,
GCF_002991005.fna.gz,hinfluenzae,196,2,8,14,17,18,3,11
GCF_002991135.fna.gz,hinfluenzae,-,228,83,182,111,162,140,
GCF_002991465.fna.gz,hinfluenzae,-,,44,14,22,1,5,1
GCF_003351425.fna.gz,hinfluenzae,62,24,12,21,19,9,19,7
GCF_003351445.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_002988385.fna.gz,hinfluenzae,85,38,2,30,22,15,3,7
GCF_002988425.fna.gz,hinfluenzae,265,2,51,60,15,16,31,48
GCF_002988575.fna.gz,hinfluenzae,-,21,7,14,1,13,1,
GCF_002988715.fna.gz,hinfluenzae,170,21,7,14,15,1,1,30
GCF_002988735.fna.gz,hinfluenzae,1331,145,82,121,167,109,97,1
GCF_002988815.fna.gz,hinfluenzae,603,21,7,14,46,16,1,30
GCF_002988975.fna.gz,hinfluenzae,329,1,1,1,31,1,5,1
GCF_002989035.fna.gz,hinfluenzae,-,21,7,14,46,16,1,
GCF_002989255.fna.gz,hinfluenzae,11,14,8,1,9,1,13,14
GCF_002989365.fna.gz,hinfluenzae,11,14,8,1,9,1,13,14
GCF_002989415.fna.gz,hinfluenzae,1335,145,83,121,169,109,97,48
GCF_002989715.fna.gz,hinfluenzae,134,14,1,1,53,1,13,14
GCF_002989765.fna.gz,hinfluenzae,134,14,1,1,53,1,13,14
GCF_002989925.fna.gz,hinfluenzae,243,14,1,1,59,1,5,14
GCF_002990375.fna.gz,hinfluenzae,13,8,9,3,14,8,4,4
GCF_002991045.fna.gz,hinfluenzae,425,48,8,39,65,35,19,11
GCF_002991085.fna.gz,hinfluenzae,103,14,1,1,9,1,13,14
GCF_002991485.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_003203015.fna.gz,hinfluenzae,1736,165,43,68,95,38,18,7
GCF_003415385.fna.gz,hinfluenzae,409,111,1,1,15,1,5,14
GCF_002989965.fna.gz,hinfluenzae,243,14,1,1,59,1,5,14
GCF_002990165.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002990445.fna.gz,hinfluenzae,582,13,80,1,1,1,5,1
GCF_002990825.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002991205.fna.gz,hinfluenzae,263,55,14,28,16,1,1,1
GCF_002991385.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_003203035.fna.gz,hinfluenzae,393,55,2,42,104,38,10,41
GCF_003203195.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_003351465.fna.gz,hinfluenzae,9,16,11,7,6,6,9,8
GCF_003352405.fna.gz,hinfluenzae,18,28,6,18,10,3,12,7
GCF_003414205.fna.gz,hinfluenzae,1812,130,20,6,77,107,43,15
GCF_003414325.fna.gz,hinfluenzae,253,2,51,60,15,16,31,46
GCF_003414445.fna.gz,hinfluenzae,519,64,1,26,79,46,23,1
GCF_003414555.fna.gz,hinfluenzae,474,78,54,3,64,65,48,1
GCF_003414655.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_003414795.fna.gz,hinfluenzae,485,2,8,33,78,16,3,16
GCF_003414925.fna.gz,hinfluenzae,12,25,1,1,13,1,16,13
GCF_003415035.fna.gz,hinfluenzae,203,62,1,52,89,1,37,14
GCF_003415165.fna.gz,hinfluenzae,139,14,1,1,45,1,21,14
GCF_003415275.fna.gz,hinfluenzae,1030,66,3,23,166,5,21,1
GCF_003415415.fna.gz,hinfluenzae,644,14,8,1,174,1,13,14
GCF_002990005.fna.gz,hinfluenzae,1332,21,1,52,15,1,5,14
GCF_002990205.fna.gz,hinfluenzae,147,1,24,1,55,18,5,14
GCF_002990495.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_002990865.fna.gz,hinfluenzae,159,2,8,33,17,16,29,16
GCF_002991245.fna.gz,hinfluenzae,147,1,24,1,55,18,5,14
GCF_002991405.fna.gz,hinfluenzae,436,1,1,40,15,1,5,10
GCF_003203055.fna.gz,hinfluenzae,1683,31,54,63,17,165,10,1
GCF_003203215.fna.gz,hinfluenzae,3,1,1,1,1,1,5,1
GCF_003351505.fna.gz,hinfluenzae,70,34,20,25,38,24,25,24
GCF_003414105.fna.gz,hinfluenzae,986,58,1,35,7,22,29,36
