Genome,Scheme,ST,arcC,pta,menF,dnaJ,glpF,fumC,hutU
GCF_007814525.fna.gz,schromogenes,95,33,7,7,7,28,8,20
GCF_015355245.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_015355575.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_015355585.fna.gz,schromogenes,-,,4,2,,14,19,
GCF_015355605.fna.gz,schromogenes,93,16,7,7,7,29,8,1
GCF_017775145.fna.gz,schromogenes,67,8,2,15,1,21,6,17
GCF_019149085.fna.gz,schromogenes,6,1,2,1,3,2,1,1
GCF_019149165.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_900458195.fna.gz,schromogenes,67,8,2,15,1,21,6,17
GCF_000696815.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_002901945.fna.gz,schromogenes,67,8,2,15,1,21,6,17
