Genome,Scheme,ST,ileS,recA,rpoB,gyrB,glnS,nuoD,rpoD
GCF_003001635.fna.gz,pfluorescens,26,26,26,26,26,26,26,26
GCF_012273675.fna.gz,pfluorescens,-,5,,82,,,,5
GCF_000801795.fna.gz,pfluorescens,-,88,26,30,,43,26,78
GCF_002022335.fna.gz,pfluorescens,-,,,,,,,
GCF_006494335.fna.gz,pfluorescens,-,30,26,30,,96,,
GCF_000876175.fna.gz,pfluorescens,-,4,,,4,,,
GCF_001902145.fna.gz,pfluorescens,-,,,,,,,
GCF_002417665.fna.gz,pfluorescens,-,,,,,,,
GCF_003700755.fna.gz,pfluorescens,-,,22,,22,22,22,22
GCF_012974785.fna.gz,pfluorescens,-,,,,,,,
GCF_001307275.fna.gz,pfluorescens,-,,,,,,,
GCF_001542705.fna.gz,pfluorescens,96,5,86,80,5,87,89,77
GCF_003349815.fna.gz,pfluorescens,-,4,,4,,,,4
GCF_003732335.fna.gz,pfluorescens,-,,,86,,,,
GCF_012986955.fna.gz,pfluorescens,-,,22,,22,,22,
GCF_001679645.fna.gz,pfluorescens,-,,,,,,,
GCF_000817905.fna.gz,pfluorescens,-,,,,,,,
GCF_000801815.fna.gz,pfluorescens,-,88,26,30,,43,26,78
GCF_003001555.fna.gz,pfluorescens,-,88,26,30,44,43,46,30
GCF_006505855.fna.gz,pfluorescens,-,,,,,,,
GCF_002022375.fna.gz,pfluorescens,-,36,,,37,,,
GCF_000968015.fna.gz,pfluorescens,-,,,,,,,
GCF_000952735.fna.gz,pfluorescens,-,,,,,,,
GCF_001908925.fna.gz,pfluorescens,-,5,,82,5,5,5,
GCF_002837185.fna.gz,pfluorescens,-,,,,,,,
GCF_003732345.fna.gz,pfluorescens,-,,,,,,,
GCF_013401475.fna.gz,pfluorescens,-,,,,,,,88
GCF_001317545.fna.gz,pfluorescens,-,,,,,,,
GCF_001542715.fna.gz,pfluorescens,-,88,26,43,44,43,46,30
GCF_006540245.fna.gz,pfluorescens,-,,,,,,69,
GCF_000827755.fna.gz,pfluorescens,-,,,63,,,,
GCF_001708445.fna.gz,pfluorescens,-,,,,,,,
GCF_007858165.fna.gz,pfluorescens,-,,22,,22,22,22,22
GCF_000801875.fna.gz,pfluorescens,-,,,,,,37,
GCF_003352875.fna.gz,pfluorescens,-,,,,,,,
GCF_003363095.fna.gz,pfluorescens,-,,,,,,,
GCF_003732425.fna.gz,pfluorescens,-,,,,,,,
GCF_014194145.fna.gz,pfluorescens,-,,38,,41,,,36
GCF_002216645.fna.gz,pfluorescens,-,,,30,89,,49,78
GCF_000967945.fna.gz,pfluorescens,-,,,,,,,
GCF_001931665.fna.gz,pfluorescens,-,,,,,,,
GCF_002022255.fna.gz,pfluorescens,-,,,,,,,
GCF_001542725.fna.gz,pfluorescens,64,30,55,56,58,58,60,53
GCF_001440325.fna.gz,pfluorescens,-,,10,,,,,
GCF_002865505.fna.gz,pfluorescens,-,,,,,,,
GCF_009765425.fna.gz,pfluorescens,-,,,,,,,
GCF_000834545.fna.gz,pfluorescens,-,,,,,,,
GCF_001020875.fna.gz,pfluorescens,-,,,63,,,,
GCF_001708465.fna.gz,pfluorescens,-,,,,,,,
GCF_003055645.fna.gz,pfluorescens,-,,,,,,,
GCF_003732745.fna.gz,pfluorescens,-,,,,,,,
GCF_000801895.fna.gz,pfluorescens,-,63,,,,,,
GCF_002091595.fna.gz,pfluorescens,-,,22,,22,22,22,22
GCF_003410335.fna.gz,pfluorescens,-,,,,,,,
GCF_003732725.fna.gz,pfluorescens,-,31,,,,,,
GCF_014436655.fna.gz,pfluorescens,111,93,94,87,22,98,98,84
GCF_002022265.fna.gz,pfluorescens,-,,,,,,,
GCF_001623525.fna.gz,pfluorescens,-,,,,,,,
GCF_002879715.fna.gz,pfluorescens,6,6,6,6,6,6,6,6
GCF_010448615.fna.gz,pfluorescens,-,,,,,,,
GCF_001747385.fna.gz,pfluorescens,-,,,,5,5,5,78
GCF_003612935.fna.gz,pfluorescens,-,,,,,,,
GCF_010668965.fna.gz,pfluorescens,-,,,,,,,
GCF_001020715.fna.gz,pfluorescens,-,,,,,,,
GCF_003732405.fna.gz,pfluorescens,-,,,,,,,
GCF_003732815.fna.gz,pfluorescens,-,,,86,,,,
GCF_003940565.fna.gz,pfluorescens,-,,,86,,70,,62
GCF_005233695.fna.gz,pfluorescens,-,,76,,,76,,5
GCF_005938625.fna.gz,pfluorescens,-,,,,,,,
GCF_014838805.fna.gz,pfluorescens,-,,,,,,,
GCF_002022365.fna.gz,pfluorescens,-,,,,,,,
GCF_003626995.fna.gz,pfluorescens,-,,,32,,,33,32
GCF_011440265.fna.gz,pfluorescens,-,,,,,,,
GCF_000967955.fna.gz,pfluorescens,-,,,,,,,
GCF_014839035.fna.gz,pfluorescens,-,,,,,,,
GCF_902497935.fna.gz,pfluorescens,-,,38,,41,,,36
GCF_902498015.fna.gz,pfluorescens,-,,,,,,,
GCF_902498115.fna.gz,pfluorescens,-,,,,,,,
GCF_902498205.fna.gz,pfluorescens,-,,,,,,,
GCF_001269845.fna.gz,pfluorescens,-,,22,,22,22,22,22
GCF_014838915.fna.gz,pfluorescens,-,,,,,,,
GCF_014839225.fna.gz,pfluorescens,-,,,,,,,
GCF_014839275.fna.gz,pfluorescens,-,5,,5,5,5,5,
GCF_014842345.fna.gz,pfluorescens,-,,,,,,,
GCF_016405335.fna.gz,pfluorescens,-,5,5,5,5,89,5,5
GCF_016652795.fna.gz,pfluorescens,-,,,,,,,
GCF_902497615.fna.gz,pfluorescens,-,,,,,,,
GCF_902497705.fna.gz,pfluorescens,-,,,50,,,,
GCF_902497775.fna.gz,pfluorescens,-,,,,,,,
GCF_902497835.fna.gz,pfluorescens,-,,45,,,,42,36
GCF_902497905.fna.gz,pfluorescens,-,,,1,,,1,1
GCF_902497985.fna.gz,pfluorescens,-,,,,,,,
GCF_902498085.fna.gz,pfluorescens,-,,,,,,,
GCF_902498175.fna.gz,pfluorescens,-,,,,,51,,
GCF_014838845.fna.gz,pfluorescens,-,,,,,,,
GCF_014838965.fna.gz,pfluorescens,-,,,,,,,
GCF_902497875.fna.gz,pfluorescens,-,,,,,,,
GCF_902497955.fna.gz,pfluorescens,-,5,5,5,5,89,5,5
GCF_902498045.fna.gz,pfluorescens,-,,,,,,,10
GCF_902498145.fna.gz,pfluorescens,-,,,,,,,
GCF_902498235.fna.gz,pfluorescens,-,,,,,,,
GCF_001444295.fna.gz,pfluorescens,-,,31,,84,,80,32
GCF_014842405.fna.gz,pfluorescens,-,,,,,,,
GCF_014842575.fna.gz,pfluorescens,-,,,,,,,
GCF_014842605.fna.gz,pfluorescens,-,,,,,,,
GCF_015074865.fna.gz,pfluorescens,-,,,,,,,
GCF_016405555.fna.gz,pfluorescens,-,5,,5,,89,5,5
GCF_016728065.fna.gz,pfluorescens,-,5,,5,,5,5,5
GCF_902497625.fna.gz,pfluorescens,-,,,,,,,
GCF_902497715.fna.gz,pfluorescens,-,,,,,,,
GCF_902497785.fna.gz,pfluorescens,-,,,,,,,
GCF_902497845.fna.gz,pfluorescens,-,,,,,,,
GCF_902497915.fna.gz,pfluorescens,-,,,,,,,
GCF_902497995.fna.gz,pfluorescens,-,,,,,,,
GCF_902498095.fna.gz,pfluorescens,-,,,,,,,10
GCF_902498185.fna.gz,pfluorescens,-,,,,,,,
GCF_001466915.fna.gz,pfluorescens,-,,,,,,,
GCF_014839025.fna.gz,pfluorescens,-,,,,,,,
GCF_014839385.fna.gz,pfluorescens,-,,,,,,,
GCF_014841405.fna.gz,pfluorescens,-,,76,,53,76,,
GCF_014842435.fna.gz,pfluorescens,-,,45,,41,39,,36
GCF_014842475.fna.gz,pfluorescens,-,,,,,,,
GCF_014842485.fna.gz,pfluorescens,-,,,,,,,
GCF_014842515.fna.gz,pfluorescens,-,,,,,,,
GCF_014842555.fna.gz,pfluorescens,-,,,,,,,
GCF_016613035.fna.gz,pfluorescens,-,5,86,5,,,,
GCF_900475215.fna.gz,pfluorescens,-,,,,22,22,22,22
GCF_902497635.fna.gz,pfluorescens,-,,48,,,,,
GCF_902497735.fna.gz,pfluorescens,-,,,,,,,
GCF_902497805.fna.gz,pfluorescens,-,,,,,,,
GCF_902497865.fna.gz,pfluorescens,-,,,,,,,
GCF_902497945.fna.gz,pfluorescens,-,,,,,,,
GCF_902498025.fna.gz,pfluorescens,-,,,,,,,
GCF_902498125.fna.gz,pfluorescens,-,,41,,43,,,
GCF_902498215.fna.gz,pfluorescens,-,,,,,,,
GCF_001466835.fna.gz,pfluorescens,-,,,,,,,
GCF_902498035.fna.gz,pfluorescens,-,,,,,,,9
GCF_902498135.fna.gz,pfluorescens,-,,,,,,,
GCF_902498225.fna.gz,pfluorescens,-,,,,,,,
GCF_014842195.fna.gz,pfluorescens,-,,,,,,,
GCF_016767275.fna.gz,pfluorescens,-,,,30,29,,,
GCF_016909315.fna.gz,pfluorescens,-,,,,,,,
GCF_018417655.fna.gz,pfluorescens,-,,,,,,,
GCF_018502625.fna.gz,pfluorescens,-,,,,,,,
GCF_900636635.fna.gz,pfluorescens,-,,,,,,,
GCF_902497685.fna.gz,pfluorescens,-,,,,50,51,,47
GCF_902497745.fna.gz,pfluorescens,-,,,,,,,
GCF_902497815.fna.gz,pfluorescens,-,,,27,,,,27
GCF_902497885.fna.gz,pfluorescens,-,,,,,,,
GCF_902497965.fna.gz,pfluorescens,-,,,,,,,
GCF_902498065.fna.gz,pfluorescens,-,,,,,,,
GCF_902498155.fna.gz,pfluorescens,10,10,10,10,10,10,10,10
GCF_902498245.fna.gz,pfluorescens,-,,,,,,,
GCF_014842335.fna.gz,pfluorescens,-,,,,,,,
GCF_016009125.fna.gz,pfluorescens,108,5,5,82,5,5,5,82
GCF_016613245.fna.gz,pfluorescens,-,5,86,5,,,,
GCF_017498465.fna.gz,pfluorescens,-,,,,,,,
GCF_017948385.fna.gz,pfluorescens,-,,,,,,,
GCF_018476695.fna.gz,pfluorescens,-,,,,,,,
GCF_018614635.fna.gz,pfluorescens,-,,,,,,,
GCF_018614655.fna.gz,pfluorescens,-,,,,,,,
GCF_018614715.fna.gz,pfluorescens,-,,,,,,,
GCF_018614755.fna.gz,pfluorescens,-,,,,,,,
GCF_018614775.fna.gz,pfluorescens,-,,,,,,,
GCF_018614785.fna.gz,pfluorescens,-,,,,,,,
GCF_018614805.fna.gz,pfluorescens,-,,,,,,,
GCF_018614835.fna.gz,pfluorescens,-,,,,,,,
GCF_018614855.fna.gz,pfluorescens,-,,,,,,,
GCF_018614885.fna.gz,pfluorescens,-,,,,,,,
GCF_019212185.fna.gz,pfluorescens,-,,,,,,,
GCF_900215245.fna.gz,pfluorescens,-,,22,,22,22,22,22
GCF_900455465.fna.gz,pfluorescens,-,,,,,,,
GCF_900636825.fna.gz,pfluorescens,-,,,,,,,
GCF_902497695.fna.gz,pfluorescens,-,,,,,,,
GCF_902497755.fna.gz,pfluorescens,-,,,,,,,
GCF_902497825.fna.gz,pfluorescens,-,,,,,,,
GCF_902497895.fna.gz,pfluorescens,-,,,,,,,
GCF_902497975.fna.gz,pfluorescens,-,,,,,,,
GCF_902498075.fna.gz,pfluorescens,-,,,,,,,
GCF_902498165.fna.gz,pfluorescens,-,,,,,,,
GCF_902498255.fna.gz,pfluorescens,-,,,,,,,
GCF_018614925.fna.gz,pfluorescens,-,,,,,,,
GCF_900455485.fna.gz,pfluorescens,-,,,32,33,77,,68
GCF_902497595.fna.gz,pfluorescens,-,,,,,,,10
GCF_902497605.fna.gz,pfluorescens,-,,,,,,,
GCF_902497645.fna.gz,pfluorescens,-,,,,,,,
GCF_902497655.fna.gz,pfluorescens,-,,,,,,,
GCF_902497665.fna.gz,pfluorescens,-,,,,,,,
GCF_902497675.fna.gz,pfluorescens,-,,,,,,,
GCF_902497725.fna.gz,pfluorescens,-,,,,,,,10
GCF_902497795.fna.gz,pfluorescens,-,,,,,,,
GCF_902497855.fna.gz,pfluorescens,-,,,,,,,
GCF_902497925.fna.gz,pfluorescens,-,,,44,,,,
GCF_902498005.fna.gz,pfluorescens,-,,,,,,,40
GCF_902498105.fna.gz,pfluorescens,-,,,,,,,
GCF_902498195.fna.gz,pfluorescens,-,,,,,,,
GCF_000009225.fna.gz,pfluorescens,1,1,1,1,1,1,1,1
GCF_902498265.fna.gz,pfluorescens,-,,,,,,,
GCF_902498275.fna.gz,pfluorescens,-,,,,,,,
GCF_903797685.fna.gz,pfluorescens,-,,,,,,,
GCF_000280805.fna.gz,pfluorescens,-,,,,,,,
GCF_000276585.fna.gz,pfluorescens,-,,,,,,,
GCF_000281895.fna.gz,pfluorescens,-,,,,,,,
GCF_000012445.fna.gz,pfluorescens,2,2,2,2,2,2,2,2
GCF_000166515.fna.gz,pfluorescens,-,,,,,,,
GCF_000217955.fna.gz,pfluorescens,-,,,,,,,
GCF_000237065.fna.gz,pfluorescens,6,6,6,6,6,6,6,6
GCF_000262325.fna.gz,pfluorescens,5,5,5,5,5,5,5,5
GCF_000263695.fna.gz,pfluorescens,-,4,,4,4,4,,4
GCF_000285615.fna.gz,pfluorescens,-,4,,,4,4,,4
GCF_000292795.fna.gz,pfluorescens,-,,,,,,,
GCF_000293885.fna.gz,pfluorescens,-,,,,,,,
GCF_000297195.fna.gz,pfluorescens,-,75,72,,,,,64
GCF_000308175.fna.gz,pfluorescens,-,,,,,,,
GCF_000334015.fna.gz,pfluorescens,-,,,,,,,
GCF_000346775.fna.gz,pfluorescens,-,,,,,,,
GCF_000411675.fna.gz,pfluorescens,-,,,,,,,
GCF_000511155.fna.gz,pfluorescens,-,5,,5,,89,,5
GCF_000708695.fna.gz,pfluorescens,-,,,,,,,
