Genome,Scheme,ST,gapA,pgi,tonB,mdh,phoE,rpoB,infB
GCF_016529765.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_016636085.fna.gz,koxytoca,58,1,1,2,2,4,1,2
GCF_016636105.fna.gz,koxytoca,266,1,1,2,2,65,1,2
GCF_015721495.fna.gz,koxytoca,285,1,24,1,13,2,10,3
GCF_002508265.fna.gz,koxytoca,-,1,1,2,2,,1,2
GCF_016734995.fna.gz,koxytoca,257,1,24,10,13,2,10,3
GCF_016774075.fna.gz,koxytoca,278,1,60,76,2,91,1,2
GCF_016774315.fna.gz,koxytoca,178,1,1,2,2,4,1,11
GCF_016918825.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_017310465.fna.gz,koxytoca,34,2,17,2,2,2,1,2
GCF_018068785.fna.gz,koxytoca,36,1,15,14,2,21,1,7
GCF_015694145.fna.gz,koxytoca,-,1,1,2,2,65,1,11
GCF_015721195.fna.gz,koxytoca,302,1,1,1,2,84,1,18
GCF_015721685.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900451165.fna.gz,koxytoca,257,1,24,10,13,2,10,3
GCF_018138905.fna.gz,koxytoca,176,1,1,2,2,65,1,7
GCF_018441525.fna.gz,koxytoca,222,23,14,62,2,34,41,42
GCF_018443185.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_018443495.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_018443705.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900083855.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900083945.fna.gz,koxytoca,36,1,15,14,2,21,1,7
GCF_902164825.fna.gz,koxytoca,37,1,18,15,1,4,13,7
GCF_018443785.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_018444055.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_018444465.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_018447075.fna.gz,koxytoca,-,1,15,,2,21,1,
GCF_900083765.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900083865.fna.gz,koxytoca,-,,17,2,2,30,1,18
GCF_900084045.fna.gz,koxytoca,58,1,1,2,2,4,1,2
GCF_018443665.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_018443915.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_018443995.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_018444115.fna.gz,koxytoca,-,1,24,,13,2,10,3
GCF_900083585.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900083615.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900083625.fna.gz,koxytoca,141,1,1,2,2,4,1,7
GCF_900083645.fna.gz,koxytoca,176,1,1,2,2,65,1,7
GCF_900083655.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900083675.fna.gz,koxytoca,-,,17,2,2,30,1,18
GCF_900083705.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900083715.fna.gz,koxytoca,176,1,1,2,2,65,1,7
GCF_900083725.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900083735.fna.gz,koxytoca,176,1,1,2,2,65,1,7
GCF_900083745.fna.gz,koxytoca,176,1,1,2,2,65,1,7
GCF_900083785.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900083795.fna.gz,koxytoca,176,1,1,2,2,65,1,7
GCF_900083815.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900083875.fna.gz,koxytoca,36,1,15,14,2,21,1,7
GCF_900083895.fna.gz,koxytoca,-,,17,2,2,30,1,18
GCF_900083905.fna.gz,koxytoca,36,1,15,14,2,21,1,7
GCF_900083935.fna.gz,koxytoca,-,,,,,,,
GCF_900083955.fna.gz,koxytoca,-,1,55,2,2,,1,2
GCF_900083965.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900083975.fna.gz,koxytoca,153,1,1,1,1,1,1,2
GCF_900083985.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900083995.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900084015.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_900084025.fna.gz,koxytoca,36,1,15,14,2,21,1,7
GCF_900407115.fna.gz,koxytoca,-,1,1,2,2,2,9,2
GCF_900635105.fna.gz,koxytoca,101,2,2,1,2,45,10,3
GCF_900636985.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_900977765.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_901212425.fna.gz,koxytoca,-,1,1,1,13,,10,3
GCF_902158835.fna.gz,koxytoca,37,1,18,15,1,4,13,7
GCF_902159605.fna.gz,koxytoca,37,1,18,15,1,4,13,7
GCF_902159785.fna.gz,koxytoca,-,1,1,1,13,2,10,3
GCF_902160375.fna.gz,koxytoca,-,15,11,31,19,46,5,6
GCF_902160405.fna.gz,koxytoca,-,15,11,31,19,46,5,6
GCF_902160765.fna.gz,koxytoca,20,1,1,1,12,4,9,11
GCF_902160885.fna.gz,koxytoca,-,1,1,1,12,4,9,
GCF_902160925.fna.gz,koxytoca,-,1,1,1,12,4,9,
GCF_902161405.fna.gz,koxytoca,58,1,1,2,2,4,1,2
GCF_902161925.fna.gz,koxytoca,36,1,15,14,2,21,1,7
GCF_902162875.fna.gz,koxytoca,37,1,18,15,1,4,13,7
GCF_902162905.fna.gz,koxytoca,258,2,15,1,2,2,1,7
GCF_902163375.fna.gz,koxytoca,-,1,14,2,12,19,9,2
GCF_902163545.fna.gz,koxytoca,-,1,1,1,13,2,10,3
GCF_902164285.fna.gz,koxytoca,258,2,15,1,2,2,1,7
GCF_902166285.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_902166465.fna.gz,koxytoca,36,1,15,14,2,21,1,7
GCF_902363365.fna.gz,koxytoca,287,1,2,1,2,94,1,2
GCF_902705645.fna.gz,koxytoca,-,1,1,62,2,16,1,2
GCF_902705735.fna.gz,koxytoca,1,1,1,1,1,1,1,1
GCF_902705745.fna.gz,koxytoca,258,2,15,1,2,2,1,7
GCF_902807145.fna.gz,koxytoca,-,,,,,,,
GCF_902807185.fna.gz,koxytoca,-,,,,,,,
GCF_904863345.fna.gz,koxytoca,266,1,1,2,2,65,1,2
GCF_000247855.fna.gz,koxytoca,30,1,14,2,2,19,9,2
GCF_000247875.fna.gz,koxytoca,31,1,15,1,1,4,1,13
GCF_000252915.fna.gz,koxytoca,36,1,15,14,2,21,1,7
GCF_000269585.fna.gz,koxytoca,53,1,14,2,2,19,9,7
GCF_000492815.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_000492955.fna.gz,koxytoca,18,1,3,2,2,2,1,2
GCF_000507385.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_000527215.fna.gz,koxytoca,30,1,14,2,2,19,9,2
GCF_000527235.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_000607265.fna.gz,koxytoca,19,1,1,2,2,16,1,2
GCF_000714655.fna.gz,koxytoca,202,3,13,12,21,74,6,5
GCF_001022115.fna.gz,koxytoca,199,2,3,2,2,19,2,2
GCF_001078255.fna.gz,koxytoca,2,1,1,2,2,2,1,2
GCF_001548355.fna.gz,koxytoca,263,6,10,33,26,46,24,6
