Scheme	Genome	total_length	number	mean_length	longest	shortest	N_count	Gaps	N50	N50n	N70	N70n	N90	N90n
aactinomycetemcomitans	GCF_000332955.fna	2170434	44	49328.05	410067	376	48266	31	94496	6	63372	12	38828	21
aactinomycetemcomitans	GCF_000372365.fna	2085887	33	63208.7	216112	1069	12	11	121028	7	90343	11	39455	17
aactinomycetemcomitans	GCF_000604045.fna	2105503	1	2105503	2105503	2105503	91	76	2105503	1	2105503	1	2105503	1
aactinomycetemcomitans	GCF_001190115.fna	2233070	11	203006.36	547537	16861	23	10	380197	3	332292	4	89300	7
aactinomycetemcomitans	GCF_001594245.fna	2129092	1	2129092	2129092	2129092	0	0	2129092	1	2129092	1	2129092	1
aactinomycetemcomitans	GCF_001594265.fna	2367908	1	2367908	2367908	2367908	0	0	2367908	1	2367908	1	2367908	1
aactinomycetemcomitans	GCF_001596225.fna	1999823	114	17542.31	153881	306	0	0	37163	19	22147	34	9202	61
aactinomycetemcomitans	GCF_001596235.fna	2164700	90	24052.22	104513	305	0	0	44618	17	37311	27	12104	46
aactinomycetemcomitans	GCF_001596245.fna	2254258	158	14267.46	122740	216	0	0	29014	22	18647	41	7848	75
aactinomycetemcomitans	GCF_001596255.fna	1943012	549	3539.18	22565	304	0	0	5568	109	3717	195	1745	341
aactinomycetemcomitans	GCF_001596305.fna	2211394	227	9741.82	74111	303	0	0	25406	28	15682	51	5875	92
aactinomycetemcomitans	GCF_001596315.fna	1905614	590	3229.85	17453	303	0	0	5213	120	3198	212	1609	376
aactinomycetemcomitans	GCF_001596325.fna	2064962	436	4736.15	31847	306	0	0	8932	77	5211	138	2312	252
aactinomycetemcomitans	GCF_001596335.fna	2100438	510	4118.51	40557	301	0	0	8719	77	4902	141	2030	270
aactinomycetemcomitans	GCF_001596385.fna	2198607	127	17311.87	160171	307	0	0	45755	15	29918	26	10299	49
aactinomycetemcomitans	GCF_001596415.fna	2029659	72	28189.71	178109	306	0	0	58075	11	35301	20	14008	35
aactinomycetemcomitans	GCF_001596425.fna	2093980	127	16488.03	88875	239	0	0	33558	19	18949	37	8440	70
aactinomycetemcomitans	GCF_001690155.fna	2291252	1	2291252	2291252	2291252	0	0	2291252	1	2291252	1	2291252	1
aactinomycetemcomitans	GCF_002266485.fna	2291820	7	327402.86	948617	13362	0	0	379463	2	375224	3	362523	4
aactinomycetemcomitans	GCF_002701245.fna	2325391	67	34707.33	224126	434	22	22	95018	8	58863	15	27283	27
aactinomycetemcomitans	GCF_002749175.fna	2326465	63	36928.02	226154	375	152	23	89403	8	60591	15	26759	26
aactinomycetemcomitans	GCF_003130165.fna	2032621	23	88374.83	303478	1166	0	0	183533	5	103274	8	78984	12
aactinomycetemcomitans	GCF_003130185.fna	2217012	77	28792.36	161293	503	108	2	64519	11	46078	20	19552	34
aactinomycetemcomitans	GCF_003130205.fna	2172405	39	55702.69	431102	509	206	3	122823	5	71209	9	34419	17
aactinomycetemcomitans	GCF_003130245.fna	2303141	99	23264.05	140134	511	191	2	60451	14	37954	24	13401	45
aactinomycetemcomitans	GCF_008084095.fna	2038882	29	70306.28	308657	508	0	0	213987	4	114438	7	70081	12
aactinomycetemcomitans	GCF_008084115.fna	2078207	28	74221.68	445072	688	0	0	132073	5	91749	9	63249	14
aactinomycetemcomitans	GCF_008084195.fna	2134503	27	79055.67	423698	688	0	0	134506	5	94576	9	62818	15
aactinomycetemcomitans	GCF_008084205.fna	2245442	87	25809.68	161828	504	0	0	66626	12	45444	20	19371	35
aactinomycetemcomitans	GCF_008084215.fna	2112895	35	60368.43	379875	560	0	0	135020	5	91397	9	37576	16
aactinomycetemcomitans	GCF_008084225.fna	2109962	25	84398.48	445219	714	0	0	185803	4	122352	7	87171	11
aactinomycetemcomitans	GCF_008084895.fna	2107804	37	56967.68	423156	559	0	0	155334	5	91441	9	35836	15
aactinomycetemcomitans	GCF_008084915.fna	2062382	32	64449.44	307640	507	0	0	133174	5	104084	8	64048	13
aactinomycetemcomitans	GCF_008084955.fna	2094863	33	63480.7	376391	1134	0	0	195421	4	102475	7	58420	13
aactinomycetemcomitans	GCF_008084995.fna	2101177	31	67779.9	380010	588	0	0	135139	5	102416	8	64294	13
aactinomycetemcomitans	GCF_008085015.fna	2237318	2	1118659	2212965	24353	0	0	2212965	1	2212965	1	2212965	1
aactinomycetemcomitans	GCF_008085025.fna	2243743	88	25497.08	164069	504	0	0	66148	12	44573	20	19380	36
aactinomycetemcomitans	GCF_008085035.fna	2065846	37	55833.68	444113	537	0	0	135292	5	89991	9	36933	17
aactinomycetemcomitans	GCF_008085065.fna	2247465	80	28093.31	164579	504	0	0	69389	10	45444	18	22117	32
aactinomycetemcomitans	GCF_008085085.fna	2120456	28	75730.57	440869	617	0	0	182175	4	102404	8	62504	13
aactinomycetemcomitans	GCF_008085115.fna	2103450	33	63740.91	444085	636	0	0	178141	4	94473	8	59785	14
aactinomycetemcomitans	GCF_008085125.fna	2248516	89	25264.22	161799	504	0	0	68924	11	44574	19	19371	34
aactinomycetemcomitans	GCF_008085135.fna	2062693	26	79334.35	393520	559	0	0	178637	4	94553	7	37576	13
aactinomycetemcomitans	GCF_008085175.fna	2180793	112	19471.37	115439	502	0	0	43253	17	33366	28	14921	47
aactinomycetemcomitans	GCF_008085215.fna	2079715	26	79989.04	444155	588	0	0	179806	4	102402	8	75102	12
aactinomycetemcomitans	GCF_008085225.fna	2068069	32	64627.16	379939	500	0	0	134949	5	91432	9	63247	14
aactinomycetemcomitans	GCF_008085265.fna	2039051	25	81562.04	384482	574	0	0	181404	4	102566	7	63987	12
aactinomycetemcomitans	GCF_008085295.fna	2036242	27	75416.37	301388	660	0	0	183921	5	102542	8	63520	13
aactinomycetemcomitans	GCF_008085305.fna	2069548	41	50476.78	214611	554	0	0	120419	7	102487	10	38173	16
aactinomycetemcomitans	GCF_008085315.fna	2046220	24	85259.17	290678	689	0	0	187618	5	115152	7	78890	11
aactinomycetemcomitans	GCF_008085355.fna	2246979	77	29181.55	162317	536	0	0	68909	10	45445	18	22569	32
aactinomycetemcomitans	GCF_008085365.fna	2030108	27	75189.19	309081	645	0	0	130418	5	104087	8	77526	13
aactinomycetemcomitans	GCF_008085395.fna	2249774	79	28478.15	162157	504	0	0	67957	11	44573	19	22007	33
aactinomycetemcomitans	GCF_008085405.fna	2041829	27	75623.3	308620	500	0	0	213995	4	115534	7	77525	11
aactinomycetemcomitans	GCF_008085415.fna	2043562	26	78598.54	306515	501	0	0	214022	4	105425	7	71902	12
aactinomycetemcomitans	GCF_016026035.fna	2105378	1	2105378	2105378	2105378	0	0	2105378	1	2105378	1	2105378	1
aactinomycetemcomitans	GCF_017160735.fna	2244109	38	59055.5	483561	212	1711	33	131042	5	94579	9	57772	15
aactinomycetemcomitans	GCF_017160745.fna	2337260	171	13668.19	118062	200	3717	72	39591	17	26584	32	11298	56
aactinomycetemcomitans	GCF_017160755.fna	2333461	167	13972.82	121709	200	3345	64	48021	14	29366	26	12939	48
aactinomycetemcomitans	GCF_017160775.fna	2264745	91	24887.31	157783	208	2839	55	54447	13	40516	23	14454	41
aactinomycetemcomitans	GCF_017160835.fna	2521830	99	25473.03	178895	249	1119	13	70279	12	38414	22	13254	42
aactinomycetemcomitans	GCF_017160845.fna	2496414	84	29719.21	277327	216	1161	11	120408	8	63117	14	30561	25
aactinomycetemcomitans	GCF_017160875.fna	2510133	89	28203.74	178895	204	618	8	70281	12	47094	21	16172	38
aactinomycetemcomitans	GCF_017160885.fna	2238664	39	57401.64	483610	201	1600	32	151996	5	100380	8	57772	14
aactinomycetemcomitans	GCF_017160915.fna	2614560	82	31884.88	251095	230	3076	60	106583	9	68685	14	24765	27
aactinomycetemcomitans	GCF_017160935.fna	2399597	120	19996.64	205411	204	3619	69	60252	13	42103	22	17472	37
aactinomycetemcomitans	GCF_017160955.fna	2223371	102	21797.75	158015	200	3568	59	48083	15	33997	26	18965	43
aactinomycetemcomitans	GCF_017160975.fna	2334355	155	15060.35	120378	200	4440	87	42007	15	27557	29	13461	51
aactinomycetemcomitans	GCF_017160985.fna	2343291	58	40401.57	221136	236	2334	42	85253	9	60936	16	20410	28
aactinomycetemcomitans	GCF_017161015.fna	2338781	169	13838.94	118057	202	3850	77	41155	17	26818	31	11298	55
aactinomycetemcomitans	GCF_900445165.fna	2089682	3	696560.67	1989713	9274	0	0	1989713	1	1989713	1	1989713	1
aphagocytophilum	GCF_000013125.fna	1471282	1	1471282	1471282	1471282	0	0	1471282	1	1471282	1	1471282	1
aphagocytophilum	GCF_000439755.fna	1477581	1	1477581	1477581	1477581	0	0	1477581	1	1477581	1	1477581	1
aphagocytophilum	GCF_000439775.fna	1481598	1	1481598	1481598	1481598	0	0	1481598	1	1481598	1	1481598	1
aphagocytophilum	GCF_000439795.fna	1473302	1	1473302	1473302	1473302	100	1	1473302	1	1473302	1	1473302	1
aphagocytophilum	GCF_000478425.fna	1469600	2	734800	1088218	381382	0	0	1088218	1	1088218	1	381382	2
aphagocytophilum	GCF_000478445.fna	1506545	2	753272.5	1125951	380594	0	0	1125951	1	1125951	1	380594	2
aphagocytophilum	GCF_000689615.fna	1447016	25	57880.64	651145	530	0	0	204176	2	132424	4	29432	8
aphagocytophilum	GCF_000689635.fna	1545197	1	1545197	1545197	1545197	0	0	1545197	1	1545197	1	1545197	1
aphagocytophilum	GCF_000689655.fna	1479231	9	164359	831519	6336	0	0	831519	1	380760	2	132841	3
aphagocytophilum	GCF_000964685.fna	1479407	1	1479407	1479407	1479407	0	0	1479407	1	1479407	1	1479407	1
aphagocytophilum	GCF_000964725.fna	1502749	15	100183.27	360881	2894	0	0	185182	3	161367	5	114208	7
aphagocytophilum	GCF_000964745.fna	1520397	1	1520397	1520397	1520397	0	0	1520397	1	1520397	1	1520397	1
aphagocytophilum	GCF_000964915.fna	1570903	45	34908.96	242108	1979	0	0	61606	7	43975	13	12713	27
aphagocytophilum	GCF_000964935.fna	1482055	1	1482055	1482055	1482055	0	0	1482055	1	1482055	1	1482055	1
aphagocytophilum	GCF_000964945.fna	1497074	1	1497074	1497074	1497074	0	0	1497074	1	1497074	1	1497074	1
aphagocytophilum	GCF_000964985.fna	1503088	16	93943	587917	2158	0	0	221185	2	158146	4	91774	6
aphagocytophilum	GCF_000965125.fna	1516523	15	101101.53	303918	3081	0	0	250970	3	125889	5	71813	7
aphagocytophilum	GCF_000968455.fna	1502024	4	375506	1323113	3016	0	0	1323113	1	1323113	1	167548	2
aphagocytophilum	GCF_000968465.fna	1493666	4	373416.5	1124244	4631	0	0	1124244	1	1124244	1	359545	2
aphagocytophilum	GCF_002849375.fna	1387508	142	9771.18	49240	1011	1354	11	17308	24	10958	43	4447	84
aphagocytophilum	GCF_013487825.fna	1564418	1	1564418	1564418	1564418	0	0	1564418	1	1564418	1	1564418	1
aphagocytophilum	GCF_900000025.fna	1370818	169	8111.35	59671	1009	959	30	14719	28	7804	54	3597	107
aphagocytophilum	GCF_900078505.fna	1682317	249	6756.29	54783	1007	0	0	18113	26	8526	54	2347	129
aphagocytophilum	GCF_900088605.fna	1641350	230	7136.3	69854	1000	758	1	21767	20	10132	42	2270	104
aphagocytophilum	GCF_900088615.fna	1604419	230	6975.73	64400	1001	0	0	16888	28	8828	54	2545	118
aphagocytophilum	GCF_900088625.fna	1561654	191	8176.2	70895	1007	0	0	18169	23	10721	46	3385	94
aphagocytophilum	GCF_900088645.fna	1585182	300	5283.94	26443	1923	0	0	6602	69	4168	130	2433	227
aphagocytophilum	GCF_900088665.fna	1718615	300	5728.72	53175	1564	0	0	11803	39	5526	84	1968	202
bbacilliformis	GCF_000015445.fna	1445021	1	1445021	1445021	1445021	0	0	1445021	1	1445021	1	1445021	1
bbacilliformis	GCF_000311905.fna	1444107	20	72205.35	243338	1156	0	0	154409	4	92276	7	29187	12
bbacilliformis	GCF_000607205.fna	1403817	5	280763.4	812081	1258	3573	5	812081	1	581442	2	581442	2
bbacilliformis	GCF_000607225.fna	1406538	4	351634.5	816270	2115	4821	10	816270	1	583481	2	583481	2
bbacilliformis	GCF_000607245.fna	1390379	20	69518.95	1199239	1951	5108	5	1199239	1	1199239	1	103517	2
bbacilliformis	GCF_000709735.fna	1429421	16	89338.81	815761	1079	4452	7	815761	1	251653	2	63276	5
bbacilliformis	GCF_000709755.fna	1401647	4	350411.75	610424	195147	3616	10	337310	2	258766	3	195147	4
bbacilliformis	GCF_000709775.fna	1439147	3	479715.67	967152	213990	6092	7	967152	1	258005	2	213990	3
bbacilliformis	GCF_000709795.fna	1394706	6	232451	511167	26431	4565	2	368475	2	223720	3	181487	4
bbacilliformis	GCF_000709815.fna	1421778	7	203111.14	413358	18090	865	4	407785	2	222553	3	112300	5
bbacilliformis	GCF_000709835.fna	1413459	7	201922.71	406783	36057	854	4	219364	3	208113	4	207326	5
bbacilliformis	GCF_000709855.fna	1413194	4	353298.5	822481	117410	1030	6	822481	1	254945	2	218358	3
bbacilliformis	GCF_000709875.fna	1417443	4	354360.75	816300	4167	1352	7	816300	1	336985	2	259991	3
bbacilliformis	GCF_001559035.fna	1443410	1	1443410	1443410	1443410	0	0	1443410	1	1443410	1	1443410	1
bbacilliformis	GCF_001624625.fna	1405613	11	127783	473457	1194	1	1	306403	2	116095	4	94540	6
bbacilliformis	GCF_001625425.fna	1401011	15	93400.73	438868	605	2	2	302169	2	115514	4	91211	7
bbacilliformis	GCF_009498695.fna	1411655	1	1411655	1411655	1411655	0	0	1411655	1	1411655	1	1411655	1
bcepacia_complex	GCF_000292915.fna	6467321	2	3233660.5	3463655	3003666	0	0	3463655	1	3003666	2	3003666	2
bcepacia_complex	GCF_000473485.fna	8612710	4	2153177.5	3810438	199222	4200	42	3405813	2	3405813	2	1197237	3
bcepacia_complex	GCF_000504665.fna	7423806	3	2474602	3418363	1071184	300	3	2934259	2	2934259	2	1071184	3
bcepacia_complex	GCF_000701165.fna	8481212	3	2827070.67	3790084	1290392	0	0	3400736	2	3400736	2	1290392	3
bcepacia_complex	GCF_000724975.fna	8947129	25	357885.16	1329189	20071	0	0	560408	5	363078	8	139282	16
bcepacia_complex	GCF_000755805.fna	8147114	3	2715704.67	3760231	1180302	0	0	3206581	2	3206581	2	1180302	3
bcepacia_complex	GCF_000756845.fna	7182132	5	1436426.4	2700051	481953	100	1	2068068	2	1041547	3	890513	4
bcepacia_complex	GCF_000757365.fna	8112263	3	2704087.67	3723449	1183030	100	1	3205784	2	3205784	2	1183030	3
bcepacia_complex	GCF_000974835.fna	6419376	1	6419376	6419376	6419376	0	0	6419376	1	6419376	1	6419376	1
bcepacia_complex	GCF_001038835.fna	8672695	185	46879.43	634955	229	0	0	117045	21	76141	39	33875	73
bcepacia_complex	GCF_001039005.fna	8843581	189	46791.43	501484	204	0	0	155768	19	104103	33	50527	56
bcepacia_complex	GCF_001052915.fna	8608782	1071	8038.08	80915	201	1	1	20469	130	12116	241	4848	454
bcepacia_complex	GCF_001053975.fna	8615890	824	10456.18	112625	201	210	6	28346	99	15869	178	6687	339
bcepacia_complex	GCF_001411495.fna	8605945	4	2151486.25	3791734	209807	0	0	3408190	2	3408190	2	1196214	3
bcepacia_complex	GCF_001521915.fna	8735486	128	68245.98	688010	503	0	0	277883	10	152653	19	58934	36
bcepacia_complex	GCF_001521975.fna	8315647	86	96693.57	703616	504	0	0	218875	12	160985	21	89821	36
bcepacia_complex	GCF_001522215.fna	8509381	97	87725.58	704998	520	0	0	220447	12	143843	22	75605	37
bcepacia_complex	GCF_001522295.fna	8556753	172	49748.56	597751	506	0	0	221842	12	143193	22	59060	38
bcepacia_complex	GCF_001522305.fna	8732600	131	66661.07	688010	503	0	0	267054	11	141140	20	58928	37
bcepacia_complex	GCF_001522335.fna	8510247	98	86839.26	450484	517	0	0	261510	13	146373	23	69616	38
bcepacia_complex	GCF_001522525.fna	8617579	129	66802.94	705920	518	0	0	240252	12	165131	20	59743	35
bcepacia_complex	GCF_001522575.fna	8739025	124	70476.01	688010	513	0	0	277883	10	142511	19	58926	37
bcepacia_complex	GCF_001522625.fna	8735743	122	71604.45	688010	503	0	0	277883	11	142323	19	58934	35
bcepacia_complex	GCF_001522695.fna	8735518	121	72194.36	1016303	503	0	0	291182	9	165939	17	58934	32
bcepacia_complex	GCF_001522785.fna	8695473	134	64891.59	688010	503	0	0	291182	10	141140	19	54240	38
bcepacia_complex	GCF_001522805.fna	8719486	146	59722.51	819586	502	0	0	172393	12	114882	24	47846	45
bcepacia_complex	GCF_001522815.fna	8732585	137	63741.5	688010	503	0	0	277883	11	141140	20	50689	37
bcepacia_complex	GCF_001522875.fna	8731097	136	64199.24	688010	503	0	0	270520	11	129151	21	58934	39
bcepacia_complex	GCF_001522925.fna	8734384	136	64223.41	688010	503	0	0	218259	12	132502	22	50689	41
bcepacia_complex	GCF_001522945.fna	8738807	131	66708.45	688010	515	0	0	277883	11	147868	19	58934	36
bcepacia_complex	GCF_001522965.fna	8690647	138	62975.7	578218	510	0	0	266978	11	138239	21	58934	38
bcepacia_complex	GCF_001522985.fna	8737864	129	67735.38	688010	517	1	1	291209	10	151597	19	58928	36
bcepacia_complex	GCF_001523085.fna	8628116	134	64388.93	706394	510	0	0	211033	13	138257	23	53056	41
bcepacia_complex	GCF_001523685.fna	8620145	83	103857.17	694413	512	0	0	306770	10	174071	18	75023	31
bcepacia_complex	GCF_001523985.fna	8517856	100	85178.56	657084	507	0	0	236286	12	131632	22	81358	37
bcepacia_complex	GCF_001524125.fna	8500640	96	88548.33	1072334	502	0	0	202652	12	126164	23	64477	41
bcepacia_complex	GCF_001524665.fna	8144615	54	150826.2	769916	540	0	0	340673	8	290666	13	122131	22
bcepacia_complex	GCF_001524765.fna	8449013	83	101795.34	701892	521	0	0	226468	12	149699	22	85342	36
bcepacia_complex	GCF_001524835.fna	8263766	68	121525.97	918724	508	0	0	236589	10	173771	18	83626	31
bcepacia_complex	GCF_001525765.fna	8691083	123	70659.21	688010	503	0	0	275768	10	155746	18	58934	34
bcepacia_complex	GCF_001525775.fna	8742154	121	72249.21	773196	503	0	0	370537	9	172393	16	58934	31
bcepacia_complex	GCF_001525785.fna	8735403	131	66682.47	688010	506	0	0	268862	11	138239	21	58934	38
bcepacia_complex	GCF_001525895.fna	8738266	135	64727.9	924625	503	0	0	268908	10	158809	18	58934	35
bcepacia_complex	GCF_001525925.fna	8733927	133	65668.62	1016170	503	0	0	291055	9	142511	18	58928	34
bcepacia_complex	GCF_001525945.fna	8731825	122	71572.34	688010	503	0	0	277883	10	155746	18	80019	33
bcepacia_complex	GCF_001525965.fna	8739376	124	70478.84	997314	503	0	0	291523	9	166396	17	58934	34
bcepacia_complex	GCF_001526205.fna	8607144	116	74199.52	781792	519	0	0	231840	12	132896	22	75153	39
bcepacia_complex	GCF_001526255.fna	8276276	88	94048.59	449310	589	0	0	215484	14	184558	22	76238	35
bcepacia_complex	GCF_001526345.fna	8301211	64	129706.42	577791	506	0	0	309291	11	217921	17	147126	27
bcepacia_complex	GCF_001526445.fna	8316182	83	100194.96	827694	510	0	0	338329	9	236069	15	117824	24
bcepacia_complex	GCF_001526755.fna	8702042	81	107432.62	901772	547	0	0	301140	9	155824	18	76960	33
bcepacia_complex	GCF_001526785.fna	8298932	71	116886.37	683982	582	0	0	239339	10	185538	18	141972	28
bcepacia_complex	GCF_001526905.fna	8258451	64	129038.3	1033419	561	0	0	355900	8	196752	15	94928	27
bcepacia_complex	GCF_001528485.fna	6947386	56	124060.46	1020426	566	0	0	376370	7	203513	12	115002	21
bcepacia_complex	GCF_001528675.fna	8412156	80	105151.95	1145558	512	0	0	240658	10	173477	18	80085	32
bcepacia_complex	GCF_001528685.fna	8315214	107	77712.28	562126	502	0	0	215414	13	145343	23	59710	38
bcepacia_complex	GCF_001528845.fna	8486058	110	77145.98	833528	548	0	0	173463	15	113027	27	50655	48
bcepacia_complex	GCF_001529145.fna	8414988	78	107884.46	1023080	504	0	0	305085	9	173345	16	106661	28
bcepacia_complex	GCF_001529525.fna	8585029	67	128134.76	858070	527	0	0	295732	10	173298	18	123915	29
bcepacia_complex	GCF_001529685.fna	7098836	46	154322.52	977502	542	0	0	451712	6	281757	10	131667	18
bcepacia_complex	GCF_001529755.fna	7120145	77	92469.42	562145	517	0	0	238041	10	166609	17	113810	27
bcepacia_complex	GCF_001529825.fna	8382856	81	103492.05	975529	503	0	0	281818	9	214820	15	121751	26
bcepacia_complex	GCF_001529885.fna	8482880	74	114633.51	696722	532	0	0	398927	9	167360	16	101219	28
bcepacia_complex	GCF_001530005.fna	7099304	49	144883.76	975532	542	0	0	411638	6	196579	11	122031	20
bcepacia_complex	GCF_001530045.fna	8384588	78	107494.72	975532	542	0	0	263833	9	169341	18	122683	29
bcepacia_complex	GCF_001530055.fna	8379989	69	121449.12	976079	542	0	0	319192	9	214755	15	131547	26
bcepacia_complex	GCF_001530085.fna	8276825	79	104769.94	723109	542	0	0	223961	11	169716	19	113721	31
bcepacia_complex	GCF_001530105.fna	8381027	72	116403.15	976033	574	0	0	281818	10	205446	17	103010	28
bcepacia_complex	GCF_001530135.fna	8384190	73	114851.92	829780	574	0	0	338392	9	182433	15	122680	25
bcepacia_complex	GCF_001530185.fna	8609824	83	103732.82	974425	579	0	0	304547	9	196649	16	81266	28
bcepacia_complex	GCF_001530205.fna	8771789	76	115418.28	1058937	587	0	0	313391	9	184861	16	82472	29
bcepacia_complex	GCF_001530415.fna	8609524	88	97835.5	698683	512	0	0	265747	11	167548	20	73492	34
bcepacia_complex	GCF_001530665.fna	8303495	73	113746.51	802558	534	0	0	239939	11	180230	19	111503	31
bcepacia_complex	GCF_001530785.fna	8388857	91	92185.24	829793	502	0	0	230725	9	147467	19	94656	32
bcepacia_complex	GCF_001530805.fna	7101349	43	165147.65	1119988	542	0	0	411782	6	257837	10	132535	19
bcepacia_complex	GCF_001530905.fna	8426554	96	87776.6	554836	537	0	0	231045	11	136589	21	67199	37
bcepacia_complex	GCF_001531505.fna	8674711	82	105789.16	1040461	561	0	0	314289	9	202327	16	84362	29
bcepacia_complex	GCF_001531525.fna	8213183	70	117331.19	887066	547	0	0	403064	8	221694	14	104736	25
bcepacia_complex	GCF_001531875.fna	8449153	72	117349.35	851428	521	0	0	242091	11	172675	19	96057	32
bcepacia_complex	GCF_001531905.fna	8385463	82	102261.74	925428	521	0	0	278014	10	164342	18	100042	31
bcepacia_complex	GCF_001531915.fna	7064027	51	138510.33	692720	518	0	0	329037	8	212898	14	140372	22
bcepacia_complex	GCF_001532125.fna	8786301	118	74460.18	1068947	541	0	0	283079	10	173895	18	74864	32
bcepacia_complex	GCF_001532235.fna	8372192	75	111629.23	736785	520	0	0	379175	9	219323	15	138448	25
bcepacia_complex	GCF_001532525.fna	8323769	79	105364.16	974424	502	0	0	245881	11	164640	19	108942	32
bcepacia_complex	GCF_001532555.fna	8326735	80	104084.19	973126	513	0	0	246246	11	159310	19	86818	32
bcepacia_complex	GCF_001532705.fna	8309633	79	105185.23	936013	527	0	0	235737	11	159244	20	85207	34
bcepacia_complex	GCF_001532885.fna	8934814	112	79775.12	586644	503	0	0	208181	14	138653	25	60594	42
bcepacia_complex	GCF_001532955.fna	8504370	89	95554.72	501350	503	0	0	230421	13	140402	22	81180	36
bcepacia_complex	GCF_001533295.fna	8606444	95	90594.15	764264	503	0	0	244253	13	167669	21	99407	34
bcepacia_complex	GCF_001533445.fna	8336175	128	65126.37	571123	502	0	0	277352	12	151230	20	75160	35
bcepacia_complex	GCF_001534085.fna	8269906	58	142584.59	1047437	502	0	0	322883	8	221575	15	142468	23
bcepacia_complex	GCF_001536795.fna	7290488	49	148785.47	1409706	605	0	0	313203	7	233960	12	114302	20
bcepacia_complex	GCF_001718395.fna	7337382	2	3668691	3728457	3608925	0	0	3728457	1	3608925	2	3608925	2
bcepacia_complex	GCF_001718835.fna	8003631	3	2667877	3750729	835898	0	0	3417004	2	3417004	2	835898	3
bcepacia_complex	GCF_002209085.fna	8569854	4	2142463.5	3779906	204169	0	0	3397795	2	3397795	2	1187984	3
bcepacia_complex	GCF_002407525.fna	8569824	4	2142456	3779890	204165	0	0	3397791	2	3397791	2	1187978	3
bcepacia_complex	GCF_002942785.fna	7772935	77	100947.21	336982	30735	0	0	142786	20	92735	33	46765	57
bcepacia_complex	GCF_002968055.fna	8232987	233	35334.71	381236	471	0	0	125253	23	72607	41	24624	76
bcepacia_complex	GCF_003268125.fna	8439210	70	120560.14	573148	512	411	7	226129	11	156677	19	79051	34
bcepacia_complex	GCF_003546465.fna	8567011	4	2141752.75	3779447	203123	0	0	3396456	2	3396456	2	1187985	3
bcepacia_complex	GCF_003853765.fna	8164046	103	79262.58	578081	215	0	0	211098	12	164380	21	79726	35
bcepacia_complex	GCF_003853915.fna	8216682	94	87411.51	583271	215	0	0	217080	12	139987	21	81188	36
bcepacia_complex	GCF_003853955.fna	6993101	72	97126.4	573275	202	0	0	311814	9	159031	16	83435	28
bcepacia_complex	GCF_003853975.fna	8231748	126	65331.33	583498	220	0	0	167121	15	117005	27	59895	45
bcepacia_complex	GCF_003853995.fna	8234680	127	64840	910890	206	0	0	176220	13	116747	25	58018	45
bcepacia_complex	GCF_003854415.fna	8116924	111	73125.44	405477	205	0	0	200951	15	129293	25	81200	40
bcepacia_complex	GCF_003854425.fna	8472373	112	75646.19	618650	200	0	0	221003	13	128008	23	78268	40
bcepacia_complex	GCF_003854435.fna	8401901	113	74353.11	832512	202	0	0	210282	12	155274	22	75469	36
bcepacia_complex	GCF_003857475.fna	8240036	84	98095.67	1046404	202	0	0	252108	11	163844	19	78903	34
bcepacia_complex	GCF_003857515.fna	8388287	88	95321.44	933247	220	0	0	262687	11	159406	19	77795	33
bcepacia_complex	GCF_003858065.fna	8271454	123	67247.59	583505	206	0	0	165089	16	118131	27	66124	44
