Genome,Scheme,ST,aroA,cpn60,dpr,gki,mutS,recA,thrA,clonal_complex
GCF_000937015.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000937035.fna.gz,ssuis,880,157,341,228,11,307,36,178,
GCF_000937055.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000937075.fna.gz,ssuis,27,31,30,5,34,31,3,25,
GCF_000937155.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000937175.fna.gz,ssuis,911,8,21,5,45,44,22,203,
GCF_000937195.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000937215.fna.gz,ssuis,891,1,1,1,299,1,1,1,
GCF_000937235.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000937255.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000937295.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000937315.fna.gz,ssuis,883,37,344,230,66,75,20,204,
GCF_000937335.fna.gz,ssuis,866,23,68,5,4,76,107,8,
GCF_000937375.fna.gz,ssuis,869,1,1,1,7,1,1,1,
GCF_000937395.fna.gz,ssuis,94,8,21,5,45,44,22,4,
GCF_000937535.fna.gz,ssuis,862,26,8,24,12,55,10,4,
GCF_000937555.fna.gz,ssuis,892,15,11,236,7,16,77,8,
GCF_000937595.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000937635.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000937655.fna.gz,ssuis,87,18,8,24,12,1,10,4,
GCF_000937675.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000937695.fna.gz,ssuis,890,25,13,235,254,117,38,113,
GCF_000937735.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000937755.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000937775.fna.gz,ssuis,870,15,99,52,39,220,194,12,
GCF_000937815.fna.gz,ssuis,903,49,335,20,294,84,26,8,
GCF_000937875.fna.gz,ssuis,27,31,30,5,34,31,3,25,
GCF_000937915.fna.gz,ssuis,888,49,340,20,290,54,46,27,
GCF_000937935.fna.gz,ssuis,884,49,340,231,14,16,46,12,
GCF_000937995.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938055.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938075.fna.gz,ssuis,857,31,7,109,13,6,7,6,
GCF_000938095.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938115.fna.gz,ssuis,867,18,30,5,34,31,3,25,
GCF_000938135.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938155.fna.gz,ssuis,907,8,30,238,34,30,21,4,
GCF_000938195.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938215.fna.gz,ssuis,911,8,21,5,45,44,22,203,
GCF_000938375.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938415.fna.gz,ssuis,891,1,1,1,299,1,1,1,
GCF_000938435.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938455.fna.gz,ssuis,875,202,6,18,39,52,216,12,
GCF_000938475.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938495.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000938555.fna.gz,ssuis,864,23,39,52,4,14,33,18,
GCF_000938595.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938615.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938635.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938655.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938675.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938755.fna.gz,ssuis,144,1,30,1,1,1,1,1,
GCF_000938775.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938795.fna.gz,ssuis,908,38,340,237,298,84,26,9,
GCF_000938815.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938835.fna.gz,ssuis,87,18,8,24,12,1,10,4,
GCF_000938915.fna.gz,ssuis,873,1,1,1,293,1,1,1,
GCF_000938935.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000938955.fna.gz,ssuis,859,38,10,30,66,84,71,174,
GCF_000939015.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939055.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939075.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939095.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939115.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939175.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939235.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939315.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939375.fna.gz,ssuis,857,31,7,109,13,6,7,6,
GCF_000939715.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_000939735.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939795.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939855.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939875.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939895.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939915.fna.gz,ssuis,87,18,8,24,12,1,10,4,
GCF_000939935.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000939995.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940015.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940055.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940075.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940095.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940155.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940175.fna.gz,ssuis,916,254,88,22,298,16,21,157,
GCF_000940195.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940275.fna.gz,ssuis,904,31,345,222,212,9,10,8,
GCF_000940335.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000940375.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940395.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940415.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_000940475.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940495.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940575.fna.gz,ssuis,87,18,8,24,12,1,10,4,
GCF_000940595.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940635.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940675.fna.gz,ssuis,27,31,30,5,34,31,3,25,
GCF_000940715.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000940735.fna.gz,ssuis,873,1,1,1,293,1,1,1,
GCF_000940755.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941115.fna.gz,ssuis,87,18,8,24,12,1,10,4,
GCF_000941135.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941175.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941235.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000941255.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941275.fna.gz,ssuis,908,38,340,237,298,84,26,9,
GCF_000941295.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941315.fna.gz,ssuis,948,25,39,226,295,315,215,8,
GCF_000941355.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941375.fna.gz,ssuis,874,38,344,20,7,5,214,8,
GCF_000941415.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941475.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941495.fna.gz,ssuis,881,114,342,58,188,25,219,8,
GCF_000941515.fna.gz,ssuis,909,1,1,1,1,311,1,1,
GCF_000941555.fna.gz,ssuis,893,254,88,22,298,16,213,157,
GCF_000941595.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941655.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941675.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941695.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941715.fna.gz,ssuis,861,23,99,52,101,220,194,11,
GCF_000941735.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941755.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941775.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941795.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941815.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941855.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941875.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000941915.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000941955.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942015.fna.gz,ssuis,950,43,340,227,296,304,217,36,
GCF_000942035.fna.gz,ssuis,new_alleles,2,30,5,34,31,3,~25,
GCF_000942055.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942075.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942095.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000942115.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942135.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000942175.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942195.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942215.fna.gz,ssuis,882,35,36,27,9,308,28,29,
GCF_000942235.fna.gz,ssuis,105,1,1,1,52,1,1,1,
GCF_000942295.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942315.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942335.fna.gz,ssuis,87,18,8,24,12,1,10,4,
GCF_000942355.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942375.fna.gz,ssuis,905,31,332,223,15,302,46,143,
GCF_000942415.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942435.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942455.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942475.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942495.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942515.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_000942535.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942555.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942575.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942595.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942615.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942635.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942655.fna.gz,ssuis,790,23,25,5,128,14,46,106,
GCF_000942675.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942715.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942735.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942755.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942795.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942835.fna.gz,ssuis,27,31,30,5,34,31,3,25,
GCF_000942855.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942875.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000942895.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942935.fna.gz,ssuis,23,26,8,24,12,1,10,4,
GCF_000942975.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000942995.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943035.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943055.fna.gz,ssuis,915,260,338,193,292,25,39,207,
GCF_000943075.fna.gz,ssuis,23,26,8,24,12,1,10,4,
GCF_000943115.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943175.fna.gz,ssuis,875,202,6,18,39,52,216,12,
GCF_000943195.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943215.fna.gz,ssuis,914,25,344,27,291,308,69,29,
GCF_000943235.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943255.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943275.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943295.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943315.fna.gz,ssuis,899,49,344,30,288,84,6,56,
GCF_000943335.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943835.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943855.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943875.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943895.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943915.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943935.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943955.fna.gz,ssuis,910,157,346,224,300,117,38,206,
GCF_000943975.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000943995.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944035.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944055.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944075.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944115.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_000944135.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944175.fna.gz,ssuis,886,257,344,231,61,76,26,125,
GCF_000944195.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944215.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000944315.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944335.fna.gz,ssuis,896,255,152,112,286,309,58,178,
GCF_000944375.fna.gz,ssuis,879,63,68,21,297,7,30,8,
GCF_000944415.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944455.fna.gz,ssuis,856,8,30,5,34,31,3,25,
GCF_000944495.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944515.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944535.fna.gz,ssuis,87,18,8,24,12,1,10,4,
GCF_000944555.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944575.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944615.fna.gz,ssuis,898,49,344,234,61,300,26,125,
GCF_000944635.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944655.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944675.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944715.fna.gz,ssuis,864,23,39,52,4,14,33,18,
GCF_000944755.fna.gz,ssuis,29,8,30,5,34,30,3,25,
GCF_000944775.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944815.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944875.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944895.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944915.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944935.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000944975.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945015.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945035.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945055.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945075.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945095.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945135.fna.gz,ssuis,25,9,30,5,34,30,3,25,
GCF_000945155.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000945215.fna.gz,ssuis,new_alleles,18,8,24,12,~1,10,4,
GCF_000945255.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945275.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945295.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945335.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945355.fna.gz,ssuis,28,2,30,5,34,31,3,25,
GCF_000945375.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945395.fna.gz,ssuis,1,1,1,1,1,1,1,1,
GCF_000945415.fna.gz,ssuis,868,30,8,24,12,1,10,4,
GCF_000945435.fna.gz,ssuis,1,1,1,1,1,1,1,1,
