Genome,Scheme,ST,abcZ,bglA,cat,dapE,dat,ldh,lhkA,CC,Lineage
GCF_000727145.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000727165.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000727175.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000727205.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000727225.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727245.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_000727255.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727285.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000727305.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727315.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727345.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727355.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727385.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_000727395.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000727405.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000727445.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000727465.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727495.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000727515.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727545.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000727565.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000727585.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727605.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727625.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000727635.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000727655.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727665.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727705.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000727725.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727735.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000727755.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727765.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000727805.fna.gz,lmonocytogenes,323,34,12,11,15,3,1,2,CC288,I
GCF_000727825.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727845.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000727865.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727885.fna.gz,lmonocytogenes,296,12,12,12,61,3,1,4,CC88,I
GCF_000727905.fna.gz,lmonocytogenes,257,1,1,11,11,2,30,5,CC2,I
GCF_000727915.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727925.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000727945.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000727985.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000727995.fna.gz,lmonocytogenes,323,34,12,11,15,3,1,2,CC288,I
GCF_000728015.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000728045.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728055.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000728065.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000728105.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000728125.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000728135.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000728145.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728185.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728205.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000728215.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000728245.fna.gz,lmonocytogenes,323,34,12,11,15,3,1,2,CC288,I
GCF_000728265.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728275.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728305.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728325.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728345.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000728365.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000728385.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728405.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_000728415.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728425.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000728465.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000728485.fna.gz,lmonocytogenes,323,34,12,11,15,3,1,2,CC288,I
GCF_000728495.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728505.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728525.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000728565.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728585.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000728595.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728615.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000728645.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000728665.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728675.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728685.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000728725.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728745.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728765.fna.gz,lmonocytogenes,323,34,12,11,15,3,1,2,CC288,I
GCF_000728775.fna.gz,lmonocytogenes,323,34,12,11,15,3,1,2,CC288,I
GCF_000728805.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728825.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000728845.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728855.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728885.fna.gz,lmonocytogenes,323,34,12,11,15,3,1,2,CC288,I
GCF_000728905.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728925.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000728935.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000728945.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000728975.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000729005.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000729015.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000729045.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000729055.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000729075.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000729095.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000729125.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000729135.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000729145.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000729185.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000729195.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000729225.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000729235.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000729245.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000729285.fna.gz,lmonocytogenes,323,34,12,11,15,3,1,2,CC288,I
GCF_000729305.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000729325.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000729345.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000729355.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000729385.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000729405.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000729415.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_000729445.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000729465.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000729475.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000729485.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000729505.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000729545.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000729555.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000729565.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_000729595.fna.gz,lmonocytogenes,296,12,12,12,61,3,1,4,CC88,I
GCF_000729625.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_000729645.fna.gz,lmonocytogenes,635,23,29,3,30,6,6,1,CC635,II
GCF_000729665.fna.gz,lmonocytogenes,1330,2,1,11,275,3,1,7,CC5,I
GCF_000729685.fna.gz,lmonocytogenes,5,2,1,11,3,3,1,7,CC5,I
GCF_000729705.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000743465.fna.gz,lmonocytogenes,107,5,8,5,7,6,41,1,CC7,II
GCF_000746625.fna.gz,lmonocytogenes,551,5,6,88,29,5,3,1,CC8,II
GCF_000764125.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000764145.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000787895.fna.gz,lmonocytogenes,399,8,6,15,6,6,2,1,CC14,II
GCF_000787905.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_000787915.fna.gz,lmonocytogenes,29,15,10,18,18,1,3,1,CC29,II
GCF_000787925.fna.gz,lmonocytogenes,29,15,10,18,18,1,3,1,CC29,II
GCF_000800335.fna.gz,lmonocytogenes,1,3,1,1,1,3,1,3,CC1,I
GCF_000801375.fna.gz,lmonocytogenes,8,5,6,2,9,5,3,1,CC8,II
GCF_000801385.fna.gz,lmonocytogenes,7,5,8,5,7,6,2,1,CC7,II
GCF_000801395.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_000801405.fna.gz,lmonocytogenes,381,7,50,16,7,5,2,1,CC155,II
GCF_000801455.fna.gz,lmonocytogenes,9,6,5,6,4,1,4,1,CC9,II
GCF_000801475.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000801485.fna.gz,lmonocytogenes,3,4,4,4,3,2,1,5,CC3,I
GCF_000801515.fna.gz,lmonocytogenes,1324,230,1,11,3,3,1,7,CC5,I
GCF_000801525.fna.gz,lmonocytogenes,91,7,6,15,6,5,2,1,CC14,II
GCF_000801555.fna.gz,lmonocytogenes,29,15,10,18,18,1,3,1,CC29,II
GCF_000801575.fna.gz,lmonocytogenes,87,12,1,4,14,3,39,4,CC87,I
GCF_000801595.fna.gz,lmonocytogenes,391,7,6,62,28,5,2,1,CC89,II
GCF_000804465.fna.gz,lmonocytogenes,2,1,1,11,11,2,1,5,CC2,I
GCF_000806395.fna.gz,lmonocytogenes,328,3,1,1,1,3,131,3,CC1,I
GCF_000806405.fna.gz,lmonocytogenes,328,3,1,1,1,3,131,3,CC1,I
GCF_000806455.fna.gz,lmonocytogenes,328,3,1,1,1,3,131,3,CC1,I
GCF_000808055.fna.gz,lmonocytogenes,6,3,9,9,3,3,1,5,CC6,I
GCF_000808125.fna.gz,lmonocytogenes,177,5,10,17,20,1,26,1,CC177,II
GCF_000808135.fna.gz,lmonocytogenes,177,5,10,17,20,1,26,1,CC177,II
GCF_000814545.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_000814555.fna.gz,lmonocytogenes,31,7,14,10,19,9,8,1,CC31,II
GCF_000814565.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_000814575.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_000814625.fna.gz,lmonocytogenes,121,7,6,8,8,6,37,1,CC121,II
GCF_000950775.fna.gz,lmonocytogenes,4,1,2,12,3,2,5,3,CC4,I
GCF_000951975.fna.gz,lmonocytogenes,204,5,7,6,4,5,4,1,CC204,II
