Genome,Scheme,ST,atpD,infB,mdh,rpoB,6pgd,g3pd,frdB,clonal_complex
GCF_003288155.fna.gz,gparasuis,347,28,39,34,1,43,1,39,
GCF_008330065.fna.gz,gparasuis,328,29,39,33,1,74,3,51,
GCF_009707445.fna.gz,gparasuis,24,1,8,7,1,1,1,3,
GCF_009796325.fna.gz,gparasuis,159,7,2,6,3,27,3,9,
GCF_009796335.fna.gz,gparasuis,322,26,39,34,1,43,1,21,
GCF_009796365.fna.gz,gparasuis,324,7,4,6,3,27,3,9,
GCF_009796375.fna.gz,gparasuis,325,7,4,6,3,27,1,3,
GCF_009796385.fna.gz,gparasuis,171,24,2,37,1,47,1,40,
GCF_009796425.fna.gz,gparasuis,326,26,39,4,1,43,1,2,
GCF_009796435.fna.gz,gparasuis,176,26,39,34,1,43,1,2,
GCF_009796465.fna.gz,gparasuis,175,28,10,34,1,43,3,39,
GCF_009796475.fna.gz,gparasuis,185,4,5,19,13,13,3,21,
GCF_009796485.fna.gz,gparasuis,225,2,10,6,1,43,1,44,
GCF_009796525.fna.gz,gparasuis,359,7,4,6,3,27,23,82,
GCF_009796535.fna.gz,gparasuis,176,26,39,34,1,43,1,2,
GCF_009796565.fna.gz,gparasuis,343,5,10,33,1,3,1,20,
GCF_009796625.fna.gz,gparasuis,169,24,39,36,1,45,1,37,
GCF_009796655.fna.gz,gparasuis,254,2,16,4,6,7,3,2,
GCF_009796695.fna.gz,gparasuis,331,7,4,4,11,72,1,9,
GCF_009796885.fna.gz,gparasuis,175,28,10,34,1,43,3,39,
GCF_009796895.fna.gz,gparasuis,324,7,4,6,3,27,3,9,
GCF_009796905.fna.gz,gparasuis,327,7,9,6,3,27,3,9,
GCF_009796955.fna.gz,gparasuis,323,26,17,34,1,43,1,2,
GCF_009796985.fna.gz,gparasuis,-,27,9,4,1,-,1,3,
GCF_009797005.fna.gz,gparasuis,new_ST,1,10,1,1,1,1,83,
GCF_009797055.fna.gz,gparasuis,356,7,4,24,6,81,1,23,
GCF_009797065.fna.gz,gparasuis,354,45,39,34,1,43,1,2,
GCF_009797125.fna.gz,gparasuis,342,10,11,33,1,43,1,2,
GCF_009797135.fna.gz,gparasuis,341,3,11,34,1,45,1,9,
GCF_009797145.fna.gz,gparasuis,342,10,11,33,1,43,1,2,
GCF_009797165.fna.gz,gparasuis,336,26,12,36,1,45,1,39,
GCF_009797205.fna.gz,gparasuis,352,24,1,37,1,80,24,3,
GCF_009797225.fna.gz,gparasuis,357,7,4,6,3,27,3,82,
GCF_009797235.fna.gz,gparasuis,343,5,10,33,1,3,1,20,
GCF_009797355.fna.gz,gparasuis,181,26,11,12,1,43,3,38,
GCF_009797365.fna.gz,gparasuis,330,4,5,17,4,15,3,5,
GCF_009797405.fna.gz,gparasuis,184,24,11,36,1,45,1,37,
GCF_009797435.fna.gz,gparasuis,348,7,5,55,4,12,3,23,
GCF_009797475.fna.gz,gparasuis,358,4,65,8,11,37,1,2,
GCF_009797525.fna.gz,gparasuis,329,10,11,33,1,43,1,3,
GCF_009827875.fna.gz,gparasuis,new_ST,2,55,6,1,43,1,44,
GCF_009827935.fna.gz,gparasuis,new_ST,2,2,24,6,27,1,23,
GCF_009827955.fna.gz,gparasuis,new_ST,28,11,1,1,43,3,39,
GCF_009827965.fna.gz,gparasuis,new_alleles,7,~4,6,~17,27,3,38,
GCF_009831435.fna.gz,gparasuis,285,26,55,6,1,43,1,44,
GCF_011044275.fna.gz,gparasuis,4,2,1,8,6,8,3,8,
GCF_011044295.fna.gz,gparasuis,370,2,2,6,3,27,1,38,
GCF_011044315.fna.gz,gparasuis,366,4,4,6,11,37,3,2,
GCF_013285285.fna.gz,gparasuis,288,4,18,17,20,15,3,5,
GCF_013373555.fna.gz,gparasuis,new_alleles,24,11,33,1,~3,1,3,
GCF_015832095.fna.gz,gparasuis,444,7,1,6,28,27,1,2,
GCF_016845695.fna.gz,gparasuis,279,2,2,4,2,9,1,2,
GCF_017352235.fna.gz,gparasuis,428,7,67,34,1,43,3,39,
GCF_017352255.fna.gz,gparasuis,287,4,4,8,11,37,20,23,
GCF_017352275.fna.gz,gparasuis,431,24,1,34,1,45,1,3,
GCF_017352295.fna.gz,gparasuis,429,2,2,4,6,27,3,2,
GCF_900450925.fna.gz,gparasuis,16,4,4,4,3,4,2,4,
