Genome,Scheme,ST,gdh,gyd,pstS,gki,aroE,xpt,yqiL,clonal_complex
GCF_000157135.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000157155.fna.gz,efaecalis,-,4,4,-,3,2,1,3,
GCF_000157175.fna.gz,efaecalis,67,14,1,30,5,21,20,21,
GCF_000157195.fna.gz,efaecalis,105,4,1,11,21,21,2,2,
GCF_000157235.fna.gz,efaecalis,55,3,7,23,1,9,16,7,
GCF_000157275.fna.gz,efaecalis,108,1,2,30,13,37,22,32,
GCF_000157315.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_000157335.fna.gz,efaecalis,4,8,7,7,5,4,4,1,
GCF_000157375.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000157395.fna.gz,efaecalis,93,25,2,15,9,23,18,26,
GCF_000157415.fna.gz,efaecalis,-,20,1,-,38,30,25,30,
GCF_000157455.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000157475.fna.gz,efaecalis,65,12,7,17,17,3,2,5,
GCF_000157495.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000157515.fna.gz,efaecalis,-,1,2,-,8,1,6,1,
GCF_000159255.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000159275.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_000159655.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000160155.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000161875.fna.gz,efaecalis,-,10,1,-,6,5,5,4,
GCF_000163795.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_000163815.fna.gz,efaecalis,103,35,7,3,32,32,26,31,
GCF_000172575.fna.gz,efaecalis,1,3,1,16,1,1,1,1,
GCF_000175015.fna.gz,efaecalis,364,2,7,11,66,3,16,2,
GCF_000178175.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000210115.fna.gz,efaecalis,72,20,3,7,25,23,2,2,
GCF_000281195.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000293985.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000294005.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294025.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294045.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294065.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294085.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294105.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294125.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294145.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294165.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294185.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294205.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294225.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294245.fna.gz,efaecalis,new_alleles,15,~7,3,2,6,1,5,
GCF_000294265.fna.gz,efaecalis,new_alleles,15,7,3,~66,6,1,5,
GCF_000294285.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294305.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000294325.fna.gz,efaecalis,479,15,15,33,47,17,15,11,
GCF_000317915.fna.gz,efaecalis,248,2,7,11,1,3,4,2,
GCF_000320305.fna.gz,efaecalis,92,3,1,16,1,1,21,1,
GCF_000320325.fna.gz,efaecalis,92,3,1,16,1,1,21,1,
GCF_000390505.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000390525.fna.gz,efaecalis,250,48,6,5,14,10,9,47,
GCF_000390545.fna.gz,efaecalis,28,4,4,8,3,8,1,3,
GCF_000390565.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000390585.fna.gz,efaecalis,23,2,3,13,11,3,2,2,
GCF_000390605.fna.gz,efaecalis,82,12,6,28,29,7,10,20,
GCF_000390625.fna.gz,efaecalis,82,12,6,28,29,7,10,20,
GCF_000390645.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000390665.fna.gz,efaecalis,116,17,2,22,1,14,14,1,
GCF_000390685.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000390705.fna.gz,efaecalis,116,17,2,22,1,14,14,1,
GCF_000390725.fna.gz,efaecalis,116,17,2,22,1,14,14,1,
GCF_000390745.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000390765.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000390785.fna.gz,efaecalis,47,19,1,24,22,19,17,14,
GCF_000390805.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000390825.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000390845.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000390865.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000390885.fna.gz,efaecalis,35,11,5,7,16,1,12,11,
GCF_000390905.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000390925.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000390945.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000390965.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000390985.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391005.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391025.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391045.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391065.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391085.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391105.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391125.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391145.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391165.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391185.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391205.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391225.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391245.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391265.fna.gz,efaecalis,300,15,2,33,2,3,49,11,
GCF_000391285.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391305.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391325.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391345.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391365.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391385.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391405.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391425.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391445.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391465.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391485.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391505.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391525.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391545.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000391565.fna.gz,efaecalis,59,14,2,18,10,16,2,12,
GCF_000391585.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000391605.fna.gz,efaecalis,32,8,7,9,5,4,4,1,
GCF_000391625.fna.gz,efaecalis,32,8,7,9,5,4,4,1,
GCF_000391645.fna.gz,efaecalis,32,8,7,9,5,4,4,1,
GCF_000391665.fna.gz,efaecalis,32,8,7,9,5,4,4,1,
GCF_000391685.fna.gz,efaecalis,32,8,7,9,5,4,4,1,
GCF_000391705.fna.gz,efaecalis,32,8,7,9,5,4,4,1,
GCF_000391725.fna.gz,efaecalis,32,8,7,9,5,4,4,1,
GCF_000392675.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_000392755.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_000392775.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_000392795.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_000392815.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_000392835.fna.gz,efaecalis,4,8,7,7,5,4,4,1,
GCF_000392855.fna.gz,efaecalis,22,1,7,10,1,1,10,1,
GCF_000392875.fna.gz,efaecalis,25,2,7,11,11,3,4,2,
GCF_000392895.fna.gz,efaecalis,36,16,2,19,16,17,15,11,
GCF_000392915.fna.gz,efaecalis,47,19,1,24,22,19,17,14,
GCF_000392935.fna.gz,efaecalis,53,18,1,24,24,20,17,15,
GCF_000392955.fna.gz,efaecalis,59,14,2,18,10,16,2,12,
GCF_000392975.fna.gz,efaecalis,63,21,2,1,3,7,1,6,
GCF_000392995.fna.gz,efaecalis,66,3,3,9,1,9,19,7,
GCF_000393015.fna.gz,efaecalis,68,6,2,11,5,10,1,22,
GCF_000393035.fna.gz,efaecalis,96,27,12,35,32,6,2,23,
GCF_000393055.fna.gz,efaecalis,70,26,7,9,1,1,1,1,
GCF_000393075.fna.gz,efaecalis,71,17,7,29,30,27,1,9,
GCF_000393095.fna.gz,efaecalis,72,20,3,7,25,23,2,2,
GCF_000393115.fna.gz,efaecalis,72,20,3,7,25,23,2,2,
GCF_000393135.fna.gz,efaecalis,90,10,1,11,17,5,5,4,
GCF_000393155.fna.gz,efaecalis,91,29,6,18,31,28,1,3,
GCF_000393175.fna.gz,efaecalis,94,30,6,31,33,11,22,24,
GCF_000393195.fna.gz,efaecalis,95,31,1,32,34,6,1,25,
GCF_000393215.fna.gz,efaecalis,102,9,1,27,31,31,24,14,
GCF_000393235.fna.gz,efaecalis,104,15,1,11,2,6,1,5,
GCF_000393255.fna.gz,efaecalis,106,4,6,16,4,36,1,4,
GCF_000393275.fna.gz,efaecalis,107,2,2,12,25,23,29,2,
GCF_000393295.fna.gz,efaecalis,109,12,1,3,5,6,17,5,
GCF_000393315.fna.gz,efaecalis,110,36,13,30,5,27,20,3,
GCF_000393335.fna.gz,efaecalis,111,37,1,37,41,38,15,33,
GCF_000393355.fna.gz,efaecalis,112,10,1,38,6,5,5,4,
GCF_000393375.fna.gz,efaecalis,113,11,6,5,14,13,9,34,
GCF_000393395.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000393455.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000393475.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000393495.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000393515.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000393535.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000393555.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000393575.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000393595.fna.gz,efaecalis,62,2,7,11,3,3,4,2,
GCF_000393615.fna.gz,efaecalis,62,2,7,11,3,3,4,2,
GCF_000393635.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_000393715.fna.gz,efaecalis,23,2,3,13,11,3,2,2,
GCF_000393795.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000394075.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000394095.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000394115.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000394135.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000394155.fna.gz,efaecalis,8,10,1,11,6,5,5,4,
GCF_000394175.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000394195.fna.gz,efaecalis,2,15,7,3,2,6,1,5,
GCF_000394215.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000394235.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000394255.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000394275.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000394295.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000394315.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000394335.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000394355.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000394375.fna.gz,efaecalis,34,9,6,6,13,13,11,8,
GCF_000394395.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000394455.fna.gz,efaecalis,8,10,1,11,6,5,5,4,
GCF_000394515.fna.gz,efaecalis,245,20,1,3,17,6,1,5,
GCF_000394775.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000394795.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000394815.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000394835.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000394855.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000394875.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000394895.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000394915.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000394935.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000394955.fna.gz,efaecalis,9,4,6,16,4,1,1,4,
GCF_000394975.fna.gz,efaecalis,19,1,2,12,8,1,6,1,
GCF_000394995.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000395015.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000395035.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000395055.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000395075.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000395095.fna.gz,efaecalis,28,4,4,8,3,8,1,3,
GCF_000395115.fna.gz,efaecalis,28,4,4,8,3,8,1,3,
GCF_000395135.fna.gz,efaecalis,30,7,1,11,1,10,2,1,
GCF_000395175.fna.gz,efaecalis,34,9,6,6,13,13,11,8,
GCF_000395205.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000395245.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000395265.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000395285.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000395305.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000395365.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_000395385.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000395405.fna.gz,efaecalis,30,7,1,11,1,10,2,1,
GCF_000395985.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396005.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396025.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396045.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396065.fna.gz,efaecalis,300,15,2,33,2,3,49,11,
GCF_000396085.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396105.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396125.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396145.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396165.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396185.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396205.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396225.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396245.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396265.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396285.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396305.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396325.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396345.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396365.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396385.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396405.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396425.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396445.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396465.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396485.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396505.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396525.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396545.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396565.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396585.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396605.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396625.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396645.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396665.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000396865.fna.gz,efaecalis,26,3,1,11,12,9,14,7,
GCF_000396905.fna.gz,efaecalis,26,3,1,11,12,9,14,7,
GCF_000396985.fna.gz,efaecalis,23,2,3,13,11,3,2,2,
GCF_000407045.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000407305.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000414985.fna.gz,efaecalis,new_alleles,15,2,37,~37,17,15,11,
GCF_000415005.fna.gz,efaecalis,new_alleles,9,1,27,~31,31,24,14,
GCF_000415025.fna.gz,efaecalis,368,63,6,67,6,23,1,68,
GCF_000415045.fna.gz,efaecalis,new_alleles,9,6,6,13,11,27,~8,
GCF_000415065.fna.gz,efaecalis,32,8,7,9,5,4,4,1,
GCF_000415085.fna.gz,efaecalis,227,25,6,52,56,3,5,51,
GCF_000415105.fna.gz,efaecalis,new_alleles,~21,9,1,3,7,1,6,
GCF_000415125.fna.gz,efaecalis,new_alleles,~21,9,1,3,7,1,6,
GCF_000415165.fna.gz,efaecalis,256,4,6,7,29,8,1,20,
GCF_000415205.fna.gz,efaecalis,368,63,6,67,6,23,1,68,
GCF_000415225.fna.gz,efaecalis,new_ST,12,2,17,32,88,20,4,
GCF_000415245.fna.gz,efaecalis,100,34,2,17,37,29,23,6,
GCF_000415325.fna.gz,efaecalis,new_alleles,~10,5,~83,86,90,22,85,
GCF_000415385.fna.gz,efaecalis,new_alleles,~10,5,~83,86,90,22,85,
GCF_000415405.fna.gz,efaecalis,638,5,1,1,1,7,23,6,
GCF_000415425.fna.gz,efaecalis,new_alleles,~14,2,27,17,31,12,~57,
GCF_000415445.fna.gz,efaecalis,875,12,6,17,17,3,2,5,
GCF_000415465.fna.gz,efaecalis,new_alleles,5,1,16,5,~27,1,7,
GCF_000438765.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000468775.fna.gz,efaecalis,179,5,1,1,3,7,1,6,
GCF_000478325.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000479065.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000479085.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000479105.fna.gz,efaecalis,8,10,1,11,6,5,5,4,
GCF_000519425.fna.gz,efaecalis,86,6,10,11,17,4,2,1,
GCF_000519445.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000519465.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000519485.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000519505.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000519525.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000519545.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000519565.fna.gz,efaecalis,65,12,7,17,17,3,2,5,
GCF_000519585.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000519605.fna.gz,efaecalis,new_ST,2,1,13,11,3,71,2,
GCF_000519625.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000519645.fna.gz,efaecalis,97,2,7,11,21,3,4,2,
GCF_000519665.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000519685.fna.gz,efaecalis,21,1,7,9,1,1,1,1,
GCF_000519705.fna.gz,efaecalis,34,9,6,6,13,13,11,8,
GCF_000519725.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000519745.fna.gz,efaecalis,8,10,1,11,6,5,5,4,
GCF_000519765.fna.gz,efaecalis,30,7,1,11,1,10,2,1,
GCF_000519785.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000519805.fna.gz,efaecalis,65,12,7,17,17,3,2,5,
GCF_000519825.fna.gz,efaecalis,65,12,7,17,17,3,2,5,
GCF_000519845.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000519865.fna.gz,efaecalis,30,7,1,11,1,10,2,1,
GCF_000519885.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000519905.fna.gz,efaecalis,237,9,6,4,33,45,37,28,
GCF_000519925.fna.gz,efaecalis,30,7,1,11,1,10,2,1,
GCF_000519945.fna.gz,efaecalis,19,1,2,12,8,1,6,1,
GCF_000519965.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000524625.fna.gz,efaecalis,191,27,1,11,1,21,1,2,
GCF_000550745.fna.gz,efaecalis,191,27,1,11,1,21,1,2,
GCF_000647995.fna.gz,efaecalis,59,14,2,18,10,16,2,12,
GCF_000648015.fna.gz,efaecalis,-,~56,2,~85,13,63,22,-,
GCF_000648035.fna.gz,efaecalis,715,12,7,30,17,1,10,20,
GCF_000648055.fna.gz,efaecalis,141,21,2,11,3,34,3,4,
GCF_000648075.fna.gz,efaecalis,165,15,2,37,1,17,15,11,
GCF_000648095.fna.gz,efaecalis,258,14,1,30,32,10,20,20,
GCF_000648115.fna.gz,efaecalis,71,17,7,29,30,27,1,9,
GCF_000648135.fna.gz,efaecalis,249,15,1,18,57,3,35,53,
GCF_000648155.fna.gz,efaecalis,new_alleles,~90,2,7,5,~39,1,3,
GCF_000648175.fna.gz,efaecalis,4,8,7,7,5,4,4,1,
GCF_000648195.fna.gz,efaecalis,783,9,1,7,11,14,1,22,
GCF_000690925.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000717435.fna.gz,efaecalis,4,8,7,7,5,4,4,1,
GCF_000739195.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_000742975.fna.gz,efaecalis,30,7,1,11,1,10,2,1,
GCF_000763355.fna.gz,efaecalis,30,7,1,11,1,10,2,1,
GCF_000763435.fna.gz,efaecalis,191,27,1,11,1,21,1,2,
GCF_000763645.fna.gz,efaecalis,81,27,2,16,28,26,2,1,
GCF_000772515.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000788155.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000788165.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_000788175.fna.gz,efaecalis,843,3,6,11,72,78,20,22,
GCF_000788185.fna.gz,efaecalis,845,9,6,6,33,13,11,8,
GCF_000788235.fna.gz,efaecalis,32,8,7,9,5,4,4,1,
GCF_000788255.fna.gz,efaecalis,58,21,9,1,3,7,1,6,
GCF_000968735.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_000982595.fna.gz,efaecalis,8,10,1,11,6,5,5,4,
GCF_001052215.fna.gz,efaecalis,16,5,1,1,3,7,7,6,
GCF_001052275.fna.gz,efaecalis,480,1,1,22,22,7,17,6,
GCF_001052315.fna.gz,efaecalis,new_ST,15,2,3,2,3,1,11,
GCF_001053015.fna.gz,efaecalis,64,10,1,11,6,5,1,4,
GCF_001053105.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_001053145.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_001053335.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_001053375.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_001053455.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_001053475.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_001053495.fna.gz,efaecalis,443,20,3,7,6,23,2,2,
GCF_001053515.fna.gz,efaecalis,25,2,7,11,11,3,4,2,
GCF_001054015.fna.gz,efaecalis,40,3,6,23,12,9,10,7,
GCF_001054035.fna.gz,efaecalis,158,12,6,16,4,6,1,5,
GCF_001054295.fna.gz,efaecalis,81,27,2,16,28,26,2,1,
GCF_001054355.fna.gz,efaecalis,6,12,7,3,7,6,1,5,
GCF_001054535.fna.gz,efaecalis,388,35,7,40,32,32,26,31,
GCF_001054545.fna.gz,efaecalis,388,35,7,40,32,32,26,31,
GCF_001054585.fna.gz,efaecalis,-,10,1,-,6,5,1,4,
