Genome,Scheme,ST,argS,gyrB,ileS,nuoC,ppsA,recA,rpoB,rpoD,clonal_complex
GCF_007279645.fna.gz,pputida,new_alleles,49,~60,88,57,~6,9,1,~83,
GCF_007833495.fna.gz,pputida,new_ST,16,72,118,82,103,101,12,24,
GCF_008605605.fna.gz,pputida,6,5,2,48,24,34,57,13,34,
GCF_009012945.fna.gz,pputida,new_alleles,39,48,15,48,~11,14|82,4,14,
GCF_009078365.fna.gz,pputida,new_alleles,~44,~53,84,~52,~52,~53,~35,~67,
GCF_009746605.fna.gz,pputida,new_alleles,60,71,102,65,~17,21,10,92,
GCF_009883635.fna.gz,pputida,new_alleles,~33,~39,~44,~19,~99,~23,21,~39,
GCF_009905395.fna.gz,pputida,new_alleles,~49,~14,~8,4,~5,~7,1,6,
GCF_009938035.fna.gz,pputida,new_alleles,21,19,~17,13,28,~41,5,76,
GCF_011750655.fna.gz,pputida,69,37,44,3,45,1,1,1,1,
GCF_011750675.fna.gz,pputida,69,37,44,3,45,1,1,1,1,
GCF_013305625.fna.gz,pputida,78,48,60,12,4,2,8,1,6,
GCF_013314935.fna.gz,pputida,new_alleles,30,~76,~42,~30,50,~31,17,~45,
GCF_013336785.fna.gz,pputida,new_alleles,3,~71,~29,62,~17,~20,10,21,
GCF_013337265.fna.gz,pputida,new_alleles,3,~71,~29,62,~17,~20,10,21,
GCF_013337275.fna.gz,pputida,new_alleles,3,~71,~29,62,~17,~20,10,21,
GCF_013337325.fna.gz,pputida,new_alleles,3,~71,~29,62,~17,~20,10,21,
GCF_013337345.fna.gz,pputida,new_alleles,3,~71,~29,62,~17,~20,10,21,
GCF_013337355.fna.gz,pputida,new_alleles,3,~71,~29,62,~17,~20,10,21,
GCF_013337385.fna.gz,pputida,new_alleles,3,~71,~29,62,~17,~20,10,21,
GCF_013337395.fna.gz,pputida,new_alleles,3,~71,~29,62,~17,~20,10,21,
GCF_013337415.fna.gz,pputida,new_alleles,3,~71,~29,62,~17,~20,10,21,
GCF_013376655.fna.gz,pputida,-,~51,~88,~5,~59,~10,-,1,~11,
GCF_013376675.fna.gz,pputida,-,~51,~88,~5,~59,~10,-,1,~11,
GCF_013386405.fna.gz,pputida,new_alleles,30,~76,~40,71,~50,~30,17,~45,
GCF_013387005.fna.gz,pputida,2,3,15,29,5,17,20,10,21,
GCF_013425825.fna.gz,pputida,new_alleles,~49,~47,~88,~45,~81,73,1,~1,
GCF_014062205.fna.gz,pputida,12,8,11,52,31,51,55,20,52,
GCF_014076515.fna.gz,pputida,new_alleles,49,60,88,57,2,~95,1,~87,
GCF_014162535.fna.gz,pputida,-,-,-,~62,-,~54,~60,24,~66,
GCF_014169055.fna.gz,pputida,-,-,-,~62,-,~54,~60,24,~66,
GCF_014217705.fna.gz,pputida,-,47,~60,~88,57,80,-,1,~6,
GCF_014726755.fna.gz,pputida,12,8,11,52,31,51,55,20,52,
GCF_014764425.fna.gz,pputida,new_alleles,16,56,85,8,75,~17,12,24,
GCF_014854555.fna.gz,pputida,new_alleles,4,~4,49,23,~33,59,13,38,
GCF_015680425.fna.gz,pputida,-,~36,-,-,~38,~59,-,14,-,
GCF_015680435.fna.gz,pputida,-,~36,-,-,~38,~59,-,14,-,
GCF_015680445.fna.gz,pputida,-,-,-,-,~38,~59,-,14,~59,
GCF_015680455.fna.gz,pputida,new_alleles,~35,~23,~26,17,~25,~38,7,26,
GCF_015680505.fna.gz,pputida,-,-,-,-,~38,~59,~62,~14,-,
GCF_015680515.fna.gz,pputida,-,~36,-,-,~38,~59,-,14,-,
GCF_015680535.fna.gz,pputida,new_alleles,~62,~84,~25,~80,~20,~99,7,~31,
GCF_015680565.fna.gz,pputida,new_alleles,~35,~23,~26,17,~25,~38,7,26,
GCF_015680575.fna.gz,pputida,new_alleles,~62,~84,~25,~80,~20,~99,7,~31,
GCF_015680605.fna.gz,pputida,new_alleles,35,~23,~25,~17,~26,~38,7,26,
GCF_016008995.fna.gz,pputida,new_ST,3,16,102,62,18,21,10,92,
GCF_016009055.fna.gz,pputida,new_alleles,~60,~57,~30,65,~86,21,10,96,
GCF_016009185.fna.gz,pputida,new_alleles,17,58,86,55,77,~25,21,79,
GCF_016009195.fna.gz,pputida,72,46,57,30,54,76,21,10,78,
GCF_016009285.fna.gz,pputida,new_alleles,16,56,85,8,75,~17,12,24,
GCF_016009325.fna.gz,pputida,new_alleles,45,55,84,53,74,~53,35,77,
GCF_016009385.fna.gz,pputida,new_alleles,16,54,33,8,72,~101,12,24,
GCF_016337175.fna.gz,pputida,-,~36,-,~76,~38,~55,~62,14,~56,
GCF_016337225.fna.gz,pputida,new_alleles,49,~63,~5,4,~83,~2,1,5,
GCF_016337245.fna.gz,pputida,-,~8,~11,~52,~31,51,-,20,52,
GCF_016337255.fna.gz,pputida,-,~8,~11,~52,~31,51,-,20,52,
GCF_016337265.fna.gz,pputida,new_alleles,~25,~52,~107,~36,~87,~45,~23,~61,
GCF_016406145.fna.gz,pputida,new_alleles,41,50?,42,49,48,29,18,48,
GCF_017315385.fna.gz,pputida,-,-,-,-,-,~36,-,-,-,
GCF_017875105.fna.gz,pputida,new_alleles,16,10,33,7,13,~17,12,24,
GCF_018141045.fna.gz,pputida,-,47,60,88,57,2,-,1,81,
GCF_019038355.fna.gz,pputida,new_alleles,71,90,122,84,~105,104,46,106,
GCF_900095365.fna.gz,pputida,new_alleles,31,14,8,4,5,~78,1,6,
GCF_900104105.fna.gz,pputida,-,34,40,79,43,69,-,32,74,
GCF_900156185.fna.gz,pputida,87,12,12,6,3,9,4,1,2,
GCF_900167985.fna.gz,pputida,69,37,44,3,45,1,1,1,1,
GCF_900455605.fna.gz,pputida,new_alleles,4,~59,~87,~26,33,57,13,35,
GCF_900455645.fna.gz,pputida,2,3,15,29,5,17,20,10,21,
GCF_900455695.fna.gz,pputida,new_alleles,30,~32,~41,~30,~50,31,17,~45,
GCF_900636645.fna.gz,pputida,69,37,44,3,45,1,1,1,1,
GCF_901482375.fna.gz,pputida,-,37,44,3,45,1,-,1,1,
