Genome,Scheme,ST,TP0136,TP0548,TP0705,clonal_complex
GCF_001941545.fna.gz,tpallidum,22,11,14,10,Nichols-like
GCF_002271195.fna.gz,tpallidum,-,-,-,10,
GCF_002271235.fna.gz,tpallidum,-,-,-,10,
GCF_003055985.fna.gz,tpallidum,25,1,26,1,SS14-like
GCF_003076575.fna.gz,tpallidum,-,-,-,10,
GCF_003611295.fna.gz,tpallidum,-,-,-,10,
GCF_003611315.fna.gz,tpallidum,-,-,-,10,
GCF_003627115.fna.gz,tpallidum,new_alleles,9,~14,10,
GCF_003952805.fna.gz,tpallidum,-,-,-,10,
GCF_004194495.fna.gz,tpallidum,-,-,-,10,
GCF_005311045.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_005311065.fna.gz,tpallidum,31,9,20,3,Nichols-like
GCF_005311085.fna.gz,tpallidum,38,9,24,8,Nichols-like
GCF_005311105.fna.gz,tpallidum,37,15,7,3,Nichols-like
GCF_005311125.fna.gz,tpallidum,47,9,14,3,Nichols-like
GCF_005311145.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_005311165.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_005311185.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_005311205.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_005311445.fna.gz,tpallidum,26,9,7,3,Nichols-like
GCF_005341485.fna.gz,tpallidum,35,1,23,1,SS14-like
GCF_005408385.fna.gz,tpallidum,2,1,1,1,SS14-like
GCF_005408405.fna.gz,tpallidum,2,1,1,1,SS14-like
GCF_005885795.fna.gz,tpallidum,78,1,57,8,SS14-like
GCF_009017435.fna.gz,tpallidum,new_ST,22,1,1,
GCF_009017475.fna.gz,tpallidum,1,1,3,1,SS14-like
GCF_015239315.fna.gz,tpallidum,2,1,1,1,SS14-like
GCF_015239335.fna.gz,tpallidum,2,1,1,1,SS14-like
GCF_015239355.fna.gz,tpallidum,3,1,1,8,SS14-like
GCF_015239375.fna.gz,tpallidum,2,1,1,1,SS14-like
GCF_015239395.fna.gz,tpallidum,-,1,-,-,
GCF_015239415.fna.gz,tpallidum,-,~9,2,3,
GCF_900291945.fna.gz,tpallidum,-,-,-,10,
GCF_900298965.fna.gz,tpallidum,-,-,-,10,
GCF_903234185.fna.gz,tpallidum,-,-,-,10,
GCF_903234195.fna.gz,tpallidum,-,-,-,10,
GCF_903469575.fna.gz,tpallidum,-,-,-,10,
GCF_903469595.fna.gz,tpallidum,-,-,-,10,
