Genome,Scheme,ST,atpA,dnaK,fumC,gyrB,murG,trpB,tuf,clonal_complex
GCF_016804085.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_016804105.fna.gz,fpsychrophilum,10,2,2,2,8,2,2,2,
GCF_016804145.fna.gz,fpsychrophilum,20,2,2,2,8,2,8,2,
GCF_016804165.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_016804185.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_016804205.fna.gz,fpsychrophilum,125,2,15,2,13,2,1,7,
GCF_016804225.fna.gz,fpsychrophilum,125,2,15,2,13,2,1,7,
GCF_016878935.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900101925.fna.gz,fpsychrophilum,13,4,6,5,7,6,4,8,
GCF_900130145.fna.gz,fpsychrophilum,9,4,6,5,7,6,4,5,
GCF_900186345.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900186365.fna.gz,fpsychrophilum,138,31,8,3,29,32,11,41,
GCF_900186375.fna.gz,fpsychrophilum,79,2,8,2,8,2,2,2,
GCF_900186385.fna.gz,fpsychrophilum,193,47,22,17,18,2,4,3,
GCF_900186395.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_900186405.fna.gz,fpsychrophilum,10,2,2,2,8,2,2,2,
GCF_900186415.fna.gz,fpsychrophilum,108,1,1,2,1,1,1,41,
GCF_900186425.fna.gz,fpsychrophilum,79,2,8,2,8,2,2,2,
GCF_900186435.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_900186445.fna.gz,fpsychrophilum,34,18,15,3,20,16,1,6,
GCF_900186455.fna.gz,fpsychrophilum,132,3,2,11,49,3,11,3,
GCF_900186475.fna.gz,fpsychrophilum,49,27,2,6,24,8,5,1,
GCF_900186485.fna.gz,fpsychrophilum,-,17,7,5,18,14,11,-,
GCF_900186495.fna.gz,fpsychrophilum,48,8,19,6,24,8,19,1,
GCF_900186515.fna.gz,fpsychrophilum,4,3,3,3,3,3,4,3,
GCF_900186525.fna.gz,fpsychrophilum,new_ST,2,2,2,2,2,8,2,
GCF_900186545.fna.gz,fpsychrophilum,90,1,1,1,1,1,1,2,
GCF_900186555.fna.gz,fpsychrophilum,59,30,4,10,31,19,22,32,
GCF_900186565.fna.gz,fpsychrophilum,21,10,2,2,2,2,2,7,
GCF_900186575.fna.gz,fpsychrophilum,5,4,4,4,4,2,5,4,
GCF_900186595.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_900186605.fna.gz,fpsychrophilum,62,32,8,1,34,26,5,26,
GCF_900186645.fna.gz,fpsychrophilum,18,6,9,3,6,5,4,6,
GCF_900186665.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_900186685.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_900186755.fna.gz,fpsychrophilum,121,42,8,10,23,10,32,22,
GCF_900186785.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_900186805.fna.gz,fpsychrophilum,2,2,2,2,2,2,2,2,
GCF_900186815.fna.gz,fpsychrophilum,23,12,11,7,13,9,9,13,
GCF_900186825.fna.gz,fpsychrophilum,70,1,15,14,13,1,1,7,
GCF_900609965.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900609975.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_900609985.fna.gz,fpsychrophilum,23,12,11,7,13,9,9,13,
GCF_900609995.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_900610005.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_900610015.fna.gz,fpsychrophilum,79,2,8,2,8,2,2,2,
GCF_900610025.fna.gz,fpsychrophilum,79,2,8,2,8,2,2,2,
GCF_900610035.fna.gz,fpsychrophilum,new_ST,3,22,3,8,3,8,3,
GCF_900610045.fna.gz,fpsychrophilum,79,2,8,2,8,2,2,2,
GCF_900610055.fna.gz,fpsychrophilum,-,3,-,-,49,44,11,3,
GCF_900610065.fna.gz,fpsychrophilum,79,2,8,2,8,2,2,2,
GCF_900610075.fna.gz,fpsychrophilum,79,2,8,2,8,2,2,2,
GCF_900610085.fna.gz,fpsychrophilum,124,1,15,14,13,1,2,7,
GCF_900610095.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_900610105.fna.gz,fpsychrophilum,79,2,8,2,8,2,2,2,
GCF_900610115.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610125.fna.gz,fpsychrophilum,126,1,15,16,13,1,2,7,
GCF_900610135.fna.gz,fpsychrophilum,-,2,2,-,8,2,2,7,
GCF_900610145.fna.gz,fpsychrophilum,-,2,2,-,2,2,3,41,
GCF_900610155.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610165.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_900610175.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_900610185.fna.gz,fpsychrophilum,12,2,2,2,8,2,2,7,
GCF_900610195.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610205.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610215.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610225.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610235.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610245.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610255.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610265.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610275.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610285.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610295.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610305.fna.gz,fpsychrophilum,-,2,2,-,2,2,3,41,
GCF_900610315.fna.gz,fpsychrophilum,92,2,2,2,2,2,3,41,
GCF_900610325.fna.gz,fpsychrophilum,23,12,11,7,13,9,9,13,
GCF_900610335.fna.gz,fpsychrophilum,23,12,11,7,13,9,9,13,
GCF_900610345.fna.gz,fpsychrophilum,125,2,15,2,13,2,1,7,
GCF_900610355.fna.gz,fpsychrophilum,133,2,8,5,37,2,33,26,
GCF_900610385.fna.gz,fpsychrophilum,181,2,22,3,3,3,4,3,
