Genome,Scheme,ST,glp,gmk,ilv,pta,pur,pyc,tpi,clonal_complex
GCF_001044855.fna.gz,bcereus,15,9,8,16,13,2,16,9,ST-8 complex
GCF_001044875.fna.gz,bcereus,2052,126,152,29,325,4,114,140,
GCF_001044895.fna.gz,bcereus,164,3,2,63,5,36,3,4,
GCF_001044905.fna.gz,bcereus,1986,48,30,295,61,44,31,51,
GCF_001044955.fna.gz,bcereus,15,9,8,16,13,2,16,9,ST-8 complex
GCF_001058585.fna.gz,bcereus,1083,96,8,36,30,41,17,185,
GCF_001059175.fna.gz,bcereus,-,96,8,-,30,41,17,185,
GCF_001059825.fna.gz,bcereus,1032,117,4,123,118,43,6,3,
GCF_001059875.fna.gz,bcereus,1032,117,4,123,118,43,6,3,
GCF_001077095.fna.gz,bcereus,-,96,8,-,30,41,17,185,
GCF_001277915.fna.gz,bcereus,1590,41,6,170,8,242,7,21,
GCF_001286825.fna.gz,bcereus,2108,65,199,1,1,1,37,42,
GCF_001518875.fna.gz,bcereus,1946,13,8,9,81,9,12,7,ST-142 complex
GCF_001541995.fna.gz,bcereus,145,65,1,52,1,1,37,24,
GCF_001566355.fna.gz,bcereus,996,6,4,42,4,16,6,181,
GCF_001566365.fna.gz,bcereus,164,3,2,63,5,36,3,4,
GCF_001566375.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_001566385.fna.gz,bcereus,2056,19,2,21,348,19,3,91,ST-205 complex
GCF_001566445.fna.gz,bcereus,144,67,2,63,5,36,3,4,
GCF_001566455.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_001566465.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_001566515.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_001566525.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_001566705.fna.gz,bcereus,29,20,8,8,35,8,17,17,
GCF_001579695.fna.gz,bcereus,1025,14,8,8,30,9,62,10,
GCF_001583685.fna.gz,bcereus,1087,15,6,23,235,4,8,39,ST-97 complex
GCF_001583705.fna.gz,bcereus,1084,19,2,239,5,19,3,2,ST-205 complex
GCF_001583745.fna.gz,bcereus,1083,96,8,36,30,41,17,185,
GCF_001583755.fna.gz,bcereus,111,43,26,35,42,39,41,30,ST-111 complex
GCF_001583765.fna.gz,bcereus,1032,117,4,123,118,43,6,3,
GCF_001583805.fna.gz,bcereus,1050,65,1,93,214,51,37,166,
GCF_001583845.fna.gz,bcereus,787,172,71,14,29,24,14,7,
GCF_001583855.fna.gz,bcereus,365,34,1,32,1,18,33,24,ST-365 complex
GCF_001583865.fna.gz,bcereus,24,12,8,9,14,11,12,10,
GCF_001583875.fna.gz,bcereus,1089,40,28,14,26,2,25,7,
GCF_001583925.fna.gz,bcereus,1086,24,138,33,37,218,38,5,
GCF_001583935.fna.gz,bcereus,33,22,9,18,18,20,19,7,
GCF_001583955.fna.gz,bcereus,1090,144,10,22,36,158,129,11,
GCF_001583975.fna.gz,bcereus,1085,74,137,85,62,66,66,186,
GCF_001584005.fna.gz,bcereus,32,5,4,3,4,15,6,16,
GCF_001584025.fna.gz,bcereus,223,43,26,35,42,39,41,63,ST-111 complex
GCF_001584065.fna.gz,bcereus,667,8,10,79,53,22,129,11,
GCF_001584095.fna.gz,bcereus,1032,117,4,123,118,43,6,3,
GCF_001584105.fna.gz,bcereus,1082,34,1,238,1,18,33,24,ST-365 complex
GCF_001604665.fna.gz,bcereus,1976,6,4,42,37,44,6,16,
GCF_001619285.fna.gz,bcereus,1967,14,8,43,11,9,47,8,
GCF_001619335.fna.gz,bcereus,1975,18,10,174,36,17,70,11,
GCF_001619355.fna.gz,bcereus,992,201,36,233,56,53,178,174,
GCF_001619385.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_001619395.fna.gz,bcereus,999,13,8,8,11,11,12,10,ST-142 complex
GCF_001619405.fna.gz,bcereus,4,13,8,8,11,11,12,7,ST-142 complex
GCF_001619425.fna.gz,bcereus,1766,229,5,271,240,281,183,190,
GCF_001619445.fna.gz,bcereus,33,22,9,18,18,20,19,7,
GCF_001619465.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_001619525.fna.gz,bcereus,29,20,8,8,35,8,17,17,
GCF_001635915.fna.gz,bcereus,752,93,6,198,8,4,7,21,
GCF_001635955.fna.gz,bcereus,752,93,6,198,8,4,7,21,
GCF_001635995.fna.gz,bcereus,1688,288,141,26,30,9,28,10,
GCF_001677965.fna.gz,bcereus,2076,12,17,371,332,24,35,7,
GCF_001678165.fna.gz,bcereus,206,93,6,29,91,4,82,39,
GCF_001683695.fna.gz,bcereus,32,5,4,3,4,15,6,16,
GCF_001683705.fna.gz,bcereus,177,13,47,9,11,68,12,10,
GCF_001699805.fna.gz,bcereus,18,11,9,14,12,12,14,7,ST-18 complex
GCF_001719025.fna.gz,bcereus,1084,19,2,239,5,19,3,2,ST-205 complex
GCF_001721145.fna.gz,bcereus,142,13,8,8,11,9,12,7,ST-142 complex
GCF_001729295.fna.gz,bcereus,139,50,8,14,12,12,36,7,ST-18 complex
GCF_001729445.fna.gz,bcereus,-,33,8,-,19,2,17,17,
GCF_001880305.fna.gz,bcereus,463,24,22,33,37,48,31,19,
GCF_001883865.fna.gz,bcereus,34,33,8,13,19,2,17,17,
GCF_001883965.fna.gz,bcereus,758,12,8,43,28,9,12,23,
GCF_001883975.fna.gz,bcereus,766,13,8,9,201,9,12,23,ST-142 complex
GCF_001895235.fna.gz,bcereus,177,13,47,9,11,68,12,10,
GCF_001901235.fna.gz,bcereus,1983,79,52,296,70,55,37,24,
GCF_001901245.fna.gz,bcereus,377,112,70,114,110,116,105,32,
GCF_001901305.fna.gz,bcereus,377,112,70,114,110,116,105,32,
GCF_001901815.fna.gz,bcereus,205,19,2,21,5,19,3,2,ST-205 complex
GCF_001901885.fna.gz,bcereus,205,19,2,21,5,19,3,2,ST-205 complex
GCF_001901895.fna.gz,bcereus,32,5,4,3,4,15,6,16,
GCF_001901905.fna.gz,bcereus,127,6,4,53,4,16,6,3,
GCF_001901925.fna.gz,bcereus,1533,24,22,246,21,23,31,19,
GCF_001909175.fna.gz,bcereus,2073,13,8,261,11,295,12,10,ST-142 complex
GCF_001913295.fna.gz,bcereus,2087,19,14,21,5,19,3,272,ST-205 complex
GCF_001913305.fna.gz,bcereus,2092,321,2,368,5,19,3,84,ST-205 complex
GCF_001913315.fna.gz,bcereus,1994,48,30,295,37,44,31,198,
GCF_001913325.fna.gz,bcereus,2082,19,2,31,349,284,245,2,
GCF_001913375.fna.gz,bcereus,2099,24,12,33,205,288,31,19,
GCF_001913385.fna.gz,bcereus,2098,55,192,292,37,333,31,41,
GCF_001913395.fna.gz,bcereus,2059,55,72,374,37,49,31,41,
GCF_001913405.fna.gz,bcereus,1966,180,8,48,180,58,87,7,
GCF_001913455.fna.gz,bcereus,13,10,8,15,12,2,16,7,ST-8 complex
GCF_001913465.fna.gz,bcereus,205,19,2,21,5,19,3,2,ST-205 complex
GCF_001913475.fna.gz,bcereus,1951,37,9,18,18,24,21,7,
GCF_001913485.fna.gz,bcereus,1295,6,4,270,5,43,6,3,
GCF_001913535.fna.gz,bcereus,1943,19,2,31,5,19,3,2,ST-205 complex
GCF_001913545.fna.gz,bcereus,120,6,4,3,4,46,6,36,
GCF_001913555.fna.gz,bcereus,8,7,8,16,13,2,16,7,ST-8 complex
GCF_001913575.fna.gz,bcereus,138,37,9,14,12,12,14,7,ST-18 complex
GCF_001913615.fna.gz,bcereus,2082,19,2,31,349,284,245,2,
GCF_001913625.fna.gz,bcereus,1949,33,8,44,19,2,17,7,
GCF_001913635.fna.gz,bcereus,2091,14,8,8,337,4,12,86,
GCF_001913645.fna.gz,bcereus,90,6,4,41,5,43,46,3,
GCF_001936485.fna.gz,bcereus,2094,24,1,358,1,303,37,41,
GCF_001940365.fna.gz,bcereus,2068,336,6,391,354,4,7,21,
GCF_001941885.fna.gz,bcereus,2094,24,1,358,1,303,37,41,
GCF_001941905.fna.gz,bcereus,2094,24,1,358,1,303,37,41,
GCF_001941925.fna.gz,bcereus,2094,24,1,358,1,303,37,41,
GCF_001982805.fna.gz,bcereus,2085,3,2,372,17,19,3,2,ST-205 complex
GCF_001982815.fna.gz,bcereus,1065,3,2,31,5,19,3,2,ST-205 complex
GCF_001982845.fna.gz,bcereus,2060,344,2,93,347,318,37,33,
GCF_001982855.fna.gz,bcereus,2078,33,8,146,260,291,17,7,
GCF_001982885.fna.gz,bcereus,869,19,2,59,5,19,3,2,ST-205 complex
GCF_001982895.fna.gz,bcereus,205,19,2,21,5,19,3,2,ST-205 complex
GCF_001982925.fna.gz,bcereus,205,19,2,21,5,19,3,2,ST-205 complex
GCF_001982935.fna.gz,bcereus,1667,53,2,59,5,47,3,216,
GCF_002000005.fna.gz,bcereus,177,13,47,9,11,68,12,10,
GCF_002003645.fna.gz,bcereus,104,24,12,33,37,48,31,19,
GCF_002007005.fna.gz,bcereus,78,24,22,33,37,34,38,5,
GCF_002014485.fna.gz,bcereus,1095,108,139,104,69,221,92,79,
GCF_002014575.fna.gz,bcereus,1092,82,51,104,237,163,92,188,
GCF_002014585.fna.gz,bcereus,1142,18,10,174,36,17,22,11,ST-196 complex
GCF_002014665.fna.gz,bcereus,4,13,8,8,11,11,12,7,ST-142 complex
GCF_002014705.fna.gz,bcereus,1968,13,8,9,28,4,12,10,
GCF_002014895.fna.gz,bcereus,1099,227,8,241,11,9,12,10,ST-142 complex
GCF_002021335.fna.gz,bcereus,2082,19,2,31,349,284,245,2,
GCF_002021355.fna.gz,bcereus,2067,44,1,238,327,18,33,24,ST-365 complex
GCF_002021365.fna.gz,bcereus,1993,337,1,238,254,241,195,197,
GCF_002021375.fna.gz,bcereus,1985,342,1,83,1,55,37,43,
GCF_002021385.fna.gz,bcereus,76,34,15,28,38,30,29,33,
GCF_002021435.fna.gz,bcereus,1009,16,6,170,9,4,7,21,
GCF_002021445.fna.gz,bcereus,2071,12,17,33,332,24,35,10,
GCF_002021455.fna.gz,bcereus,2072,12,17,401,332,2,35,10,
GCF_002021465.fna.gz,bcereus,176,13,8,8,11,9,12,53,ST-142 complex
GCF_002021515.fna.gz,bcereus,1982,14,8,9,28,4,88,23,
GCF_002021535.fna.gz,bcereus,1972,14,8,9,30,9,62,10,
GCF_002021545.fna.gz,bcereus,8,7,8,16,13,2,16,7,ST-8 complex
GCF_002021695.fna.gz,bcereus,1263,34,1,124,16,18,33,89,ST-365 complex
GCF_002024535.fna.gz,bcereus,1465,122,8,8,14,9,12,10,ST-142 complex
GCF_002078195.fna.gz,bcereus,265,15,7,7,2,93,8,13,ST-23 complex
GCF_002117465.fna.gz,bcereus,78,24,22,33,37,34,38,5,
GCF_002196815.fna.gz,bcereus,2089,137,82,150,326,141,123,105,
GCF_002199125.fna.gz,bcereus,2103,46,71,14,331,24,14,7,
GCF_002199155.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199165.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199185.fna.gz,bcereus,1295,6,4,270,5,43,6,3,
GCF_002199205.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199225.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199265.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199275.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199285.fna.gz,bcereus,1295,6,4,270,5,43,6,3,
GCF_002199315.fna.gz,bcereus,1295,6,4,270,5,43,6,3,
GCF_002199335.fna.gz,bcereus,1317,13,8,68,30,9,62,10,
GCF_002199345.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199365.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199405.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199425.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199445.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199465.fna.gz,bcereus,1295,6,4,270,5,43,6,3,
GCF_002199475.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199485.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199505.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199525.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199555.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199565.fna.gz,bcereus,1950,33,8,9,19,29,17,7,
GCF_002199615.fna.gz,bcereus,90,6,4,41,5,43,46,3,
GCF_002199625.fna.gz,bcereus,90,6,4,41,5,43,46,3,
GCF_002199635.fna.gz,bcereus,1985,342,1,83,1,55,37,43,
GCF_002199645.fna.gz,bcereus,2090,197,117,373,204,191,172,100,
GCF_002199675.fna.gz,bcereus,1988,3,23,132,116,38,37,90,
GCF_002199695.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199705.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199745.fna.gz,bcereus,1295,6,4,270,5,43,6,3,
GCF_002199755.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199765.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199805.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199815.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199825.fna.gz,bcereus,1295,6,4,270,5,43,6,3,
GCF_002199845.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199875.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199895.fna.gz,bcereus,1295,6,4,270,5,43,6,3,
GCF_002199905.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199945.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199955.fna.gz,bcereus,266,3,2,21,17,36,3,4,
GCF_002199975.fna.gz,bcereus,2050,113,204,231,43,45,53,159,
GCF_002200015.fna.gz,bcereus,2102,341,8,395,11,297,35,7,
GCF_002200055.fna.gz,bcereus,8,7,8,16,13,2,16,7,ST-8 complex
GCF_002200075.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_002200085.fna.gz,bcereus,1259,14,8,9,11,9,88,8,
GCF_002200125.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_002200145.fna.gz,bcereus,26,3,2,31,5,16,3,4,
GCF_002200175.fna.gz,bcereus,8,7,8,16,13,2,16,7,ST-8 complex
GCF_002200185.fna.gz,bcereus,2044,92,66,101,77,319,83,269,
GCF_002201555.fna.gz,bcereus,363,13,8,9,107,9,12,81,ST-142 complex
