Genome,Scheme,ST,ace,gltB,gmhD,lepA,lipA,narK,ndh,clonal_complex
GCF_000350505.fna.gz,bpseudomallei,23,1,2,13,1,1,1,1,
GCF_000401035.fna.gz,bpseudomallei,-,3,1,-,1,1,3,3,
GCF_000410895.fna.gz,bpseudomallei,211,3,1,3,1,1,4,1,
GCF_000439695.fna.gz,bpseudomallei,36,1,7,14,7,1,12,11,
GCF_000445385.fna.gz,bpseudomallei,243,1,2,13,4,15,12,1,
GCF_000452945.fna.gz,bpseudomallei,562,1,1,4,1,1,29,1,
GCF_000452965.fna.gz,bpseudomallei,553,1,1,3,4,30,2,30,
GCF_000452985.fna.gz,bpseudomallei,228,1,2,3,1,1,4,1,
GCF_000453005.fna.gz,bpseudomallei,48,3,1,2,1,1,4,1,
GCF_000454565.fna.gz,bpseudomallei,23,1,2,13,1,1,1,1,
GCF_000454585.fna.gz,bpseudomallei,23,1,2,13,1,1,1,1,
GCF_000454605.fna.gz,bpseudomallei,23,1,2,13,1,1,1,1,
GCF_000454625.fna.gz,bpseudomallei,23,1,2,13,1,1,1,1,
GCF_000454645.fna.gz,bpseudomallei,23,1,2,13,1,1,1,1,
GCF_000454665.fna.gz,bpseudomallei,23,1,2,13,1,1,1,1,
GCF_000454685.fna.gz,bpseudomallei,23,1,2,13,1,1,1,1,
GCF_000454705.fna.gz,bpseudomallei,23,1,2,13,1,1,1,1,
GCF_000464685.fna.gz,bpseudomallei,23,1,2,13,1,1,1,1,
GCF_000494855.fna.gz,bpseudomallei,613,1,4,43,4,1,48,11,
GCF_000500655.fna.gz,bpseudomallei,325,1,1,13,4,15,3,11,
GCF_000511895.fna.gz,bpseudomallei,286,15,2,13,2,20,19,1,
GCF_000511915.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_000520895.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_000521645.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_000583835.fna.gz,bpseudomallei,36,1,7,14,7,1,12,11,
GCF_000648335.fna.gz,bpseudomallei,426,1,4,2,2,1,19,3,
GCF_000648355.fna.gz,bpseudomallei,92,1,1,2,1,5,1,1,
GCF_000714875.fna.gz,bpseudomallei,553,1,1,3,4,30,2,30,
GCF_000755765.fna.gz,bpseudomallei,36,1,7,14,7,1,12,11,
GCF_000755825.fna.gz,bpseudomallei,211,3,1,3,1,1,4,1,
GCF_000755905.fna.gz,bpseudomallei,48,3,1,2,1,1,4,1,
GCF_000755925.fna.gz,bpseudomallei,228,1,2,3,1,1,4,1,
GCF_000755945.fna.gz,bpseudomallei,562,1,1,4,1,1,29,1,
GCF_000755965.fna.gz,bpseudomallei,553,1,1,3,4,30,2,30,
GCF_000756065.fna.gz,bpseudomallei,553,1,1,3,4,30,2,30,
GCF_000756085.fna.gz,bpseudomallei,102,3,4,12,1,1,4,1,
GCF_000756105.fna.gz,bpseudomallei,243,1,2,13,4,15,12,1,
GCF_000756125.fna.gz,bpseudomallei,70,3,4,11,3,5,4,6,
GCF_000756145.fna.gz,bpseudomallei,70,3,4,11,3,5,4,6,
GCF_000756165.fna.gz,bpseudomallei,131,1,16,3,2,1,22,1,
GCF_000756185.fna.gz,bpseudomallei,501,1,12,6,2,1,2,3,
GCF_000756905.fna.gz,bpseudomallei,956,1,2,13,2,1,45,11,
GCF_000756915.fna.gz,bpseudomallei,953,1,4,3,2,8,8,1,
GCF_000756925.fna.gz,bpseudomallei,254,1,4,3,2,2,34,1,
GCF_000756975.fna.gz,bpseudomallei,24,1,2,13,2,1,8,1,
GCF_000756985.fna.gz,bpseudomallei,24,1,2,13,2,1,8,1,
GCF_000757015.fna.gz,bpseudomallei,15,1,2,2,2,1,3,1,
GCF_000757035.fna.gz,bpseudomallei,411,1,4,4,3,1,3,1,
GCF_000757055.fna.gz,bpseudomallei,252,1,4,3,2,6,19,1,
GCF_000757075.fna.gz,bpseudomallei,957,8,2,3,2,6,9,1,
GCF_000757095.fna.gz,bpseudomallei,140,4,7,3,4,1,19,1,
GCF_000757105.fna.gz,bpseudomallei,958,1,2,14,22,1,8,1,
GCF_000757145.fna.gz,bpseudomallei,445,8,4,13,2,1,8,1,
GCF_000757165.fna.gz,bpseudomallei,283,12,4,23,4,1,19,1,
GCF_000757175.fna.gz,bpseudomallei,501,1,12,6,2,1,2,3,
GCF_000757185.fna.gz,bpseudomallei,70,3,4,11,3,5,4,6,
GCF_000757225.fna.gz,bpseudomallei,959,1,12,3,22,1,38,4,
GCF_000757235.fna.gz,bpseudomallei,955,8,6,13,2,3,6,11,
GCF_000757245.fna.gz,bpseudomallei,750,1,7,6,15,1,22,1,
GCF_000757255.fna.gz,bpseudomallei,177,1,1,4,3,1,3,1,
GCF_000757305.fna.gz,bpseudomallei,248,1,2,25,4,3,19,1,
GCF_000757325.fna.gz,bpseudomallei,954,1,6,47,4,18,2,1,
GCF_000763555.fna.gz,bpseudomallei,177,1,1,4,3,1,3,1,
GCF_000764575.fna.gz,bpseudomallei,326,12,1,13,25,1,9,1,
GCF_000770395.fna.gz,bpseudomallei,471,1,16,13,4,1,21,1,
GCF_000770415.fna.gz,bpseudomallei,132,1,16,13,4,6,21,1,
GCF_000770435.fna.gz,bpseudomallei,117,1,4,13,14,8,22,11,
GCF_000770455.fna.gz,bpseudomallei,667,1,4,13,4,1,6,1,
GCF_000770475.fna.gz,bpseudomallei,846,1,1,3,4,42,2,1,
GCF_000770495.fna.gz,bpseudomallei,252,1,4,3,2,6,19,1,
GCF_000770515.fna.gz,bpseudomallei,267,1,15,27,4,20,6,18,
GCF_000770535.fna.gz,bpseudomallei,667,1,4,13,4,1,6,1,
GCF_000770565.fna.gz,bpseudomallei,1340,1,16,14,2,1,8,1,
GCF_000773075.fna.gz,bpseudomallei,1032,1,1,13,43,15,6,13,
GCF_000773085.fna.gz,bpseudomallei,1028,1,2,6,4,15,2,1,
GCF_000773145.fna.gz,bpseudomallei,1030,1,7,13,31,15,6,1,
GCF_000773155.fna.gz,bpseudomallei,1029,1,2,22,1,6,6,13,
GCF_000773165.fna.gz,bpseudomallei,866,15,2,31,2,6,27,15,
GCF_000773215.fna.gz,bpseudomallei,885,1,15,14,2,1,8,1,
GCF_000773235.fna.gz,bpseudomallei,1024,4,2,3,28,15,12,32,
GCF_000773255.fna.gz,bpseudomallei,862,1,1,13,2,8,6,11,
GCF_000773275.fna.gz,bpseudomallei,1025,8,2,23,4,1,22,1,
GCF_000773295.fna.gz,bpseudomallei,1026,1,4,3,2,15,2,11,
GCF_000773305.fna.gz,bpseudomallei,1033,1,2,13,4,1,12,1,
GCF_000773335.fna.gz,bpseudomallei,1027,37,24,13,2,1,22,1,
GCF_000773355.fna.gz,bpseudomallei,766,1,16,3,4,1,8,1,
GCF_000773365.fna.gz,bpseudomallei,970,1,7,26,4,1,22,13,
GCF_000773415.fna.gz,bpseudomallei,1031,1,15,13,2,6,33,1,
GCF_000774165.fna.gz,bpseudomallei,294,1,23,14,4,1,9,11,
GCF_000774175.fna.gz,bpseudomallei,142,8,2,3,4,1,19,1,
GCF_000774185.fna.gz,bpseudomallei,995,1,6,59,1,1,21,1,
GCF_000774195.fna.gz,bpseudomallei,132,1,16,13,4,6,21,1,
GCF_000774245.fna.gz,bpseudomallei,877,1,12,3,43,1,27,1,
GCF_000774255.fna.gz,bpseudomallei,816,1,4,3,2,2,19,1,
GCF_000774265.fna.gz,bpseudomallei,1020,1,2,13,22,18,38,13,
GCF_000774275.fna.gz,bpseudomallei,149,11,2,14,2,1,6,1,
GCF_000774325.fna.gz,bpseudomallei,1022,1,7,6,14,1,22,1,
GCF_000774335.fna.gz,bpseudomallei,238,1,2,3,21,15,9,1,
GCF_000774345.fna.gz,bpseudomallei,109,1,2,13,4,1,19,1,
GCF_000774385.fna.gz,bpseudomallei,1016,1,4,3,2,15,2,6,
GCF_000774395.fna.gz,bpseudomallei,849,4,4,3,2,1,22,1,
GCF_000774405.fna.gz,bpseudomallei,1018,1,32,3,2,18,8,1,
GCF_000774415.fna.gz,bpseudomallei,995,1,6,59,1,1,21,1,
GCF_000774465.fna.gz,bpseudomallei,468,1,2,3,4,1,2,1,
GCF_000774475.fna.gz,bpseudomallei,1016,1,4,3,2,15,2,6,
GCF_000774485.fna.gz,bpseudomallei,816,1,4,3,2,2,19,1,
GCF_000774495.fna.gz,bpseudomallei,1021,1,58,14,4,1,71,1,
GCF_000774545.fna.gz,bpseudomallei,900,1,2,3,4,6,61,1,
GCF_000774555.fna.gz,bpseudomallei,849,4,4,3,2,1,22,1,
GCF_000774565.fna.gz,bpseudomallei,878,1,2,31,2,1,22,1,
GCF_000774575.fna.gz,bpseudomallei,1016,1,4,3,2,15,2,6,
GCF_000774625.fna.gz,bpseudomallei,252,1,4,3,2,6,19,1,
GCF_000774635.fna.gz,bpseudomallei,1019,4,23,13,51,17,2,1,
GCF_000774645.fna.gz,bpseudomallei,846,1,1,3,4,42,2,1,
GCF_000774695.fna.gz,bpseudomallei,36,1,7,14,7,1,12,11,
GCF_000774705.fna.gz,bpseudomallei,132,1,16,13,4,6,21,1,
GCF_000774715.fna.gz,bpseudomallei,781,1,1,3,2,1,33,1,
GCF_000774765.fna.gz,bpseudomallei,259,1,6,13,2,15,8,11,
GCF_000774785.fna.gz,bpseudomallei,278,10,2,3,4,3,2,17,
GCF_000774795.fna.gz,bpseudomallei,617,1,16,3,4,2,8,1,
GCF_000774805.fna.gz,bpseudomallei,555,1,1,3,2,1,6,1,
GCF_000774815.fna.gz,bpseudomallei,483,1,2,3,2,1,22,11,
GCF_000774865.fna.gz,bpseudomallei,113,1,6,14,12,17,21,1,
GCF_000774875.fna.gz,bpseudomallei,106,1,2,3,2,16,21,1,
GCF_000774885.fna.gz,bpseudomallei,109,1,2,13,4,1,19,1,
GCF_000774895.fna.gz,bpseudomallei,126,1,14,20,1,15,9,15,
GCF_000774945.fna.gz,bpseudomallei,850,22,16,14,2,1,2,1,
GCF_000774955.fna.gz,bpseudomallei,850,22,16,14,2,1,2,1,
GCF_000774965.fna.gz,bpseudomallei,1017,9,23,44,4,1,2,1,
GCF_000774975.fna.gz,bpseudomallei,882,1,16,3,4,1,12,11,
GCF_000775025.fna.gz,bpseudomallei,132,1,16,13,4,6,21,1,
GCF_000775035.fna.gz,bpseudomallei,901,1,6,3,2,6,27,11,
GCF_000775045.fna.gz,bpseudomallei,456,10,2,3,4,15,22,1,
GCF_000775085.fna.gz,bpseudomallei,815,1,3,13,22,1,6,1,
GCF_000775095.fna.gz,bpseudomallei,814,1,39,3,2,5,6,4,
GCF_000775105.fna.gz,bpseudomallei,817,12,4,3,2,8,6,1,
GCF_000775115.fna.gz,bpseudomallei,276,8,4,13,1,8,8,11,
GCF_000775165.fna.gz,bpseudomallei,-,-,14,20,1,15,9,15,
GCF_000775655.fna.gz,bpseudomallei,145,9,4,13,2,1,22,1,
GCF_000775675.fna.gz,bpseudomallei,667,1,4,13,4,1,6,1,
GCF_000775685.fna.gz,bpseudomallei,667,1,4,13,4,1,6,1,
GCF_000932075.fna.gz,bpseudomallei,1040,4,15,3,1,2,6,1,
GCF_000932085.fna.gz,bpseudomallei,1041,8,2,13,4,1,6,11,
GCF_000932095.fna.gz,bpseudomallei,442,1,1,3,2,1,8,1,
GCF_000932105.fna.gz,bpseudomallei,252,1,4,3,2,6,19,1,
GCF_000932145.fna.gz,bpseudomallei,46,3,1,2,1,1,3,3,
GCF_000953095.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_000954175.fna.gz,bpseudomallei,58,3,1,5,1,1,4,1,
GCF_000959125.fna.gz,bpseudomallei,102,3,4,12,1,1,4,1,
GCF_000959145.fna.gz,bpseudomallei,211,3,1,3,1,1,4,1,
GCF_000959185.fna.gz,bpseudomallei,257,1,4,24,2,1,6,11,
GCF_000959205.fna.gz,bpseudomallei,126,1,14,20,1,15,9,15,
GCF_000959225.fna.gz,bpseudomallei,573,4,38,23,4,1,24,1,
GCF_000959265.fna.gz,bpseudomallei,11,1,1,13,1,6,1,1,
GCF_000959285.fna.gz,bpseudomallei,10,1,1,13,1,1,1,1,
GCF_000959305.fna.gz,bpseudomallei,129,1,15,13,2,1,22,1,
GCF_000959345.fna.gz,bpseudomallei,426,1,4,2,2,1,19,3,
GCF_000961535.fna.gz,bpseudomallei,881,4,1,6,1,8,60,1,
GCF_000970935.fna.gz,bpseudomallei,259,1,6,13,2,15,8,11,
GCF_000970955.fna.gz,bpseudomallei,111,1,2,13,2,1,9,1,
GCF_001182265.fna.gz,bpseudomallei,46,3,1,2,1,1,3,3,
GCF_001182285.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001182305.fna.gz,bpseudomallei,1521,1,23,14,118,1,2,1,
GCF_001182325.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001186165.fna.gz,bpseudomallei,284,13,15,13,4,6,6,11,
GCF_001191815.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001192415.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001192815.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001193035.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001193375.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001193615.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001193655.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001194765.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001194905.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001195065.fna.gz,bpseudomallei,13,4,4,14,2,1,2,1,
GCF_001195465.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001196125.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001196775.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001197015.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001197235.fna.gz,bpseudomallei,46,3,1,2,1,1,3,3,
GCF_001197355.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001197775.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001197795.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001197955.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001198755.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001199035.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001199195.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001199695.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001199735.fna.gz,bpseudomallei,422,3,1,3,1,8,4,3,
GCF_001199815.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001199855.fna.gz,bpseudomallei,422,3,1,3,1,8,4,3,
GCF_001200615.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001200935.fna.gz,bpseudomallei,46,3,1,2,1,1,3,3,
GCF_001202135.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001202415.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001202895.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001203375.fna.gz,bpseudomallei,422,3,1,3,1,8,4,3,
GCF_001203735.fna.gz,bpseudomallei,289,3,4,11,4,5,4,6,
GCF_001204155.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001204275.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001204455.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001204515.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001205635.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001205935.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001206455.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001206495.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001207035.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001207055.fna.gz,bpseudomallei,1343,1,153,11,4,5,4,6,
GCF_001207675.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001207785.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001208265.fna.gz,bpseudomallei,289,3,4,11,4,5,4,6,
GCF_001208545.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001209045.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001209325.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001209405.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001209505.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001209525.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001210025.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001210645.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001210705.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001210965.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001211245.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001211305.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001211345.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001211385.fna.gz,bpseudomallei,422,3,1,3,1,8,4,3,
GCF_001211405.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001211505.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001211565.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001211705.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001211865.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001212025.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001212065.fna.gz,bpseudomallei,54,3,1,3,3,1,2,1,
GCF_001212185.fna.gz,bpseudomallei,46,3,1,2,1,1,3,3,
GCF_001212265.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001212325.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001212405.fna.gz,bpseudomallei,1528,3,1,37,3,8,4,3,
GCF_001212465.fna.gz,bpseudomallei,46,3,1,2,1,1,3,3,
GCF_001212705.fna.gz,bpseudomallei,46,3,1,2,1,1,3,3,
GCF_001233045.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001262275.fna.gz,bpseudomallei,422,3,1,3,1,8,4,3,
GCF_001262315.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001262355.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001270725.fna.gz,bpseudomallei,1381,8,1,3,2,1,2,1,
GCF_001277875.fna.gz,bpseudomallei,1001,4,2,6,1,1,29,1,
GCF_001277895.fna.gz,bpseudomallei,1001,4,2,6,1,1,29,1,
GCF_001277975.fna.gz,bpseudomallei,1477,3,1,3,3,5,2,6,
GCF_001318245.fna.gz,bpseudomallei,880,1,16,13,2,1,27,1,
GCF_001320065.fna.gz,bpseudomallei,169,1,1,2,3,8,4,3,
GCF_001320105.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001320145.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001320185.fna.gz,bpseudomallei,422,3,1,3,1,8,4,3,
GCF_001320215.fna.gz,bpseudomallei,50,3,1,2,1,1,4,3,
GCF_001320255.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001320285.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001320325.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001320365.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001320395.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001320425.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001320465.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001320505.fna.gz,bpseudomallei,422,3,1,3,1,8,4,3,
GCF_001320545.fna.gz,bpseudomallei,422,3,1,3,1,8,4,3,
GCF_001320585.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001320615.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001320645.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001320685.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001320725.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001320755.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001320795.fna.gz,bpseudomallei,289,3,4,11,4,5,4,6,
GCF_001320825.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001320865.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001320905.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001320945.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001320985.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321015.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321045.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321065.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321085.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321105.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321125.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321145.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321165.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321185.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321205.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321225.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321245.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321265.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321285.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321305.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321325.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321345.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321365.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321385.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321405.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321425.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321445.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321465.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321485.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321505.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321525.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321545.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321565.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321585.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321605.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001321625.fna.gz,bpseudomallei,670,1,2,2,1,1,3,3,
GCF_001326895.fna.gz,bpseudomallei,48,3,1,2,1,1,4,1,
GCF_001326915.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001326935.fna.gz,bpseudomallei,46,3,1,2,1,1,3,3,
GCF_001326955.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001326975.fna.gz,bpseudomallei,-,3,1,2,-,1,4,3,
GCF_001326995.fna.gz,bpseudomallei,84,3,1,11,4,5,4,6,
GCF_001327015.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001327035.fna.gz,bpseudomallei,1057,3,1,3,3,1,2,3,
GCF_001327055.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001327075.fna.gz,bpseudomallei,46,3,1,2,1,1,3,3,
GCF_001327095.fna.gz,bpseudomallei,422,3,1,3,1,8,4,3,
GCF_001327115.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001327135.fna.gz,bpseudomallei,414,3,1,2,1,8,4,3,
GCF_001327155.fna.gz,bpseudomallei,46,3,1,2,1,1,3,3,
GCF_001327175.fna.gz,bpseudomallei,422,3,1,3,1,8,4,3,
GCF_001327195.fna.gz,bpseudomallei,423,3,4,11,4,1,4,6,
GCF_001327215.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001327235.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
GCF_001327255.fna.gz,bpseudomallei,51,3,1,2,3,1,4,3,
