Genome,Scheme,ST,adk,ccpA,recF,rpoB,spo0A,sucC,clonal_complex
GCF_007830935.fna.gz,blicheniformis,25,2,9,1,1,1,1,
GCF_007830975.fna.gz,blicheniformis,24,2,3,1,1,1,2,
GCF_007830995.fna.gz,blicheniformis,39,2,16,1,8,6,2,
GCF_007831015.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007831035.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007831055.fna.gz,blicheniformis,38,5,15,9,7,14,12,
GCF_007831065.fna.gz,blicheniformis,13,2,9,1,2,1,1,
GCF_007831115.fna.gz,blicheniformis,46,2,1,1,1,3,1,
GCF_007831145.fna.gz,blicheniformis,46,2,1,1,1,3,1,
GCF_007831215.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007831235.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_007831245.fna.gz,blicheniformis,12,2,8,1,1,1,2,
GCF_007831255.fna.gz,blicheniformis,20,2,1,1,2,3,2,
GCF_007831295.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_007831325.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_007831385.fna.gz,blicheniformis,34,2,9,1,1,10,1,
GCF_007831435.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_007831455.fna.gz,blicheniformis,44,1,9,1,2,1,1,
GCF_007831465.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007831495.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007831515.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007831575.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007831615.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_007831635.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_007831655.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_007831665.fna.gz,blicheniformis,45,2,3,1,1,1,1,
GCF_007831695.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007831705.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007831735.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_007831745.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_007831755.fna.gz,blicheniformis,44,1,9,1,2,1,1,
GCF_007831795.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007831815.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_007831835.fna.gz,blicheniformis,44,1,9,1,2,1,1,
GCF_007831875.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007831885.fna.gz,blicheniformis,5,2,3,1,1,3,1,
GCF_007831965.fna.gz,blicheniformis,42,2,3,1,1,3,2,
GCF_007831975.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_007832035.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_007832045.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_007832095.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007832135.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_007832155.fna.gz,blicheniformis,5,2,3,1,1,3,1,
GCF_007832175.fna.gz,blicheniformis,31,2,1,1,1,1,10,
GCF_007832195.fna.gz,blicheniformis,30,2,1,1,6,1,1,
GCF_007832215.fna.gz,blicheniformis,10,2,6,1,1,6,1,
GCF_007832235.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007832255.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_007832275.fna.gz,blicheniformis,29,2,1,1,1,10,9,
GCF_007832295.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007832335.fna.gz,blicheniformis,41,1,9,1,1,1,1,
GCF_007832345.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007832375.fna.gz,blicheniformis,40,2,1,1,1,3,2,
GCF_007832395.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007832425.fna.gz,blicheniformis,5,2,3,1,1,3,1,
GCF_007832465.fna.gz,blicheniformis,7,2,1,1,2,4,2,
GCF_007832495.fna.gz,blicheniformis,40,2,1,1,1,3,2,
GCF_007832515.fna.gz,blicheniformis,25,2,9,1,1,1,1,
GCF_007855455.fna.gz,blicheniformis,41,1,9,1,1,1,1,
GCF_007994175.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_007994255.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_007994275.fna.gz,blicheniformis,7,2,1,1,2,4,2,
GCF_007994285.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_007994305.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_007994355.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_007994365.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_007994375.fna.gz,blicheniformis,25,2,9,1,1,1,1,
GCF_007994435.fna.gz,blicheniformis,7,2,1,1,2,4,2,
GCF_007994455.fna.gz,blicheniformis,7,2,1,1,2,4,2,
GCF_007994485.fna.gz,blicheniformis,5,2,3,1,1,3,1,
GCF_008368405.fna.gz,blicheniformis,44,1,9,1,2,1,1,
GCF_008368415.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_008368425.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_008368435.fna.gz,blicheniformis,44,1,9,1,2,1,1,
GCF_008368505.fna.gz,blicheniformis,44,1,9,1,2,1,1,
GCF_008368515.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_008764315.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_009662395.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_009965255.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_010578005.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_010578075.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_013368115.fna.gz,blicheniformis,new_alleles,5,~15,~9,7,~14,~12,
GCF_013520855.fna.gz,blicheniformis,5,2,3,1,1,3,1,
GCF_014673515.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_015552545.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_015557885.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_015559765.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_015689075.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_015845325.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_016026835.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_016126875.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_016629635.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_016902155.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_017338795.fna.gz,blicheniformis,9,2,1,1,1,1,1,
GCF_018274685.fna.gz,blicheniformis,5,2,3,1,1,3,1,
GCF_018332815.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_018332835.fna.gz,blicheniformis,1,1,1,1,1,1,1,
GCF_018332855.fna.gz,blicheniformis,13,2,9,1,2,1,1,
GCF_018587905.fna.gz,blicheniformis,19,2,1,1,2,3,1,
GCF_019036885.fna.gz,blicheniformis,40,2,1,1,1,3,2,
GCF_019037225.fna.gz,blicheniformis,13,2,9,1,2,1,1,
GCF_019037245.fna.gz,blicheniformis,44,1,9,1,2,1,1,
GCF_019037425.fna.gz,blicheniformis,2,2,1,1,2,1,2,
GCF_900110715.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_900171545.fna.gz,blicheniformis,25,2,9,1,1,1,1,
GCF_900318095.fna.gz,blicheniformis,-,-,~1,1,1,~1,1,
GCF_900445385.fna.gz,blicheniformis,7,2,1,1,2,4,2,
GCF_902386215.fna.gz,blicheniformis,3,2,1,1,1,1,2,
GCF_903970875.fna.gz,blicheniformis,26,2,1,1,2,1,1,
GCF_910575305.fna.gz,blicheniformis,5,2,3,1,1,3,1,
