Genome,Scheme,ST,dnaB,groEL,gyrA,mdh,gluD,gpi,rpoB,clonal_complex
GCF_009663565.fna.gz,ranatipestifer,new_ST,5,29,8,5,29,30,18,
GCF_009663575.fna.gz,ranatipestifer,new_alleles,~3,29,2,25,54,~11,~5,
GCF_009663585.fna.gz,ranatipestifer,new_alleles,~3,29,8,5,29,~21,18,
GCF_009663595.fna.gz,ranatipestifer,15,2,1,1,1,1,3,3,
GCF_009670965.fna.gz,ranatipestifer,new_alleles,~2,~6,~28,~4,~29,~6,~16,
GCF_009670975.fna.gz,ranatipestifer,new_ST,3,29,6,4,29,6,17,
GCF_009690645.fna.gz,ranatipestifer,77,24,1,2,54,2,24,6,
GCF_009690655.fna.gz,ranatipestifer,31,3,2,3,1,4,7,11,
GCF_009690665.fna.gz,ranatipestifer,41,2,1,1,1,1,9,12,
GCF_009690695.fna.gz,ranatipestifer,17,24,1,2,54,2,4,6,
GCF_009690705.fna.gz,ranatipestifer,31,3,2,3,1,4,7,11,
GCF_009690745.fna.gz,ranatipestifer,15,2,1,1,1,1,3,3,
GCF_009690765.fna.gz,ranatipestifer,new_alleles,24,1,18,54,2,~11,41,
GCF_009690775.fna.gz,ranatipestifer,17,24,1,2,54,2,4,6,
GCF_009800945.fna.gz,ranatipestifer,new_ST,2,1,1,1,1,2,18,
GCF_009902355.fna.gz,ranatipestifer,new_alleles,3,2,~10,3,4,7,~22,
GCF_009932355.fna.gz,ranatipestifer,new_alleles,~5,~7,~7,~4,29,~2,~25,
GCF_015291805.fna.gz,ranatipestifer,44,2,1,1,1,54,2,3,
GCF_017614925.fna.gz,ranatipestifer,new_alleles,~3,~1,~13,~54,~30,~5,~22,
GCF_018474055.fna.gz,ranatipestifer,4,2,1,1,1,1,2,7,
GCF_018474105.fna.gz,ranatipestifer,4,2,1,1,1,1,2,7,
GCF_018474125.fna.gz,ranatipestifer,4,2,1,1,1,1,2,7,
GCF_018474135.fna.gz,ranatipestifer,4,2,1,1,1,1,2,7,
GCF_018474165.fna.gz,ranatipestifer,4,2,1,1,1,1,2,7,
GCF_018474175.fna.gz,ranatipestifer,4,2,1,1,1,1,2,7,
GCF_018474205.fna.gz,ranatipestifer,4,2,1,1,1,1,2,7,
GCF_018474225.fna.gz,ranatipestifer,64,2,1,1,1,1,2,25,
GCF_018474245.fna.gz,ranatipestifer,64,2,1,1,1,1,2,25,
GCF_018474265.fna.gz,ranatipestifer,64,2,1,1,1,1,2,25,
GCF_018474285.fna.gz,ranatipestifer,64,2,1,1,1,1,2,25,
GCF_018474305.fna.gz,ranatipestifer,64,2,1,1,1,1,2,25,
GCF_018474325.fna.gz,ranatipestifer,new_alleles,~4,~29,~11,25,54,~30,25,
GCF_018474335.fna.gz,ranatipestifer,new_alleles,~4,~29,~11,25,54,~11,25,
GCF_018474365.fna.gz,ranatipestifer,new_alleles,3,2,~10,3,4,7,~22,
GCF_018474385.fna.gz,ranatipestifer,new_alleles,3,2,~10,3,4,7,~22,
GCF_018474405.fna.gz,ranatipestifer,new_alleles,3,2,~10,3,4,7,~22,
GCF_018474415.fna.gz,ranatipestifer,57,2,1,1,1,1,2,13,
GCF_018474445.fna.gz,ranatipestifer,new_alleles,~4,1,1,1,1,6,43,
GCF_018474465.fna.gz,ranatipestifer,new_alleles,~3,29,~13,26,29,30,25,
GCF_018474485.fna.gz,ranatipestifer,4,2,1,1,1,1,2,7,
GCF_018972085.fna.gz,ranatipestifer,new_alleles,24,1,2,54,2,~10,6,
GCF_900186945.fna.gz,ranatipestifer,15,2,1,1,1,1,3,3,
