Genome,Scheme,ST,Cfe_aspA,Cfe_glnA,Cfe_gltA,Cfe_glyA,Cfe_pgm,Cfe_tkt,Cfe_uncA,clonal_complex
GCF_002592365.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_002973655.fna.gz,cfetus,17,4,4,6,5,5,5,5,
GCF_003426005.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_003426015.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_003626705.fna.gz,cfetus,3,1,2,2,3,1,2,1,
GCF_003994875.fna.gz,cfetus,69,17,18,11,14,4,13,14,
GCF_003994885.fna.gz,cfetus,69,17,18,11,14,4,13,14,
GCF_005014375.fna.gz,cfetus,3,1,2,2,3,1,2,1,
GCF_005014935.fna.gz,cfetus,new_ST,11,3,6,5,10,5,5,
GCF_005133705.fna.gz,cfetus,5,1,1,1,2,1,1,3,
GCF_005137355.fna.gz,cfetus,6,1,2,2,2,1,2,4,
GCF_005250865.fna.gz,cfetus,3,1,2,2,3,1,2,1,
GCF_005250905.fna.gz,cfetus,6,1,2,2,2,1,2,4,
GCF_005255865.fna.gz,cfetus,new_ST,11,3,6,5,10,5,5,
GCF_007723545.fna.gz,cfetus,1,1,1,1,1,1,1,1,
GCF_008014295.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_008271385.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_008526335.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_008526355.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_008527615.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_008693125.fna.gz,cfetus,3,1,2,2,3,1,2,1,
GCF_010120575.fna.gz,cfetus,46,11,8,10,10,10,5,5,
GCF_010120585.fna.gz,cfetus,2,1,2,2,2,1,1,2,
GCF_010120605.fna.gz,cfetus,48,13,12,10,5,10,5,5,
GCF_010120615.fna.gz,cfetus,47,4,11,6,9,10,5,5,
GCF_010120665.fna.gz,cfetus,new_ST,11,3,6,5,10,5,5,
GCF_010120695.fna.gz,cfetus,20,1,5,4,2,1,7,9,
GCF_010883105.fna.gz,cfetus,45,13,13,10,11,11,5,5,
GCF_010883135.fna.gz,cfetus,17,4,4,6,5,5,5,5,
GCF_010883155.fna.gz,cfetus,new_ST,11,3,6,5,10,5,5,
GCF_010883185.fna.gz,cfetus,48,13,12,10,5,10,5,5,
GCF_010883215.fna.gz,cfetus,46,11,8,10,10,10,5,5,
GCF_011600845.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_011600855.fna.gz,cfetus,2,1,2,2,2,1,1,2,
GCF_011600945.fna.gz,cfetus,6,1,2,2,2,1,2,4,
GCF_011600955.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_011600995.fna.gz,cfetus,6,1,2,2,2,1,2,4,
GCF_011601005.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_011601375.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_012274465.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_013184565.fna.gz,cfetus,46,11,8,10,10,10,5,5,
GCF_013184585.fna.gz,cfetus,17,4,4,6,5,5,5,5,
GCF_013406925.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_013406955.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_014764615.fna.gz,cfetus,25,1,5,2,2,1,8,1,
GCF_016406645.fna.gz,cfetus,new_alleles,~17,~18,11,14,9,~13,~14,
GCF_016612875.fna.gz,cfetus,4,1,2,2,2,1,2,1,
GCF_016612925.fna.gz,cfetus,71,1,2,7,2,1,2,1,
GCF_016612945.fna.gz,cfetus,73,1,2,2,2,1,14,1,
GCF_016612955.fna.gz,cfetus,72,1,2,12,2,1,14,1,
GCF_016612985.fna.gz,cfetus,71,1,2,7,2,1,2,1,
GCF_017896385.fna.gz,cfetus,3,1,2,2,3,1,2,1,
GCF_017896405.fna.gz,cfetus,3,1,2,2,3,1,2,1,
GCF_900475935.fna.gz,cfetus,3,1,2,2,3,1,2,1,
GCF_902386455.fna.gz,cfetus,31,4,3,10,11,5,9,5,
