Genome,Scheme,ST,atpD,gltB,gyrB,recA,lepA,phaC,trpB,clonal_complex
GCF_001523685.fna.gz,bcepacia_complex,1592,4,386,1033,3,647,1,635,
GCF_001523985.fna.gz,bcepacia_complex,962,6,52,3,113,5,5,3,
GCF_001524125.fna.gz,bcepacia_complex,1583,1,195,1034,1,573,279,21,
GCF_001524665.fna.gz,bcepacia_complex,1614,77,79,1039,594,650,52,637,
GCF_001524765.fna.gz,bcepacia_complex,1593,2,704,1049,37,1,496,48,
GCF_001524835.fna.gz,bcepacia_complex,1584,1,699,1043,1,585,1,639,
GCF_001525765.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001525775.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001525785.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001525895.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001525925.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001525945.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001525965.fna.gz,bcepacia_complex,1613,1,386,1037,593,649,3,21,
GCF_001526205.fna.gz,bcepacia_complex,1616,528,702,1047,595,57,494,637,
GCF_001526255.fna.gz,bcepacia_complex,1620,528,702,1059,599,660,52,637,
GCF_001526345.fna.gz,bcepacia_complex,795,4,386,572,103,400,1,388,
GCF_001526445.fna.gz,bcepacia_complex,1598,532,79,1056,92,57,492,637,
GCF_001526755.fna.gz,bcepacia_complex,1619,235,708,1057,598,3,3,21,
GCF_001526785.fna.gz,bcepacia_complex,795,4,386,572,103,400,1,388,
GCF_001526905.fna.gz,bcepacia_complex,1590,533,455,1058,1,658,500,21,
GCF_001528485.fna.gz,bcepacia_complex,1594,75,195,48,37,3,3,21,
GCF_001528675.fna.gz,bcepacia_complex,1591,2,386,1040,2,651,62,48,
GCF_001528685.fna.gz,bcepacia_complex,1601,1,55,1041,103,595,1,21,
GCF_001528845.fna.gz,bcepacia_complex,10,5,4,44,4,4,4,48,
GCF_001529145.fna.gz,bcepacia_complex,1610,6,95,1028,381,653,488,640,
GCF_001529525.fna.gz,bcepacia_complex,1582,75,695,1030,1,3,1,21,
GCF_001529685.fna.gz,bcepacia_complex,1602,235,455,1031,103,595,3,53,
GCF_001529755.fna.gz,bcepacia_complex,1601,1,55,1041,103,595,1,21,
GCF_001529825.fna.gz,bcepacia_complex,1602,235,455,1031,103,595,3,53,
GCF_001529885.fna.gz,bcepacia_complex,1588,527,58,1046,1,654,493,21,
GCF_001530005.fna.gz,bcepacia_complex,1602,235,455,1031,103,595,3,53,
GCF_001530045.fna.gz,bcepacia_complex,1602,235,455,1031,103,595,3,53,
GCF_001530055.fna.gz,bcepacia_complex,1602,235,455,1031,103,595,3,53,
GCF_001530085.fna.gz,bcepacia_complex,1602,235,455,1031,103,595,3,53,
GCF_001530105.fna.gz,bcepacia_complex,1602,235,455,1031,103,595,3,53,
GCF_001530135.fna.gz,bcepacia_complex,1602,235,455,1031,103,595,3,53,
GCF_001530185.fna.gz,bcepacia_complex,1609,525,696,1032,373,648,101,634,
GCF_001530205.fna.gz,bcepacia_complex,1587,526,386,1042,1,652,3,638,
GCF_001530415.fna.gz,bcepacia_complex,1609,525,696,1032,373,648,101,634,
GCF_001530665.fna.gz,bcepacia_complex,698,6,121,518,322,369,101,190,
GCF_001530785.fna.gz,bcepacia_complex,1602,235,455,1031,103,595,3,53,
GCF_001530805.fna.gz,bcepacia_complex,1602,235,455,1031,103,595,3,53,
GCF_001530905.fna.gz,bcepacia_complex,1586,534,709,1060,1,652,1,645,
GCF_001531505.fna.gz,bcepacia_complex,1605,66,195,1055,103,659,1,645,
GCF_001531525.fna.gz,bcepacia_complex,1604,4,707,1054,103,658,499,21,
GCF_001531875.fna.gz,bcepacia_complex,1593,2,704,1049,37,1,496,48,
GCF_001531905.fna.gz,bcepacia_complex,1580,530,195,1053,1,1,1,388,
GCF_001531915.fna.gz,bcepacia_complex,1608,6,52,3,373,5,5,3,
GCF_001532125.fna.gz,bcepacia_complex,1599,523,386,1027,103,1,487,21,
GCF_001532235.fna.gz,bcepacia_complex,1585,1,692,1026,1,645,486,633,
GCF_001532525.fna.gz,bcepacia_complex,698,6,121,518,322,369,101,190,
GCF_001532555.fna.gz,bcepacia_complex,698,6,121,518,322,369,101,190,
GCF_001532705.fna.gz,bcepacia_complex,1595,531,182,418,37,108,39,644,
GCF_001532885.fna.gz,bcepacia_complex,1581,91,336,1025,1,3,1,21,
GCF_001532955.fna.gz,bcepacia_complex,1612,6,693,1028,551,591,488,50,
GCF_001533295.fna.gz,bcepacia_complex,1611,6,701,1045,551,591,95,641,
GCF_001533445.fna.gz,bcepacia_complex,1596,75,58,48,37,646,3,21,
GCF_001534085.fna.gz,bcepacia_complex,1603,524,694,1029,103,647,1,21,
GCF_001536795.fna.gz,bcepacia_complex,795,4,386,572,103,400,1,388,
GCF_001718395.fna.gz,bcepacia_complex,1600,75,698,1038,103,3,491,636,
GCF_001718835.fna.gz,bcepacia_complex,1615,77,700,1044,595,57,492,637,
GCF_002209085.fna.gz,bcepacia_complex,10,5,4,44,4,4,4,48,
GCF_002407525.fna.gz,bcepacia_complex,10,5,4,44,4,4,4,48,
GCF_002942785.fna.gz,bcepacia_complex,-,181,195,~1057,1,595,-,21,
GCF_002968055.fna.gz,bcepacia_complex,new_alleles,104,~48,~421,~117,127,~107,~117,
GCF_003268125.fna.gz,bcepacia_complex,1400,2,612,912,37,427,93,48,
GCF_003546465.fna.gz,bcepacia_complex,10,5,4,44,4,4,4,48,
GCF_003853765.fna.gz,bcepacia_complex,1434,479,563,944,325,523,1,21,
GCF_003853915.fna.gz,bcepacia_complex,1435,6,628,945,37,591,5,586,
GCF_003853955.fna.gz,bcepacia_complex,1405,1,386,919,103,573,1,567,
GCF_003853975.fna.gz,bcepacia_complex,1397,1,55,913,103,1,1,21,
GCF_003853995.fna.gz,bcepacia_complex,1397,1,55,913,103,1,1,21,
GCF_003854415.fna.gz,bcepacia_complex,1427,473,623,937,544,41,226,48,
GCF_003854425.fna.gz,bcepacia_complex,1439,6,631,50,114,44,286,589,
GCF_003854435.fna.gz,bcepacia_complex,1431,477,386,941,3,1,1,21,
GCF_003857475.fna.gz,bcepacia_complex,1461,6,642,955,114,41,38,51,
GCF_003857515.fna.gz,bcepacia_complex,1447,6,55,955,551,41,101,593,
GCF_003858065.fna.gz,bcepacia_complex,1397,1,55,913,103,1,1,21,
GCF_003858175.fna.gz,bcepacia_complex,1444,1,55,952,103,595,1,21,
GCF_003858185.fna.gz,bcepacia_complex,1444,1,55,952,103,595,1,21,
GCF_003858195.fna.gz,bcepacia_complex,1443,482,635,951,550,365,4,592,
GCF_003858205.fna.gz,bcepacia_complex,1423,472,386,935,103,585,1,21,
GCF_004374695.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004375605.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004376135.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004376865.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004377105.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004377495.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004377615.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004377645.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004377675.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004377685.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004377745.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004377805.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004377815.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004377825.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_004798465.fna.gz,bcepacia_complex,1578,6,691,1023,114,644,286,190,
GCF_006094315.fna.gz,bcepacia_complex,10,5,4,44,4,4,4,48,
GCF_007829215.fna.gz,bcepacia_complex,new_alleles,504,~426,~44,~620,591,4,115,
GCF_009586235.fna.gz,bcepacia_complex,new_alleles,~594,354,~878,~37,38,93,~48,
GCF_011140355.fna.gz,bcepacia_complex,1485,66,654,969,103,1,1,21,
GCF_013336605.fna.gz,bcepacia_complex,new_alleles,~2,354,~115,~37,~427,62,48,
GCF_013336635.fna.gz,bcepacia_complex,266,102,182,249,183,41,95,190,
GCF_014141625.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014141955.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014141995.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142045.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142065.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142075.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142095.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142175.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142185.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142285.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142305.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142315.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142325.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142385.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142395.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142465.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142475.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142565.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014142595.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_014854795.fna.gz,bcepacia_complex,new_alleles,66,~386,~1054,103,647,1,~21,
GCF_014892615.fna.gz,bcepacia_complex,-,4,697,-,1,3,1,21,
GCF_016092225.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_016092265.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_016092295.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_016092315.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_016505945.fna.gz,bcepacia_complex,1535,6,120,993,357,628,4,617,
GCF_900111715.fna.gz,bcepacia_complex,new_alleles,6,~396,~627,~321,~369,101,~617,
GCF_900446175.fna.gz,bcepacia_complex,-,-,4,44,4,4,4,48,
GCF_900446185.fna.gz,bcepacia_complex,1,1,1,1,1,2,1,1,
GCF_902825095.fna.gz,bcepacia_complex,9,91,93,96,103,42,1,21,
GCF_902829425.fna.gz,bcepacia_complex,new_alleles,6,~686,~1024,113,365,~286,592,
GCF_902830615.fna.gz,bcepacia_complex,938,5,94,649,53,41,94,102,
GCF_902830625.fna.gz,bcepacia_complex,10,5,4,44,4,4,4,48,
GCF_902830635.fna.gz,bcepacia_complex,1,1,1,1,1,2,1,1,
GCF_902830645.fna.gz,bcepacia_complex,770,5,95,313,336,4,95,103,
GCF_902830655.fna.gz,bcepacia_complex,268,4,195,263,1,3,1,194,268.0
GCF_902830665.fna.gz,bcepacia_complex,937,4,3,498,3,3,3,53,
GCF_902830675.fna.gz,bcepacia_complex,6,66,109,49,3,3,40,53,
GCF_902830685.fna.gz,bcepacia_complex,1,1,1,1,1,2,1,1,
GCF_902830695.fna.gz,bcepacia_complex,124,100,73,131,113,108,95,48,124.0
GCF_902830705.fna.gz,bcepacia_complex,128,101,119,132,114,41,101,115,
GCF_902830715.fna.gz,bcepacia_complex,new_alleles,6,~631,~1054,37,~365,4,3,
GCF_902830735.fna.gz,bcepacia_complex,266,102,182,249,183,41,95,190,
GCF_902830745.fna.gz,bcepacia_complex,124,100,73,131,113,108,95,48,124.0
GCF_902830755.fna.gz,bcepacia_complex,939,102,120,543,385,41,101,427,
GCF_902830765.fna.gz,bcepacia_complex,new_alleles,2,~662,~594,37,1,496,~561,
GCF_902830785.fna.gz,bcepacia_complex,new_alleles,2,~662,~594,37,1,496,~561,
GCF_902830795.fna.gz,bcepacia_complex,new_alleles,181,58,~1054,103,585,1,21,
GCF_902830805.fna.gz,bcepacia_complex,new_alleles,6,~631,~1054,37,~365,4,3,
GCF_904865725.fna.gz,bcepacia_complex,new_ST,15,11,545,14,11,6,147,
