Genome,Scheme,ST,dnaA,fusA,gyrB,leuS,pryG,rplB,rpoB,clonal_complex
GCF_001011355.fna.gz,kaerogenes,new_alleles,~22,2,7,25,2,2,2,
GCF_001011375.fna.gz,kaerogenes,22,17,7,10,3,8,1,2,CC7
GCF_001011385.fna.gz,kaerogenes,168,14,3,22,3,2,1,2,
GCF_001011415.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001011425.fna.gz,kaerogenes,170,5,3,21,3,8,1,12,
GCF_001011455.fna.gz,kaerogenes,new_alleles,3,3,2,~18,3,1,10,
GCF_001011475.fna.gz,kaerogenes,171,23,1,9,33,2,1,2,
GCF_001011495.fna.gz,kaerogenes,new_alleles,29,~14,3,~15,7,1,9,
GCF_001011515.fna.gz,kaerogenes,new_ST,16,6,37,22,7,1,9,
GCF_001011535.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_001011545.fna.gz,kaerogenes,134,31,3,1,4,3,1,2,CC1
GCF_001011575.fna.gz,kaerogenes,new_alleles,3,3,~2,18,3,1,10,
GCF_001011595.fna.gz,kaerogenes,new_alleles,~6,2,11,7,~4,1,4,
GCF_001011615.fna.gz,kaerogenes,15,13,3,1,11,3,1,8,
GCF_001011625.fna.gz,kaerogenes,202,16,6,40,22,7,1,9,
GCF_001011645.fna.gz,kaerogenes,176,19,3,1,4,3,1,2,
GCF_001011795.fna.gz,kaerogenes,-,~37,6,~44,-,~7,~1,9,
GCF_001011815.fna.gz,kaerogenes,new_alleles,13,3,1,11,3,1,~12,
GCF_001011915.fna.gz,kaerogenes,117,28,2,3,3,1,1,2,
GCF_001011935.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_001021995.fna.gz,kaerogenes,133,5,3,29,29,3,1,2,
GCF_001030055.fna.gz,kaerogenes,190,23,1,16,14,3,1,2,
GCF_001030125.fna.gz,kaerogenes,135,22,17,30,26,3,1,10,
GCF_001030165.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001030185.fna.gz,kaerogenes,190,23,1,16,14,3,1,2,
GCF_001052095.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001052565.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001053235.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001053595.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001054275.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001054315.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001054405.fna.gz,kaerogenes,130,11,1,9,5,2,1,2,CC8
GCF_001055555.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001057945.fna.gz,kaerogenes,new_alleles,6,2,11,21,~4,3,4,
GCF_001058645.fna.gz,kaerogenes,132,6,2,28,21,4,3,11,
GCF_001059975.fna.gz,kaerogenes,new_alleles,15,~2,1,25,2,1,2,
GCF_001071835.fna.gz,kaerogenes,131,16,6,14,37,7,1,9,
GCF_001472155.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_001472275.fna.gz,kaerogenes,189,8,3,1,18,1,1,2,
GCF_001472415.fna.gz,kaerogenes,103,27,3,1,14,1,1,2,
GCF_001472725.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_001472755.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_001472935.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001473095.fna.gz,kaerogenes,208,17,2,10,3,8,1,2,
GCF_001518035.fna.gz,kaerogenes,new_ST,3,2,25,5,2,1,2,
GCF_001518055.fna.gz,kaerogenes,202,16,6,40,22,7,1,9,
GCF_001518115.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001518125.fna.gz,kaerogenes,181,5,3,9,33,6,1,2,
GCF_001518435.fna.gz,kaerogenes,202,16,6,40,22,7,1,9,
GCF_001518675.fna.gz,kaerogenes,181,5,3,9,33,6,1,2,
GCF_001525245.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_001525265.fna.gz,kaerogenes,188,30,1,1,18,3,1,12,
GCF_001525505.fna.gz,kaerogenes,188,30,1,1,18,3,1,12,
GCF_001559215.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001571545.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001593585.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001631185.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001631215.fna.gz,kaerogenes,new_ST,1,17,1,26,2,1,2,
GCF_001631305.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001631315.fna.gz,kaerogenes,new_alleles,3,3,2,18,3,~1,10,
GCF_001631345.fna.gz,kaerogenes,180,8,3,1,28,3,1,2,
GCF_001631565.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_001631605.fna.gz,kaerogenes,new_alleles,11,6,~16,15,7,1,9,
GCF_001631645.fna.gz,kaerogenes,207,8,1,6,24,1,1,2,
GCF_001631655.fna.gz,kaerogenes,182,12,1,7,25,3,1,2,
GCF_001631725.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001631735.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001631755.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001631815.fna.gz,kaerogenes,56,10,2,17,3,1,1,2,
GCF_001631845.fna.gz,kaerogenes,new_alleles,~16,14,15,15,7,1,9,
GCF_001631895.fna.gz,kaerogenes,231,17,7,43,3,1,1,2,
GCF_001649605.fna.gz,kaerogenes,new_alleles,3,3,1,4,3,~1,2,
GCF_001662695.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001662705.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001662715.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001662765.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_001939895.fna.gz,kaerogenes,new_alleles,3,3,1,4,3,1,~2,
GCF_001974865.fna.gz,kaerogenes,new_alleles,5,3,1,25,8,6,~8,
GCF_002152895.fna.gz,kaerogenes,151,5,3,9,5,3,1,2,
GCF_002152915.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_002152925.fna.gz,kaerogenes,new_alleles,~28,3,3,18,1,1,2,
GCF_002182075.fna.gz,kaerogenes,new_ST,31,1,3,18,1,1,2,
GCF_002184575.fna.gz,kaerogenes,92,8,1,6,18,3,1,2,CC6
GCF_002184625.fna.gz,kaerogenes,136,32,2,3,18,3,1,2,
GCF_002185345.fna.gz,kaerogenes,new_alleles,7,3,5,~30,~4,~1,5,
GCF_002204605.fna.gz,kaerogenes,202,16,6,40,22,7,1,9,
GCF_002591115.fna.gz,kaerogenes,151,5,3,9,5,3,1,2,
GCF_002796405.fna.gz,kaerogenes,150,23,3,16,14,3,1,2,
GCF_002796425.fna.gz,kaerogenes,new_ST,11,3,2,3,8,8,21,
GCF_002796525.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_002849555.fna.gz,kaerogenes,new_alleles,~15,~2,4,14,3,1,2,
GCF_002852865.fna.gz,kaerogenes,205,8,3,3,13,3,1,2,
GCF_002863955.fna.gz,kaerogenes,new_ST,5,3,9,3,3,1,2,
GCF_002863975.fna.gz,kaerogenes,new_ST,5,3,9,3,3,1,2,
GCF_002891215.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_002918815.fna.gz,kaerogenes,197,8,3,24,13,3,1,2,
GCF_002948835.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_003057155.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_003057175.fna.gz,kaerogenes,209,6,2,11,7,4,3,11,
GCF_003057195.fna.gz,kaerogenes,210,14,18,10,29,3,8,12,
GCF_003057215.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003057225.fna.gz,kaerogenes,210,14,18,10,29,3,8,12,
GCF_003057255.fna.gz,kaerogenes,209,6,2,11,7,4,3,11,
GCF_003075515.fna.gz,kaerogenes,136,32,2,3,18,3,1,2,
GCF_003225895.fna.gz,kaerogenes,new_alleles,6,~2,11,7,4,3,3,
GCF_003227775.fna.gz,kaerogenes,116,30,5,1,14,2,1,2,
GCF_003227795.fna.gz,kaerogenes,116,30,5,1,14,2,1,2,
GCF_003227835.fna.gz,kaerogenes,new_alleles,28,~3,1,3,2,1,12,
GCF_003400515.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_003400785.fna.gz,kaerogenes,230,28,20,1,3,2,1,12,
GCF_003400825.fna.gz,kaerogenes,135,22,17,30,26,3,1,10,
GCF_003401085.fna.gz,kaerogenes,new_ST,3,2,2,3,3,1,8,
GCF_003401285.fna.gz,kaerogenes,197,8,3,24,13,3,1,2,
GCF_003401315.fna.gz,kaerogenes,new_alleles,8,3,24,~13,3,1,2,
GCF_003401425.fna.gz,kaerogenes,new_alleles,23,1,20,~29,2,1,2,
GCF_003401475.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_003425735.fna.gz,kaerogenes,238,25,3,3,14,1,2,2,
GCF_003546885.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_003812185.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_003950535.fna.gz,kaerogenes,new_alleles,~3,3,2,~18,3,1,10,
GCF_003950545.fna.gz,kaerogenes,new_ST,3,1,1,33,2,1,12,
GCF_003950575.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003950595.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003950615.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003950635.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003951115.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003951125.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003951175.fna.gz,kaerogenes,new_alleles,11,2,1,~5,6,1,12,
GCF_003951185.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_003951195.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003951235.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_003951245.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_003951535.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003951575.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003951605.fna.gz,kaerogenes,new_alleles,3,1,2,3,3,1,~2,
GCF_003951615.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003951635.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003952035.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003952045.fna.gz,kaerogenes,237,24,2,25,4,3,1,2,
GCF_003952055.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003952105.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003952125.fna.gz,kaerogenes,new_alleles,12,1,1,42,3,1,~8,
GCF_003952145.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003952905.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_003952915.fna.gz,kaerogenes,207,8,1,6,24,1,1,2,
GCF_004127295.fna.gz,kaerogenes,new_ST,3,3,2,3,3,1,8,
GCF_004127305.fna.gz,kaerogenes,new_ST,3,3,2,3,3,1,8,
GCF_006517605.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_006874725.fna.gz,kaerogenes,81,20,1,3,3,2,1,2,
GCF_007558345.fna.gz,kaerogenes,56,10,2,17,3,1,1,2,
GCF_007558425.fna.gz,kaerogenes,56,10,2,17,3,1,1,2,
GCF_007558485.fna.gz,kaerogenes,56,10,2,17,3,1,1,2,
GCF_007558625.fna.gz,kaerogenes,56,10,2,17,3,1,1,2,
GCF_007558645.fna.gz,kaerogenes,56,10,2,17,3,1,1,2,
GCF_007558665.fna.gz,kaerogenes,56,10,2,17,3,1,1,2,
GCF_007558675.fna.gz,kaerogenes,56,10,2,17,3,1,1,2,
GCF_007571405.fna.gz,kaerogenes,56,10,2,17,3,1,1,2,
GCF_007632255.fna.gz,kaerogenes,56,10,2,17,3,1,1,2,
GCF_008082115.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_008364345.fna.gz,kaerogenes,new_ST,24,3,1,11,2,1,8,
GCF_008693885.fna.gz,kaerogenes,134,31,3,1,4,3,1,2,CC1
GCF_008727695.fna.gz,kaerogenes,192,14,3,3,3,6,1,10,
GCF_008931665.fna.gz,kaerogenes,9,8,3,6,3,3,1,6,
GCF_009732795.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_009732815.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_009732835.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_009757245.fna.gz,kaerogenes,2,2,2,2,2,1,2,2,CC5
GCF_009909445.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_010509815.fna.gz,kaerogenes,143,23,1,16,18,3,1,2,
GCF_010588245.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_010589945.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_010590305.fna.gz,kaerogenes,new_alleles,~16,14,15,15,7,1,9,
GCF_010590365.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_010590725.fna.gz,kaerogenes,27,8,3,6,18,2,1,2,
GCF_010591065.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_010591225.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_010591255.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_010591315.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_010592485.fna.gz,kaerogenes,new_ST,23,3,16,3,8,1,2,
GCF_010592605.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_010592765.fna.gz,kaerogenes,new_alleles,14,3,10,3,2,~1,12,
GCF_010592775.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_010597765.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_010597785.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_010597805.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_010597985.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_010598245.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_010598485.fna.gz,kaerogenes,15,13,3,1,11,3,1,8,
GCF_010598495.fna.gz,kaerogenes,new_ST,30,5,1,14,1,1,2,
GCF_010598905.fna.gz,kaerogenes,-,~37,6,~44,-,~7,~1,9,
GCF_011006785.fna.gz,kaerogenes,212,3,1,2,3,3,14,21,
GCF_011006935.fna.gz,kaerogenes,211,3,3,3,3,3,1,22,
GCF_011067245.fna.gz,kaerogenes,202,16,6,40,22,7,1,9,
GCF_011392705.fna.gz,kaerogenes,143,23,1,16,18,3,1,2,
GCF_011392925.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_011604725.fna.gz,kaerogenes,189,8,3,1,18,1,1,2,
GCF_013166315.fna.gz,kaerogenes,new_ST,14,3,3,5,3,1,10,
GCF_013166325.fna.gz,kaerogenes,135,22,17,30,26,3,1,10,
GCF_013166335.fna.gz,kaerogenes,135,22,17,30,26,3,1,10,
GCF_013166345.fna.gz,kaerogenes,new_ST,6,2,11,7,4,3,3,
GCF_013166415.fna.gz,kaerogenes,new_ST,31,3,3,18,1,1,2,
GCF_013166435.fna.gz,kaerogenes,new_alleles,3,2,3,3,3,1,~2,
GCF_013166445.fna.gz,kaerogenes,new_ST,6,2,11,7,4,3,3,
GCF_013403435.fna.gz,kaerogenes,103,27,3,1,14,1,1,2,
GCF_013727635.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_013925105.fna.gz,kaerogenes,141,6,2,11,41,4,3,11,
GCF_014169215.fna.gz,kaerogenes,128,23,3,16,13,3,1,2,
GCF_014235505.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_014235545.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_014333355.fna.gz,kaerogenes,new_ST,11,3,2,3,8,8,21,
GCF_014856475.fna.gz,kaerogenes,116,30,5,1,14,2,1,2,
GCF_014856485.fna.gz,kaerogenes,116,30,5,1,14,2,1,2,
GCF_014856495.fna.gz,kaerogenes,210,14,18,10,29,3,8,12,
GCF_014901435.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_014901455.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_014901595.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_014901605.fna.gz,kaerogenes,new_alleles,6,2,4,~41,~4,1,11,
GCF_014901995.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_014902045.fna.gz,kaerogenes,new_alleles,23,3,20,~29,2,1,2,
GCF_014902465.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_014902735.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_014902765.fna.gz,kaerogenes,new_ST,11,3,2,3,8,8,21,
GCF_014902795.fna.gz,kaerogenes,new_ST,12,2,1,3,2,1,2,
GCF_014902855.fna.gz,kaerogenes,135,22,17,30,26,3,1,10,
GCF_015679435.fna.gz,kaerogenes,new_ST,8,3,6,3,1,1,2,
GCF_015701185.fna.gz,kaerogenes,195,12,3,1,4,2,1,2,
GCF_015701195.fna.gz,kaerogenes,195,12,3,1,4,2,1,2,
GCF_015701235.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_015718665.fna.gz,kaerogenes,new_alleles,28,~3,1,3,2,1,12,
GCF_016527315.fna.gz,kaerogenes,new_alleles,6,2,11,~41,4,1,11,
GCF_016527875.fna.gz,kaerogenes,135,22,17,30,26,3,1,10,
GCF_016529455.fna.gz,kaerogenes,209,6,2,11,7,4,3,11,
GCF_016554165.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_016643805.fna.gz,kaerogenes,234,23,1,16,14,2,1,2,
GCF_016643825.fna.gz,kaerogenes,new_alleles,28,~3,1,3,2,1,12,
GCF_016644025.fna.gz,kaerogenes,new_ST,6,2,13,7,4,13,4,
GCF_016644035.fna.gz,kaerogenes,142,24,3,1,42,8,1,8,
GCF_016939495.fna.gz,kaerogenes,new_ST,14,3,6,14,3,1,2,
GCF_017742775.fna.gz,kaerogenes,20,8,1,6,3,3,2,10,
GCF_018069155.fna.gz,kaerogenes,new_alleles,28,~3,1,3,2,1,12,
GCF_018278705.fna.gz,kaerogenes,new_ST,14,3,2,33,2,1,2,
GCF_018420135.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_018420295.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_018420355.fna.gz,kaerogenes,230,28,20,1,3,2,1,12,
GCF_018420415.fna.gz,kaerogenes,new_alleles,5,3,1,25,8,1,~19,
GCF_018420895.fna.gz,kaerogenes,234,23,1,16,14,2,1,2,
GCF_018420935.fna.gz,kaerogenes,92,8,1,6,18,3,1,2,CC6
GCF_018420955.fna.gz,kaerogenes,new_alleles,5,2,9,5,6,~1,6,
GCF_018420975.fna.gz,kaerogenes,new_ST,2,3,9,18,2,1,2,
GCF_018421075.fna.gz,kaerogenes,new_alleles,5,2,9,5,6,~1,6,
GCF_018421225.fna.gz,kaerogenes,new_ST,2,3,9,18,2,1,2,
GCF_018421335.fna.gz,kaerogenes,new_ST,2,3,9,18,2,1,2,
GCF_018421675.fna.gz,kaerogenes,new_alleles,~12,3,5,30,~5,~1,5,
GCF_018421795.fna.gz,kaerogenes,new_alleles,~22,3,1,5,1,~1,2,
GCF_018422045.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_018422565.fna.gz,kaerogenes,new_alleles,6,2,11,~21,4,3,11,
GCF_018422575.fna.gz,kaerogenes,new_ST,10,3,3,25,8,1,10,
GCF_018422885.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_018422935.fna.gz,kaerogenes,new_alleles,2,2,~43,3,2,1,2,
GCF_018439425.fna.gz,kaerogenes,new_alleles,10,2,2,29,~2,1,2,
GCF_018441025.fna.gz,kaerogenes,206,3,3,2,9,2,1,2,
GCF_018443245.fna.gz,kaerogenes,135,22,17,30,26,3,1,10,
GCF_018445415.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_018445685.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_018445765.fna.gz,kaerogenes,new_ST,14,3,6,27,2,1,2,
GCF_018445795.fna.gz,kaerogenes,103,27,3,1,14,1,1,2,
GCF_018445865.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_018445905.fna.gz,kaerogenes,34,17,7,10,3,3,1,2,CC7
GCF_018445925.fna.gz,kaerogenes,new_alleles,7,3,5,~30,5,1,~5,
GCF_018446235.fna.gz,kaerogenes,new_alleles,3,3,~2,18,3,1,10,
GCF_018446415.fna.gz,kaerogenes,new_ST,14,3,6,27,2,1,2,
GCF_018446755.fna.gz,kaerogenes,235,8,3,1,3,2,1,2,
GCF_018446775.fna.gz,kaerogenes,new_ST,10,2,3,14,2,1,2,
GCF_018446975.fna.gz,kaerogenes,135,22,17,30,26,3,1,10,
GCF_018447155.fna.gz,kaerogenes,new_ST,28,1,6,18,3,1,2,
GCF_018447335.fna.gz,kaerogenes,new_alleles,10,2,2,29,~2,1,2,
GCF_018447575.fna.gz,kaerogenes,210,14,18,10,29,3,8,12,
GCF_018447655.fna.gz,kaerogenes,new_ST,37,6,44,15,7,1,9,
GCF_019047925.fna.gz,kaerogenes,135,22,17,30,26,3,1,10,
GCF_019048125.fna.gz,kaerogenes,134,31,3,1,4,3,1,2,CC1
GCF_019048885.fna.gz,kaerogenes,176,19,3,1,4,3,1,2,
GCF_019104165.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_019166045.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_019166205.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_900075225.fna.gz,kaerogenes,93,3,3,2,18,3,1,10,CC3
GCF_900077035.fna.gz,kaerogenes,137,6,2,11,21,4,3,11,
GCF_900119335.fna.gz,kaerogenes,187,14,3,10,13,3,8,2,
GCF_900558035.fna.gz,kaerogenes,234,23,1,16,14,2,1,2,
GCF_900558125.fna.gz,kaerogenes,4,3,3,1,4,3,1,2,CC1
GCF_900558485.fna.gz,kaerogenes,new_ST,24,5,1,14,2,1,2,
GCF_900636315.fna.gz,kaerogenes,-,-,~6,-,-,-,~5,-,
GCF_900637945.fna.gz,kaerogenes,new_ST,14,15,6,3,3,2,2,
GCF_902161715.fna.gz,kaerogenes,188,30,1,1,18,3,1,12,
GCF_902161755.fna.gz,kaerogenes,188,30,1,1,18,3,1,12,
GCF_902162655.fna.gz,kaerogenes,135,22,17,30,26,3,1,10,
GCF_902164615.fna.gz,kaerogenes,-,23,3,20,33,3,1,-,
GCF_902165035.fna.gz,kaerogenes,141,6,2,11,41,4,3,11,
GCF_902165235.fna.gz,kaerogenes,new_ST,31,2,9,3,3,2,2,
GCF_902165325.fna.gz,kaerogenes,new_ST,31,2,9,3,3,2,2,
GCF_902387745.fna.gz,kaerogenes,133,5,3,29,29,3,1,2,
GCF_904863085.fna.gz,kaerogenes,new_ST,6,8,11,7,4,1,3,
