Genome,Scheme,ST,aspA,glnA,gltA,glyA,pgm,tkt,uncA,clonal_complex
GCF_000397125.fna.gz,cjejuni,new_alleles,7,17,2,~66,23,3,12,
GCF_000430385.fna.gz,cjejuni,1460,6,4,5,2,11,1,5,ST-48 complex
GCF_000438865.fna.gz,cjejuni,362,1,2,49,4,11,66,8,ST-362 complex
GCF_000440015.fna.gz,cjejuni,3652,1,3,6,331,3,75,3,ST-22 complex
GCF_000466065.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_000466075.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_000466105.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_000466925.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_000468915.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_000493495.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_000509895.fna.gz,cjejuni,604,1,2,3,27,5,9,3,ST-42 complex
GCF_000632435.fna.gz,cjejuni,356,14,17,5,2,11,3,6,ST-353 complex
GCF_000633065.fna.gz,cjejuni,43,2,1,5,3,4,1,5,ST-21 complex
GCF_000685605.fna.gz,cjejuni,305,9,53,2,10,11,3,3,ST-574 complex
GCF_000686225.fna.gz,cjejuni,1919,9,2,2,10,10,3,5,ST-52 complex
GCF_000686265.fna.gz,cjejuni,2157,8,21,2,212,153,253,147,
GCF_000686285.fna.gz,cjejuni,460,24,30,2,2,89,59,6,ST-460 complex
GCF_000686305.fna.gz,cjejuni,4397,60,69,52,10,151,3,6,
GCF_000686325.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_000686345.fna.gz,cjejuni,3919,24,30,2,2,11,59,6,ST-460 complex
GCF_000686365.fna.gz,cjejuni,918,2,4,1,4,19,1,5,ST-48 complex
GCF_000686385.fna.gz,cjejuni,574,7,53,2,10,11,3,3,ST-574 complex
GCF_000686405.fna.gz,cjejuni,3630,9,2,42,4,11,9,253,
GCF_000686445.fna.gz,cjejuni,161,14,21,2,10,86,3,6,ST-52 complex
GCF_000737085.fna.gz,cjejuni,8785,29,7,10,4,42,7,1,ST-45 complex
GCF_000752275.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_000752375.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_000752795.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_000753015.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_000753095.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_000753175.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_000753295.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_000759575.fna.gz,cjejuni,44,8,1,6,3,2,1,1,ST-21 complex
GCF_000772225.fna.gz,cjejuni,3644,7,4,27,68,11,3,6,
GCF_000821125.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_000830775.fna.gz,cjejuni,43,2,1,5,3,4,1,5,ST-21 complex
GCF_000830805.fna.gz,cjejuni,43,2,1,5,3,4,1,5,ST-21 complex
GCF_000830825.fna.gz,cjejuni,43,2,1,5,3,4,1,5,ST-21 complex
GCF_000830845.fna.gz,cjejuni,43,2,1,5,3,4,1,5,ST-21 complex
GCF_000830865.fna.gz,cjejuni,43,2,1,5,3,4,1,5,ST-21 complex
GCF_000835285.fna.gz,cjejuni,2132,7,2,5,2,2,3,6,ST-353 complex
GCF_000835305.fna.gz,cjejuni,806,2,1,1,3,140,3,5,ST-21 complex
GCF_000835345.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_000835365.fna.gz,cjejuni,8,2,1,1,3,2,1,6,ST-21 complex
GCF_000934305.fna.gz,cjejuni,5843,1,1,5,48,394,88,233,
GCF_000943385.fna.gz,cjejuni,2209,1,6,29,176,40,32,3,ST-179 complex
GCF_000943395.fna.gz,cjejuni,5523,64,33,78,18,585,86,16,
GCF_000943435.fna.gz,cjejuni,448,61,70,22,18,2,74,47,
GCF_000943445.fna.gz,cjejuni,5524,18,33,22,326,1,109,60,
GCF_000943475.fna.gz,cjejuni,2209,1,6,29,176,40,32,3,ST-179 complex
GCF_000943485.fna.gz,cjejuni,2209,1,6,29,176,40,32,3,ST-179 complex
GCF_000948095.fna.gz,cjejuni,5524,18,33,22,326,1,109,60,
GCF_000948105.fna.gz,cjejuni,2209,1,6,29,176,40,32,3,ST-179 complex
GCF_001223585.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_001223725.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_001223745.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001223765.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001223845.fna.gz,cjejuni,658,2,4,2,4,19,3,6,ST-658 complex
GCF_001223885.fna.gz,cjejuni,585,69,74,61,6,97,89,48,
GCF_001223925.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001224005.fna.gz,cjejuni,861,2,1,42,3,148,1,5,ST-21 complex
GCF_001224025.fna.gz,cjejuni,227,2,4,5,2,2,1,5,ST-206 complex
GCF_001224105.fna.gz,cjejuni,47,2,1,1,5,2,1,5,ST-21 complex
GCF_001224125.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001224205.fna.gz,cjejuni,904,24,2,5,53,23,3,1,ST-607 complex
GCF_001224265.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001224325.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001224345.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001224385.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001224405.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001224465.fna.gz,cjejuni,2135,8,1,6,3,2,1,12,ST-21 complex
GCF_001224485.fna.gz,cjejuni,595,7,2,1,2,10,3,6,ST-353 complex
GCF_001224585.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001224625.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001224665.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001224805.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001224845.fna.gz,cjejuni,5718,8,10,2,2,11,487,6,ST-354 complex
GCF_001224865.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001224905.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001224965.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001224985.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001225005.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001225025.fna.gz,cjejuni,441,7,1,2,83,2,3,6,
GCF_001225045.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001225065.fna.gz,cjejuni,233,2,7,10,4,1,7,1,ST-45 complex
GCF_001225105.fna.gz,cjejuni,273,2,21,5,37,60,1,5,ST-206 complex
GCF_001225165.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001225185.fna.gz,cjejuni,-,2,4,~1,2,-,1,5,
GCF_001225205.fna.gz,cjejuni,1044,2,10,2,4,19,3,6,ST-658 complex
GCF_001225265.fna.gz,cjejuni,1709,22,15,4,64,74,25,23,ST-1034 complex
GCF_001225325.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001225345.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001225385.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001225405.fna.gz,cjejuni,53,2,1,21,3,2,1,5,ST-21 complex
GCF_001225425.fna.gz,cjejuni,574,7,53,2,10,11,3,3,ST-574 complex
GCF_001225465.fna.gz,cjejuni,356,14,17,5,2,11,3,6,ST-353 complex
GCF_001225565.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001225645.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001225685.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_001225745.fna.gz,cjejuni,1040,7,84,1,10,11,3,6,ST-574 complex
GCF_001225785.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001225805.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001225845.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_001225885.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001225925.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001226005.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001226025.fna.gz,cjejuni,986,91,2,42,4,169,9,8,
GCF_001226045.fna.gz,cjejuni,42,1,2,3,4,5,9,3,ST-42 complex
GCF_001226065.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001226085.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_001226145.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001226225.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001226245.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001226345.fna.gz,cjejuni,233,2,7,10,4,1,7,1,ST-45 complex
GCF_001226385.fna.gz,cjejuni,273,2,21,5,37,60,1,5,ST-206 complex
GCF_001226425.fna.gz,cjejuni,42,1,2,3,4,5,9,3,ST-42 complex
GCF_001226485.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_001226545.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001226665.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_001226745.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001226825.fna.gz,cjejuni,3029,22,53,4,28,363,3,35,
GCF_001226845.fna.gz,cjejuni,2030,9,2,4,62,4,5,12,ST-257 complex
GCF_001226945.fna.gz,cjejuni,574,7,53,2,10,11,3,3,ST-574 complex
GCF_001227065.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001227125.fna.gz,cjejuni,904,24,2,5,53,23,3,1,ST-607 complex
GCF_001227265.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001227285.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001227305.fna.gz,cjejuni,677,10,81,50,99,120,76,52,ST-677 complex
GCF_001227345.fna.gz,cjejuni,475,2,4,1,4,19,62,5,ST-48 complex
GCF_001227405.fna.gz,cjejuni,53,2,1,21,3,2,1,5,ST-21 complex
GCF_001227425.fna.gz,cjejuni,400,8,17,5,2,10,59,6,ST-353 complex
GCF_001227465.fna.gz,cjejuni,574,7,53,2,10,11,3,3,ST-574 complex
GCF_001227485.fna.gz,cjejuni,403,10,27,16,19,10,5,7,ST-403 complex
GCF_001227525.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001227605.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_001227665.fna.gz,cjejuni,861,2,1,42,3,148,1,5,ST-21 complex
GCF_001227765.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001227785.fna.gz,cjejuni,5726,2,1,5,462,2,1,5,ST-21 complex
GCF_001227805.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001227845.fna.gz,cjejuni,1947,1,94,6,4,3,3,3,ST-22 complex
GCF_001228005.fna.gz,cjejuni,137,4,7,10,4,42,7,1,ST-45 complex
GCF_001228125.fna.gz,cjejuni,5729,7,114,2,83,2,3,6,
GCF_001228165.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001228225.fna.gz,cjejuni,2030,9,2,4,62,4,5,12,ST-257 complex
GCF_001228245.fna.gz,cjejuni,206,2,21,5,37,2,1,5,ST-206 complex
GCF_001228305.fna.gz,cjejuni,2274,9,17,5,10,350,3,3,
GCF_001228425.fna.gz,cjejuni,222,2,21,5,2,59,1,5,ST-206 complex
GCF_001228445.fna.gz,cjejuni,1709,22,15,4,64,74,25,23,ST-1034 complex
GCF_001228485.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_001228525.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001228545.fna.gz,cjejuni,1044,2,10,2,4,19,3,6,ST-658 complex
GCF_001228565.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001228585.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001228605.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001228625.fna.gz,cjejuni,312,14,45,2,4,19,3,6,ST-658 complex
GCF_001228665.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001228745.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001228805.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001228825.fna.gz,cjejuni,990,9,2,4,62,4,133,6,ST-257 complex
GCF_001228865.fna.gz,cjejuni,614,73,21,2,10,86,3,6,ST-52 complex
GCF_001228945.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_001229025.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001229065.fna.gz,cjejuni,1044,2,10,2,4,19,3,6,ST-658 complex
GCF_001229085.fna.gz,cjejuni,2274,9,17,5,10,350,3,3,
GCF_001229145.fna.gz,cjejuni,1900,7,4,2,2,19,1,6,ST-658 complex
GCF_001229225.fna.gz,cjejuni,53,2,1,21,3,2,1,5,ST-21 complex
GCF_001229245.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001229325.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001229365.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_001229445.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001229465.fna.gz,cjejuni,53,2,1,21,3,2,1,5,ST-21 complex
GCF_001229485.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001229505.fna.gz,cjejuni,53,2,1,21,3,2,1,5,ST-21 complex
GCF_001229545.fna.gz,cjejuni,206,2,21,5,37,2,1,5,ST-206 complex
GCF_001229645.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001229665.fna.gz,cjejuni,122,6,4,5,2,2,1,5,ST-206 complex
GCF_001229685.fna.gz,cjejuni,42,1,2,3,4,5,9,3,ST-42 complex
GCF_001229825.fna.gz,cjejuni,2274,9,17,5,10,350,3,3,
GCF_001229945.fna.gz,cjejuni,845,4,7,73,4,1,7,1,ST-45 complex
GCF_001229985.fna.gz,cjejuni,2361,7,254,2,15,23,3,12,ST-443 complex
GCF_001230045.fna.gz,cjejuni,1073,8,10,2,2,89,12,6,ST-354 complex
GCF_001230085.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001230125.fna.gz,cjejuni,5018,2,1,1,3,492,1,5,ST-21 complex
GCF_001230165.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001230205.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_001230245.fna.gz,cjejuni,904,24,2,5,53,23,3,1,ST-607 complex
GCF_001230285.fna.gz,cjejuni,122,6,4,5,2,2,1,5,ST-206 complex
GCF_001230345.fna.gz,cjejuni,904,24,2,5,53,23,3,1,ST-607 complex
GCF_001230365.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_001230405.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001230525.fna.gz,cjejuni,658,2,4,2,4,19,3,6,ST-658 complex
GCF_001230545.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001230565.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_001230585.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001230605.fna.gz,cjejuni,42,1,2,3,4,5,9,3,ST-42 complex
GCF_001230685.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001230705.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001230725.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001230865.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001230905.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_001230945.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001231005.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001231045.fna.gz,cjejuni,882,7,4,5,68,93,3,46,
GCF_001231085.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001231105.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001231165.fna.gz,cjejuni,5136,24,2,2,2,10,3,3,ST-464 complex
GCF_001231185.fna.gz,cjejuni,1709,22,15,4,64,74,25,23,ST-1034 complex
GCF_001231205.fna.gz,cjejuni,5739,315,112,5,2,13,1,26,
GCF_001231245.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001231345.fna.gz,cjejuni,19,2,1,5,3,2,1,5,ST-21 complex
GCF_001231385.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001231405.fna.gz,cjejuni,573,7,28,4,28,17,34,12,ST-573 complex
GCF_001231425.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
GCF_001231505.fna.gz,cjejuni,81,2,4,2,2,6,3,17,ST-61 complex
GCF_001231585.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001231605.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001231625.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001231685.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001231705.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_001231745.fna.gz,cjejuni,273,2,21,5,37,60,1,5,ST-206 complex
GCF_001231765.fna.gz,cjejuni,5732,24,2,2,2,10,59,1,ST-464 complex
GCF_001231785.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001231845.fna.gz,cjejuni,5,7,2,5,2,10,3,6,ST-353 complex
GCF_001231905.fna.gz,cjejuni,5018,2,1,1,3,492,1,5,ST-21 complex
GCF_001231985.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001232125.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_001232145.fna.gz,cjejuni,354,8,10,2,2,11,12,6,ST-354 complex
GCF_001232165.fna.gz,cjejuni,22,1,3,6,4,3,3,3,ST-22 complex
GCF_001232205.fna.gz,cjejuni,48,2,4,1,2,7,1,5,ST-48 complex
GCF_001232265.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001232325.fna.gz,cjejuni,572,62,4,5,2,2,1,5,ST-206 complex
GCF_001232365.fna.gz,cjejuni,904,24,2,5,53,23,3,1,ST-607 complex
GCF_001232405.fna.gz,cjejuni,257,9,2,4,62,4,5,6,ST-257 complex
GCF_001232425.fna.gz,cjejuni,42,1,2,3,4,5,9,3,ST-42 complex
GCF_001232465.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001232485.fna.gz,cjejuni,51,7,17,2,15,23,3,12,ST-443 complex
GCF_001232545.fna.gz,cjejuni,353,7,17,5,2,10,3,6,ST-353 complex
GCF_001232565.fna.gz,cjejuni,3769,2,1,12,3,2,1,12,ST-21 complex
GCF_001232585.fna.gz,cjejuni,61,1,4,2,2,6,3,17,ST-61 complex
GCF_001232665.fna.gz,cjejuni,464,24,2,2,2,10,3,1,ST-464 complex
GCF_001232705.fna.gz,cjejuni,45,4,7,10,4,1,7,1,ST-45 complex
GCF_001232725.fna.gz,cjejuni,267,4,7,40,4,42,51,1,ST-283 complex
GCF_001232745.fna.gz,cjejuni,50,2,1,12,3,2,1,5,ST-21 complex
GCF_001232825.fna.gz,cjejuni,21,2,1,1,3,2,1,5,ST-21 complex
