Genome,Scheme,ST,abcZ,adk,efp,fumC,glyBeta,mutY,ppa,trpE
GCF_009378425.fna.gz,mcatarrhalis,new_alleles,~8,2,2,9,21,9,3,2
GCF_009378455.fna.gz,mcatarrhalis,50,25,18,3,4,3,9,3,2
GCF_009378475.fna.gz,mcatarrhalis,new_alleles,29,2,2,3,34,29,~21,2
GCF_009378485.fna.gz,mcatarrhalis,953,2,17,11,2,10,6,3,2
GCF_009378515.fna.gz,mcatarrhalis,64,2,17,12,2,3,3,3,2
GCF_009378535.fna.gz,mcatarrhalis,140,38,15,24,15,12,44,16,3
GCF_009378555.fna.gz,mcatarrhalis,955,3,76,3,9,43,3,52,2
GCF_009378575.fna.gz,mcatarrhalis,new_alleles,~36,28,2,4,15,3,~51,2
GCF_009378585.fna.gz,mcatarrhalis,new_alleles,2,2,~2,3,2,2,2,2
GCF_009378595.fna.gz,mcatarrhalis,374,22,22,2,18,29,31,3,2
GCF_009378635.fna.gz,mcatarrhalis,957,2,20,6,3,15,15,8,2
GCF_009378645.fna.gz,mcatarrhalis,224,53,3,2,3,57,3,3,2
GCF_009378675.fna.gz,mcatarrhalis,new_ST,8,8,2,2,2,3,9|9,2
GCF_009378685.fna.gz,mcatarrhalis,224,53,3,2,3,57,3,3,2
GCF_009378715.fna.gz,mcatarrhalis,224,53,3,2,3,57,3,3,2
GCF_009378725.fna.gz,mcatarrhalis,217,8,18,12,3,29,3,3,2
GCF_009378755.fna.gz,mcatarrhalis,608,3,3,2,3,31,31,95,2
GCF_009378775.fna.gz,mcatarrhalis,666,53,3,2,3,37,3,3,2
GCF_009378795.fna.gz,mcatarrhalis,73,2,3,2,3,2,19,17,2
GCF_009378815.fna.gz,mcatarrhalis,118,2,25,2,3,46,9,3,2
GCF_009378825.fna.gz,mcatarrhalis,67,2,17,2,3,3,3,3,2
GCF_009378835.fna.gz,mcatarrhalis,new_alleles,3,18,6,3,~2,15,17,2
GCF_009378865.fna.gz,mcatarrhalis,958,8,3,6,4,57,22,2,2
GCF_009378895.fna.gz,mcatarrhalis,62,8,26,2,3,2,22,25,2
GCF_009378915.fna.gz,mcatarrhalis,new_alleles,~110,~81,~28,66,120,~100,88,38
GCF_009378925.fna.gz,mcatarrhalis,498,3,18,55,2,15,15,8,2
GCF_009378935.fna.gz,mcatarrhalis,46,21,4,7,12,25,24,20,11
GCF_009378945.fna.gz,mcatarrhalis,184,8,25,6,4,57,22,2,2
GCF_009378995.fna.gz,mcatarrhalis,960,8,3,2,3,14,29,3,2
GCF_009379015.fna.gz,mcatarrhalis,589,53,3,59,3,57,3,3,2
GCF_009379035.fna.gz,mcatarrhalis,961,8,6,3,3,50,19,3,2
GCF_009379045.fna.gz,mcatarrhalis,960,8,3,2,3,14,29,3,2
GCF_009379055.fna.gz,mcatarrhalis,70,28,3,2,3,31,31,21,2
GCF_009379095.fna.gz,mcatarrhalis,64,2,17,12,2,3,3,3,2
GCF_009379115.fna.gz,mcatarrhalis,962,3,3,6,2,15,15,3,2
GCF_009379135.fna.gz,mcatarrhalis,540,8,17,20,3,128,3,17,2
GCF_009379145.fna.gz,mcatarrhalis,966,52,8,2,2,46,15,3,2
GCF_009379155.fna.gz,mcatarrhalis,436,27,18,2,2,10,9,9,2
GCF_009379195.fna.gz,mcatarrhalis,4,3,3,3,4,3,3,3,2
GCF_009379215.fna.gz,mcatarrhalis,new_alleles,2,18,3,7,6,3,~62,2
GCF_009379235.fna.gz,mcatarrhalis,new_alleles,8,~25,6,2,37,9,3,2
GCF_009379245.fna.gz,mcatarrhalis,new_alleles,27,~26,2,3,2,22,25,2
GCF_009379265.fna.gz,mcatarrhalis,4,3,3,3,4,3,3,3,2
GCF_009379285.fna.gz,mcatarrhalis,969,40,34,2,3,42,3,3,2
GCF_009379305.fna.gz,mcatarrhalis,540,8,17,20,3,128,3,17,2
GCF_009379335.fna.gz,mcatarrhalis,966,52,8,2,2,46,15,3,2
GCF_009379345.fna.gz,mcatarrhalis,157,2,23,2,3,20,2,2,2
GCF_009379375.fna.gz,mcatarrhalis,962,3,3,6,2,15,15,3,2
GCF_009379395.fna.gz,mcatarrhalis,374,22,22,2,18,29,31,3,2
GCF_009379405.fna.gz,mcatarrhalis,74,29,2,2,3,34,29,21,2
GCF_009379425.fna.gz,mcatarrhalis,209,9,6,3,7,20,9,9,2
GCF_009379455.fna.gz,mcatarrhalis,new_alleles,~8,26,2,3,2,22,25,2
GCF_009379475.fna.gz,mcatarrhalis,968,9,6,12,7,10,3,9,2
GCF_009379495.fna.gz,mcatarrhalis,540,8,17,20,3,128,3,17,2
GCF_009379515.fna.gz,mcatarrhalis,969,40,34,2,3,42,3,3,2
GCF_009379535.fna.gz,mcatarrhalis,969,40,34,2,3,42,3,3,2
GCF_009379545.fna.gz,mcatarrhalis,new_alleles,8,8,2,4,~47,3,3,2
GCF_009379565.fna.gz,mcatarrhalis,399,8,3,2,2,17,9,17,2
GCF_009379585.fna.gz,mcatarrhalis,224,53,3,2,3,57,3,3,2
GCF_009379615.fna.gz,mcatarrhalis,408,3,3,2,3,57,67,3,2
GCF_009379625.fna.gz,mcatarrhalis,41,2,8,2,18,20,22,2,2
GCF_009379655.fna.gz,mcatarrhalis,new_alleles,~8,26,2,3,2,22,25,2
GCF_009379675.fna.gz,mcatarrhalis,105,8,25,12,2,37,9,3,2
GCF_009379685.fna.gz,mcatarrhalis,11,3,8,2,9,8,8,8,5
GCF_009379715.fna.gz,mcatarrhalis,971,53,3,2,3,57,3,36,2
GCF_010603895.fna.gz,mcatarrhalis,462,2,2,2,3,2,31,3,2
GCF_010603915.fna.gz,mcatarrhalis,912,162,8,2,18,20,22,2,2
GCF_010603965.fna.gz,mcatarrhalis,205,22,9,2,18,29,31,3,2
GCF_010603985.fna.gz,mcatarrhalis,915,45,10,11,146,219,170,135,1
GCF_010604025.fna.gz,mcatarrhalis,913,27,18,2,2,10,171,9,2
GCF_010604075.fna.gz,mcatarrhalis,914,38,41,104,147,12,11,66,1
GCF_010612395.fna.gz,mcatarrhalis,11,3,8,2,9,8,8,8,5
GCF_900453075.fna.gz,mcatarrhalis,new_alleles,37,~29,21,26,51,42,32,15
GCF_900453095.fna.gz,mcatarrhalis,-,67,10,7,12,-,12,~91,1
GCF_900476075.fna.gz,mcatarrhalis,54,8,24,3,7,30,3,23,2
