Genome,Scheme,ST,ack,aroE,ftsZ,glpK,gmk,pta1,tpiA
GCF_003579465.fna.gz,msciuri,46,5,2,2,7,2,3,4
GCF_003579565.fna.gz,msciuri,44,2,18,6,5,5,3,1
GCF_003579575.fna.gz,msciuri,41,2,2,2,5,2,3,7
GCF_003579605.fna.gz,msciuri,37,1,19,5,1,2,19,1
GCF_003580365.fna.gz,msciuri,62,9,10,8,15,6,5,10
GCF_003580375.fna.gz,msciuri,61,9,10,8,10,6,5,13
GCF_003580395.fna.gz,msciuri,54,8,9,13,16,6,13,15
GCF_003580425.fna.gz,msciuri,36,1,2,5,1,4,1,7
GCF_003580435.fna.gz,msciuri,60,8,13,13,14,6,16,10
GCF_003580685.fna.gz,msciuri,38,1,20,1,1,2,1,1
GCF_003580695.fna.gz,msciuri,46,5,2,2,7,2,3,4
GCF_003968855.fna.gz,msciuri,new_alleles,15,~31,19,~25,16,~29,~19
GCF_004569525.fna.gz,msciuri,53,7,16,15,20,11,18,10
GCF_009259665.fna.gz,msciuri,64,9,14,8,18,6,5,16
GCF_009648145.fna.gz,msciuri,55,8,9,13,17,6,14,10
GCF_009830405.fna.gz,msciuri,50,7,16,12,19,11,9,18
GCF_009830425.fna.gz,msciuri,71,15,26,10,25,16,24,19
GCF_009830435.fna.gz,msciuri,47,6,7,11,12,10,8,14
GCF_011065455.fna.gz,msciuri,68,13,23,17,23,13,6,17
GCF_012102515.fna.gz,msciuri,50,7,16,12,19,11,9,18
GCF_013415315.fna.gz,msciuri,50,7,16,12,19,11,9,18
GCF_013602285.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_014217745.fna.gz,msciuri,63,9,14,8,18,6,5,10
GCF_015234835.fna.gz,msciuri,50,7,16,12,19,11,9,18
GCF_015235165.fna.gz,msciuri,53,7,16,15,20,11,18,10
GCF_015831675.fna.gz,msciuri,74,12,16,15,13,18,26,21
GCF_015831685.fna.gz,msciuri,52,7,16,12,19,11,9,10
GCF_016067215.fna.gz,msciuri,77,7,8,12,27,11,9,18
GCF_016067395.fna.gz,msciuri,76,2,2,1,26,1,2,22
GCF_016128315.fna.gz,msciuri,78,1,27,1,28,2,27,12
GCF_016653675.fna.gz,msciuri,75,7,16,12,20,11,9,10
GCF_016887545.fna.gz,msciuri,90,1,2,19,28,3,2,7
GCF_016891325.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_016891585.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_016891605.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_016891645.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_016891705.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_016891785.fna.gz,msciuri,91,7,32,12,27,11,21,10
GCF_016891805.fna.gz,msciuri,77,7,8,12,27,11,9,18
GCF_016891825.fna.gz,msciuri,84,7,8,12,13,11,30,10
GCF_016891845.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_016892065.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_016892085.fna.gz,msciuri,52,7,16,12,19,11,9,10
GCF_016892285.fna.gz,msciuri,93,7,34,12,19,11,9,10
GCF_016892355.fna.gz,msciuri,92,7,33,12,19,11,9,10
GCF_016892405.fna.gz,msciuri,49,7,8,12,19,11,9,18
GCF_016892465.fna.gz,msciuri,88,7,16,15,34,11,9,18
GCF_016892745.fna.gz,msciuri,94,7,34,12,33,11,9,10
GCF_016892785.fna.gz,msciuri,85,7,8,12,27,11,21,10
GCF_016892865.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_016892975.fna.gz,msciuri,87,7,35,12,19,11,28,10
GCF_016893065.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_016893105.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_016893185.fna.gz,msciuri,86,7,8,12,19,11,9,10
GCF_016893305.fna.gz,msciuri,81,7,16,12,20,11,28,10
GCF_016893445.fna.gz,msciuri,89,7,16,20,32,11,9,18
GCF_017028865.fna.gz,msciuri,new_alleles,7,~33,12,~27,11,~9,18
GCF_017028935.fna.gz,msciuri,95,16,31,21,28,3,29,5
GCF_017028955.fna.gz,msciuri,-,7,~16,12,20,11,~9,10
GCF_017277335.fna.gz,msciuri,82,7,28,12,30,11,9,10
GCF_017368535.fna.gz,msciuri,96,9,14,8,10,6,5,10
GCF_017368565.fna.gz,msciuri,97,7,33,12,13,11,21,10
GCF_017368765.fna.gz,msciuri,96,9,14,8,10,6,5,10
GCF_017583155.fna.gz,msciuri,98,8,36,13,35,6,31,10
GCF_017971705.fna.gz,msciuri,48,7,8,12,13,11,9,10
GCF_018967705.fna.gz,msciuri,new_ST,7,33,12,27,11,9,10
GCF_019149065.fna.gz,msciuri,new_alleles,8,36,13,14,6,16,~10
GCF_019272915.fna.gz,msciuri,new_alleles,12,29,15,13,~18,26,10
GCF_900117375.fna.gz,msciuri,30,9,10,8,10,6,5,10
GCF_900474615.fna.gz,msciuri,30,9,10,8,10,6,5,10
