Genome,Scheme,ST,RIRDC_adk,RIRDC_est,RIRDC_pmi,RIRDC_zwf,RIRDC_mdh,RIRDC_gdh,RIRDC_pgi,clonal_complex
GCF_012952165.fna.gz,pmultocida#1,8,4,5,2,5,5,3,5,ST8
GCF_012952185.fna.gz,pmultocida#1,new_alleles,4,~19,6,21,14,2,5,
GCF_012952205.fna.gz,pmultocida#1,new_alleles,4,5,2,5,5,3,~5,
GCF_012952225.fna.gz,pmultocida#1,8,4,5,2,5,5,3,5,ST8
GCF_013012025.fna.gz,pmultocida#1,new_alleles,~22,13,~8,29,8,3,31,
GCF_013012805.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013012825.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_013012845.fna.gz,pmultocida#1,7,2,6,4,4,6,4,6,
GCF_013012855.fna.gz,pmultocida#1,74,22,13,8,29,8,3,31,ST74
GCF_013012885.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_013012895.fna.gz,pmultocida#1,new_alleles,22,13,~8,29,8,3,31,
GCF_013012905.fna.gz,pmultocida#1,74,22,13,8,29,8,3,31,ST74
GCF_013012945.fna.gz,pmultocida#1,74,22,13,8,29,8,3,31,ST74
GCF_013012965.fna.gz,pmultocida#1,27,22,13,8,30,8,3,31,ST74
GCF_013012975.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_013012985.fna.gz,pmultocida#1,74,22,13,8,29,8,3,31,ST74
GCF_013013025.fna.gz,pmultocida#1,new_alleles,7,11,~9,10,4,7,8,
GCF_013013045.fna.gz,pmultocida#1,74,22,13,8,29,8,3,31,ST74
GCF_013013065.fna.gz,pmultocida#1,74,22,13,8,29,8,3,31,ST74
GCF_013013075.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_013013085.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_013013125.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_013013135.fna.gz,pmultocida#1,new_alleles,7,11,~9,10,4,7,~8,
GCF_013013165.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_013013175.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_013013205.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_013013215.fna.gz,pmultocida#1,74,22,13,8,29,8,3,31,ST74
GCF_013013225.fna.gz,pmultocida#1,74,22,13,8,29,8,3,31,ST74
GCF_013013235.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013245.fna.gz,pmultocida#1,287,4,61,43,72,4,3,47,
GCF_013013305.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013315.fna.gz,pmultocida#1,new_alleles,14,10,~20,43,8,3,20,
GCF_013013345.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013355.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013365.fna.gz,pmultocida#1,new_alleles,14,10,~20,19,8,3,20,
GCF_013013405.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013425.fna.gz,pmultocida#1,287,4,61,43,72,4,3,47,
GCF_013013435.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013455.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013475.fna.gz,pmultocida#1,new_alleles,14,~10,20,19,~8,3,20,
GCF_013013505.fna.gz,pmultocida#1,287,4,61,43,72,4,3,47,
GCF_013013525.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013535.fna.gz,pmultocida#1,new_alleles,14,~10,20,19,8,3,20,
GCF_013013545.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013565.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013585.fna.gz,pmultocida#1,new_alleles,14,10,~20,19,8,3,20,
GCF_013013625.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013645.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013655.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_013013675.fna.gz,pmultocida#1,50,14,10,20,19,8,3,20,ST50
GCF_013013685.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_014058465.fna.gz,pmultocida#1,349,22,13,38,29,8,7,31,
GCF_014058485.fna.gz,pmultocida#1,349,22,13,38,29,8,7,31,
GCF_014058585.fna.gz,pmultocida#1,349,22,13,38,29,8,7,31,
GCF_014058605.fna.gz,pmultocida#1,349,22,13,38,29,8,7,31,
GCF_014058625.fna.gz,pmultocida#1,349,22,13,38,29,8,7,31,
GCF_014058645.fna.gz,pmultocida#1,349,22,13,38,29,8,7,31,
GCF_014058665.fna.gz,pmultocida#1,349,22,13,38,29,8,7,31,
GCF_014338445.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_014338465.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_014495805.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_015070975.fna.gz,pmultocida#1,9,2,7,5,6,4,5,7,ST9
GCF_015354635.fna.gz,pmultocida#1,321,23,44,39,36,15,53,43,ST203
GCF_015354645.fna.gz,pmultocida#1,321,23,44,39,36,15,53,43,ST203
GCF_015354675.fna.gz,pmultocida#1,321,23,44,39,36,15,53,43,ST203
GCF_015354685.fna.gz,pmultocida#1,321,23,44,39,36,15,53,43,ST203
GCF_015354715.fna.gz,pmultocida#1,321,23,44,39,36,15,53,43,ST203
GCF_015546645.fna.gz,pmultocida#1,288,22,6,12,17,4,25,8,ST229
GCF_015546695.fna.gz,pmultocida#1,222,43,68,62,19,3,38,67,
GCF_015546705.fna.gz,pmultocida#1,288,22,6,12,17,4,25,8,ST229
GCF_016313205.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_016458265.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_016820295.fna.gz,pmultocida#1,new_alleles,42,65,~23,54,31,~8,65,
GCF_016916875.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_017815735.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
GCF_018139065.fna.gz,pmultocida#1,new_alleles,21,33,26,2,17,~20,20,
GCF_018162435.fna.gz,pmultocida#1,79,26,11,9,10,4,7,8,ST13
GCF_019134675.fna.gz,pmultocida#1,129,21,33,26,2,17,20,20,ST129
GCF_900115485.fna.gz,pmultocida#1,65,8,10,31,11,4,8,10,
GCF_900187275.fna.gz,pmultocida#1,13,7,11,9,10,4,7,8,ST13
GCF_900454565.fna.gz,pmultocida#1,54,16,27,23,1,1,1,24,
GCF_900454645.fna.gz,pmultocida#1,11,2,9,7,8,7,3,9,
GCF_900454845.fna.gz,pmultocida#1,15,1,5,10,1,1,1,11,ST15
GCF_900478175.fna.gz,pmultocida#1,130,21,33,26,4,24,20,42,
GCF_900636625.fna.gz,pmultocida#1,65,8,10,31,11,4,8,10,
GCF_900638315.fna.gz,pmultocida#1,new_alleles,1,5,23,~58,1,6,16,
GCF_900638665.fna.gz,pmultocida#1,122,23,37,21,17,4,2,17,ST122
