Genome,Scheme,ST,aroE,mdh,aceK,oppB,rpoB,recA,hsp,clonal_complex
GCF_002866045.fna.gz,cbotulinum,new_ST,13,5,6,9,8,6,8,
GCF_002866125.fna.gz,cbotulinum,92,13,32,13,10,9,8,9,
GCF_002866225.fna.gz,cbotulinum,92,13,32,13,10,9,8,9,
GCF_003014955.fna.gz,cbotulinum,32,13,8,18,9,11,10,11,
GCF_003017145.fna.gz,cbotulinum,new_alleles,27,21,35,27,~24,19,~29,
GCF_003017195.fna.gz,cbotulinum,new_alleles,27,21,35,27,~24,19,~29,
GCF_003017225.fna.gz,cbotulinum,new_alleles,~36,~13,~47,26,4,~28,~23,
GCF_003017335.fna.gz,cbotulinum,new_alleles,~17,~13,47,~27,20,~27,14,
GCF_003058345.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_003058445.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_003345315.fna.gz,cbotulinum,4,9,10,6,9,8,7,8,
GCF_003345335.fna.gz,cbotulinum,7,4,2,2,4,2,5,5,
GCF_003610755.fna.gz,cbotulinum,30,13,6,16,10,9,9,9,
GCF_003994935.fna.gz,cbotulinum,103,13,6,9,37,9,8,9,
GCF_004120535.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_009733885.fna.gz,cbotulinum,9,13,6,9,10,9,8,9,
GCF_009938935.fna.gz,cbotulinum,new_ST,13,5,17,5,9,7,6,
GCF_009939325.fna.gz,cbotulinum,new_ST,13,5,17,5,9,7,6,
GCF_009939345.fna.gz,cbotulinum,new_ST,13,5,17,5,9,7,6,
GCF_010078315.fna.gz,cbotulinum,new_ST,13,5,17,5,9,7,6,
GCF_014068615.fna.gz,cbotulinum,4,9,10,6,9,8,7,8,
GCF_014805065.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_014805085.fna.gz,cbotulinum,30,13,6,16,10,9,9,9,
GCF_014805095.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_014805105.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_014805145.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_014805165.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_014805185.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_014805195.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_014805215.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_014805235.fna.gz,cbotulinum,new_alleles,35,11,44,~8,25,25,9,
GCF_014805255.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_014805275.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_014805305.fna.gz,cbotulinum,new_alleles,36,35,46,~30,27,27,25,
GCF_014872905.fna.gz,cbotulinum,121,19,8,14,43,10,7,27,
GCF_016798345.fna.gz,cbotulinum,1,13,6,13,10,9,8,9,
GCF_016838665.fna.gz,cbotulinum,87,23,19,43,21,15,5,17,
GCF_016989565.fna.gz,cbotulinum,86,13,5,11,9,8,6,8,
GCF_016989605.fna.gz,cbotulinum,22,10,8,6,9,8,7,8,
GCF_016989635.fna.gz,cbotulinum,84,11,5,11,9,8,6,8,
GCF_016989715.fna.gz,cbotulinum,22,10,8,6,9,8,7,8,
GCF_016989755.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_016989775.fna.gz,cbotulinum,new_alleles,13,45,~16,10,9,8,7,
GCF_016989785.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_016989825.fna.gz,cbotulinum,26,9,8,7,9,8,7,8,
GCF_016989855.fna.gz,cbotulinum,25,10,8,6,10,8,7,8,
GCF_016989895.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_016989975.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_016990015.fna.gz,cbotulinum,26,9,8,7,9,8,7,8,
GCF_016990025.fna.gz,cbotulinum,26,9,8,7,9,8,7,8,
GCF_016990055.fna.gz,cbotulinum,7,4,2,2,4,2,5,5,
GCF_016990065.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_016990115.fna.gz,cbotulinum,25,10,8,6,10,8,7,8,
GCF_016990155.fna.gz,cbotulinum,7,4,2,2,4,2,5,5,
GCF_016990195.fna.gz,cbotulinum,26,9,8,7,9,8,7,8,
GCF_016990235.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_016990255.fna.gz,cbotulinum,26,9,8,7,9,8,7,8,
GCF_016990275.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_016990285.fna.gz,cbotulinum,new_ST,14,18,24,13,10,7,8,
GCF_016990315.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_016990335.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_016990345.fna.gz,cbotulinum,new_ST,14,18,24,13,10,7,8,
GCF_016990375.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_016990395.fna.gz,cbotulinum,10,11,5,11,5,8,6,8,
GCF_016990415.fna.gz,cbotulinum,2,10,8,7,9,8,7,8,
GCF_017330865.fna.gz,cbotulinum,36,18,14,22,15,13,14,14,
GCF_017330945.fna.gz,cbotulinum,36,18,14,22,15,13,14,14,
GCF_017590175.fna.gz,cbotulinum,-,-,6,13,10,9,8,9,
GCF_017591115.fna.gz,cbotulinum,34,16,12,20,8,10,12,9,
GCF_902386235.fna.gz,cbotulinum,new_ST,14,18,24,13,10,7,8,
