Genome,Scheme,ST,adk,atpG,frdB,fucK,mdh,pgi,recA,clonal_complex
GCF_001184555.fna.gz,hinfluenzae,423,1,1,1,14,74,62,37,
GCF_001184595.fna.gz,hinfluenzae,2425,39,8,35,28,63,2,33,
GCF_001184615.fna.gz,hinfluenzae,66,18,6,3,11,10,28,12,
GCF_001184635.fna.gz,hinfluenzae,259,1,1,1,14,89,62,37,
GCF_001184645.fna.gz,hinfluenzae,546,5,33,7,32,26,136,29,
GCF_001184655.fna.gz,hinfluenzae,524,42,9,8,2,7,8,4,
GCF_001184695.fna.gz,hinfluenzae,147,1,24,18,14,55,1,5,
GCF_001184705.fna.gz,hinfluenzae,1160,99,6,35,54,78,213,124,
GCF_001276545.fna.gz,hinfluenzae,411,14,7,13,30,1,21,1,
GCF_001298185.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_001298195.fna.gz,hinfluenzae,124,22,19,11,11,22,19,15,
GCF_001298205.fna.gz,hinfluenzae,253,60,51,16,46,15,2,31,
GCF_001457655.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_001679235.fna.gz,hinfluenzae,368,3,4,17,11,54,3,34,
GCF_001679365.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_001679415.fna.gz,hinfluenzae,36,16,21,14,16,29,14,3,
GCF_001856725.fna.gz,hinfluenzae,23,13,16,5,2,3,11,7,
GCF_001908955.fna.gz,hinfluenzae,new_ST,33,11,232,8,7,1,3,
GCF_001909005.fna.gz,hinfluenzae,36,16,21,14,16,29,14,3,
GCF_001909015.fna.gz,hinfluenzae,369,1,22,19,19,10,17,2,
GCF_001949825.fna.gz,hinfluenzae,-,132,1,38,-,60,44,5,
GCF_001949855.fna.gz,hinfluenzae,-,47,33,7,-,66,1,29,
GCF_001949875.fna.gz,hinfluenzae,-,132,1,38,-,60,44,5,
GCF_001975845.fna.gz,hinfluenzae,-,18,6,3,-,10,28,12,
GCF_001997355.fna.gz,hinfluenzae,44,10,14,4,3,4,3,8,
GCF_002073475.fna.gz,hinfluenzae,47,5,15,7,9,7,5,11,
GCF_002093175.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_002093185.fna.gz,hinfluenzae,266,3,18,53,15,86,14,23,
GCF_002093195.fna.gz,hinfluenzae,388,60,51,16,48,15,1,31,
GCF_002093205.fna.gz,hinfluenzae,367,1,1,1,1,67,1,5,
GCF_002093255.fna.gz,hinfluenzae,196,14,8,18,11,17,2,3,
GCF_002093265.fna.gz,hinfluenzae,203,52,1,1,14,89,62,37,
GCF_002093275.fna.gz,hinfluenzae,143,1,1,1,38,15,1,5,
GCF_002093285.fna.gz,hinfluenzae,1069,14,107,1,1,22,1,5,
GCF_002237715.fna.gz,hinfluenzae,124,22,19,11,11,22,19,15,
GCF_002835625.fna.gz,hinfluenzae,53,10,14,5,7,4,7,8,
GCF_002915495.fna.gz,hinfluenzae,23,13,16,5,2,3,11,7,
GCF_002917845.fna.gz,hinfluenzae,6,10,14,4,5,4,7,8,
GCF_002917855.fna.gz,hinfluenzae,368,3,4,17,11,54,3,34,
GCF_002966575.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002966595.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002966615.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_002966635.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_002966655.fna.gz,hinfluenzae,156,26,2,15,7,22,56,3,
GCF_002966675.fna.gz,hinfluenzae,156,26,2,15,7,22,56,3,
GCF_002966695.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002966715.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002966735.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002983745.fna.gz,hinfluenzae,-,1,1,1,-,13,25,16,
GCF_002983755.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002983805.fna.gz,hinfluenzae,46,1,25,1,14,15,1,5,
GCF_002983825.fna.gz,hinfluenzae,33,1,10,1,1,1,6,5,
GCF_002983845.fna.gz,hinfluenzae,33,1,10,1,1,1,6,5,
GCF_002983885.fna.gz,hinfluenzae,215,1,1,54,14,98,1,5,
GCF_002983905.fna.gz,hinfluenzae,1327,152,103,109,7,74,145,97,
GCF_002983925.fna.gz,hinfluenzae,34,11,2,15,8,28,26,3,
GCF_002983945.fna.gz,hinfluenzae,1341,1,1,54,106,98,1,5,
GCF_002983985.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_002984005.fna.gz,hinfluenzae,-,1,1,1,-,-,14,13,
GCF_002984015.fna.gz,hinfluenzae,1335,121,83,109,48,169,145,97,
GCF_002984065.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_002984105.fna.gz,hinfluenzae,66,18,6,3,11,10,28,12,
GCF_002984145.fna.gz,hinfluenzae,2,14,7,1,15,16,4,1,
GCF_002984165.fna.gz,hinfluenzae,98,14,7,13,15,17,13,1,
GCF_002984185.fna.gz,hinfluenzae,414,16,8,16,16,29,1,3,
GCF_002984225.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_002984245.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_002984255.fna.gz,hinfluenzae,203,52,1,1,14,89,62,37,
GCF_002984305.fna.gz,hinfluenzae,263,28,14,1,1,16,55,1,
GCF_002984325.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_002984345.fna.gz,hinfluenzae,1331,121,82,109,1,167,145,97,
GCF_002984355.fna.gz,hinfluenzae,1336,18,6,3,1,10,225,12,
GCF_002984385.fna.gz,hinfluenzae,398,1,1,1,14,89,114,37,
GCF_002984425.fna.gz,hinfluenzae,680,33,8,108,16,17,142,29,
GCF_002984445.fna.gz,hinfluenzae,145,1,8,1,14,22,14,13,
GCF_002984455.fna.gz,hinfluenzae,33,1,10,1,1,1,6,5,
GCF_002984505.fna.gz,hinfluenzae,183,14,44,1,1,22,1,5,
GCF_002984525.fna.gz,hinfluenzae,12,1,1,1,13,13,25,16,
GCF_002984545.fna.gz,hinfluenzae,12,1,1,1,13,13,25,16,
GCF_002984585.fna.gz,hinfluenzae,156,26,2,15,7,22,56,3,
GCF_002984595.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_002984615.fna.gz,hinfluenzae,253,60,51,16,46,15,2,31,
GCF_002984645.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002984665.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002984685.fna.gz,hinfluenzae,12,1,1,1,13,13,25,16,
GCF_002984705.fna.gz,hinfluenzae,432,1,1,97,1,67,42,5,
GCF_002984725.fna.gz,hinfluenzae,34,11,2,15,8,28,26,3,
GCF_002984745.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_002984765.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002984785.fna.gz,hinfluenzae,11,1,8,1,14,9,14,13,
GCF_002984805.fna.gz,hinfluenzae,196,14,8,18,11,17,2,3,
GCF_002984825.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002984845.fna.gz,hinfluenzae,46,1,25,1,14,15,1,5,
GCF_002984885.fna.gz,hinfluenzae,107,33,8,16,16,49,2,3,
GCF_002984905.fna.gz,hinfluenzae,425,39,8,35,11,65,48,19,
GCF_002984925.fna.gz,hinfluenzae,404,1,1,1,14,49,111,5,
GCF_002984945.fna.gz,hinfluenzae,1372,181,125,161,18,247,227,21,
GCF_002984955.fna.gz,hinfluenzae,98,14,7,13,15,17,13,1,
GCF_002984985.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_002985005.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_002985025.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_002985045.fna.gz,hinfluenzae,203,52,1,1,14,89,62,37,
GCF_002985065.fna.gz,hinfluenzae,1331,121,82,109,1,167,145,97,
GCF_002985105.fna.gz,hinfluenzae,398,1,1,1,14,89,114,37,
GCF_002985125.fna.gz,hinfluenzae,680,33,8,108,16,17,142,29,
GCF_002985145.fna.gz,hinfluenzae,1332,52,1,1,14,15,21,5,
GCF_002985165.fna.gz,hinfluenzae,245,1,24,18,18,27,1,5,
GCF_002985175.fna.gz,hinfluenzae,156,26,2,15,7,22,56,3,
GCF_002985205.fna.gz,hinfluenzae,136,1,1,1,1,67,42,5,
GCF_002985225.fna.gz,hinfluenzae,46,1,25,1,14,15,1,5,
GCF_002985245.fna.gz,hinfluenzae,-,53,74,134,-,272,50,99,
GCF_002985265.fna.gz,hinfluenzae,432,1,1,97,1,67,42,5,
GCF_002985285.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_002985305.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002985315.fna.gz,hinfluenzae,253,60,51,16,46,15,2,31,
GCF_002985345.fna.gz,hinfluenzae,41,17,4,17,1,7,12,11,
GCF_002985365.fna.gz,hinfluenzae,582,1,80,1,1,1,13,5,
GCF_002985375.fna.gz,hinfluenzae,85,30,2,15,7,22,38,3,
GCF_002985405.fna.gz,hinfluenzae,1337,1,24,18,14,55,1,139,
GCF_002985425.fna.gz,hinfluenzae,1337,1,24,18,14,55,1,139,
GCF_002985445.fna.gz,hinfluenzae,183,14,44,1,1,22,1,5,
GCF_002985465.fna.gz,hinfluenzae,1339,179,81,16,58,167,143,97,
GCF_002985485.fna.gz,hinfluenzae,260,11,8,29,7,90,57,35,
GCF_002985505.fna.gz,hinfluenzae,107,33,8,16,16,49,2,3,
GCF_002985525.fna.gz,hinfluenzae,260,11,8,29,7,90,57,35,
GCF_002985545.fna.gz,hinfluenzae,1339,179,81,16,58,167,143,97,
GCF_002985555.fna.gz,hinfluenzae,1329,121,82,109,14,167,145,97,
GCF_002985585.fna.gz,hinfluenzae,136,1,1,1,1,67,42,5,
GCF_002985605.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_002985615.fna.gz,hinfluenzae,265,60,51,16,48,15,2,31,
GCF_002985625.fna.gz,hinfluenzae,2,14,7,1,15,16,4,1,
GCF_002985665.fna.gz,hinfluenzae,2,14,7,1,15,16,4,1,
GCF_002985685.fna.gz,hinfluenzae,170,14,7,1,30,15,21,1,
GCF_002985705.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002985725.fna.gz,hinfluenzae,-,1,1,1,-,13,25,16,
GCF_002985745.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002985765.fna.gz,hinfluenzae,-,33,8,16,-,17,2,29,
GCF_002985785.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002985805.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_002985825.fna.gz,hinfluenzae,253,60,51,16,46,15,2,31,
GCF_002985845.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_002985855.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_002985895.fna.gz,hinfluenzae,196,14,8,18,11,17,2,3,
GCF_002985925.fna.gz,hinfluenzae,349,28,14,13,1,62,13,1,
GCF_002985955.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002986025.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_002986055.fna.gz,hinfluenzae,411,14,7,13,30,1,21,1,
GCF_002986125.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_002986175.fna.gz,hinfluenzae,349,28,14,13,1,62,13,1,
GCF_002986235.fna.gz,hinfluenzae,85,30,2,15,7,22,38,3,
GCF_002986245.fna.gz,hinfluenzae,147,1,24,18,14,55,1,5,
GCF_002986385.fna.gz,hinfluenzae,147,1,24,18,14,55,1,5,
GCF_002986425.fna.gz,hinfluenzae,41,17,4,17,1,7,12,11,
GCF_002986475.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_002986515.fna.gz,hinfluenzae,170,14,7,1,30,15,21,1,
GCF_002986555.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_002986595.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_002986655.fna.gz,hinfluenzae,321,28,14,1,1,62,13,1,
GCF_002986665.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_002986695.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002986795.fna.gz,hinfluenzae,12,1,1,1,13,13,25,16,
GCF_002986965.fna.gz,hinfluenzae,630,42,33,7,1,26,41,29,
GCF_002987015.fna.gz,hinfluenzae,260,11,8,29,7,90,57,35,
GCF_002987085.fna.gz,hinfluenzae,630,42,33,7,1,26,41,29,
GCF_002987175.fna.gz,hinfluenzae,630,42,33,7,1,26,41,29,
GCF_002987225.fna.gz,hinfluenzae,66,18,6,3,11,10,28,12,
GCF_002987275.fna.gz,hinfluenzae,66,18,6,3,11,10,28,12,
GCF_002987315.fna.gz,hinfluenzae,156,26,2,15,7,22,56,3,
GCF_002987425.fna.gz,hinfluenzae,1333,120,1,109,1,74,144,97,
GCF_002987435.fna.gz,hinfluenzae,263,28,14,1,1,16,55,1,
GCF_002987475.fna.gz,hinfluenzae,414,16,8,16,16,29,1,3,
GCF_002987585.fna.gz,hinfluenzae,263,28,14,1,1,16,55,1,
GCF_002987645.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_002987705.fna.gz,hinfluenzae,14,5,1,1,1,1,2,5,
GCF_002987735.fna.gz,hinfluenzae,648,1,1,35,14,115,1,5,
GCF_002987795.fna.gz,hinfluenzae,389,1,1,44,14,61,112,5,
GCF_002987835.fna.gz,hinfluenzae,389,1,1,44,14,61,112,5,
GCF_002987925.fna.gz,hinfluenzae,98,14,7,13,15,17,13,1,
GCF_002987945.fna.gz,hinfluenzae,411,14,7,13,30,1,21,1,
GCF_002988135.fna.gz,hinfluenzae,205,40,1,1,14,61,69,5,
GCF_002988155.fna.gz,hinfluenzae,107,33,8,16,16,49,2,3,
GCF_002988175.fna.gz,hinfluenzae,196,14,8,18,11,17,2,3,
GCF_002988195.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_002988215.fna.gz,hinfluenzae,107,33,8,16,16,49,2,3,
GCF_002988255.fna.gz,hinfluenzae,1334,6,43,7,7,77,14,43,
GCF_002988275.fna.gz,hinfluenzae,139,1,1,1,14,45,14,21,
GCF_002988295.fna.gz,hinfluenzae,245,1,24,18,18,27,1,5,
GCF_002988335.fna.gz,hinfluenzae,414,16,8,16,16,29,1,3,
GCF_002988355.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_002988375.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_002988385.fna.gz,hinfluenzae,85,30,2,15,7,22,38,3,
GCF_002988415.fna.gz,hinfluenzae,107,33,8,16,16,49,2,3,
GCF_002988425.fna.gz,hinfluenzae,265,60,51,16,48,15,2,31,
GCF_002988455.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002988465.fna.gz,hinfluenzae,136,1,1,1,1,67,42,5,
GCF_002988495.fna.gz,hinfluenzae,253,60,51,16,46,15,2,31,
GCF_002988505.fna.gz,hinfluenzae,-,53,74,134,-,214,80,99,
GCF_002988525.fna.gz,hinfluenzae,196,14,8,18,11,17,2,3,
GCF_002988555.fna.gz,hinfluenzae,170,14,7,1,30,15,21,1,
GCF_002988575.fna.gz,hinfluenzae,-,14,7,13,-,1,21,1,
GCF_002988595.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002988615.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_002988635.fna.gz,hinfluenzae,349,28,14,13,1,62,13,1,
GCF_002988655.fna.gz,hinfluenzae,85,30,2,15,7,22,38,3,
GCF_002988665.fna.gz,hinfluenzae,321,28,14,1,1,62,13,1,
GCF_002988695.fna.gz,hinfluenzae,41,17,4,17,1,7,12,11,
GCF_002988715.fna.gz,hinfluenzae,170,14,7,1,30,15,21,1,
GCF_002988735.fna.gz,hinfluenzae,1331,121,82,109,1,167,145,97,
GCF_002988755.fna.gz,hinfluenzae,1333,120,1,109,1,74,144,97,
GCF_002988775.fna.gz,hinfluenzae,414,16,8,16,16,29,1,3,
GCF_002988795.fna.gz,hinfluenzae,603,14,7,16,30,46,21,1,
GCF_002988815.fna.gz,hinfluenzae,603,14,7,16,30,46,21,1,
GCF_002988835.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002988855.fna.gz,hinfluenzae,98,14,7,13,15,17,13,1,
GCF_002988875.fna.gz,hinfluenzae,-,-,7,13,30,-,21,1,
GCF_002988885.fna.gz,hinfluenzae,107,33,8,16,16,49,2,3,
GCF_002988915.fna.gz,hinfluenzae,1373,121,83,109,48,169,21,97,
GCF_002988935.fna.gz,hinfluenzae,1334,6,43,7,7,77,14,43,
GCF_002988945.fna.gz,hinfluenzae,98,14,7,13,15,17,13,1,
GCF_002988975.fna.gz,hinfluenzae,329,1,1,1,1,31,1,5,
GCF_002988995.fna.gz,hinfluenzae,245,1,24,18,18,27,1,5,
GCF_002989005.fna.gz,hinfluenzae,156,26,2,15,7,22,56,3,
GCF_002989035.fna.gz,hinfluenzae,-,14,7,16,-,46,21,1,
GCF_002989055.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002989095.fna.gz,hinfluenzae,12,1,1,1,13,13,25,16,
GCF_002989105.fna.gz,hinfluenzae,503,33,8,16,16,17,2,3,
GCF_002989135.fna.gz,hinfluenzae,503,33,8,16,16,17,2,3,
GCF_002989155.fna.gz,hinfluenzae,36,16,21,14,16,29,14,3,
GCF_002989175.fna.gz,hinfluenzae,196,14,8,18,11,17,2,3,
GCF_002989195.fna.gz,hinfluenzae,-,14,7,16,-,46,21,1,
GCF_002989205.fna.gz,hinfluenzae,196,14,8,18,11,17,2,3,
GCF_002989235.fna.gz,hinfluenzae,244,55,11,16,14,102,2,3,
GCF_002989255.fna.gz,hinfluenzae,11,1,8,1,14,9,14,13,
GCF_002989275.fna.gz,hinfluenzae,215,1,1,54,14,98,1,5,
GCF_002989295.fna.gz,hinfluenzae,1341,1,1,54,106,98,1,5,
GCF_002989305.fna.gz,hinfluenzae,34,11,2,15,8,28,26,3,
GCF_002989335.fna.gz,hinfluenzae,1374,121,83,1,48,248,21,97,
GCF_002989355.fna.gz,hinfluenzae,-,26,2,15,-,22,56,3,
GCF_002989365.fna.gz,hinfluenzae,11,1,8,1,14,9,14,13,
GCF_002989395.fna.gz,hinfluenzae,11,1,8,1,14,9,14,13,
GCF_002989415.fna.gz,hinfluenzae,1335,121,83,109,48,169,145,97,
GCF_002989435.fna.gz,hinfluenzae,98,14,7,13,15,17,13,1,
GCF_002989455.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_002989465.fna.gz,hinfluenzae,-,1,1,1,-,49,-,5,
GCF_002989475.fna.gz,hinfluenzae,66,18,6,3,11,10,28,12,
GCF_002989515.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_002989535.fna.gz,hinfluenzae,263,28,14,1,1,16,55,1,
GCF_002989545.fna.gz,hinfluenzae,203,52,1,1,14,89,62,37,
GCF_002989575.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_002989595.fna.gz,hinfluenzae,436,40,1,1,10,15,1,5,
GCF_002989615.fna.gz,hinfluenzae,147,1,24,18,14,55,1,5,
GCF_002989635.fna.gz,hinfluenzae,1328,120,1,109,10,74,144,97,
GCF_002989655.fna.gz,hinfluenzae,57,14,7,13,7,17,13,17,
GCF_002989695.fna.gz,hinfluenzae,203,52,1,1,14,89,62,37,
GCF_002989715.fna.gz,hinfluenzae,134,1,1,1,14,53,14,13,
GCF_002989765.fna.gz,hinfluenzae,134,1,1,1,14,53,14,13,
GCF_002989805.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002989845.fna.gz,hinfluenzae,245,1,24,18,18,27,1,5,
GCF_002989905.fna.gz,hinfluenzae,203,52,1,1,14,89,62,37,
GCF_002989925.fna.gz,hinfluenzae,243,1,1,1,14,59,14,5,
GCF_002989965.fna.gz,hinfluenzae,243,1,1,1,14,59,14,5,
GCF_002990005.fna.gz,hinfluenzae,1332,52,1,1,14,15,21,5,
GCF_002990065.fna.gz,hinfluenzae,145,1,8,1,14,22,14,13,
GCF_002990095.fna.gz,hinfluenzae,46,1,25,1,14,15,1,5,
GCF_002990135.fna.gz,hinfluenzae,136,1,1,1,1,67,42,5,
GCF_002990165.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002990205.fna.gz,hinfluenzae,147,1,24,18,14,55,1,5,
GCF_002990245.fna.gz,hinfluenzae,156,26,2,15,7,22,56,3,
GCF_002990305.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_002990315.fna.gz,hinfluenzae,-,53,74,134,-,272,50,99,
GCF_002990375.fna.gz,hinfluenzae,13,3,9,8,4,14,8,4,
GCF_002990405.fna.gz,hinfluenzae,-,53,74,42,-,268,247,86,
GCF_002990445.fna.gz,hinfluenzae,582,1,80,1,1,1,13,5,
GCF_002990495.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_002990535.fna.gz,hinfluenzae,432,1,1,97,1,67,42,5,
GCF_002990565.fna.gz,hinfluenzae,155,16,8,16,16,30,1,3,
GCF_002990605.fna.gz,hinfluenzae,34,11,2,15,8,28,26,3,
GCF_002990655.fna.gz,hinfluenzae,349,28,14,13,1,62,13,1,
GCF_002990685.fna.gz,hinfluenzae,-,14,8,18,-,17,2,3,
GCF_002990745.fna.gz,hinfluenzae,389,1,1,44,14,61,112,5,
GCF_002990785.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002990825.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002990865.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002990905.fna.gz,hinfluenzae,159,33,8,16,16,17,2,29,
GCF_002990975.fna.gz,hinfluenzae,3,1,1,1,1,1,1,5,
GCF_002991005.fna.gz,hinfluenzae,196,14,8,18,11,17,2,3,
GCF_002991045.fna.gz,hinfluenzae,425,39,8,35,11,65,48,19,
GCF_002991085.fna.gz,hinfluenzae,103,1,1,1,14,9,14,13,
GCF_002991135.fna.gz,hinfluenzae,-,182,83,162,-,111,228,140,
GCF_002991205.fna.gz,hinfluenzae,263,28,14,1,1,16,55,1,
GCF_002991245.fna.gz,hinfluenzae,147,1,24,18,14,55,1,5,
GCF_002991265.fna.gz,hinfluenzae,203,52,1,1,14,89,62,37,
GCF_002991285.fna.gz,hinfluenzae,436,40,1,1,10,15,1,5,
GCF_002991295.fna.gz,hinfluenzae,1336,18,6,3,1,10,225,12,
