Genome,Scheme,ST,dnaE,gyrB,recA,dtdS,pntA,pyrC,tnaA,clonal_complex
GCF_000490075.fna.gz,vparahaemolyticus,new_alleles,3,40,36,41,114,~39,26,
GCF_000490095.fna.gz,vparahaemolyticus,262,105,156,123,127,19,12,47,no
GCF_000490115.fna.gz,vparahaemolyticus,934,126,368,25,333,50,297,33,no
GCF_000490135.fna.gz,vparahaemolyticus,new_alleles,~309,111,167,188,116,355,33,
GCF_000490155.fna.gz,vparahaemolyticus,83,5,52,27,13,17,25,40,no
GCF_000490175.fna.gz,vparahaemolyticus,83,5,52,27,13,17,25,40,no
GCF_000490195.fna.gz,vparahaemolyticus,1,5,52,27,13,17,25,10,no
GCF_000490215.fna.gz,vparahaemolyticus,83,5,52,27,13,17,25,40,no
GCF_000490235.fna.gz,vparahaemolyticus,83,5,52,27,13,17,25,40,no
GCF_000490255.fna.gz,vparahaemolyticus,326,28,28,44,46,61,49,38,no
GCF_000490275.fna.gz,vparahaemolyticus,new_alleles,197,~72,25,234,10,18,151,
GCF_000490295.fna.gz,vparahaemolyticus,-,197,~72,25,234,10,18,-,
GCF_000490315.fna.gz,vparahaemolyticus,325,60,104,123,47,26,69,61,no
GCF_000490335.fna.gz,vparahaemolyticus,50,29,5,22,12,20,22,25,50
GCF_000490355.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_000490375.fna.gz,vparahaemolyticus,324,20,25,15,13,7,3,5,34
GCF_000490395.fna.gz,vparahaemolyticus,-,-,118,6,19,24,93,81,
GCF_000490415.fna.gz,vparahaemolyticus,new_ST,35,20,356,29,28,186,27,
GCF_000490445.fna.gz,vparahaemolyticus,91,35,4,16,50,29,5,42,no
GCF_000490465.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490485.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490515.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490535.fna.gz,vparahaemolyticus,-,3,4,19,-,29,4,22,
GCF_000490555.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490575.fna.gz,vparahaemolyticus,-,3,4,19,4,29,-,22,
GCF_000490595.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490615.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490635.fna.gz,vparahaemolyticus,-,3,4,19,-,-,4,22,
GCF_000490655.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490675.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490695.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490715.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490735.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490755.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490775.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490795.fna.gz,vparahaemolyticus,332,14,30,141,78,4,37,13,no
GCF_000490815.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490835.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490855.fna.gz,vparahaemolyticus,-,3,4,19,4,-,4,22,
GCF_000490875.fna.gz,vparahaemolyticus,-,3,4,19,4,-,4,22,
GCF_000490895.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490915.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490935.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490955.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490975.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000490995.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000491015.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000491035.fna.gz,vparahaemolyticus,-,60,116,-,135,50,118,2,
GCF_000491055.fna.gz,vparahaemolyticus,143,95,119,93,106,74,89,70,no
GCF_000491075.fna.gz,vparahaemolyticus,69,43,41,31,42,37,40,33,no
GCF_000491095.fna.gz,vparahaemolyticus,-,43,41,31,-,37,-,33,
GCF_000491115.fna.gz,vparahaemolyticus,69,43,41,31,42,37,40,33,no
GCF_000491135.fna.gz,vparahaemolyticus,69,43,41,31,42,37,40,33,no
GCF_000491155.fna.gz,vparahaemolyticus,262,105,156,123,127,19,12,47,no
GCF_000491175.fna.gz,vparahaemolyticus,new_alleles,137,33,13,~19,50,~405,~81,
GCF_000491195.fna.gz,vparahaemolyticus,-,28,4,82,440,63,-,1,
GCF_000491215.fna.gz,vparahaemolyticus,-,86,117,35,19,26,-,15,
GCF_000491235.fna.gz,vparahaemolyticus,new_ST,5,437,21,447,69,5,26,
GCF_000491255.fna.gz,vparahaemolyticus,-,31,115,-,12,3,-,68,
GCF_000491275.fna.gz,vparahaemolyticus,-,105,156,123,127,19,-,47,
GCF_000491295.fna.gz,vparahaemolyticus,262,105,156,123,127,19,12,47,no
GCF_000491315.fna.gz,vparahaemolyticus,1017,3,111,167,188,116,310,33,no
GCF_000491335.fna.gz,vparahaemolyticus,478,185,226,73,19,26,18,37,no
GCF_000491355.fna.gz,vparahaemolyticus,478,185,226,73,19,26,18,37,no
GCF_000491375.fna.gz,vparahaemolyticus,546,84,149,19,46,139,37,144,no
GCF_000491395.fna.gz,vparahaemolyticus,321,12,101,84,91,58,78,33,no
GCF_000491415.fna.gz,vparahaemolyticus,59,36,15,1,25,23,21,16,36
GCF_000491435.fna.gz,vparahaemolyticus,-,21,15,1,-,23,21,16,
GCF_000491455.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_000491475.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_000491495.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_000491515.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_000491535.fna.gz,vparahaemolyticus,1016,28,4,276,88,63,69,1,no
GCF_000491555.fna.gz,vparahaemolyticus,189,11,48,3,48,26,48,26,345
GCF_000491575.fna.gz,vparahaemolyticus,189,11,48,3,48,26,48,26,345
GCF_000491595.fna.gz,vparahaemolyticus,810,28,144,116,138,26,177,61,no
GCF_000491615.fna.gz,vparahaemolyticus,332,14,30,141,78,4,37,13,no
GCF_000491635.fna.gz,vparahaemolyticus,17,13,10,19,27,28,27,21,no
GCF_000491655.fna.gz,vparahaemolyticus,17,13,10,19,27,28,27,21,no
GCF_000491675.fna.gz,vparahaemolyticus,1015,100,386,65,148,30,37,51,no
GCF_000491695.fna.gz,vparahaemolyticus,566,31,277,207,238,144,214,108,no
GCF_000491715.fna.gz,vparahaemolyticus,610,146,180,19,88,73,11,2,no
GCF_000491735.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_000491755.fna.gz,vparahaemolyticus,326,28,28,44,46,61,49,38,no
GCF_000491775.fna.gz,vparahaemolyticus,-,28,28,-,46,61,49,38,
GCF_000491795.fna.gz,vparahaemolyticus,563,198,14,205,29,26,46,23,no
GCF_000491815.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_000491835.fna.gz,vparahaemolyticus,1015,100,386,65,148,30,37,51,no
GCF_000491855.fna.gz,vparahaemolyticus,120,60,108,86,98,18,45,51,120
GCF_000491875.fna.gz,vparahaemolyticus,-,41,40,-,41,36,39,32,
GCF_000491895.fna.gz,vparahaemolyticus,-,41,40,-,41,36,39,32,
GCF_000491915.fna.gz,vparahaemolyticus,91,35,4,16,50,29,5,42,no
GCF_000491935.fna.gz,vparahaemolyticus,-,35,4,16,50,29,-,42,
GCF_000491955.fna.gz,vparahaemolyticus,-,35,4,16,-,29,5,42,
GCF_000491975.fna.gz,vparahaemolyticus,91,35,4,16,50,29,5,42,no
GCF_000491995.fna.gz,vparahaemolyticus,91,35,4,16,50,29,5,42,no
GCF_000492015.fna.gz,vparahaemolyticus,91,35,4,16,50,29,5,42,no
GCF_000492035.fna.gz,vparahaemolyticus,96,35,4,16,50,29,66,42,no
GCF_000492055.fna.gz,vparahaemolyticus,91,35,4,16,50,29,5,42,no
GCF_000492075.fna.gz,vparahaemolyticus,216,98,135,112,107,77,97,26,no
GCF_000492095.fna.gz,vparahaemolyticus,1014,205,385,89,76,23,95,26,no
GCF_000493225.fna.gz,vparahaemolyticus,217,80,88,111,109,37,95,69,no
GCF_000493715.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000500105.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000500365.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000500405.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000500425.fna.gz,vparahaemolyticus,332,14,30,141,78,4,37,13,no
GCF_000500485.fna.gz,vparahaemolyticus,2165,337,106,199,331,2,3,20,no
GCF_000500505.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000500525.fna.gz,vparahaemolyticus,937,28,4,64,88,63,69,26,8
GCF_000500545.fna.gz,vparahaemolyticus,396,9,213,165,185,2,46,1,no
GCF_000500755.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000510585.fna.gz,vparahaemolyticus,479,186,252,181,29,4,18,132,no
GCF_000510605.fna.gz,vparahaemolyticus,131,33,104,96,103,28,11,9,no
GCF_000516875.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000519365.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000519385.fna.gz,vparahaemolyticus,34,20,25,15,13,7,11,5,34
GCF_000519405.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000521825.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000522005.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000522025.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000522045.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000522065.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000524535.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000525005.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000558885.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000558925.fna.gz,vparahaemolyticus,307,20,179,15,6,7,11,4,32
GCF_000568495.fna.gz,vparahaemolyticus,471,175,22,168,201,130,17,73,no
GCF_000571915.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000582905.fna.gz,vparahaemolyticus,-,11,4,16,-,29,52,-,
GCF_000591455.fna.gz,vparahaemolyticus,114,55,15,31,55,18,58,46,114
GCF_000591495.fna.gz,vparahaemolyticus,413,47,8,166,19,28,46,121,no
GCF_000591515.fna.gz,vparahaemolyticus,-,232,323,-,283,160,32,36,
GCF_000591535.fna.gz,vparahaemolyticus,-,-,~98,-,~486,-,-,-,
GCF_000591555.fna.gz,vparahaemolyticus,977,26,212,91,69,23,5,26,no
GCF_000593285.fna.gz,vparahaemolyticus,-,3,4,19,-,29,4,22,
GCF_000593305.fna.gz,vparahaemolyticus,1567,42,1,80,27,60,85,20,no
GCF_000593325.fna.gz,vparahaemolyticus,1013,60,284,4,53,43,63,23,no
GCF_000593345.fna.gz,vparahaemolyticus,6,4,13,11,38,18,9,23,no
GCF_000593365.fna.gz,vparahaemolyticus,-,25,322,13,-,~33,~52,-,
GCF_000701045.fna.gz,vparahaemolyticus,2516,11,48,107,48,26,48,26,This sequence type has a recA island and was named ST265 in this publication https://doi.org/10.1371/journal.pone.0117485
GCF_000706825.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000706845.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000706865.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000706885.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_000706905.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000706925.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000706945.fna.gz,vparahaemolyticus,113,63,62,25,54,4,56,45,no
GCF_000706965.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000706985.fna.gz,vparahaemolyticus,896,28,17,21,119,20,23,24,49
GCF_000707005.fna.gz,vparahaemolyticus,653,17,57,166,23,44,28,36,110
GCF_000707025.fna.gz,vparahaemolyticus,653,17,57,166,23,44,28,36,110
GCF_000707045.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000707065.fna.gz,vparahaemolyticus,677,26,317,228,275,28,49,23,no
GCF_000707085.fna.gz,vparahaemolyticus,811,29,7,22,12,20,22,24,50
GCF_000707105.fna.gz,vparahaemolyticus,1116,17,16,13,7,24,16,228,no
GCF_000707125.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_000707145.fna.gz,vparahaemolyticus,652,31,312,25,271,26,247,24,no
GCF_000707165.fna.gz,vparahaemolyticus,651,42,311,31,29,26,246,87,no
GCF_000707185.fna.gz,vparahaemolyticus,768,29,339,75,123,30,18,46,no
GCF_000707205.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000707225.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000707245.fna.gz,vparahaemolyticus,50,29,5,22,12,20,22,25,50
GCF_000707265.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_000707285.fna.gz,vparahaemolyticus,810,28,144,116,138,26,177,61,no
GCF_000707305.fna.gz,vparahaemolyticus,34,20,25,15,13,7,11,5,34
GCF_000707325.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000707345.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_000707365.fna.gz,vparahaemolyticus,34,20,25,15,13,7,11,5,34
GCF_000707385.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_000707405.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_000707425.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_000707445.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_000707465.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_000707485.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_000707505.fna.gz,vparahaemolyticus,631,222,128,21,69,46,236,12,no
GCF_000707525.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000707545.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000707565.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000707585.fna.gz,vparahaemolyticus,59,36,15,1,25,23,21,16,36
GCF_000707605.fna.gz,vparahaemolyticus,34,20,25,15,13,7,11,5,34
GCF_000707625.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000707645.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_000707665.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_000707685.fna.gz,vparahaemolyticus,678,231,261,209,276,21,5,99,no
GCF_000707705.fna.gz,vparahaemolyticus,162,47,58,53,19,50,37,26,no
GCF_000707725.fna.gz,vparahaemolyticus,679,19,318,4,13,54,96,175,no
GCF_000707745.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000707765.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000707785.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_000707805.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000707825.fna.gz,vparahaemolyticus,8,28,4,82,88,63,69,1,8
GCF_000707845.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000707865.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000707885.fna.gz,vparahaemolyticus,59,36,15,1,25,23,21,16,36
GCF_000707905.fna.gz,vparahaemolyticus,676,60,106,31,72,66,62,65,no
GCF_000732985.fna.gz,vparahaemolyticus,1167,55,15,31,55,54,337,46,114
GCF_000732995.fna.gz,vparahaemolyticus,1183,28,25,70,369,28,10,23,no
GCF_000736315.fna.gz,vparahaemolyticus,970,27,324,61,343,50,54,44,no
GCF_000736325.fna.gz,vparahaemolyticus,114,55,15,31,55,18,58,46,114
GCF_000736335.fna.gz,vparahaemolyticus,970,27,324,61,343,50,54,44,no
GCF_000736345.fna.gz,vparahaemolyticus,247,116,149,72,76,45,62,26,no
GCF_000786835.fna.gz,vparahaemolyticus,546,84,149,19,46,139,37,144,no
GCF_000786845.fna.gz,vparahaemolyticus,634,7,302,4,26,6,18,26,no
GCF_000786855.fna.gz,vparahaemolyticus,430,5,25,19,61,4,11,24,no
GCF_000786865.fna.gz,vparahaemolyticus,633,31,301,19,88,50,37,24,no
GCF_000813305.fna.gz,vparahaemolyticus,1,5,52,27,13,17,25,10,no
GCF_000877405.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000877415.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000877425.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000877475.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000877485.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000877495.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000877535.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000877555.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000877565.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000877595.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_000877615.fna.gz,vparahaemolyticus,65,39,9,27,39,3,37,30,no
GCF_000877685.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000877765.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_000878565.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878575.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878585.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878595.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878645.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878665.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878675.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878705.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878725.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878735.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878755.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878785.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878805.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000878815.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000951795.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000958565.fna.gz,vparahaemolyticus,new_alleles,26,355,~78,~491,18,18,153,
GCF_000958575.fna.gz,vparahaemolyticus,36,21,15,1,23,23,21,16,36
GCF_000958585.fna.gz,vparahaemolyticus,2014,348,510,67,280,26,11,42,no
GCF_000958595.fna.gz,vparahaemolyticus,1517,11,4,19,4,29,4,26,3
GCF_000958645.fna.gz,vparahaemolyticus,2471,56,16,219,157,33,31,2,no
GCF_000958655.fna.gz,vparahaemolyticus,2278,26,16,13,157,33,33,2,no
GCF_000960565.fna.gz,vparahaemolyticus,326,28,28,44,46,61,49,38,no
GCF_000960645.fna.gz,vparahaemolyticus,216,98,135,112,107,77,97,26,no
GCF_000960655.fna.gz,vparahaemolyticus,43,23,29,10,7,14,24,2,412
GCF_000960665.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_000960685.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000972025.fna.gz,vparahaemolyticus,632,47,300,200,262,138,45,94,no
GCF_000972035.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_000972045.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
GCF_000972055.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_000972105.fna.gz,vparahaemolyticus,141,31,115,22,12,3,91,68,no
GCF_000972125.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_000974905.fna.gz,vparahaemolyticus,417,3,111,167,188,116,167,33,no
GCF_000975195.fna.gz,vparahaemolyticus,3,3,4,19,4,29,4,22,3
