Genome,Scheme,ST,atpA,dnaE,dnaK,fusA,leuA,odhA,rpoB,clonal_complex
GCF_001889775.fna.gz,cdiphtheriae,458,2,2,90,4,18,53,2,
GCF_001889785.fna.gz,cdiphtheriae,453,22,3,94,2,3,3,3,
GCF_001889825.fna.gz,cdiphtheriae,462,3,4,98,11,3,3,9,
GCF_001889835.fna.gz,cdiphtheriae,453,22,3,94,2,3,3,3,
GCF_001889845.fna.gz,cdiphtheriae,248,19,3,8,1,3,3,13,
GCF_001889855.fna.gz,cdiphtheriae,122,4,1,8,1,11,3,6,
GCF_001889905.fna.gz,cdiphtheriae,452,2,4,70,6,7,16,9,
GCF_001902275.fna.gz,cdiphtheriae,453,22,3,94,2,3,3,3,
GCF_001913255.fna.gz,cdiphtheriae,44,14,2,23,4,2,14,2,
GCF_001913265.fna.gz,cdiphtheriae,26,8,2,16,1,3,3,12,
GCF_002073375.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002115085.fna.gz,cdiphtheriae,453,22,3,94,2,3,3,3,
GCF_002115095.fna.gz,cdiphtheriae,465,3,4,98,11,3,3,3,
GCF_002115125.fna.gz,cdiphtheriae,406,2,3,3,2,7,3,3,
GCF_002115145.fna.gz,cdiphtheriae,464,2,2,9,25,3,3,49,
GCF_002115155.fna.gz,cdiphtheriae,453,22,3,94,2,3,3,3,
GCF_002115185.fna.gz,cdiphtheriae,248,19,3,8,1,3,3,13,
GCF_002115215.fna.gz,cdiphtheriae,451,3,1,45,1,12,3,9,
GCF_002115225.fna.gz,cdiphtheriae,463,4,1,33,28,11,2,3,
GCF_002115265.fna.gz,cdiphtheriae,10,5,2,7,1,3,5,8,
GCF_002115285.fna.gz,cdiphtheriae,141,3,4,3,6,3,3,3,
GCF_002115305.fna.gz,cdiphtheriae,67,3,2,3,6,3,3,2,
GCF_002115325.fna.gz,cdiphtheriae,453,22,3,94,2,3,3,3,
GCF_002115335.fna.gz,cdiphtheriae,460,3,4,8,1,3,5,13,
GCF_002200985.fna.gz,cdiphtheriae,new_alleles,2,10,29,1,~94,2,13,
GCF_002200995.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002201005.fna.gz,cdiphtheriae,728,2,9,4,1,3,3,5,
GCF_002201055.fna.gz,cdiphtheriae,76,2,9,1,1,13,3,2,
GCF_002201065.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002201075.fna.gz,cdiphtheriae,76,2,9,1,1,13,3,2,
GCF_002201085.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002201135.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002201145.fna.gz,cdiphtheriae,40,8,3,19,2,7,3,3,
GCF_002201165.fna.gz,cdiphtheriae,40,8,3,19,2,7,3,3,
GCF_002201175.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002201215.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002202335.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002202345.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002202355.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002202415.fna.gz,cdiphtheriae,41,2,9,22,13,3,3,3,
GCF_002202435.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002202445.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002202495.fna.gz,cdiphtheriae,40,8,3,19,2,7,3,3,
GCF_002202515.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002202525.fna.gz,cdiphtheriae,740,58,5,6,5,3,3,6,
GCF_002202585.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002202595.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002202605.fna.gz,cdiphtheriae,28,2,9,3,13,3,3,3,
GCF_002202665.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002202675.fna.gz,cdiphtheriae,123,2,1,45,1,5,3,9,
GCF_002202685.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002202735.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002202745.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002202755.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002202765.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002202815.fna.gz,cdiphtheriae,76,2,9,1,1,13,3,2,
GCF_002202825.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002202835.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002202845.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002202895.fna.gz,cdiphtheriae,76,2,9,1,1,13,3,2,
GCF_002202905.fna.gz,cdiphtheriae,-,5,6,7,6,-,3,8,
GCF_002202915.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002202925.fna.gz,cdiphtheriae,40,8,3,19,2,7,3,3,
GCF_002202985.fna.gz,cdiphtheriae,-,3,5,6,5,-,3,6,
GCF_002202995.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203015.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002203055.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203065.fna.gz,cdiphtheriae,-,2,4,4,1,-,3,5,
GCF_002203075.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203105.fna.gz,cdiphtheriae,-,3,5,6,5,-,3,6,
GCF_002203135.fna.gz,cdiphtheriae,742,3,1,18,4,13,87,5,
GCF_002203145.fna.gz,cdiphtheriae,41,2,9,22,13,3,3,3,
GCF_002203155.fna.gz,cdiphtheriae,25,5,6,7,6,6,3,8,
GCF_002203215.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203225.fna.gz,cdiphtheriae,-,2,4,4,1,-,3,5,
GCF_002203235.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002203275.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002203295.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002203315.fna.gz,cdiphtheriae,53,2,10,24,1,3,3,2,
GCF_002203325.fna.gz,cdiphtheriae,741,2,4,4,1,94,3,5,
GCF_002203335.fna.gz,cdiphtheriae,40,8,3,19,2,7,3,3,
GCF_002203375.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203395.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203415.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203435.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002203455.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002203465.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203495.fna.gz,cdiphtheriae,25,5,6,7,6,6,3,8,
GCF_002203515.fna.gz,cdiphtheriae,-,2,4,4,1,-,3,5,
GCF_002203535.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203545.fna.gz,cdiphtheriae,32,3,1,18,4,13,3,5,
GCF_002203575.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002203595.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002203615.fna.gz,cdiphtheriae,76,2,9,1,1,13,3,2,
GCF_002203625.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002203665.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203695.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203705.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002203735.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002203775.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_002203785.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203815.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203855.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203865.fna.gz,cdiphtheriae,-,3,5,6,5,-,3,6,
GCF_002203895.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203905.fna.gz,cdiphtheriae,-,3,5,6,5,-,3,6,
GCF_002203935.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_002203945.fna.gz,cdiphtheriae,185,3,5,6,40,3,3,6,
GCF_002203965.fna.gz,cdiphtheriae,25,5,6,7,6,6,3,8,
GCF_002213075.fna.gz,cdiphtheriae,141,3,4,3,6,3,3,3,
GCF_002213115.fna.gz,cdiphtheriae,461,49,4,8,1,3,5,13,
GCF_002213145.fna.gz,cdiphtheriae,453,22,3,94,2,3,3,3,
GCF_002843135.fna.gz,cdiphtheriae,26,8,2,16,1,3,3,12,
GCF_003003395.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_003003405.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_003003435.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_003003455.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_003004395.fna.gz,cdiphtheriae,82,2,1,33,28,11,2,2,
GCF_003004415.fna.gz,cdiphtheriae,195,3,1,49,19,3,16,25,
GCF_003046845.fna.gz,cdiphtheriae,8,3,5,6,5,3,3,6,
GCF_003194045.fna.gz,cdiphtheriae,125,19,4,8,1,3,3,13,
GCF_003641005.fna.gz,cdiphtheriae,408,8,2,3,1,18,3,13,
GCF_003666645.fna.gz,cdiphtheriae,295,2,1,20,19,3,3,14,
GCF_004329625.fna.gz,cdiphtheriae,634,3,2,131,4,3,2,4,
GCF_004758745.fna.gz,cdiphtheriae,377,2,43,87,4,59,3,6,
GCF_004916755.fna.gz,cdiphtheriae,44,14,2,23,4,2,14,2,
GCF_004916775.fna.gz,cdiphtheriae,44,14,2,23,4,2,14,2,
GCF_014826095.fna.gz,cdiphtheriae,445,3,2,60,30,3,3,2,
GCF_015830105.fna.gz,cdiphtheriae,625,2,4,6,19,13,3,6,
GCF_015830115.fna.gz,cdiphtheriae,503,4,1,102,4,5,5,35,
GCF_015830145.fna.gz,cdiphtheriae,469,4,10,3,1,7,3,13,
GCF_015830155.fna.gz,cdiphtheriae,319,38,1,77,4,5,3,9,
GCF_015830165.fna.gz,cdiphtheriae,259,3,1,12,1,42,16,31,
GCF_015830205.fna.gz,cdiphtheriae,625,2,4,6,19,13,3,6,
GCF_015830215.fna.gz,cdiphtheriae,661,4,1,136,5,11,1,6,
GCF_015830285.fna.gz,cdiphtheriae,625,2,4,6,19,13,3,6,
GCF_015830305.fna.gz,cdiphtheriae,5,2,4,4,1,3,3,5,
GCF_015830325.fna.gz,cdiphtheriae,625,2,4,6,19,13,3,6,
GCF_015830335.fna.gz,cdiphtheriae,652,3,1,107,19,13,3,48,
GCF_015830365.fna.gz,cdiphtheriae,625,2,4,6,19,13,3,6,
GCF_015830375.fna.gz,cdiphtheriae,625,2,4,6,19,13,3,6,
GCF_015830385.fna.gz,cdiphtheriae,417,3,9,4,1,3,3,5,
GCF_015830425.fna.gz,cdiphtheriae,417,3,9,4,1,3,3,5,
GCF_015830435.fna.gz,cdiphtheriae,625,2,4,6,19,13,3,6,
GCF_015830465.fna.gz,cdiphtheriae,130,2,10,9,1,3,27,2,
GCF_015830475.fna.gz,cdiphtheriae,625,2,4,6,19,13,3,6,
GCF_015830505.fna.gz,cdiphtheriae,625,2,4,6,19,13,3,6,
GCF_015830585.fna.gz,cdiphtheriae,656,1,9,46,19,3,3,22,
GCF_015830605.fna.gz,cdiphtheriae,257,2,1,35,19,13,24,13,
GCF_015830615.fna.gz,cdiphtheriae,140,33,15,4,1,3,3,2,
GCF_015830645.fna.gz,cdiphtheriae,246,2,1,45,46,5,16,9,
GCF_015830665.fna.gz,cdiphtheriae,655,33,2,4,1,3,3,2,
GCF_015830695.fna.gz,cdiphtheriae,469,4,10,3,1,7,3,13,
GCF_015830705.fna.gz,cdiphtheriae,654,3,1,45,1,5,3,9,
GCF_015830735.fna.gz,cdiphtheriae,623,2,1,35,29,3,3,2,
GCF_015830765.fna.gz,cdiphtheriae,625,2,4,6,19,13,3,6,
GCF_015830785.fna.gz,cdiphtheriae,625,2,4,6,19,13,3,6,
GCF_015830835.fna.gz,cdiphtheriae,657,2,3,38,64,7,3,2,
GCF_015830865.fna.gz,cdiphtheriae,662,2,4,137,81,13,3,6,
GCF_015830985.fna.gz,cdiphtheriae,625,2,4,6,19,13,3,6,
GCF_015831025.fna.gz,cdiphtheriae,308,4,12,4,1,18,3,13,
GCF_015831045.fna.gz,cdiphtheriae,295,2,1,20,19,3,3,14,
GCF_015831055.fna.gz,cdiphtheriae,653,3,2,131,71,7,2,4,
GCF_015831085.fna.gz,cdiphtheriae,244,2,1,20,19,42,16,13,
GCF_015831095.fna.gz,cdiphtheriae,100,2,2,42,31,11,3,4,
GCF_015831105.fna.gz,cdiphtheriae,244,2,1,20,19,42,16,13,
GCF_015831145.fna.gz,cdiphtheriae,439,3,46,3,6,30,3,2,
GCF_015831155.fna.gz,cdiphtheriae,439,3,46,3,6,30,3,2,
GCF_015831185.fna.gz,cdiphtheriae,439,3,46,3,6,30,3,2,
GCF_015831195.fna.gz,cdiphtheriae,439,3,46,3,6,30,3,2,
GCF_015831205.fna.gz,cdiphtheriae,32,3,1,18,4,13,3,5,
GCF_015831245.fna.gz,cdiphtheriae,658,2,3,92,2,3,3,3,
GCF_015831255.fna.gz,cdiphtheriae,32,3,1,18,4,13,3,5,
GCF_015831285.fna.gz,cdiphtheriae,317,2,1,76,19,13,24,13,
GCF_017149575.fna.gz,cdiphtheriae,174,3,2,13,38,14,33,4,
GCF_017149595.fna.gz,cdiphtheriae,677,3,65,13,38,14,33,4,
GCF_018682715.fna.gz,cdiphtheriae,703,1,1,87,5,11,2,6,
GCF_900461215.fna.gz,cdiphtheriae,44,14,2,23,4,2,14,2,
GCF_900638705.fna.gz,cdiphtheriae,452,2,4,70,6,7,16,9,
GCF_900638715.fna.gz,cdiphtheriae,10,5,2,7,1,3,5,8,
GCF_902497465.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986055.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986065.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986075.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986085.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986105.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986115.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986125.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986155.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986165.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986175.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986185.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986205.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986225.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986245.fna.gz,cdiphtheriae,724,3,1,20,7,13,54,2,
GCF_903986255.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986265.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986275.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986285.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986295.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986305.fna.gz,cdiphtheriae,83,2,1,20,16,3,3,5,
GCF_903986315.fna.gz,cdiphtheriae,447,4,46,4,1,3,3,2,
GCF_903986325.fna.gz,cdiphtheriae,83,2,1,20,16,3,3,5,
GCF_903986335.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986345.fna.gz,cdiphtheriae,447,4,46,4,1,3,3,2,
GCF_903986355.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986365.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986375.fna.gz,cdiphtheriae,724,3,1,20,7,13,54,2,
GCF_903986385.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986395.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986405.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986415.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986425.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986435.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986445.fna.gz,cdiphtheriae,384,3,1,20,2,13,54,2,
GCF_903986455.fna.gz,cdiphtheriae,447,4,46,4,1,3,3,2,
GCF_903986465.fna.gz,cdiphtheriae,447,4,46,4,1,3,3,2,
GCF_903986475.fna.gz,cdiphtheriae,725,2,9,96,2,3,3,4,
GCF_903986485.fna.gz,cdiphtheriae,292,2,12,4,1,3,3,2,
GCF_903986495.fna.gz,cdiphtheriae,100,2,2,42,31,11,3,4,
GCF_903986505.fna.gz,cdiphtheriae,292,2,12,4,1,3,3,2,
GCF_903986515.fna.gz,cdiphtheriae,725,2,9,96,2,3,3,4,
GCF_903986525.fna.gz,cdiphtheriae,447,4,46,4,1,3,3,2,
GCF_903986535.fna.gz,cdiphtheriae,100,2,2,42,31,11,3,4,
GCF_903986545.fna.gz,cdiphtheriae,100,2,2,42,31,11,3,4,
