Genome,Scheme,ST,atpD,gapA,guaA,mutM,nuoD,ppsA,recA,clonal_complex
GCF_001070865.fna.gz,smaltophilia,new_alleles,96,~72,~123,~87,20,~208,~72,
GCF_001070945.fna.gz,smaltophilia,new_alleles,96,~72,~123,~87,20,~208,~72,
GCF_001071045.fna.gz,smaltophilia,new_alleles,~76,226,~384,148,139,186,~220,
GCF_001071065.fna.gz,smaltophilia,new_alleles,~76,226,~384,148,139,186,~220,
GCF_001071115.fna.gz,smaltophilia,229,2,106,151,45,63,69,5,
GCF_001071175.fna.gz,smaltophilia,18,20,25,11,17,4,2,2,
GCF_001071195.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_001071285.fna.gz,smaltophilia,137,1,1,4,1,1,1,1,
GCF_001071335.fna.gz,smaltophilia,new_alleles,96,~72,~123,~87,20,~208,~72,
GCF_001071345.fna.gz,smaltophilia,new_alleles,96,~72,~123,~87,20,~208,~72,
GCF_001071475.fna.gz,smaltophilia,18,20,25,11,17,4,2,2,
GCF_001071655.fna.gz,smaltophilia,new_alleles,28,8,~14,33,126,200,16,
GCF_001071815.fna.gz,smaltophilia,new_alleles,89,165,87,~211,18,163,16,
GCF_001072155.fna.gz,smaltophilia,new_alleles,96,~72,~123,~87,20,~208,~72,
GCF_001072195.fna.gz,smaltophilia,208,4,76,155,5,70,84,9,
GCF_001072215.fna.gz,smaltophilia,new_alleles,96,~72,~123,~87,20,~208,~72,
GCF_001072355.fna.gz,smaltophilia,26,1,1,4,1,6,4,1,
GCF_001072535.fna.gz,smaltophilia,208,4,76,155,5,70,84,9,
GCF_001072635.fna.gz,smaltophilia,26,1,1,4,1,6,4,1,
GCF_001072655.fna.gz,smaltophilia,26,1,1,4,1,6,4,1,
GCF_001072845.fna.gz,smaltophilia,new_alleles,96,~72,~123,~87,20,~208,~72,
GCF_001072915.fna.gz,smaltophilia,new_alleles,96,~72,~123,~87,20,~208,~72,
GCF_001073045.fna.gz,smaltophilia,new_alleles,~76,226,~384,148,139,186,~220,
GCF_001073225.fna.gz,smaltophilia,new_alleles,~156,8,~318,139,18,200,201,
GCF_001073355.fna.gz,smaltophilia,137,1,1,4,1,1,1,1,
GCF_001074595.fna.gz,smaltophilia,246,1,117,158,3,104,108,6,
GCF_001074685.fna.gz,smaltophilia,new_alleles,23,~115,~488,~177,~135,~8,~110,
GCF_001074705.fna.gz,smaltophilia,246,1,117,158,3,104,108,6,
GCF_001074785.fna.gz,smaltophilia,new_alleles,96,~72,~123,~87,20,~208,~72,
GCF_001075145.fna.gz,smaltophilia,246,1,117,158,3,104,108,6,
GCF_001075175.fna.gz,smaltophilia,246,1,117,158,3,104,108,6,
GCF_001075245.fna.gz,smaltophilia,new_alleles,96,~72,~123,~87,20,~208,~72,
GCF_001075445.fna.gz,smaltophilia,219,2,2,163,2,2,3,5,
GCF_001075475.fna.gz,smaltophilia,337,88,9,137,87,86,9,83,
GCF_001075485.fna.gz,smaltophilia,337,88,9,137,87,86,9,83,
GCF_001075985.fna.gz,smaltophilia,219,2,2,163,2,2,3,5,
GCF_001274595.fna.gz,smaltophilia,280,26,116,154,103,3,159,110,
GCF_001274655.fna.gz,smaltophilia,new_alleles,89,165,~380,139,18,200,~74,
GCF_001274675.fna.gz,smaltophilia,new_alleles,89,165,~380,139,18,200,~74,
GCF_001275075.fna.gz,smaltophilia,219,2,2,163,2,2,3,5,
GCF_001275085.fna.gz,smaltophilia,28,4,3,2,5,9,6,9,
GCF_001275095.fna.gz,smaltophilia,220,98,105,135,90,98,114,96,
GCF_001276185.fna.gz,smaltophilia,145,82,92,114,69,66,100,81,
GCF_001276305.fna.gz,smaltophilia,new_alleles,108,~2,~23,45,~63,168,128,
GCF_001276345.fna.gz,smaltophilia,new_alleles,161,28,~349,~61,~171,143,22,
GCF_001276355.fna.gz,smaltophilia,new_alleles,~14,147,~366,~89,~77,125,~71,
GCF_001276385.fna.gz,smaltophilia,new_alleles,~26,115,~367,~232,~3,71,~223,
GCF_001286925.fna.gz,smaltophilia,121,72,77,94,60,71,85,67,
GCF_001297005.fna.gz,smaltophilia,132,76,84,105,67,80,93,74,
GCF_001431665.fna.gz,smaltophilia,62,48,58,57,41,54,52,43,
GCF_001431675.fna.gz,smaltophilia,54,44,44,53,9,46,48,39,
GCF_001499695.fna.gz,smaltophilia,new_alleles,125,~104,~276,6,8,~70,7,
GCF_001499715.fna.gz,smaltophilia,new_alleles,~139,171,~247,~227,72,~251,166,
GCF_001542395.fna.gz,smaltophilia,131,5,83,104,51,79,80,73,
GCF_001591205.fna.gz,smaltophilia,14,17,23,23,16,26,5,6,
GCF_001595975.fna.gz,smaltophilia,new_alleles,3,104,~232,105,25,108,99,
GCF_001619675.fna.gz,smaltophilia,300,2,66,223,45,62,68,5,
GCF_001651505.fna.gz,smaltophilia,24,9,21,28,26,15,18,3,
GCF_001676295.fna.gz,smaltophilia,new_alleles,147,27,~379,~23,155,29,22,
GCF_001676315.fna.gz,smaltophilia,251,14,108,175,106,113,139,13,
GCF_001676375.fna.gz,smaltophilia,new_ST,1,1,307,6,1,4,6,
GCF_001676385.fna.gz,smaltophilia,-,~147,~222,~263,~197,~16,~85,-,
GCF_001676395.fna.gz,smaltophilia,new_alleles,12,~69,~292,107,30,29,22,
GCF_001676435.fna.gz,smaltophilia,new_alleles,14,~109,87,89,~77,~125,~71,
GCF_001676445.fna.gz,smaltophilia,-,10,27,-,~83,30,29,22,
GCF_001693455.fna.gz,smaltophilia,new_alleles,40,~81,~445,~125,42,39,~32,
GCF_001858265.fna.gz,smaltophilia,new_alleles,16,80,~371,65,~87,~91,108,
GCF_001866065.fna.gz,smaltophilia,new_alleles,116,8,~180,~165,18,200,16,
GCF_001997185.fna.gz,smaltophilia,14,17,23,23,16,26,5,6,
GCF_002025605.fna.gz,smaltophilia,-,~21,~111,~105,-,~120,~23,~123,
GCF_002138415.fna.gz,smaltophilia,new_alleles,~5,~198,~488,~140,~152,~231,~161,
GCF_002189545.fna.gz,smaltophilia,219,2,2,163,2,2,3,5,
GCF_002189565.fna.gz,smaltophilia,222,3,96,166,4,25,136,6,
GCF_002205155.fna.gz,smaltophilia,209,1,104,156,4,25,133,7,
GCF_002205165.fna.gz,smaltophilia,245,102,113,176,97,106,128,117,
GCF_002205175.fna.gz,smaltophilia,212,4,22,159,5,70,6,9,
GCF_002205215.fna.gz,smaltophilia,257,95,77,190,115,71,85,120,
GCF_002205225.fna.gz,smaltophilia,29,2,2,5,2,2,3,5,
GCF_002205245.fna.gz,smaltophilia,125,21,26,98,63,75,2,15,
GCF_002205275.fna.gz,smaltophilia,77,2,66,76,45,63,69,57,
GCF_002205295.fna.gz,smaltophilia,231,5,4,169,4,25,116,7,
GCF_002208885.fna.gz,smaltophilia,246,1,117,158,3,104,108,6,
GCF_002277735.fna.gz,smaltophilia,new_alleles,13,28,~438,151,121,~143,22,
GCF_002738625.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002738635.fna.gz,smaltophilia,new_alleles,1,96,~232,4,28,108,62,
GCF_002738665.fna.gz,smaltophilia,new_alleles,1,96,~232,4,28,108,62,
GCF_002738675.fna.gz,smaltophilia,178,1,1,18,6,1,4,6,
GCF_002738705.fna.gz,smaltophilia,new_alleles,1,96,~232,4,28,108,62,
GCF_002738715.fna.gz,smaltophilia,new_alleles,1,96,~232,4,28,108,62,
GCF_002738725.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002738765.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002738785.fna.gz,smaltophilia,new_alleles,1,96,~232,4,28,108,62,
GCF_002738805.fna.gz,smaltophilia,new_alleles,1,96,~232,4,28,108,62,
GCF_002738815.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002738825.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002738845.fna.gz,smaltophilia,new_alleles,1,96,~232,4,28,108,62,
GCF_002738885.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002738905.fna.gz,smaltophilia,180,22,26,20,9,4,14,2,
GCF_002738915.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002738925.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002738965.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002738985.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002739005.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739015.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002739025.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739065.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739075.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739095.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739105.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739145.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739155.fna.gz,smaltophilia,new_alleles,5,22,9,75,27,~80,7,
GCF_002739175.fna.gz,smaltophilia,new_alleles,5,22,9,75,27,~80,7,
GCF_002739195.fna.gz,smaltophilia,new_alleles,5,22,9,75,27,~80,7,
GCF_002739225.fna.gz,smaltophilia,new_alleles,5,22,9,75,27,~80,7,
GCF_002739235.fna.gz,smaltophilia,new_alleles,5,22,9,75,27,~80,7,
GCF_002739255.fna.gz,smaltophilia,new_alleles,1,1,12,3,28,~7,1,
GCF_002739275.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002739305.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002739315.fna.gz,smaltophilia,91,3,73,89,3,25,80,7,
GCF_002739345.fna.gz,smaltophilia,91,3,73,89,3,25,80,7,
GCF_002739365.fna.gz,smaltophilia,162,1,1,4,3,6,4,1,
GCF_002739375.fna.gz,smaltophilia,91,3,73,89,3,25,80,7,
GCF_002739395.fna.gz,smaltophilia,91,3,73,89,3,25,80,7,
GCF_002739405.fna.gz,smaltophilia,91,3,73,89,3,25,80,7,
GCF_002739445.fna.gz,smaltophilia,91,3,73,89,3,25,80,7,
GCF_002739455.fna.gz,smaltophilia,183,90,97,129,84,91,112,88,
GCF_002739465.fna.gz,smaltophilia,new_ST,13,99,127,83,89,111,198,
GCF_002739505.fna.gz,smaltophilia,new_ST,13,99,127,83,89,111,198,
GCF_002739525.fna.gz,smaltophilia,500,1,4,18,3,28,80,133,
GCF_002739535.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002739555.fna.gz,smaltophilia,29,2,2,5,2,2,3,5,
GCF_002739585.fna.gz,smaltophilia,181,1,96,125,82,6,109,7,
GCF_002739595.fna.gz,smaltophilia,181,1,96,125,82,6,109,7,
GCF_002739605.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002739625.fna.gz,smaltophilia,182,89,95,124,81,90,107,87,
GCF_002739665.fna.gz,smaltophilia,4,1,4,7,7,28,19,6,
GCF_002739675.fna.gz,smaltophilia,183,90,97,129,84,91,112,88,
GCF_002739685.fna.gz,smaltophilia,4,1,4,7,7,28,19,6,
GCF_002739715.fna.gz,smaltophilia,4,1,4,7,7,28,19,6,
GCF_002739745.fna.gz,smaltophilia,92,1,1,82,3,1,1,1,
GCF_002739755.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002739775.fna.gz,smaltophilia,91,3,73,89,3,25,80,7,
GCF_002739785.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739825.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739835.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739855.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739875.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739905.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739915.fna.gz,smaltophilia,2,1,1,12,3,28,7,1,
GCF_002739945.fna.gz,smaltophilia,184,91,98,126,83,92,110,89,
GCF_002739955.fna.gz,smaltophilia,new_alleles,5,22,9,75,27,~80,7,
GCF_002739985.fna.gz,smaltophilia,new_alleles,5,22,9,75,27,~80,7,
GCF_002739995.fna.gz,smaltophilia,new_alleles,5,22,9,75,27,~80,7,
GCF_002740025.fna.gz,smaltophilia,183,90,97,129,84,91,112,88,
GCF_002740035.fna.gz,smaltophilia,new_alleles,1,1,12,3,28,~7,1,
GCF_002740055.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002740085.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002740095.fna.gz,smaltophilia,91,3,73,89,3,25,80,7,
GCF_002740105.fna.gz,smaltophilia,91,3,73,89,3,25,80,7,
GCF_002740115.fna.gz,smaltophilia,91,3,73,89,3,25,80,7,
GCF_002740165.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002740175.fna.gz,smaltophilia,91,3,73,89,3,25,80,7,
GCF_002740185.fna.gz,smaltophilia,188,92,4,128,57,25,20,90,
GCF_002740215.fna.gz,smaltophilia,new_ST,13,99,127,83,89,111,198,
GCF_002740245.fna.gz,smaltophilia,new_ST,13,99,127,83,89,111,198,
GCF_002740255.fna.gz,smaltophilia,new_ST,13,99,127,83,89,111,198,
GCF_002740265.fna.gz,smaltophilia,139,3,4,110,46,6,38,58,
GCF_002740285.fna.gz,smaltophilia,500,1,4,18,3,28,80,133,
GCF_002740325.fna.gz,smaltophilia,139,3,4,110,46,6,38,58,
GCF_002740345.fna.gz,smaltophilia,500,1,4,18,3,28,80,133,
GCF_002740355.fna.gz,smaltophilia,500,1,4,18,3,28,80,133,
GCF_002740365.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_002740395.fna.gz,smaltophilia,84,3,1,82,3,25,4,62,
GCF_002740425.fna.gz,smaltophilia,new_alleles,1,1,12,3,28,~7,1,
GCF_002798885.fna.gz,smaltophilia,50,40,41,49,38,42,41,36,
GCF_002798925.fna.gz,smaltophilia,130,19,82,103,66,5,92,4,
GCF_002798945.fna.gz,smaltophilia,125,21,26,98,63,75,2,15,
GCF_002798965.fna.gz,smaltophilia,new_alleles,~133,~160,~97,152,143,~55,~151,
GCF_002798995.fna.gz,smaltophilia,new_alleles,~183,~224,~412,~230,~147,~262,~12,
GCF_002799015.fna.gz,smaltophilia,1,1,1,1,1,1,1,1,
GCF_002799025.fna.gz,smaltophilia,new_alleles,~133,~160,~97,152,143,~55,~151,
GCF_002799055.fna.gz,smaltophilia,1,1,1,1,1,1,1,1,
GCF_002799065.fna.gz,smaltophilia,new_alleles,40,36,~386,72,118,39,36,
GCF_002799095.fna.gz,smaltophilia,337,88,9,137,87,86,9,83,
GCF_002799105.fna.gz,smaltophilia,new_ST,1,1,307,6,28,4,6,
GCF_002799135.fna.gz,smaltophilia,31,3,4,24,7,7,22,7,
GCF_002799145.fna.gz,smaltophilia,31,3,4,24,7,7,22,7,
GCF_002799155.fna.gz,smaltophilia,new_alleles,74,~217,~308,~218,~87,~249,~215,
GCF_002799165.fna.gz,smaltophilia,130,19,82,103,66,5,92,4,
GCF_002799215.fna.gz,smaltophilia,new_alleles,~13,~99,~469,~112,~72,~144,198,
GCF_002799225.fna.gz,smaltophilia,new_alleles,~173,~227,~340,~202,4,107,201,
GCF_002799235.fna.gz,smaltophilia,94,71,74,90,56,2,3,5,
GCF_002799245.fna.gz,smaltophilia,53,43,13,52,27,45,40,17,
GCF_002799295.fna.gz,smaltophilia,130,19,82,103,66,5,92,4,
GCF_002847385.fna.gz,smaltophilia,338,118,142,211,104,135,157,129,
GCF_002951115.fna.gz,smaltophilia,28,4,3,2,5,9,6,9,
GCF_003006435.fna.gz,smaltophilia,new_alleles,85,85,~106,77,183,~130,75,
GCF_003015035.fna.gz,smaltophilia,new_alleles,~69,~34,~380,~8,36,~36,~31,
GCF_003030985.fna.gz,smaltophilia,new_alleles,20,~25,~488,9,75,~246,~145,
GCF_003057835.fna.gz,smaltophilia,new_alleles,~21,4,~232,4,25,~232,208,
GCF_003062325.fna.gz,smaltophilia,new_alleles,~21,~4,~232,4,25,~232,208,
GCF_003062365.fna.gz,smaltophilia,new_alleles,~21,4,~232,4,25,~232,208,
GCF_003062375.fna.gz,smaltophilia,new_alleles,~21,4,~232,4,25,~232,208,
GCF_003143835.fna.gz,smaltophilia,8,3,4,18,3,7,20,1,
GCF_003172845.fna.gz,smaltophilia,new_alleles,89,70,~434,~205,~120,223,201,
GCF_003205835.fna.gz,smaltophilia,new_alleles,6,18,~263,18,21,9,20,
GCF_003244375.fna.gz,smaltophilia,new_alleles,83,104,~42,6,25,19,1,
GCF_003244415.fna.gz,smaltophilia,new_alleles,3,175,340,3,7,19,~99,
GCF_003244425.fna.gz,smaltophilia,-,1,1,~340,-,~124,52,1,
GCF_003244435.fna.gz,smaltophilia,new_alleles,3,35,~308,46,124,~145,177,
GCF_003244465.fna.gz,smaltophilia,212,4,22,159,5,70,6,9,
GCF_003244495.fna.gz,smaltophilia,new_alleles,91,~124,~180,83,~72,111,198,
GCF_003244505.fna.gz,smaltophilia,new_alleles,13,90,~232,~107,92,172,~198,
GCF_003244535.fna.gz,smaltophilia,new_alleles,13,69,168,50,~67,230,22,
GCF_003244545.fna.gz,smaltophilia,239,93,122,180,45,63,69,5,
GCF_003244555.fna.gz,smaltophilia,94,71,74,90,56,2,3,5,
GCF_003244595.fna.gz,smaltophilia,new_alleles,81,89,~471,73,72,98,135,
GCF_003244615.fna.gz,smaltophilia,-,97,102,473,~89,-,~125,104,
GCF_003244625.fna.gz,smaltophilia,new_alleles,13,~104,~64,51,26,221,7,
GCF_003244635.fna.gz,smaltophilia,new_alleles,3,96,~97,57,8,~234,7,
GCF_003244645.fna.gz,smaltophilia,-,5,-,315,-,70,17,85,
GCF_003244695.fna.gz,smaltophilia,new_alleles,4,76,~472,5,93,113,85,
GCF_003244715.fna.gz,smaltophilia,295,4,138,219,79,70,6,9,
GCF_003244725.fna.gz,smaltophilia,-,1,1,1,-,1,1,-,
GCF_003244735.fna.gz,smaltophilia,new_alleles,154,~34,~124,~205,~179,~195,~208,
GCF_003244775.fna.gz,smaltophilia,new_alleles,~69,~34,~97,~8,~16,~162,~31,
GCF_003244785.fna.gz,smaltophilia,new_alleles,91,~124,~180,83,~72,111,198,
GCF_003244795.fna.gz,smaltophilia,new_alleles,~13,~28,462,61,112,155,~22,
GCF_003244805.fna.gz,smaltophilia,520,13,27,168,50,67,230,22,
GCF_003244855.fna.gz,smaltophilia,-,99,27,~402,-,72,117,191,
GCF_003244865.fna.gz,smaltophilia,new_alleles,81,136,~232,73,72,177,135,
GCF_003244885.fna.gz,smaltophilia,new_alleles,13,69,168,50,~67,230,22,
GCF_003385015.fna.gz,smaltophilia,new_ST,3,104,332,105,25,108,99,
GCF_003385135.fna.gz,smaltophilia,137,1,1,4,1,1,1,1,
GCF_003751565.fna.gz,smaltophilia,-,~64,64,~74,-,~61,~67,~56,
GCF_003812985.fna.gz,smaltophilia,new_alleles,5,~4,~7,4,25,~116,7,
GCF_003935155.fna.gz,smaltophilia,new_alleles,116,8,~363,~165,18,163,148,
GCF_003935255.fna.gz,smaltophilia,new_alleles,116,8,~363,~165,18,163,148,
GCF_003935325.fna.gz,smaltophilia,new_alleles,182,88,~232,72,20,97,219,
GCF_003935335.fna.gz,smaltophilia,new_alleles,116,8,~363,~165,18,163,148,
GCF_003935615.fna.gz,smaltophilia,new_alleles,165,~198,~349,201,~175,~231,199,
GCF_003935735.fna.gz,smaltophilia,new_alleles,116,8,~363,~165,18,163,148,
GCF_003935825.fna.gz,smaltophilia,new_alleles,116,8,~363,~165,18,163,148,
GCF_003938995.fna.gz,smaltophilia,5,5,22,9,4,27,5,7,
GCF_003970865.fna.gz,smaltophilia,new_alleles,~21,~166,~324,~20,~180,~15,~88,
GCF_004346945.fna.gz,smaltophilia,new_alleles,3,104,~341,~143,124,82,58,
GCF_004522355.fna.gz,smaltophilia,new_ST,78,136,193,70,72,201,79,
GCF_004522395.fna.gz,smaltophilia,319,13,90,249,83,6,172,142,
GCF_004522405.fna.gz,smaltophilia,new_alleles,78,180,~456,70,72,201,135,
GCF_004522445.fna.gz,smaltophilia,new_alleles,78,180,~456,70,72,201,135,
GCF_004522525.fna.gz,smaltophilia,319,13,90,249,83,6,172,142,
GCF_004684085.fna.gz,smaltophilia,new_alleles,~40,~129,~248,~234,~185,~54,~123,
GCF_004793415.fna.gz,smaltophilia,new_alleles,101,~142,~337,~159,~135,~193,157,
GCF_004794075.fna.gz,smaltophilia,new_alleles,110,~130,~199,~121,116,~151,~126,
GCF_004920755.fna.gz,smaltophilia,new_alleles,~50,48,~482,163,~34,54,44,
GCF_004920835.fna.gz,smaltophilia,new_alleles,~50,48,~482,163,~34,54,44,
GCF_006120755.fna.gz,smaltophilia,31,3,4,24,7,7,22,7,
GCF_006120765.fna.gz,smaltophilia,new_alleles,13,28,~484,116,~30,143,22,
GCF_006120775.fna.gz,smaltophilia,new_alleles,1,1,326,3,25,~4,1,
GCF_006149095.fna.gz,smaltophilia,new_alleles,13,28,~484,116,~30,143,22,
GCF_006370585.fna.gz,smaltophilia,300,2,66,223,45,62,68,5,
GCF_006385155.fna.gz,smaltophilia,300,2,66,223,45,62,68,5,
GCF_006385195.fna.gz,smaltophilia,300,2,66,223,45,62,68,5,
GCF_006385275.fna.gz,smaltophilia,300,2,66,223,45,62,68,5,
GCF_006385415.fna.gz,smaltophilia,new_alleles,~133,~160,~97,~153,~146,~188,~152,
GCF_006385505.fna.gz,smaltophilia,new_alleles,~134,55,~172,~152,~144,~188,~152,
GCF_006716455.fna.gz,smaltophilia,new_alleles,2,134,~328,45,73,168,128,
GCF_006970445.fna.gz,smaltophilia,new_alleles,~21,~142,~488,~205,~183,~15,~161,
GCF_006974125.fna.gz,smaltophilia,new_alleles,~185,~97,~263,~84,~182,~112,88,
GCF_007833655.fna.gz,smaltophilia,366,16,80,272,147,141,120,72,
GCF_008080405.fna.gz,smaltophilia,4,1,4,7,7,28,19,6,
GCF_008326785.fna.gz,smaltophilia,202,5,4,143,7,25,116,103,
GCF_008502035.fna.gz,smaltophilia,24,9,21,28,26,15,18,3,
GCF_008553765.fna.gz,smaltophilia,new_alleles,88,9,~212,87,86,9,~72,
GCF_008693985.fna.gz,smaltophilia,new_alleles,3,73,~117,57,124,82,99,
GCF_009618035.fna.gz,smaltophilia,new_alleles,40,41,~286,~124,131,39,~125,
GCF_009676385.fna.gz,smaltophilia,new_alleles,~134,~55,~287,~153,~144,~55,~152,
GCF_009676405.fna.gz,smaltophilia,new_alleles,1,104,~445,4,25,133,7,
GCF_009676425.fna.gz,smaltophilia,new_ST,154,4,110,7,28,108,6,
GCF_009676445.fna.gz,smaltophilia,new_alleles,40,81,~140,37,~102,39,36,
GCF_009676465.fna.gz,smaltophilia,177,11,30,15,21,33,31,10,
GCF_009676485.fna.gz,smaltophilia,239,93,122,180,45,63,69,5,
GCF_009676505.fna.gz,smaltophilia,new_alleles,~175,174,298,70,72,177,186,
GCF_009676525.fna.gz,smaltophilia,87,69,26,85,52,4,2,15,
GCF_009676545.fna.gz,smaltophilia,223,94,101,147,85,94,114,3,
GCF_009676565.fna.gz,smaltophilia,new_ST,86,72,121,78,69,79,84,
GCF_009676585.fna.gz,smaltophilia,152,86,93,121,78,87,104,84,
GCF_009676605.fna.gz,smaltophilia,26,1,1,4,1,6,4,1,
GCF_009857175.fna.gz,smaltophilia,new_alleles,~128,140,~340,~176,4,~15,137,
