Genome,Scheme,ST,gapA,infB,mdh,pgi,phoE,rpoB,tonB,clonal_complex
GCF_002918655.fna.gz,koxytoca,85,3,5,21,13,24,6,19,
GCF_002918695.fna.gz,koxytoca,85,3,5,21,13,24,6,19,
GCF_002919605.fna.gz,koxytoca,202,3,5,21,13,74,6,12,
GCF_002919625.fna.gz,koxytoca,85,3,5,21,13,24,6,19,
GCF_002947505.fna.gz,koxytoca,146,3,5,44,13,24,6,50,
GCF_002984395.fna.gz,koxytoca,222,23,42,2,14,34,41,62,
GCF_003073975.fna.gz,koxytoca,new_alleles,1,3,13,24,~2,10,10,
GCF_003201885.fna.gz,koxytoca,-,~31,-,-,-,-,~44,-,
GCF_003339485.fna.gz,koxytoca,216,4,6,19,10,46,24,31,
GCF_003416995.fna.gz,koxytoca,172,6,6,19,11,46,7,9,
GCF_003417005.fna.gz,koxytoca,172,6,6,19,11,46,7,9,
GCF_003812925.fna.gz,koxytoca,59,2,2,2,27,2,1,2,
GCF_003937225.fna.gz,koxytoca,new_ST,1,2,2,1,89,1,2,
GCF_003991285.fna.gz,koxytoca,181,1,7,2,1,67,1,2,
GCF_004005605.fna.gz,koxytoca,221,1,11,2,1,2,40,2,
GCF_004360035.fna.gz,koxytoca,179,1,36,2,1,66,2,2,
GCF_004785705.fna.gz,koxytoca,48,1,3,13,24,27,10,1,
GCF_008082015.fna.gz,koxytoca,new_alleles,2,7,2,15,2,~1,1,
GCF_008082295.fna.gz,koxytoca,new_alleles,1,7,2,14,19,9,~2,
GCF_009648375.fna.gz,koxytoca,145,1,3,2,34,16,34,1,
GCF_009648435.fna.gz,koxytoca,145,1,3,2,34,16,34,1,
GCF_009707385.fna.gz,koxytoca,-,~25,~25,-,-,-,~8,-,
GCF_009832375.fna.gz,koxytoca,new_ST,2,2,1,1,16,1,2,
GCF_010365605.fna.gz,koxytoca,222,23,42,2,14,34,41,62,
GCF_010590025.fna.gz,koxytoca,223,2,18,2,55,79,1,2,
GCF_010590325.fna.gz,koxytoca,282,2,19,2,14,29,1,52,
GCF_010590585.fna.gz,koxytoca,237,1,13,1,56,4,1,1,
GCF_010598865.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_010598965.fna.gz,koxytoca,58,1,2,2,1,4,1,2,
GCF_012395905.fna.gz,koxytoca,58,1,2,2,1,4,1,2,
GCF_013750595.fna.gz,koxytoca,37,1,7,1,18,4,13,15,
GCF_013826985.fna.gz,koxytoca,145,1,3,2,34,16,34,1,
GCF_014103895.fna.gz,koxytoca,176,1,7,2,1,65,1,2,
GCF_015265825.fna.gz,koxytoca,new_ST,1,11,2,1,65,1,2,
GCF_015265865.fna.gz,koxytoca,new_ST,1,11,2,1,65,1,2,
GCF_015551825.fna.gz,koxytoca,new_alleles,1,~7,2,1,2,2,1,
GCF_015554545.fna.gz,koxytoca,176,1,7,2,1,65,1,2,
GCF_015559095.fna.gz,koxytoca,new_ST,35,7,12,18,89,1,1,
GCF_015679305.fna.gz,koxytoca,new_ST,1,17,1,15,91,1,2,
GCF_015694145.fna.gz,koxytoca,new_ST,1,11,2,1,65,1,2,
GCF_015694225.fna.gz,koxytoca,-,1,11,2,-,65,1,2,
GCF_015721195.fna.gz,koxytoca,302,1,18,2,1,84,1,1,
GCF_015721265.fna.gz,koxytoca,223,2,18,2,55,79,1,2,
GCF_015721295.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_015721345.fna.gz,koxytoca,223,2,18,2,55,79,1,2,
GCF_015721385.fna.gz,koxytoca,new_alleles,~23,18,2,17,30,1,2,
GCF_015721405.fna.gz,koxytoca,240,1,18,2,14,2,1,1,
GCF_015721495.fna.gz,koxytoca,285,1,3,13,24,2,10,1,
GCF_015721555.fna.gz,koxytoca,19,1,2,2,1,16,1,2,2.0
GCF_015721655.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_015721685.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_015721705.fna.gz,koxytoca,200,2,7,2,15,2,1,57,
GCF_015721725.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_015721755.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_016529765.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_016636025.fna.gz,koxytoca,266,1,2,2,1,65,1,2,
GCF_016636045.fna.gz,koxytoca,267,1,7,2,1,66,1,2,
GCF_016636055.fna.gz,koxytoca,65,1,7,2,30,4,21,2,
GCF_016636085.fna.gz,koxytoca,58,1,2,2,1,4,1,2,
GCF_016636105.fna.gz,koxytoca,266,1,2,2,1,65,1,2,
GCF_016636135.fna.gz,koxytoca,266,1,2,2,1,65,1,2,
GCF_016636165.fna.gz,koxytoca,282,2,19,2,14,29,1,52,
GCF_016643945.fna.gz,koxytoca,19,1,2,2,1,16,1,2,2.0
GCF_016734995.fna.gz,koxytoca,257,1,3,13,24,2,10,10,
GCF_016773035.fna.gz,koxytoca,278,1,2,2,60,91,1,76,
GCF_016773175.fna.gz,koxytoca,178,1,11,2,1,4,1,2,
GCF_016774035.fna.gz,koxytoca,278,1,2,2,60,91,1,76,
GCF_016774075.fna.gz,koxytoca,278,1,2,2,60,91,1,76,
GCF_016774315.fna.gz,koxytoca,178,1,11,2,1,4,1,2,
GCF_016903415.fna.gz,koxytoca,201,1,3,12,53,16,1,1,
GCF_016903715.fna.gz,koxytoca,176,1,7,2,1,65,1,2,
GCF_016903975.fna.gz,koxytoca,302,1,18,2,1,84,1,1,
GCF_016904515.fna.gz,koxytoca,176,1,7,2,1,65,1,2,
GCF_016918825.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_017310465.fna.gz,koxytoca,34,2,2,2,17,2,1,2,
GCF_017968865.fna.gz,koxytoca,48,1,3,13,24,27,10,1,
GCF_017974245.fna.gz,koxytoca,-,1,11,2,14,-,1,2,
GCF_018068785.fna.gz,koxytoca,36,1,7,2,15,21,1,14,
GCF_018138905.fna.gz,koxytoca,176,1,7,2,1,65,1,2,
GCF_018441525.fna.gz,koxytoca,222,23,42,2,14,34,41,62,
GCF_018443185.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_018443495.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_018443665.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_018443705.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_018443785.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_018443915.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_018443995.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_018444055.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_018444115.fna.gz,koxytoca,new_alleles,1,3,13,24,2,10,~1,
GCF_018444465.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_018447075.fna.gz,koxytoca,new_alleles,1,~7,2,15,21,1,~14,
GCF_900083585.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900083615.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900083625.fna.gz,koxytoca,141,1,7,2,1,4,1,2,
GCF_900083645.fna.gz,koxytoca,176,1,7,2,1,65,1,2,
GCF_900083655.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900083675.fna.gz,koxytoca,new_alleles,~23,18,2,17,30,1,2,
GCF_900083705.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900083715.fna.gz,koxytoca,176,1,7,2,1,65,1,2,
GCF_900083725.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900083735.fna.gz,koxytoca,176,1,7,2,1,65,1,2,
GCF_900083745.fna.gz,koxytoca,176,1,7,2,1,65,1,2,
GCF_900083765.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900083785.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900083795.fna.gz,koxytoca,176,1,7,2,1,65,1,2,
GCF_900083815.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900083855.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900083865.fna.gz,koxytoca,new_alleles,~23,18,2,17,30,1,2,
GCF_900083875.fna.gz,koxytoca,36,1,7,2,15,21,1,14,
GCF_900083895.fna.gz,koxytoca,new_alleles,~23,18,2,17,30,1,2,
GCF_900083905.fna.gz,koxytoca,36,1,7,2,15,21,1,14,
GCF_900083935.fna.gz,koxytoca,-,-,-,-,-,-,~24,-,
GCF_900083945.fna.gz,koxytoca,36,1,7,2,15,21,1,14,
GCF_900083955.fna.gz,koxytoca,new_alleles,1,2,2,55,~19,1,2,
GCF_900083965.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900083975.fna.gz,koxytoca,153,1,2,1,1,1,1,1,
GCF_900083985.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900083995.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900084015.fna.gz,koxytoca,2,1,2,2,1,2,1,2,2.0
GCF_900084025.fna.gz,koxytoca,36,1,7,2,15,21,1,14,
GCF_900084045.fna.gz,koxytoca,58,1,2,2,1,4,1,2,
GCF_900407115.fna.gz,koxytoca,new_ST,1,2,2,1,2,9,2,
GCF_900451165.fna.gz,koxytoca,257,1,3,13,24,2,10,10,
GCF_900635105.fna.gz,koxytoca,101,2,3,2,2,45,10,1,
GCF_900636985.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_900977765.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_901212425.fna.gz,koxytoca,new_alleles,1,3,13,1,~2,10,1,
GCF_902158835.fna.gz,koxytoca,37,1,7,1,18,4,13,15,
GCF_902159605.fna.gz,koxytoca,37,1,7,1,18,4,13,15,
GCF_902159785.fna.gz,koxytoca,new_ST,1,3,13,1,2,10,1,
GCF_902160375.fna.gz,koxytoca,new_ST,15,6,19,11,46,5,31,
GCF_902160405.fna.gz,koxytoca,new_ST,15,6,19,11,46,5,31,
GCF_902160765.fna.gz,koxytoca,20,1,11,12,1,4,9,1,
GCF_902160885.fna.gz,koxytoca,new_alleles,1,~11,12,1,4,9,1,
GCF_902160925.fna.gz,koxytoca,new_alleles,1,~11,12,1,4,9,1,
GCF_902161405.fna.gz,koxytoca,58,1,2,2,1,4,1,2,
GCF_902161925.fna.gz,koxytoca,36,1,7,2,15,21,1,14,
GCF_902162875.fna.gz,koxytoca,37,1,7,1,18,4,13,15,
GCF_902162905.fna.gz,koxytoca,258,2,7,2,15,2,1,1,
GCF_902163375.fna.gz,koxytoca,new_ST,1,2,12,14,19,9,2,
GCF_902163545.fna.gz,koxytoca,new_ST,1,3,13,1,2,10,1,
GCF_902164285.fna.gz,koxytoca,258,2,7,2,15,2,1,1,
GCF_902164825.fna.gz,koxytoca,37,1,7,1,18,4,13,15,
GCF_902166285.fna.gz,koxytoca,199,2,2,2,3,19,2,2,
GCF_902166465.fna.gz,koxytoca,36,1,7,2,15,21,1,14,
GCF_902363365.fna.gz,koxytoca,287,1,2,2,2,94,1,1,
GCF_902705645.fna.gz,koxytoca,new_ST,1,2,2,1,16,1,62,
GCF_902705735.fna.gz,koxytoca,1,1,1,1,1,1,1,1,
GCF_902705745.fna.gz,koxytoca,258,2,7,2,15,2,1,1,
GCF_902807145.fna.gz,koxytoca,-,~29,-,-,-,-,~28,-,
GCF_902807185.fna.gz,koxytoca,-,~29,-,-,-,-,~28,-,
GCF_904863345.fna.gz,koxytoca,266,1,2,2,1,65,1,2,
