Genome,Scheme,ST,gyrB,pyc,pgm,leuS,glnA,dalR,pgI,clonal_complex
GCF_009809195.fna.gz,ppentosaceus,new_alleles,4,7,2,6,2,~9,5,
GCF_009809425.fna.gz,ppentosaceus,new_alleles,~3,~8,2,~1,2,~8,8,
GCF_009809485.fna.gz,ppentosaceus,new_alleles,~3,~8,2,~1,2,~8,8,
GCF_009809595.fna.gz,ppentosaceus,new_alleles,1,9,2,~2,2,4,6,
GCF_009809665.fna.gz,ppentosaceus,new_alleles,~1,4,7,3,2,~4,3,
GCF_009809875.fna.gz,ppentosaceus,new_alleles,~3,~8,2,~1,2,~8,8,
GCF_009913955.fna.gz,ppentosaceus,new_ST,1,4,7,3,2,4,3,
GCF_009913995.fna.gz,ppentosaceus,1,1,1,1,1,1,1,1,
GCF_009914015.fna.gz,ppentosaceus,1,1,1,1,1,1,1,1,
GCF_009914035.fna.gz,ppentosaceus,1,1,1,1,1,1,1,1,
GCF_009930955.fna.gz,ppentosaceus,new_alleles,6,~4,2,~1,1,2,1,
GCF_011009615.fna.gz,ppentosaceus,5,1,4,4,3,2,4,3,
GCF_013385165.fna.gz,ppentosaceus,new_alleles,1,4,7,3,2,4,~3,
GCF_015612965.fna.gz,ppentosaceus,new_alleles,4,7,2,6,3,~9,5,
GCF_015612975.fna.gz,ppentosaceus,new_alleles,~3,~8,2,~1,2,~8,8,
GCF_015613005.fna.gz,ppentosaceus,new_alleles,~1,4,2,8,2,~4,3,
GCF_015613015.fna.gz,ppentosaceus,new_alleles,4,4,2,~6,2,~9,5,
GCF_015613035.fna.gz,ppentosaceus,new_ST,1,4,7,3,2,4,3,
GCF_015613055.fna.gz,ppentosaceus,new_alleles,~3,~8,2,~1,2,~8,~8,
GCF_015613065.fna.gz,ppentosaceus,new_alleles,~1,4,7,3,~2,~4,3,
GCF_015613105.fna.gz,ppentosaceus,new_alleles,1,9,2,~2,2,4,6,
GCF_015613115.fna.gz,ppentosaceus,new_ST,3,6,2,5,4,5,4,
GCF_015613145.fna.gz,ppentosaceus,new_alleles,~1,~1,~2,~6,~2,~8,~8,
GCF_015613155.fna.gz,ppentosaceus,new_ST,3,6,2,5,4,5,4,
GCF_015613165.fna.gz,ppentosaceus,new_alleles,1,~2,5,8,~2,3,8,
GCF_015613205.fna.gz,ppentosaceus,new_ST,3,6,2,5,4,5,4,
GCF_015613225.fna.gz,ppentosaceus,new_alleles,~4,~4,2,6,2,~9,5,
GCF_015613235.fna.gz,ppentosaceus,new_alleles,1,~9,~2,~7,~2,~8,~6,
GCF_015613245.fna.gz,ppentosaceus,new_ST,1,6,2,8,2,3,8,
GCF_015613265.fna.gz,ppentosaceus,new_alleles,~4,~4,2,6,2,~9,5,
GCF_015613305.fna.gz,ppentosaceus,new_ST,1,4,7,3,2,4,3,
GCF_015613315.fna.gz,ppentosaceus,new_alleles,1,~1,~2,~10,~2,~7,~8,
GCF_015613745.fna.gz,ppentosaceus,new_alleles,~6,~1,2,~10,~2,~8,~8,
GCF_015613765.fna.gz,ppentosaceus,new_alleles,1,9,2,~2,2,4,6,
GCF_015613785.fna.gz,ppentosaceus,new_alleles,4,4,2,~6,~2,~9,5,
GCF_016028695.fna.gz,ppentosaceus,new_ST,1,6,2,8,2,3,8,
GCF_016126975.fna.gz,ppentosaceus,new_ST,1,4,7,3,2,4,3,
GCF_016127775.fna.gz,ppentosaceus,2,1,2,2,1,1,2,1,
GCF_016128215.fna.gz,ppentosaceus,new_alleles,1,~1,~2,~10,~2,~7,~8,
GCF_016652195.fna.gz,ppentosaceus,new_alleles,~1,2,5,8,~2,3,8,
GCF_016726885.fna.gz,ppentosaceus,new_alleles,~6,4,2,~7,~2,~1,6,
GCF_016921135.fna.gz,ppentosaceus,new_alleles,6,~1,2,~1,~2,~8,6,
GCF_019008315.fna.gz,ppentosaceus,new_alleles,1,4,7,3,2,~4,3,
GCF_900454755.fna.gz,ppentosaceus,new_ST,3,6,2,5,4,5,4,
GCF_902386405.fna.gz,ppentosaceus,new_alleles,~6,~4,2,~1,1,2,1,
