Genome,Scheme,ST,arcC,hutU,fumC,dnaJ,glpF,menF,pta
GCF_003040135.fna.gz,schromogenes,53,8,1,7,14,3,1,5
GCF_003040155.fna.gz,schromogenes,new_ST,26,11,16,20,26,19,4
GCF_003040175.fna.gz,schromogenes,79,19,11,19,17,14,2,10
GCF_003040195.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003040215.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003040235.fna.gz,schromogenes,50,3,13,1,1,3,5,2
GCF_003040255.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003040275.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003040295.fna.gz,schromogenes,83,28,8,7,14,3,18,2
GCF_003040315.fna.gz,schromogenes,25,11,7,2,9,11,2,4
GCF_003040335.fna.gz,schromogenes,6,1,1,1,3,2,1,2
GCF_003040355.fna.gz,schromogenes,73,1,1,6,3,16,1,1
GCF_003040375.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003040395.fna.gz,schromogenes,84,29,1,13,3,24,1,2
GCF_003040415.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003040435.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003040455.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003040475.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003040495.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003040515.fna.gz,schromogenes,52,6,1,12,1,19,11,12
GCF_003043035.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003578175.fna.gz,schromogenes,88,1,1,20,1,1,1,1
GCF_003578185.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003578215.fna.gz,schromogenes,6,1,1,1,3,2,1,2
GCF_003578225.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003578265.fna.gz,schromogenes,20,6,1,6,2,7,1,2
GCF_003578285.fna.gz,schromogenes,87,26,11,16,20,11,19,17
GCF_003578295.fna.gz,schromogenes,15,3,1,1,1,3,5,2
GCF_003578325.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003578435.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003578465.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003578485.fna.gz,schromogenes,86,19,9,19,17,14,2,10
GCF_003578495.fna.gz,schromogenes,89,31,1,6,1,27,1,2
GCF_003578525.fna.gz,schromogenes,90,1,1,1,1,1,20,1
GCF_003578535.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_003578545.fna.gz,schromogenes,70,1,1,1,22,1,1,1
GCF_003578585.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_005048075.fna.gz,schromogenes,92,1,17,1,3,25,11,2
GCF_007004205.fna.gz,schromogenes,25,11,7,2,9,11,2,4
GCF_007814525.fna.gz,schromogenes,95,33,20,8,7,28,7,7
GCF_011466875.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_014635745.fna.gz,schromogenes,67,8,17,6,1,21,15,2
GCF_015355105.fna.gz,schromogenes,new_alleles,~20,~9,19,~17,14,2,4
GCF_015355155.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355175.fna.gz,schromogenes,new_alleles,~20,~9,19,~17,14,2,4
GCF_015355185.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355205.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355235.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355245.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355275.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355295.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355305.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355325.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355355.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355375.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355385.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355395.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355435.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355455.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355465.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355475.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355485.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355505.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355555.fna.gz,schromogenes,new_alleles,~20,~9,19,~17,14,2,4
GCF_015355575.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_015355585.fna.gz,schromogenes,new_alleles,~20,~9,19,~17,14,2,4
GCF_015355605.fna.gz,schromogenes,93,16,1,8,7,29,7,7
GCF_017775145.fna.gz,schromogenes,67,8,17,6,1,21,15,2
GCF_019149085.fna.gz,schromogenes,6,1,1,1,3,2,1,2
GCF_019149165.fna.gz,schromogenes,1,1,1,1,1,1,1,1
GCF_900458195.fna.gz,schromogenes,67,8,17,6,1,21,15,2
