Genome,Scheme,ST,dnaA,fusA,gyrB,leuS,pyrG,rplB,rpoB,clonal_complex
GCF_002086975.fna.gz,ecloacae,1513,150,92,109,217,105,22,260,
GCF_002087055.fna.gz,ecloacae,1513,150,92,109,217,105,22,260,
GCF_002152055.fna.gz,ecloacae,432,141,44,158,168,145,1,1,
GCF_002197345.fna.gz,ecloacae,738,241,98,170,287,237,68,109,
GCF_002206605.fna.gz,ecloacae,191,3,24,3,35,3,16,51,
GCF_002208095.fna.gz,ecloacae,53,40,17,39,15,46,11,10,
GCF_002239955.fna.gz,ecloacae,1515,392,258,65,482,366,22,261,
GCF_002266385.fna.gz,ecloacae,820,258,170,158,315,256,36,169,
GCF_002266405.fna.gz,ecloacae,new_alleles,366,242,152,455,354,~68,158,
GCF_002278155.fna.gz,ecloacae,1516,1,1,65,483,1,181,113,
GCF_002278165.fna.gz,ecloacae,1517,1,107,158,1,1,1,262,
GCF_002278195.fna.gz,ecloacae,820,258,170,158,315,256,36,169,
GCF_002278205.fna.gz,ecloacae,new_ST,208,240,170,450,199,171,109,
GCF_002278235.fna.gz,ecloacae,412,134,97,151,158,36,1,90,
GCF_002278245.fna.gz,ecloacae,new_alleles,153,98,152,~505,354,68,217,
GCF_002278265.fna.gz,ecloacae,820,258,170,158,315,256,36,169,
GCF_002278295.fna.gz,ecloacae,1516,1,1,65,483,1,181,113,
GCF_002278305.fna.gz,ecloacae,1392,153,134,394,457,355,68,217,
GCF_002278355.fna.gz,ecloacae,1519,1,259,158,86,367,22,252,
GCF_002278375.fna.gz,ecloacae,new_alleles,366,242,152,455,354,~68,158,
GCF_002303275.fna.gz,ecloacae,922,169,107,61,168,36,77,1,
GCF_002411645.fna.gz,ecloacae,456,149,44,61,180,152,1,1,
GCF_002411725.fna.gz,ecloacae,1511,296,92,195,145,205,22,64,
GCF_002528975.fna.gz,ecloacae,1510,1,1,61,214,1,22,1,
GCF_002529035.fna.gz,ecloacae,456,149,44,61,180,152,1,1,
GCF_002740835.fna.gz,ecloacae,254,58,4,90,6,39,4,59,
GCF_002751835.fna.gz,ecloacae,456,149,44,61,180,152,1,1,
GCF_002785915.fna.gz,ecloacae,627,1,44,213,168,193,1,1,
GCF_002797275.fna.gz,ecloacae,127,46,20,74,44,45,24,6,
GCF_002858545.fna.gz,ecloacae,93,9,4,14,61,37,4,9,
GCF_002885835.fna.gz,ecloacae,new_alleles,~351,~61,99,~442,97,6,55,
GCF_002885885.fna.gz,ecloacae,156,73,53,65,86,1,22,1,
GCF_002901365.fna.gz,ecloacae,927,9,4,297,6,11,4,39,
GCF_002918735.fna.gz,ecloacae,93,9,4,14,61,37,4,9,
GCF_002918755.fna.gz,ecloacae,515,56,38,35,58,169,12,20,
GCF_002918795.fna.gz,ecloacae,97,59,9,62,9,62,25,6,
GCF_002919665.fna.gz,ecloacae,141,62,4,4,76,78,4,44,
GCF_002919685.fna.gz,ecloacae,97,59,9,62,9,62,25,6,
GCF_002919705.fna.gz,ecloacae,53,40,17,39,15,46,11,10,
GCF_002919725.fna.gz,ecloacae,53,40,17,39,15,46,11,10,
GCF_002919745.fna.gz,ecloacae,191,3,24,3,35,3,16,51,
GCF_002919765.fna.gz,ecloacae,141,62,4,4,76,78,4,44,
GCF_002919775.fna.gz,ecloacae,191,3,24,3,35,3,16,51,
GCF_002925805.fna.gz,ecloacae,182,49,20,19,44,90,24,32,
GCF_002982195.fna.gz,ecloacae,513,171,1,190,168,1,22,113,
GCF_003010695.fna.gz,ecloacae,282,101,13,40,117,110,44,65,
GCF_003031445.fna.gz,ecloacae,78,8,9,6,9,9,6,8,
GCF_003031755.fna.gz,ecloacae,231,46,20,20,96,45,29,54,
GCF_003046225.fna.gz,ecloacae,1615,292,34,459,380,289,106,156,
GCF_003056855.fna.gz,ecloacae,1421,192,44,65,467,362,175,90,
GCF_003057395.fna.gz,ecloacae,182,49,20,19,44,90,24,32,
GCF_003071645.fna.gz,ecloacae,new_ST,15,2,94,26,55,2,77,
GCF_003175235.fna.gz,ecloacae,50,4,4,4,6,37,4,25,
GCF_003175375.fna.gz,ecloacae,new_alleles,~248,4,160,6,39,30,6,
GCF_003175745.fna.gz,ecloacae,90,58,37,4,6,42,4,25,
GCF_003176055.fna.gz,ecloacae,93,9,4,14,61,37,4,9,
GCF_003176125.fna.gz,ecloacae,175,51,4,4,6,68,30,36,
GCF_003176535.fna.gz,ecloacae,new_alleles,~58,37,4,6,42,4,25,
GCF_003176615.fna.gz,ecloacae,93,9,4,14,61,37,4,9,
GCF_003225955.fna.gz,ecloacae,54,41,3,54,37,3,15,17,
GCF_003289275.fna.gz,ecloacae,1067,94,68,298,368,299,11,198,
GCF_003289715.fna.gz,ecloacae,1066,151,108,328,366,297,14,197,
GCF_003289825.fna.gz,ecloacae,1065,305,106,330,367,298,138,18,
GCF_003339705.fna.gz,ecloacae,1520,161,44,61,168,153,1,263,
GCF_003384785.fna.gz,ecloacae,new_alleles,318,68,~340,384,~103,~122,177,
GCF_003401145.fna.gz,ecloacae,new_alleles,154,202,~390,~376,302,~144,101,
GCF_003427235.fna.gz,ecloacae,997,65,25,127,144,280,12,82,
GCF_003471865.fna.gz,ecloacae,1521,393,92,412,484,154,22,264,
GCF_003670085.fna.gz,ecloacae,456,149,44,61,180,152,1,1,
GCF_003719615.fna.gz,ecloacae,813,74,20,20,44,99,24,32,
GCF_003938165.fna.gz,ecloacae,1522,150,92,349,485,105,22,99,
GCF_003965015.fna.gz,ecloacae,519,1,107,158,1,168,36,1,
GCF_003965415.fna.gz,ecloacae,1,1,1,1,1,1,1,1,
GCF_003965595.fna.gz,ecloacae,519,1,107,158,1,168,36,1,
GCF_003985225.fna.gz,ecloacae,1,1,1,1,1,1,1,1,
GCF_003986865.fna.gz,ecloacae,922,169,107,61,168,36,77,1,
GCF_004011355.fna.gz,ecloacae,78,8,9,6,9,9,6,8,
GCF_004011395.fna.gz,ecloacae,513,171,1,190,168,1,22,113,
GCF_004011415.fna.gz,ecloacae,113,4,22,68,69,37,4,24,
GCF_004011435.fna.gz,ecloacae,113,4,22,68,69,37,4,24,
GCF_004024005.fna.gz,ecloacae,131,72,42,67,67,71,12,26,
GCF_004024145.fna.gz,ecloacae,1523,78,260,65,486,36,36,1,
GCF_004024265.fna.gz,ecloacae,595,80,55,92,72,169,12,26,
GCF_004024335.fna.gz,ecloacae,new_alleles,208,98,~185,~515,402,68,109,
GCF_004024425.fna.gz,ecloacae,1028,297,149,318,361,293,106,156,
GCF_004024455.fna.gz,ecloacae,984,65,57,49,94,49,12,47,
GCF_004024525.fna.gz,ecloacae,41,37,25,49,30,49,21,20,
GCF_004103945.fna.gz,ecloacae,948,116,4,15,6,11,4,25,
GCF_004126455.fna.gz,ecloacae,928,280,178,299,335,274,106,156,
GCF_004127335.fna.gz,ecloacae,932,1,51,65,337,275,36,1,
GCF_004127355.fna.gz,ecloacae,932,1,51,65,337,275,36,1,
GCF_004127365.fna.gz,ecloacae,995,188,44,158,346,36,22,1,
GCF_004135955.fna.gz,ecloacae,232,88,25,49,72,49,12,20,
GCF_004136675.fna.gz,ecloacae,993,286,21,19,129,45,12,6,
GCF_004136685.fna.gz,ecloacae,544,10,21,9,44,45,4,33,
GCF_004136695.fna.gz,ecloacae,557,186,20,9,95,45,12,32,
GCF_004136725.fna.gz,ecloacae,994,46,20,20,44,45,12,6,
GCF_004136745.fna.gz,ecloacae,994,46,20,20,44,45,12,6,
GCF_004136775.fna.gz,ecloacae,544,10,21,9,44,45,4,33,
GCF_004136785.fna.gz,ecloacae,544,10,21,9,44,45,4,33,
GCF_004136795.fna.gz,ecloacae,557,186,20,9,95,45,12,32,
GCF_004136805.fna.gz,ecloacae,996,186,21,19,44,45,12,6,
GCF_004136855.fna.gz,ecloacae,544,10,21,9,44,45,4,33,
GCF_004137705.fna.gz,ecloacae,418,53,35,154,44,45,4,6,
GCF_004146255.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_004151605.fna.gz,ecloacae,25,24,14,43,52,27,18,21,
GCF_004193715.fna.gz,ecloacae,new_alleles,~292,~178,~299,~335,~274,~106,~156,
GCF_004355165.fna.gz,ecloacae,261,94,68,108,109,103,45,61,
GCF_004801515.fna.gz,ecloacae,1421,192,44,65,467,362,175,90,
GCF_004801535.fna.gz,ecloacae,1421,192,44,65,467,362,175,90,
GCF_004801595.fna.gz,ecloacae,1421,192,44,65,467,362,175,90,
GCF_006382615.fna.gz,ecloacae,84,60,1,61,1,36,22,1,
GCF_008180055.fna.gz,ecloacae,1385,1,243,65,86,153,22,1,
GCF_008502045.fna.gz,ecloacae,976,1,44,61,1,153,1,1,
GCF_008502055.fna.gz,ecloacae,976,1,44,61,1,153,1,1,
GCF_008502095.fna.gz,ecloacae,976,1,44,61,1,153,1,1,
GCF_008502125.fna.gz,ecloacae,976,1,44,61,1,153,1,1,
GCF_008631235.fna.gz,ecloacae,1524,1,44,61,487,373,36,1,
GCF_009660455.fna.gz,ecloacae,771,156,92,271,217,154,22,99,
GCF_009707405.fna.gz,ecloacae,932,1,51,65,337,275,36,1,
GCF_009727145.fna.gz,ecloacae,456,149,44,61,180,152,1,1,
GCF_009907135.fna.gz,ecloacae,156,73,53,65,86,1,22,1,
GCF_009907475.fna.gz,ecloacae,836,265,44,189,186,36,1,1,
GCF_009907505.fna.gz,ecloacae,187,60,51,85,1,1,22,43,
GCF_009907535.fna.gz,ecloacae,1525,1,107,368,168,374,22,1,
GCF_010590685.fna.gz,ecloacae,1312,156,92,355,436,105,22,64,
GCF_010592545.fna.gz,ecloacae,524,1,107,188,1,172,36,1,
GCF_010594505.fna.gz,ecloacae,712,1,126,245,73,228,33,1,
GCF_011077475.fna.gz,ecloacae,new_alleles,~284,~140,~5,~61,~278,~50,~84,
GCF_011078175.fna.gz,ecloacae,new_alleles,~284,~140,~5,~61,~278,~50,~84,
GCF_011754445.fna.gz,ecloacae,418,53,35,154,44,45,4,6,
GCF_012062485.fna.gz,ecloacae,-,1,-,188,1,172,36,1,
GCF_012974405.fna.gz,ecloacae,382,59,40,73,9,87,6,6,
GCF_013168925.fna.gz,ecloacae,456,149,44,61,180,152,1,1,
GCF_013168985.fna.gz,ecloacae,456,149,44,61,180,152,1,1,
GCF_013169935.fna.gz,ecloacae,456,149,44,61,180,152,1,1,
GCF_013169955.fna.gz,ecloacae,456,149,44,61,180,152,1,1,
GCF_013375935.fna.gz,ecloacae,-,~121,~20,~75,-,-,~137,~279,
GCF_013376815.fna.gz,ecloacae,1,1,1,1,1,1,1,1,
GCF_013376835.fna.gz,ecloacae,-,~121,~20,~161,-,-,~49,~279,
GCF_014102975.fna.gz,ecloacae,1551,156,92,436,508,105,22,64,
GCF_014169295.fna.gz,ecloacae,32,3,24,3,35,3,16,17,
GCF_014169315.fna.gz,ecloacae,new_alleles,~271,175,~398,329,265,120,~174,
GCF_014169635.fna.gz,ecloacae,28,27,14,26,54,26,10,16,
GCF_014169815.fna.gz,ecloacae,new_alleles,289,43,~218,352,360,61,~129,
GCF_014323445.fna.gz,ecloacae,976,1,44,61,1,153,1,1,
GCF_014840875.fna.gz,ecloacae,84,60,1,61,1,36,22,1,
GCF_014861545.fna.gz,ecloacae,new_alleles,150,92,109,~251,205,22,99,
GCF_014893415.fna.gz,ecloacae,-,4,4,4,347,39,-,25,
GCF_014893435.fna.gz,ecloacae,-,58,37,4,6,42,-,25,
GCF_014893445.fna.gz,ecloacae,-,59,9,73,375,242,-,202,
GCF_014893485.fna.gz,ecloacae,1084,309,18,34,370,34,8,29,
GCF_014895585.fna.gz,ecloacae,1096,75,18,64,64,32,8,29,
GCF_014895615.fna.gz,ecloacae,1079,11,4,4,4,39,50,6,
GCF_014895635.fna.gz,ecloacae,-,11,4,4,4,39,-,6,
GCF_014895675.fna.gz,ecloacae,-,154,202,332,376,302,-,203,
GCF_014895695.fna.gz,ecloacae,-,11,4,4,13,39,-,9,
GCF_014895705.fna.gz,ecloacae,-,33,18,34,370,32,-,29,
GCF_014895715.fna.gz,ecloacae,-,62,4,4,6,39,-,44,
GCF_014895745.fna.gz,ecloacae,-,59,9,12,9,67,-,25,
GCF_014895775.fna.gz,ecloacae,-,309,18,34,370,34,-,29,
GCF_014895785.fna.gz,ecloacae,-,111,18,336,142,32,-,80,
GCF_014895795.fna.gz,ecloacae,1090,111,18,336,142,32,8,80,
GCF_014895835.fna.gz,ecloacae,-,59,88,82,9,67,-,6,
GCF_014895845.fna.gz,ecloacae,-,309,18,34,370,34,-,29,
GCF_014895875.fna.gz,ecloacae,701,227,18,138,189,119,110,142,
GCF_014895885.fna.gz,ecloacae,1090,111,18,336,142,32,8,80,
GCF_014895895.fna.gz,ecloacae,1080,140,18,22,107,241,8,29,
GCF_014895905.fna.gz,ecloacae,1101,308,113,335,373,291,6,200,
GCF_014895915.fna.gz,ecloacae,917,140,19,157,167,126,8,29,
GCF_014895975.fna.gz,ecloacae,-,111,18,336,142,32,-,80,
GCF_014895985.fna.gz,ecloacae,1084,309,18,34,370,34,8,29,
GCF_014895995.fna.gz,ecloacae,-,111,18,336,142,32,-,80,
GCF_014896015.fna.gz,ecloacae,-,309,18,34,370,34,-,29,
GCF_014896025.fna.gz,ecloacae,1081,4,4,4,6,11,4,6,
GCF_014896075.fna.gz,ecloacae,-,140,19,157,167,126,-,29,
GCF_014896085.fna.gz,ecloacae,135,59,47,59,9,62,23,6,
GCF_014896095.fna.gz,ecloacae,-,309,18,34,370,34,-,29,
GCF_014896135.fna.gz,ecloacae,-,309,18,34,370,34,-,29,
GCF_014896145.fna.gz,ecloacae,-,309,18,34,370,34,-,29,
GCF_014896175.fna.gz,ecloacae,-,33,81,334,228,241,-,204,
GCF_014896185.fna.gz,ecloacae,-,111,18,336,142,32,-,80,
GCF_014896205.fna.gz,ecloacae,1097,158,113,333,195,303,6,55,
GCF_014901735.fna.gz,ecloacae,976,1,44,61,1,153,1,1,
GCF_014930475.fna.gz,ecloacae,515,56,38,35,58,169,12,20,
GCF_014930485.fna.gz,ecloacae,901,112,18,161,173,264,8,30,
GCF_014930495.fna.gz,ecloacae,484,26,14,143,191,61,11,89,
GCF_014930525.fna.gz,ecloacae,1081,4,4,4,6,11,4,6,
GCF_014930545.fna.gz,ecloacae,1099,314,18,337,252,30,8,30,
GCF_014930575.fna.gz,ecloacae,1099,314,18,337,252,30,8,30,
GCF_014930585.fna.gz,ecloacae,35,31,19,42,31,33,17,28,
GCF_014930595.fna.gz,ecloacae,1099,314,18,337,252,30,8,30,
GCF_014930635.fna.gz,ecloacae,693,51,4,14,39,11,4,39,
GCF_014930645.fna.gz,ecloacae,1099,314,18,337,252,30,8,30,
GCF_014930675.fna.gz,ecloacae,421,4,4,15,42,39,4,9,
GCF_014930695.fna.gz,ecloacae,-,~121,~20,~161,-,-,~49,~279,
GCF_014930715.fna.gz,ecloacae,421,4,4,15,42,39,4,9,
GCF_014930725.fna.gz,ecloacae,-,~121,~20,~161,-,-,~49,~279,
GCF_014930745.fna.gz,ecloacae,-,~121,~20,~161,-,-,~49,~279,
GCF_014930775.fna.gz,ecloacae,1087,33,19,34,28,304,8,29,
GCF_014930795.fna.gz,ecloacae,1078,51,4,14,125,37,4,6,
GCF_014930815.fna.gz,ecloacae,-,309,18,34,370,34,-,29,
GCF_014930845.fna.gz,ecloacae,-,201,21,19,44,45,-,32,
GCF_014982105.fna.gz,ecloacae,923,51,4,15,6,270,4,6,
GCF_014982145.fna.gz,ecloacae,1085,311,18,310,372,34,143,28,
GCF_014982155.fna.gz,ecloacae,1100,312,200,39,15,46,11,201,
GCF_014982165.fna.gz,ecloacae,-,313,201,331,374,301,-,55,
GCF_014982205.fna.gz,ecloacae,1084,309,18,34,370,34,8,29,
GCF_014982215.fna.gz,ecloacae,1084,309,18,34,370,34,8,29,
GCF_014982245.fna.gz,ecloacae,1082,310,18,42,210,34,142,199,
GCF_014982265.fna.gz,ecloacae,1082,310,18,42,210,34,142,199,
GCF_014982275.fna.gz,ecloacae,1084,309,18,34,370,34,8,29,
GCF_014982305.fna.gz,ecloacae,1084,309,18,34,370,34,8,29,
GCF_014982315.fna.gz,ecloacae,1081,4,4,4,6,11,4,6,
GCF_014982345.fna.gz,ecloacae,1085,311,18,310,372,34,143,28,
GCF_014982425.fna.gz,ecloacae,1083,59,47,76,371,67,6,6,
GCF_015075755.fna.gz,ecloacae,614,201,21,19,44,45,12,32,
GCF_015138375.fna.gz,ecloacae,484,26,14,143,191,61,11,89,
GCF_015159675.fna.gz,ecloacae,104,59,40,76,9,70,6,6,
GCF_015319295.fna.gz,ecloacae,new_alleles,169,107,89,186,36,~87,1,
GCF_015321245.fna.gz,ecloacae,1552,150,92,109,217,389,22,99,
GCF_015704905.fna.gz,ecloacae,new_alleles,~150,92,109,217,~318,22,64,
GCF_016427675.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016427905.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016427965.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016427975.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016428155.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016428465.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016428495.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016428505.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016632625.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016632885.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016632935.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016632955.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016633045.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016633055.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016633425.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016633475.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016633505.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016633515.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016633605.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016633615.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016633985.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016633995.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016634025.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016634305.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016634325.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016634365.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_016863995.fna.gz,ecloacae,1084,309,18,34,370,34,8,29,
GCF_016864075.fna.gz,ecloacae,new_ST,351,232,384,442,97,6,55,
GCF_016864095.fna.gz,ecloacae,new_ST,352,233,333,443,347,6,53,
GCF_016864115.fna.gz,ecloacae,new_ST,240,92,109,441,346,22,99,
GCF_016901095.fna.gz,ecloacae,new_alleles,~294,113,371,~373,358,6,55,
GCF_017151325.fna.gz,ecloacae,647,192,133,225,70,206,22,1,
GCF_017151335.fna.gz,ecloacae,922,169,107,61,168,36,77,1,
GCF_018140965.fna.gz,ecloacae,837,264,44,236,319,145,118,1,
GCF_018422095.fna.gz,ecloacae,new_ST,264,44,236,319,145,193,1,
GCF_018595775.fna.gz,ecloacae,477,161,44,61,186,153,1,1,
GCF_018597445.fna.gz,ecloacae,new_alleles,171,243,61,~86,36,22,1,
GCF_019047105.fna.gz,ecloacae,1,1,1,1,1,1,1,1,
GCF_019056615.fna.gz,ecloacae,new_alleles,53,~35,20,44,45,4,6,
GCF_019056635.fna.gz,ecloacae,177,9,4,14,61,89,4,9,
GCF_019056655.fna.gz,ecloacae,171,49,21,19,44,45,12,32,
GCF_019265065.fna.gz,ecloacae,922,169,107,61,168,36,77,1,
GCF_019265085.fna.gz,ecloacae,1,1,1,1,1,1,1,1,
GCF_019265105.fna.gz,ecloacae,922,169,107,61,168,36,77,1,
GCF_019265125.fna.gz,ecloacae,new_alleles,169,243,~158,~158,~317,36,1,
GCF_019265145.fna.gz,ecloacae,1385,1,243,65,86,153,22,1,
GCF_900075165.fna.gz,ecloacae,609,198,126,158,225,1,1,1,
GCF_900075425.fna.gz,ecloacae,780,253,165,273,296,247,11,161,
GCF_900075485.fna.gz,ecloacae,789,192,1,65,311,198,36,1,
GCF_900075545.fna.gz,ecloacae,519,1,107,158,1,168,36,1,
GCF_900075555.fna.gz,ecloacae,24,23,15,23,16,28,11,11,
GCF_900075855.fna.gz,ecloacae,435,23,15,23,16,148,11,11,
GCF_900076365.fna.gz,ecloacae,-,144,129,309|165,237,150,12,129,
GCF_900077005.fna.gz,ecloacae,767,197,25,269,300,100,21,163,
GCF_900077125.fna.gz,ecloacae,-,~143,~188,~163,~175,-,~128,-,
GCF_900077165.fna.gz,ecloacae,24,23,15,23,16,28,11,11,
GCF_900077215.fna.gz,ecloacae,774,250,122,272,299,245,112,160,
GCF_900077545.fna.gz,ecloacae,610,199,15,205,224,46,88,10,
GCF_900077605.fna.gz,ecloacae,24,23,15,23,16,28,11,11,
GCF_900077695.fna.gz,ecloacae,780,253,165,273,296,247,11,161,
GCF_900078025.fna.gz,ecloacae,267,46,20,111,44,107,28,6,
GCF_900156955.fna.gz,ecloacae,-,-,-,-,-,-,~73,-,
GCF_900322725.fna.gz,ecloacae,873,85,63,101,103,96,6,53,
GCF_902163425.fna.gz,ecloacae,721,150,92,195,280,154,97,64,
GCF_902387755.fna.gz,ecloacae,1065,305,106,330,367,298,138,18,
GCF_902387775.fna.gz,ecloacae,922,169,107,61,168,36,77,1,
GCF_902387805.fna.gz,ecloacae,1067,94,68,298,368,299,11,198,
GCF_902713475.fna.gz,ecloacae,93,9,4,14,61,37,4,9,
