Genome,Scheme,ST,ack,cpn60,fdh,pta,purA,sar,tuf,clonal_complex
GCF_002767365.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002767375.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767445.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767475.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767485.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767495.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767575.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767605.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002767615.fna.gz,spseudintermedius,261,5,7,4,1,11,2,2,
GCF_002767625.fna.gz,spseudintermedius,334,5,7,4,1,11,2,1,
GCF_002767695.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002767705.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767765.fna.gz,spseudintermedius,336,5,18,2,1,11,2,2,
GCF_002767795.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
GCF_002767805.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
GCF_002767815.fna.gz,spseudintermedius,261,5,7,4,1,11,2,2,
GCF_002767885.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767915.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767925.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002767945.fna.gz,spseudintermedius,307,5,7,2,1,11,2,2,
GCF_002767985.fna.gz,spseudintermedius,350,5,13,11,1,11,2,2,
GCF_002768035.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002768045.fna.gz,spseudintermedius,350,5,13,11,1,11,2,2,
GCF_002768095.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
GCF_002768105.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
GCF_002768155.fna.gz,spseudintermedius,342,5,7,4,1,11,1,2,
GCF_002768205.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002768215.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
GCF_002768225.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002768275.fna.gz,spseudintermedius,277,5,13,4,1,11,1,2,
GCF_002768335.fna.gz,spseudintermedius,346,5,18,4,1,11,1,2,
GCF_002768345.fna.gz,spseudintermedius,261,5,7,4,1,11,2,2,
GCF_002768355.fna.gz,spseudintermedius,312,1,13,4,1,11,2,2,
GCF_002768365.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
GCF_002768435.fna.gz,spseudintermedius,265,5,13,4,1,3,1,2,
GCF_002768455.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002768475.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002847165.fna.gz,spseudintermedius,888,27,7,2,1,11,24,2,
GCF_002847175.fna.gz,spseudintermedius,889,27,8,11,1,54,1,2,
GCF_002847205.fna.gz,spseudintermedius,887,1,2,4,4,1,3,1,
GCF_002847225.fna.gz,spseudintermedius,886,4,7,2,1,1,2,14,
GCF_002847235.fna.gz,spseudintermedius,885,3,7,3,4,19,1,2,
GCF_002847265.fna.gz,spseudintermedius,890,27,2,2,2,11,1,2,
GCF_002902125.fna.gz,spseudintermedius,494,3,24,1,1,52,2,1,
GCF_002922545.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002922555.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002922565.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002922575.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_002922625.fna.gz,spseudintermedius,84,2,10,2,1,5,1,2,
GCF_002922635.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002922645.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002922675.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002922705.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_002950775.fna.gz,spseudintermedius,2005,12,2,2,2,8,1,1,
GCF_002976235.fna.gz,spseudintermedius,930,2,81,3,1,1,2,1,
GCF_002976255.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_002976305.fna.gz,spseudintermedius,924,1,11,4,1,20,1,1,
GCF_003185065.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_003185075.fna.gz,spseudintermedius,497,1,11,2,1,1,1,1,
GCF_003185095.fna.gz,spseudintermedius,525,1,24,2,1,1,2,1,
GCF_003185105.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_003185145.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_003185175.fna.gz,spseudintermedius,497,1,11,2,1,1,1,1,
GCF_003185195.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_003185215.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_003185225.fna.gz,spseudintermedius,316,2,9,1,1,13,2,2,
GCF_003185255.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_003185295.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_003185305.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_003185325.fna.gz,spseudintermedius,547,5,19,4,1,1,4,2,
GCF_003185365.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_003185385.fna.gz,spseudintermedius,501,8,43,2,1,7,1,2,
GCF_003185395.fna.gz,spseudintermedius,84,2,10,2,1,5,1,2,
GCF_003185425.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_003185445.fna.gz,spseudintermedius,500,8,43,1,1,7,1,2,
GCF_003185455.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_003185465.fna.gz,spseudintermedius,498,1,13,1,1,11,2,2,
GCF_003185485.fna.gz,spseudintermedius,316,2,9,1,1,13,2,2,
GCF_003185525.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_003185535.fna.gz,spseudintermedius,-,1,-,2,1,1,1,1,
GCF_003185555.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_003185565.fna.gz,spseudintermedius,499,5,7,2,1,7,2,1,
GCF_003185605.fna.gz,spseudintermedius,283,1,24,10,4,1,2,2,
GCF_003185615.fna.gz,spseudintermedius,316,2,9,1,1,13,2,2,
GCF_003185635.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_003185785.fna.gz,spseudintermedius,498,1,13,1,1,11,2,2,
GCF_003185815.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_003337115.fna.gz,spseudintermedius,718,3,13,2,2,1,1,1,
GCF_003383635.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_003383655.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_003383685.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_003383735.fna.gz,spseudintermedius,751,1,75,4,1,1,2,5,
GCF_003383745.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_003383795.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_003383805.fna.gz,spseudintermedius,525,1,24,2,1,1,2,1,
GCF_003383815.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_003383845.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_003383875.fna.gz,spseudintermedius,new_alleles,2,9,4,1,~1,2,1,
GCF_003383905.fna.gz,spseudintermedius,new_alleles,2,9,4,1,~1,2,1,
GCF_003383915.fna.gz,spseudintermedius,749,1,2,2,1,13,2,2,
GCF_003383925.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_003383975.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_003383985.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_003383995.fna.gz,spseudintermedius,68,1,10,1,4,1,1,1,
GCF_003627735.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_004001305.fna.gz,spseudintermedius,2141,2,9,2,1,1,1,1,
GCF_004166335.fna.gz,spseudintermedius,749,1,2,2,1,13,2,2,
GCF_004166345.fna.gz,spseudintermedius,749,1,2,2,1,13,2,2,
GCF_004166355.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_004166375.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_004166385.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_004166435.fna.gz,spseudintermedius,84,2,10,2,1,5,1,2,
GCF_004166445.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_004166455.fna.gz,spseudintermedius,498,1,13,1,1,11,2,2,
GCF_004166465.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_004166495.fna.gz,spseudintermedius,1173,6,10,2,1,11,2,1,
GCF_004166535.fna.gz,spseudintermedius,84,2,10,2,1,5,1,2,
GCF_004166545.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
GCF_004166555.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_004166575.fna.gz,spseudintermedius,1172,2,10,1,4,5,2,2,
GCF_004166595.fna.gz,spseudintermedius,84,2,10,2,1,5,1,2,
GCF_004166635.fna.gz,spseudintermedius,277,5,13,4,1,11,1,2,
GCF_004166645.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_004166665.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_004166685.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_004166695.fna.gz,spseudintermedius,1171,1,2,2,1,13,2,1,
GCF_004166735.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_004166755.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_004166765.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_004166775.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_004166785.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_004166835.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_004166855.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_004166865.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_004166875.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_004307335.fna.gz,spseudintermedius,1045,4,13,2,1,11,5,20,
GCF_004307355.fna.gz,spseudintermedius,879,8,73,6,8,11,1,1,
GCF_004307375.fna.gz,spseudintermedius,865,5,6,1,1,11,1,2,
GCF_004307395.fna.gz,spseudintermedius,856,4,13,1,1,8,1,2,
GCF_004320065.fna.gz,spseudintermedius,815,2,2,1,1,6,5,2,
GCF_004320075.fna.gz,spseudintermedius,1335,1,13,1,1,11,5,2,
GCF_004322615.fna.gz,spseudintermedius,824,2,9,3,1,10,4,1,
GCF_004322625.fna.gz,spseudintermedius,878,6,43,1,4,7,1,2,
GCF_004794815.fna.gz,spseudintermedius,1291,1,43,2,1,1,1,2,
GCF_004794825.fna.gz,spseudintermedius,1050,3,10,2,1,5,1,1,
GCF_004794835.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_004794845.fna.gz,spseudintermedius,283,1,24,10,4,1,2,2,
GCF_004794855.fna.gz,spseudintermedius,68,1,10,1,4,1,1,1,
GCF_006381905.fna.gz,spseudintermedius,1293,3,20,2,1,5,1,1,
GCF_006381995.fna.gz,spseudintermedius,282,3,2,2,1,2,1,1,
GCF_006382015.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_006382055.fna.gz,spseudintermedius,1049,2,10,2,4,1,1,1,
GCF_006382125.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_006382135.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_006382145.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_006382195.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_006382205.fna.gz,spseudintermedius,498,1,13,1,1,11,2,2,
GCF_006382215.fna.gz,spseudintermedius,929,1,29,2,1,6,3,1,
GCF_006382235.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_006382275.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_006382295.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_006382305.fna.gz,spseudintermedius,926,1,11,4,2,6,2,2,
GCF_006382315.fna.gz,spseudintermedius,266,2,10,2,1,5,1,1,
GCF_006382325.fna.gz,spseudintermedius,498,1,13,1,1,11,2,2,
GCF_006382355.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_006382395.fna.gz,spseudintermedius,261,5,7,4,1,11,2,2,
GCF_006382405.fna.gz,spseudintermedius,-,3,2,2,1,-,1,2,
GCF_006382415.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_006382445.fna.gz,spseudintermedius,150,1,10,1,1,1,1,2,
GCF_006382455.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_006382495.fna.gz,spseudintermedius,927,36,7,2,23,11,5,2,
GCF_006382505.fna.gz,spseudintermedius,928,3,7,2,1,11,2,1,
GCF_006382515.fna.gz,spseudintermedius,634,4,8,2,1,11,1,1,
GCF_006382545.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_006382555.fna.gz,spseudintermedius,281,4,31,2,2,1,2,2,
GCF_006382595.fna.gz,spseudintermedius,298,1,10,2,1,5,5,2,
GCF_006383085.fna.gz,spseudintermedius,1048,3,7,1,1,8,2,2,
GCF_006383115.fna.gz,spseudintermedius,432,2,2,2,1,1,2,2,
GCF_006383175.fna.gz,spseudintermedius,1051,1,13,1,1,16,1,2,
GCF_006406235.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_006406245.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_007050485.fna.gz,spseudintermedius,new_alleles,2,~10,2,1,5,1,2,
GCF_007050525.fna.gz,spseudintermedius,68,1,10,1,4,1,1,1,
GCF_007050535.fna.gz,spseudintermedius,68,1,10,1,4,1,1,1,
GCF_007050545.fna.gz,spseudintermedius,68,1,10,1,4,1,1,1,
GCF_007050575.fna.gz,spseudintermedius,new_ST,4,13,2,1,11,2,1,
GCF_008121295.fna.gz,spseudintermedius,1323,2,13,4,2,11,1,1,
GCF_009183675.fna.gz,spseudintermedius,1412,3,2,2,8,1,1,2,
GCF_009184785.fna.gz,spseudintermedius,585,2,31,2,1,1,2,1,
GCF_009184805.fna.gz,spseudintermedius,585,2,31,2,1,1,2,1,
GCF_009184825.fna.gz,spseudintermedius,585,2,31,2,1,1,2,1,
GCF_009649855.fna.gz,spseudintermedius,new_ST,1,21,4,4,3,1,1,
GCF_009877175.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_009877195.fna.gz,spseudintermedius,1403,3,9,4,1,1,2,2,
GCF_009877245.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_009939245.fna.gz,spseudintermedius,new_alleles,4,~70,1,1,~80,1,1,
GCF_012275735.fna.gz,spseudintermedius,1602,2,11,3,1,11,2,1,
GCF_012275775.fna.gz,spseudintermedius,181,3,11,2,24,20,1,1,
GCF_013285265.fna.gz,spseudintermedius,551,5,9,2,1,1,1,1,
GCF_014353035.fna.gz,spseudintermedius,1544,3,9,3,1,1,2,1,
GCF_014397225.fna.gz,spseudintermedius,2136,1,7,6,1,1,1,1,
GCF_014397235.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_014397305.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_014397325.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_014397345.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_014397355.fna.gz,spseudintermedius,263,5,13,4,1,1,1,1,
GCF_014397375.fna.gz,spseudintermedius,438,2,20,1,1,3,1,1,
GCF_014397405.fna.gz,spseudintermedius,1410,1,2,1,2,11,1,2,
GCF_014397425.fna.gz,spseudintermedius,1411,1,7,2,1,8,2,1,
GCF_014397465.fna.gz,spseudintermedius,1409,1,2,2,4,1,2,2,
GCF_014397475.fna.gz,spseudintermedius,1408,1,13,2,2,8,1,2,
GCF_014397505.fna.gz,spseudintermedius,1407,5,2,2,57,11,2,1,
GCF_014397515.fna.gz,spseudintermedius,262,1,18,2,22,2,1,2,
GCF_014397535.fna.gz,spseudintermedius,1413,47,26,2,1,7,1,2,
GCF_014397555.fna.gz,spseudintermedius,1406,1,9,2,1,7,2,2,
GCF_014397615.fna.gz,spseudintermedius,1404,7,8,3,1,1,1,2,
GCF_014490535.fna.gz,spseudintermedius,1544,3,9,3,1,1,2,1,
GCF_015234395.fna.gz,spseudintermedius,551,5,9,2,1,1,1,1,
GCF_016026635.fna.gz,spseudintermedius,494,3,24,1,1,52,2,1,
GCF_016092595.fna.gz,spseudintermedius,1685,10,24,4,2,19,26,2,
GCF_016103395.fna.gz,spseudintermedius,1685,10,24,4,2,19,26,2,
GCF_016126695.fna.gz,spseudintermedius,new_ST,6,13,1,20,7,1,2,
GCF_016126715.fna.gz,spseudintermedius,new_ST,11,7,2,1,7,27,2,
GCF_016126735.fna.gz,spseudintermedius,new_ST,4,7,1,1,3,1,1,
GCF_016126755.fna.gz,spseudintermedius,new_ST,2,7,2,1,14,1,1,
GCF_016126775.fna.gz,spseudintermedius,new_ST,1,13,5,22,7,5,1,
GCF_016126795.fna.gz,spseudintermedius,1880,3,31,4,2,1,2,2,
GCF_016127335.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016403325.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016454965.fna.gz,spseudintermedius,new_ST,1,13,4,1,8,1,2,
GCF_016454985.fna.gz,spseudintermedius,new_ST,1,13,4,1,8,1,2,
GCF_016455005.fna.gz,spseudintermedius,new_ST,1,13,4,1,8,1,2,
GCF_016455025.fna.gz,spseudintermedius,new_ST,4,2,2,60,5,1,2,
GCF_016455065.fna.gz,spseudintermedius,new_ST,1,13,4,1,8,1,2,
GCF_016455085.fna.gz,spseudintermedius,503,1,2,2,1,8,1,2,
GCF_016455145.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016455165.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016455185.fna.gz,spseudintermedius,new_ST,5,2,4,1,1,1,1,
GCF_016455205.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016455225.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016455245.fna.gz,spseudintermedius,1248,1,26,2,1,7,1,2,
GCF_016455265.fna.gz,spseudintermedius,new_ST,5,7,1,1,1,1,1,
GCF_016481265.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
GCF_016481295.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_016481665.fna.gz,spseudintermedius,new_ST,1,2,4,4,11,3,1,
GCF_016481685.fna.gz,spseudintermedius,1061,1,7,2,1,8,1,2,
GCF_016481735.fna.gz,spseudintermedius,new_ST,1,2,4,4,11,3,1,
GCF_016481805.fna.gz,spseudintermedius,new_ST,1,2,4,4,11,3,1,
GCF_016481825.fna.gz,spseudintermedius,new_alleles,1,9,1,1,~47,2,2,
GCF_016481845.fna.gz,spseudintermedius,new_alleles,1,24,2,1,11,~3,2,
GCF_016481855.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016481865.fna.gz,spseudintermedius,new_ST,16,9,5,1,5,5,2,
GCF_016481905.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
GCF_016481925.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016481935.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016481945.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
GCF_016481985.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016482005.fna.gz,spseudintermedius,301,1,18,4,1,11,2,2,
GCF_016482025.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016482045.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016482085.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016482105.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016482125.fna.gz,spseudintermedius,new_ST,4,3,4,1,11,5,2,
GCF_016482145.fna.gz,spseudintermedius,new_ST,1,7,2,2,1,1,2,
GCF_016482155.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016482205.fna.gz,spseudintermedius,611,3,50,2,1,11,1,2,
GCF_016482225.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016482235.fna.gz,spseudintermedius,new_ST,5,25,4,1,11,1,1,
GCF_016482245.fna.gz,spseudintermedius,new_ST,1,2,4,4,11,3,1,
GCF_016482265.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016482305.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016482325.fna.gz,spseudintermedius,new_ST,1,2,4,4,11,3,1,
GCF_016482345.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016482355.fna.gz,spseudintermedius,257,2,13,2,1,13,2,2,
GCF_016482365.fna.gz,spseudintermedius,new_ST,7,2,2,1,14,1,1,
GCF_016482405.fna.gz,spseudintermedius,new_ST,7,2,2,1,14,1,1,
GCF_016482425.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016482445.fna.gz,spseudintermedius,new_ST,1,57,4,2,5,1,2,
GCF_016482525.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
GCF_016482535.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016482585.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016598895.fna.gz,spseudintermedius,-,~2,2?,2,~1,~11,1?,2,
GCF_016598915.fna.gz,spseudintermedius,-,~2,~2,2,1?,~11,1?,2,
GCF_016804385.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_016804405.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_016804415.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
GCF_016804425.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_016804435.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016804485.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_016804505.fna.gz,spseudintermedius,181,3,11,2,24,20,1,1,
GCF_016804515.fna.gz,spseudintermedius,new_alleles,1,10,1,~4,1,1,1,
GCF_016804545.fna.gz,spseudintermedius,157,2,11,2,11,5,1,2,
GCF_016804565.fna.gz,spseudintermedius,157,2,11,2,11,5,1,2,
GCF_016804585.fna.gz,spseudintermedius,181,3,11,2,24,20,1,1,
GCF_016804605.fna.gz,spseudintermedius,1294,1,57,3,32,11,5,2,
GCF_016804625.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_016804635.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016804665.fna.gz,spseudintermedius,551,5,9,2,1,1,1,1,
GCF_016804685.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_016804695.fna.gz,spseudintermedius,45,3,2,2,1,2,1,2,
GCF_016804725.fna.gz,spseudintermedius,420,7,10,2,1,11,1,2,
GCF_016804735.fna.gz,spseudintermedius,1229,3,10,2,24,1,1,1,
GCF_016804765.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_016804785.fna.gz,spseudintermedius,181,3,11,2,24,20,1,1,
GCF_016804805.fna.gz,spseudintermedius,150,1,10,1,1,1,1,2,
GCF_016804825.fna.gz,spseudintermedius,611,3,50,2,1,11,1,2,
GCF_016804845.fna.gz,spseudintermedius,181,3,11,2,24,20,1,1,
GCF_016804865.fna.gz,spseudintermedius,150,1,10,1,1,1,1,2,
GCF_016804885.fna.gz,spseudintermedius,420,7,10,2,1,11,1,2,
GCF_016804905.fna.gz,spseudintermedius,260,2,7,4,11,6,2,2,
GCF_016804925.fna.gz,spseudintermedius,1296,4,31,1,2,1,2,2,
GCF_016804945.fna.gz,spseudintermedius,64,2,7,2,11,5,2,2,
GCF_016804965.fna.gz,spseudintermedius,150,1,10,1,1,1,1,2,
GCF_016804985.fna.gz,spseudintermedius,496,2,9,4,1,1,2,1,
GCF_016805005.fna.gz,spseudintermedius,301,1,18,4,1,11,2,2,
GCF_016805025.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016805035.fna.gz,spseudintermedius,316,2,9,1,1,13,2,2,
GCF_016805055.fna.gz,spseudintermedius,551,5,9,2,1,1,1,1,
GCF_016805085.fna.gz,spseudintermedius,71,3,9,1,2,1,2,1,
GCF_016805105.fna.gz,spseudintermedius,258,5,13,4,1,11,2,2,
