Genome,Scheme,ST,gki,gtr,murI,mutS,recP,xpt,atoB,clonal_complex
GCF_008693725.fna.gz,sdysgalactiae_equisimilis,25,3,2,1,5,7,4,3,
GCF_009380195.fna.gz,sdysgalactiae_equisimilis,360,3,3,2,1,9,8,2,
GCF_009389575.fna.gz,sdysgalactiae_equisimilis,127,3,2,1,5,7,33,3,
GCF_009389595.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_009497975.fna.gz,sdysgalactiae_equisimilis,44,2,2,4,2,3,7,1,
GCF_009650255.fna.gz,sdysgalactiae_equisimilis,new_alleles,2,~3,1,2,3,7,1,
GCF_009650275.fna.gz,sdysgalactiae_equisimilis,-,-,37,31,31,42,54,~32,
GCF_009650295.fna.gz,sdysgalactiae_equisimilis,-,-,~37,30,7,41,55,35,
GCF_009730735.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_009730755.fna.gz,sdysgalactiae_equisimilis,127,3,2,1,5,7,33,3,
GCF_009730775.fna.gz,sdysgalactiae_equisimilis,127,3,2,1,5,7,33,3,
GCF_009730795.fna.gz,sdysgalactiae_equisimilis,151,3,3,2,2,28,8,2,
GCF_009730815.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_009730835.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_009730855.fna.gz,sdysgalactiae_equisimilis,520,4,10,1,2,17,6,2,
GCF_009730875.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_009730895.fna.gz,sdysgalactiae_equisimilis,148,3,2,1,17,7,4,3,
GCF_009846995.fna.gz,sdysgalactiae_equisimilis,12,4,4,5,2,17,6,2,
GCF_009847065.fna.gz,sdysgalactiae_equisimilis,473,4,4,1,2,17,84,2,
GCF_009847485.fna.gz,sdysgalactiae_equisimilis,474,3,20,4,1,4,85,2,
GCF_009847535.fna.gz,sdysgalactiae_equisimilis,20,3,3,2,8,9,6,6,
GCF_009847585.fna.gz,sdysgalactiae_equisimilis,20,3,3,2,8,9,6,6,
GCF_009847965.fna.gz,sdysgalactiae_equisimilis,29,3,2,4,2,7,1,3,
GCF_009848215.fna.gz,sdysgalactiae_equisimilis,20,3,3,2,8,9,6,6,
GCF_011327345.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_011379515.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_011379535.fna.gz,sdysgalactiae_equisimilis,23,3,3,4,1,3,1,1,
GCF_011379545.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_011379555.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_011379605.fna.gz,sdysgalactiae_equisimilis,8,1,1,1,1,1,1,4,
GCF_011379625.fna.gz,sdysgalactiae_equisimilis,474,3,20,4,1,4,85,2,
GCF_011379645.fna.gz,sdysgalactiae_equisimilis,29,3,2,4,2,7,1,3,
GCF_011379655.fna.gz,sdysgalactiae_equisimilis,473,4,4,1,2,17,84,2,
GCF_011379665.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_011379705.fna.gz,sdysgalactiae_equisimilis,55,3,2,4,2,20,1,3,
GCF_011379715.fna.gz,sdysgalactiae_equisimilis,319,3,3,2,8,9,6,2,
GCF_011379725.fna.gz,sdysgalactiae_equisimilis,12,4,4,5,2,17,6,2,
GCF_011379745.fna.gz,sdysgalactiae_equisimilis,29,3,2,4,2,7,1,3,
GCF_011379765.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_011379805.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_011379815.fna.gz,sdysgalactiae_equisimilis,8,1,1,1,1,1,1,4,
GCF_011379825.fna.gz,sdysgalactiae_equisimilis,128,3,2,1,1,4,1,11,
GCF_011379845.fna.gz,sdysgalactiae_equisimilis,29,3,2,4,2,7,1,3,
GCF_012844385.fna.gz,sdysgalactiae_equisimilis,471,3,2,1,1,4,8,11,
GCF_012844405.fna.gz,sdysgalactiae_equisimilis,128,3,2,1,1,4,1,11,
GCF_013004125.fna.gz,sdysgalactiae_equisimilis,128,3,2,1,1,4,1,11,
GCF_014192695.fna.gz,sdysgalactiae_equisimilis,29,3,2,4,2,7,1,3,
GCF_014192895.fna.gz,sdysgalactiae_equisimilis,25,3,2,1,5,7,4,3,
GCF_014893835.fna.gz,sdysgalactiae_equisimilis,530,30,13,48,30,12,56,33,
GCF_016128095.fna.gz,sdysgalactiae_equisimilis,61,3,3,4,1,4,16,2,
GCF_016128135.fna.gz,sdysgalactiae_equisimilis,264,3,2,1,32,44,1,3,
GCF_016724885.fna.gz,sdysgalactiae_equisimilis,298,39,43,35,33,47,64,39,
GCF_016766775.fna.gz,sdysgalactiae_equisimilis,17,4,4,1,2,17,6,2,
GCF_016888305.fna.gz,sdysgalactiae_equisimilis,49,3,2,3,1,5,5,2,
GCF_016888325.fna.gz,sdysgalactiae_equisimilis,44,2,2,4,2,3,7,1,
GCF_016888365.fna.gz,sdysgalactiae_equisimilis,323,2,3,4,2,3,7,1,
GCF_016888375.fna.gz,sdysgalactiae_equisimilis,44,2,2,4,2,3,7,1,
GCF_019265245.fna.gz,sdysgalactiae_equisimilis,-,-,6,~31,31,42,~54,~32,
GCF_019265265.fna.gz,sdysgalactiae_equisimilis,341,35,37,31,31,42,54,32,
GCF_019265285.fna.gz,sdysgalactiae_equisimilis,new_ST,32,33,6,27,39,48,29,
GCF_019265305.fna.gz,sdysgalactiae_equisimilis,new_ST,31,13,6,30,12,13,8,
GCF_019265325.fna.gz,sdysgalactiae_equisimilis,new_ST,32,33,6,27,39,48,29,
GCF_019273775.fna.gz,sdysgalactiae_equisimilis,-,-,6,~31,31,42,~54,~32,
GCF_900459065.fna.gz,sdysgalactiae_equisimilis,298,39,43,35,33,47,64,39,
GCF_900459095.fna.gz,sdysgalactiae_equisimilis,264,3,2,1,32,44,1,3,
GCF_900459135.fna.gz,sdysgalactiae_equisimilis,298,39,43,35,33,47,64,39,
GCF_900459205.fna.gz,sdysgalactiae_equisimilis,299,40,43,35,34,48,66,40,
GCF_900459225.fna.gz,sdysgalactiae_equisimilis,-,-,43,35,33,47,64,39,
GCF_900460145.fna.gz,sdysgalactiae_equisimilis,61,3,3,4,1,4,16,2,
GCF_900460375.fna.gz,sdysgalactiae_equisimilis,new_alleles,4,2,4,1,~9,1,2,
GCF_900474785.fna.gz,sdysgalactiae_equisimilis,3,5,3,4,1,6,2,1,
GCF_900475145.fna.gz,sdysgalactiae_equisimilis,49,3,2,3,1,5,5,2,
GCF_900475185.fna.gz,sdysgalactiae_equisimilis,553,65,25,55,23,65,41,8,
GCF_900475255.fna.gz,sdysgalactiae_equisimilis,49,3,2,3,1,5,5,2,
GCF_900475725.fna.gz,sdysgalactiae_equisimilis,183,3,3,2,8,9,8,2,
GCF_900635345.fna.gz,sdysgalactiae_equisimilis,300,40,43,35,35,49,67,8,
GCF_900636815.fna.gz,sdysgalactiae_equisimilis,553,65,25,55,23,65,41,8,
GCF_901542365.fna.gz,sdysgalactiae_equisimilis,554,3,2,4,2,30,102,10,
GCF_901542425.fna.gz,sdysgalactiae_equisimilis,1,10,6,6,6,12,13,8,
GCF_901542475.fna.gz,sdysgalactiae_equisimilis,1,10,6,6,6,12,13,8,
GCF_901543405.fna.gz,sdysgalactiae_equisimilis,1,10,6,6,6,12,13,8,
GCF_901543615.fna.gz,sdysgalactiae_equisimilis,275,3,3,4,2,30,52,1,
GCF_901543655.fna.gz,sdysgalactiae_equisimilis,369,3,3,4,1,11,1,2,
GCF_901543725.fna.gz,sdysgalactiae_equisimilis,254,30,13,6,30,12,13,30,
GCF_901543995.fna.gz,sdysgalactiae_equisimilis,25,3,2,1,5,7,4,3,
GCF_901544045.fna.gz,sdysgalactiae_equisimilis,42,1,1,4,1,1,1,4,
GCF_901544215.fna.gz,sdysgalactiae_equisimilis,29,3,2,4,2,7,1,3,
GCF_901544225.fna.gz,sdysgalactiae_equisimilis,new_ST,1,1,1,1,4,9,4,
GCF_901544365.fna.gz,sdysgalactiae_equisimilis,42,1,1,4,1,1,1,4,
GCF_901875505.fna.gz,sdysgalactiae_equisimilis,317,3,3,4,2,9,17,2,
