Genome,Scheme,ST,dnaA,rpoB,gyrB,gltX,adk,gmk,clonal_complex
GCF_018792395.fna.gz,mhyorhinis,86,10,15,8,4,1,3,
GCF_018792425.fna.gz,mhyorhinis,92,1,1,2,4,1,3,
GCF_018792435.fna.gz,mhyorhinis,129,10,15,6,4,1,3,
GCF_018792465.fna.gz,mhyorhinis,94,10,15,2,1,1,3,
GCF_018792475.fna.gz,mhyorhinis,98,10,1,6,1,1,3,
GCF_018792505.fna.gz,mhyorhinis,101,10,1,6,4,1,3,
GCF_018792525.fna.gz,mhyorhinis,100,1,1,6,4,1,8,
GCF_018792545.fna.gz,mhyorhinis,84,1,7,2,1,1,3,
GCF_018792565.fna.gz,mhyorhinis,100,1,1,6,4,1,8,
GCF_018792585.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018792605.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018792625.fna.gz,mhyorhinis,99,1,1,12,1,1,3,
GCF_018792645.fna.gz,mhyorhinis,83,17,1,2,1,1,3,
GCF_018792665.fna.gz,mhyorhinis,91,10,16,1,14,1,3,
GCF_018792675.fna.gz,mhyorhinis,137,1,1,2,1,1,13,
GCF_018792685.fna.gz,mhyorhinis,89,1,1,2,13,1,3,
GCF_018792725.fna.gz,mhyorhinis,136,10,1,2,18,1,3,
GCF_018792745.fna.gz,mhyorhinis,132,10,1,6,9,1,4,
GCF_018792755.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018792795.fna.gz,mhyorhinis,104,18,18,2,1,1,3,
GCF_018792825.fna.gz,mhyorhinis,102,1,17,13,1,5,4,
GCF_018792845.fna.gz,mhyorhinis,70,1,1,6,1,1,3,
GCF_018792865.fna.gz,mhyorhinis,92,1,1,2,4,1,3,
GCF_018792885.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018792905.fna.gz,mhyorhinis,142,1,24,2,1,1,4,
GCF_018792915.fna.gz,mhyorhinis,133,13,1,2,9,1,3,
GCF_018792945.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018792965.fna.gz,mhyorhinis,96,16,1,2,1,1,3,
GCF_018792985.fna.gz,mhyorhinis,140,22,22,2,1,1,3,
GCF_018793005.fna.gz,mhyorhinis,80,1,1,4,1,1,3,
GCF_018793025.fna.gz,mhyorhinis,92,1,1,2,4,1,3,
GCF_018793045.fna.gz,mhyorhinis,141,1,7,2,18,1,3,
GCF_018793065.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018793085.fna.gz,mhyorhinis,40,1,1,2,1,1,3,
GCF_018793095.fna.gz,mhyorhinis,92,1,1,2,4,1,3,
GCF_018793125.fna.gz,mhyorhinis,84,1,7,2,1,1,3,
GCF_018793145.fna.gz,mhyorhinis,118,1,1,2,15,1,3,
GCF_018793165.fna.gz,mhyorhinis,50,1,1,8,1,1,3,
GCF_018793175.fna.gz,mhyorhinis,95,10,7,2,12,1,3,
GCF_018793205.fna.gz,mhyorhinis,95,10,7,2,12,1,3,
GCF_018793225.fna.gz,mhyorhinis,80,1,1,4,1,1,3,
GCF_018793245.fna.gz,mhyorhinis,95,10,7,2,12,1,3,
GCF_018793265.fna.gz,mhyorhinis,90,1,13,2,1,1,3,
GCF_018793285.fna.gz,mhyorhinis,90,1,13,2,1,1,3,
GCF_018793295.fna.gz,mhyorhinis,89,1,1,2,13,1,3,
