Genome,ST,adhP,pheS,atr,glnA,sdhA,glcK,tkt
GCF_000323045.fna.gz,-,10,1,2,1,3,2,134|2
GCF_001693995.fna.gz,-,1,1,3,1,1,12,134|2
GCF_004369765.fna.gz,-,9,5,7,1,3,3,2|134
GCF_001015525.fna.gz,-,1,1,4,1,1,3,4|134
GCF_001694585.fna.gz,-,1,1,3,1,1,12,134|2
GCF_002930695.fna.gz,-,9,5,7,1,3,3,134|2
GCF_000454925.fna.gz,-,336,1,2,1,1,2,2|134
GCF_001694625.fna.gz,-,1,1,3,1,41,12,134|2
GCF_004369855.fna.gz,-,9,5,7,1,3,3,134|2
GCF_011379245.fna.gz,-,1,1,3,1,41,12,134|2
GCF_001695175.fna.gz,-,1,1,3,1,1,12,134|2
GCF_004369745.fna.gz,-,9,5,7,1,3,3,2|134
GCF_001695075.fna.gz,-,1,1,3,1,1,12,134|2
GCF_000322725.fna.gz,-,4,1,4,1,3,3,134|2
GCF_001694555.fna.gz,-,1,1,3,1,41,12,134|2
GCF_000288855.fna.gz,-,8,1,4,1,3,3,2|134
GCF_000289075.fna.gz,-,10,1,2,1,3,2,134|2
GCF_001146845.fna.gz,-,1,1,3,1,41,12,134|2
GCF_004369875.fna.gz,-,9,5,7,1,3,3,134|2
GCF_900459105.fna.gz,-,10,1,2,1,3,2,134|2
GCF_002197285.fna.gz,-,9,5,7,1,3,3,134|2
GCF_001348975.fna.gz,-,10,1,4,1,3,3,134|2
GCF_000012705.fna.gz,-,10,1,2,1,3,2,134|2
GCF_001016215.fna.gz,-,358,1,3,1,1,2,134|2
GCF_001695095.fna.gz,-,361,1,3,1,1,12,2|134
GCF_011379175.fna.gz,-,1,1,3,1,41,12,134|2
GCF_009934875.fna.gz,-,10,1,4,1,3,3,134|2
GCF_009934475.fna.gz,-,10,1,4,1,3,3,2|134
GCF_001856425.fna.gz,-,10,1,4,1,3,3,134|2
GCF_001694095.fna.gz,-,1,1,3,1,41,12,134|2
GCF_011327175.fna.gz,-,274,1,3,1,1,12,134|2
GCF_000310305.fna.gz,-,9,5,7,1,3,3,38|134
GCF_001017935.fna.gz,-,9,1,2,1,3,2,2|134
GCF_001694395.fna.gz,-,1,1,3,1,1,12,134|2
GCF_004369785.fna.gz,-,9,5,7,1,3,3,134|2
GCF_009933945.fna.gz,-,9,1,4,1,3,3,2|134
GCF_001275545.fna.gz,-,9,5,7,1,3,3,134|2
GCF_001694985.fna.gz,-,1,1,3,1,1,12,134|2
GCF_001018415.fna.gz,-,4,1,4,1,3,3,2|134
GCF_001695055.fna.gz,-,94,1,3,1,1,2,134|2
GCF_001015695.fna.gz,-,10,1,4,1,3,3,2|134
GCF_002871335.fna.gz,-,10,1,4,1,3,3,134|2
GCF_001098005.fna.gz,-,10,1,4,1,3,3,134|2
GCF_006543425.fna.gz,-,9,8,4,1,5,3,134|4
GCF_000288415.fna.gz,-,10,1,4,1,3,3,134|2
GCF_001016435.fna.gz,-,359,1,4,1,3,3,2|134
GCF_000289435.fna.gz,-,1,1,4,1,1,30,2|134
GCF_002197205.fna.gz,-,10,1,4,1,3,3,134|2
GCF_001694705.fna.gz,-,1,1,3,1,41,12,134|2
GCF_001694475.fna.gz,-,1,1,3,1,1,12,2|134
GCF_011379325.fna.gz,-,1,1,3,1,41,12,134|2
GCF_002930675.fna.gz,-,9,5,7,1,3,3,134|2
GCF_000310645.fna.gz,-,10,1,4,1,3,3,2|134
GCF_008710345.fna.gz,-,9,1,4,1,3,3,2|134
GCF_011379415.fna.gz,-,1,1,3,1,41,12,134|2
GCF_003939065.fna.gz,-,10,1,2,1,3,2,134|2
GCF_008710805.fna.gz,-,117,1,4,1,3,3,134|2
GCF_002812425.fna.gz,-,9,5,7,1,3,3,134|2
GCF_001694365.fna.gz,-,1,1,3,1,1,12,134|2
GCF_003160735.fna.gz,-,10,1,2,1,3,2,2|134
GCF_000290415.fna.gz,-,10,1,4,1,3,3,134|2
GCF_003931955.fna.gz,-,10,1,2,1,3,2,2|134
GCF_000730215.fna.gz,-,1,1,3,1,41,12,134|2
GCF_001694675.fna.gz,-,1,1,3,1,1,12,134|2
GCF_002197245.fna.gz,-,9,5,7,1,3,3,134|2
GCF_001694155.fna.gz,-,1,1,3,1,41,12,134|2
GCF_000311485.fna.gz,-,4,1,4,1,3,3,134|2
GCF_011327005.fna.gz,-,10,1,4,1,3,3,2|134
GCF_900459255.fna.gz,-,9,8,4,1,5,3,134|4
GCF_000310545.fna.gz,-,4,1,4,1,3,3,134|2
GCF_001592615.fna.gz,-,10,1,2,1,3,2,134|2
GCF_001123605.fna.gz,-,1,1,3,1,1,12,134|2
GCF_004349485.fna.gz,-,9,1,4,1,3,3,134|2
GCF_009934175.fna.gz,-,10,1,4,1,3,3,134|2
GCF_000289155.fna.gz,-,10,1,2,1,3,2,2|134
GCF_009933635.fna.gz,-,10,1,4,1,3,3,2|134
GCF_001856505.fna.gz,-,10,1,4,1,3,3,134|2
GCF_000310745.fna.gz,-,4,1,4,1,3,3,134|2
GCF_009934235.fna.gz,-,10,1,4,1,3,3,134|2
GCF_009933485.fna.gz,-,9,1,4,1,3,3,2|134
GCF_000290235.fna.gz,-,10,1,4,1,3,3,2|134
GCF_000289555.fna.gz,-,4,1,4,1,3,3,134|2
GCF_008806305.fna.gz,-,117,1,4,1,3,3,2|134
GCF_001694205.fna.gz,-,1,1,3,1,41,12,134|2
GCF_000264975.fna.gz,-,10,1,2,1,3,2,134|2
GCF_001015435.fna.gz,-,10,1,4,1,3,3,2|134
GCF_006543405.fna.gz,-,9,8,4,1,5,3,134|4
GCF_002176575.fna.gz,-,9,5,7,1,3,3,134|2
GCF_002266935.fna.gz,-,10,1,2,1,3,2,134|2
GCF_002197265.fna.gz,-,9,5,7,1,3,3,134|2
GCF_000347435.fna.gz,-,10,1,2,1,3,2,134|2
GCF_000288315.fna.gz,-,9,1,4,1,3,3,2|134
GCF_001694325.fna.gz,-,1,1,3,1,1,12,134|2
GCF_001693835.fna.gz,-,94,1,2,1,1,2,134|2
GCF_006543465.fna.gz,-,9,8,4,1,5,3,4|134
GCF_000289515.fna.gz,-,9,1,4,1,3,3,134|2
GCF_000455065.fna.gz,-,1,136,2,1,1,2,2|134
GCF_000322485.fna.gz,-,10,1,4,1,3,3,134|2
GCF_001693915.fna.gz,-,1,1,3,1,41,12,134|2
GCF_001694745.fna.gz,-,1,1,3,1,22,12,2|134
GCF_001018395.fna.gz,-,4,1,4,1,3,3,2|134
GCF_000289995.fna.gz,-,1,1,3,1,1,12,2|134
GCF_001348675.fna.gz,-,9,1,4,1,3,3,134|2
GCF_001015505.fna.gz,-,10,1,4,1,3,3,2|134
GCF_002025025.fna.gz,-,10,1,4,1,3,3,134|2
GCF_002197425.fna.gz,-,9,5,7,1,3,3,134|2
GCF_001856395.fna.gz,-,10,1,4,1,3,3,2|134
GCF_000290155.fna.gz,-,4,1,4,1,3,3,2|134
GCF_000311405.fna.gz,-,9,1,2,1,3,2,134|2
GCF_002239205.fna.gz,-,10,1,4,1,3,3,134|2
GCF_001190825.fna.gz,-,10,1,2,1,3,2,134|2
GCF_001104145.fna.gz,-,1,1,4,1,1,3,134|2
GCF_000736485.fna.gz,-,10,1,2,1,3,2,134|2
GCF_000290515.fna.gz,-,4,1,4,1,3,3,2|134
GCF_000289175.fna.gz,-,10,1,2,1,3,2,134|2
GCF_001016065.fna.gz,-,4,1,4,1,3,3,134|2
GCF_001693845.fna.gz,-,1,1,3,1,41,12,134|2
GCF_009933835.fna.gz,-,9,1,4,1,3,3,134|2
GCF_000289675.fna.gz,-,10,1,12,1,3,2,134|2
GCF_000322845.fna.gz,-,10,1,4,1,53,3,134|2
GCF_001546685.fna.gz,-,4,1,4,1,3,3,2|134
GCF_004369845.fna.gz,-,9,5,7,1,3,3,134|2
GCF_002871535.fna.gz,-,10,1,4,1,3,3,134|2
GCF_009933365.fna.gz,-,10,1,4,1,3,3,2|134
GCF_001675305.fna.gz,-,10,1,2,1,3,2,2|134
GCF_000310625.fna.gz,-,10,1,12,1,3,2,134|2
GCF_002930685.fna.gz,-,9,5,7,1,3,3,134|2
GCF_002861005.fna.gz,-,10,1,4,1,3,3,134|2
GCF_000310765.fna.gz,-,8,1,217,1,3,3,2|134
GCF_001098165.fna.gz,-,8,1,4,1,3,3,134|43
GCF_001348895.fna.gz,-,4,1,4,1,3,3,134|2
GCF_001592385.fna.gz,-,9,5,7,1,3,3,134|2
GCF_001694515.fna.gz,-,1,1,3,1,1,12,134|2
GCF_001694285.fna.gz,-,1,1,3,1,1,12,134|2
GCF_003931905.fna.gz,-,10,1,2,1,3,2,2|134
GCF_000715315.fna.gz,-,10,1,2,1,3,2,2|134
GCF_003605605.fna.gz,-,1,1,6,1,1,2,134|2
GCF_001119265.fna.gz,-,9,1,4,1,3,3,134|2
GCF_000311685.fna.gz,-,10,1,4,1,3,3,2|134
GCF_012222485.fna.gz,-,10,1,4,1,3,3,134|2
GCF_002812445.fna.gz,-,9,5,7,1,3,3,134|2
GCF_002937055.fna.gz,-,9,5,7,1,3,3,134|2
GCF_002266915.fna.gz,-,10,1,2,1,3,2,2|134
GCF_003859455.fna.gz,-,10,1,4,1,3,3,2|134
GCF_004349445.fna.gz,-,9,1,4,1,3,3,134|2
GCF_004369755.fna.gz,-,9,5,7,1,3,3,134|2
GCF_001349015.fna.gz,-,8,1,4,1,3,3,134|2
GCF_004120435.fna.gz,-,10,1,4,1,3,3,134|2
GCF_001592635.fna.gz,-,9,5,7,1,3,3,134|2
GCF_009495855.fna.gz,-,10,1,4,1,3,3,2|134
GCF_000289035.fna.gz,-,9,1,4,1,3,3,134|2
GCF_000310985.fna.gz,-,4,1,4,1,3,3,134|2
GCF_000288455.fna.gz,-,4,1,4,1,3,3,134|2
GCF_000311525.fna.gz,-,10,1,4,1,3,3,2|134
GCF_000289255.fna.gz,-,10,1,2,1,49,2,2|134
GCF_009934755.fna.gz,-,9,5,4,1,3,3,2|134
GCF_004369775.fna.gz,-,9,5,7,1,3,3,134|2
GCF_001695135.fna.gz,-,1,1,3,1,1,12,134|2
GCF_011383065.fna.gz,-,10,1,2,1,3,2,134|2
GCF_000290455.fna.gz,-,9,1,4,1,3,3,134|2
GCF_000289215.fna.gz,-,10,1,2,1,3,2,134|2
GCF_011327295.fna.gz,-,10,1,2,1,3,2,2|134
GCF_009934575.fna.gz,-,4,1,4,1,3,3,134|2
GCF_001694315.fna.gz,-,1,1,3,1,1,12,134|2
GCF_001546785.fna.gz,-,4,1,4,1,3,3,2|134
GCF_001694725.fna.gz,-,94,1,2,1,1,43,134|2
GCF_005233955.fna.gz,-,1,1,4,1,1,3,134|4
GCF_003640725.fna.gz,-,9,1,4,1,3,3,134|2
GCF_008710375.fna.gz,-,9,1,4,1,3,3,2|134
GCF_000715295.fna.gz,-,10,1,2,1,3,2,2|134
GCF_001683515.fna.gz,-,129,5,7,1,3,3,134|2
GCF_002266925.fna.gz,-,10,1,2,1,3,2,2|134
GCF_003859445.fna.gz,-,4,1,4,1,3,3,134|2
GCF_001729925.fna.gz,-,10,1,2,1,3,2,134|2
GCF_001018335.fna.gz,-,4,1,4,1,3,3,2|134
GCF_002176585.fna.gz,-,9,5,7,1,3,3,134|2
GCF_009933745.fna.gz,-,9,1,4,1,3,3,2|134
GCF_002246945.fna.gz,-,10,1,2,1,3,2,134|2
GCF_900474905.fna.gz,-,9,1,4,1,3,3,134|2
GCF_012030185.fna.gz,-,4,1,4,1,3,3,134|2
GCF_000290535.fna.gz,-,10,1,4,1,3,3,2|134
GCF_009934195.fna.gz,-,10,1,4,1,3,3,2|134
GCF_002812505.fna.gz,-,9,5,7,1,3,3,134|2
GCF_000289575.fna.gz,-,9,8,4,1,5,3,134|4
GCF_014874895.fna.gz,-,10,1,2,1,3,2,2|134
GCF_001101765.fna.gz,-,9,1,4,1,170,3,134|2
GCF_001693865.fna.gz,-,9,1,4,1,3,3,134|2
GCF_000311125.fna.gz,-,10,1,4,1,3,3,2|134
